date,symbol,eps,revenue_ttm,pe_ratio,accumulateddepreciationamortizationppe,beta,book_value,capitalexpenditures,capitalleaseobligations,cashandcashequivalentsatcarryingvalue,cashandshortterminvestments,cashflowfromfinancing,cashflowfrominvestment,changeincashandcashequivalents,changeinexchangerate,changeininventory,changeinoperatingassets,changeinoperatingliabilities,changeinreceivables,commonstock,commonstocksharesoutstanding,comprehensiveincomenetoftax,costofgoodsandservicessold,costofrevenue,currentaccountspayable,currentdebt,currentlongtermdebt,currentnetreceivables,deferredrevenue,depreciation,depreciationandamortization,depreciationdepletionandamortization,dividendpayout,dividendpayoutcommonstock,dividendpayoutpreferredstock,earnings_growth_yoy,earnings_surprise,ebit,ebitda,estimated_eps,fiscaldateending,forward_pe,goodwill,gross_profit_ttm,grossprofit,incomebeforetax,incometaxexpense,intangibleassets,intangibleassetsexcludinggoodwill,interestanddebtexpense,interestexpense,interestincome,inventory,investmentincomenet,investments,longtermdebt,longtermdebtnoncurrent,longterminvestments,netincome,netincomefromcontinuingoperations,netinterestincome,noninterestincome,operating_margin_ttm,operatingcashflow,operatingexpenses,operatingincome,othercurrentassets,othercurrentliabilities,othernoncurrentassets,othernoncurrentliabilities,othernonoperatingincome,paymentsforoperatingactivities,paymentsforrepurchaseofcommonstock,paymentsforrepurchaseofequity,paymentsforrepurchaseofpreferredstock,price_to_book,price_to_sales_ttm,proceedsfromissuanceofcommonstock,proceedsfromissuanceoflongtermdebtandcapitalsecuritiesnet,proceedsfromissuanceofpreferredstock,proceedsfromoperatingactivities,proceedsfromrepaymentsofshorttermdebt,proceedsfromrepurchaseofequity,proceedsfromsaleoftreasurystock,profit_margin,profitloss,propertyplantequipment,report_date,report_type,reported_eps,reportedcurrency,reporttime,researchanddevelopment,retainedearnings,return_on_assets_ttm,return_on_equity_ttm,revenue_growth_yoy,revenue_per_share_ttm,sellinggeneralandadministrative,shortlongtermdebttotal,shorttermdebt,shortterminvestments,sma_200,sma_50,stockbasedcompensation,surprise_pct,totalassets,totalcurrentassets,totalcurrentliabilities,totalliabilities,totalnoncurrentassets,totalnoncurrentliabilities,totalrevenue,totalshareholderequity,trailing_pe,treasurystock,week_52_high,week_52_low
2012-06-30,LZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-07-30,,0.01,,pre-market,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-31,LZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.05,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-06-30,,-0.05,,post-market,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-30,LZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08-12,,0.03,,post-market,,,,,,,,,,,,,,50.0,,,,,,,,,,,,
2021-09-30,LZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.02,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-11-10,,0.01,,post-market,,,,,,,,,,,,,,-66.6667,,,,,,,,,,,,
2021-12-31,LZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-03-10,,0.02,,post-market,,,,,,,,,,,,,,300.0,,,,,,,,,,,,
2022-03-31,LZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.03,,,-0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-05-12,,-0.05,,post-market,,,,,,,,,,,,,,-150.0,,,,,,,,,,,,
2022-06-30,LZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-08-11,,0.05,,post-market,,,,,,,,,,,,,,400.0,,,,,,,,,,,,
2022-09-30,LZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-11-10,,0.05,,post-market,,,,,,,,,,,,,,25.0,,,,,,,,,,,,
2022-12-31,LZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-02-23,,0.1,,post-market,,,,,,,,,,,,,,42.8571,,,,,,,,,,,,
2023-03-31,LZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-09,,0.07,,post-market,,,,,,,,,,,,,,16.6667,,,,,,,,,,,,
2023-06-30,LZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-08-08,,0.1,,post-market,,,,,,,,,,,,,,0.0,,,,,,,,,,,,
2023-09-30,LZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-11-07,,0.12,,post-market,,,,,,,,,,,,,,33.3333,,,,,,,,,,,,
2023-12-31,LZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-02-22,,0.13,,post-market,,,,,,,,,,,,,,30.0,,,,,,,,,,,,
2024-03-31,LZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.01,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-05-07,,0.09,,post-market,,,,,,,,,,,,,,-10.0,,,,,,,,,,,,
2024-06-30,LZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-08-07,,0.1,,post-market,,,,,,,,,,,,,,11.1111,,,,,,,,,,,,
2024-09-30,LZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-11-06,,0.17,,post-market,,,,,,,,,,,,,,13.3333,,,,,,,,,,,,
2024-12-31,LZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0331,,,0.1569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02-20,,0.19,,post-market,,,,,,,,,,,,,,21.0962,,,,,,,,,,,,
2025-03-31,LZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-06,,0.13,,post-market,,,,,,,,,,,,,,30.0,,,,,,,,,,,,
2025-06-30,LZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-08-07,,0.15,,pre-market,,,,,,,,,,,,,,0.0,,,,,,,,,,,,
2025-09-30,LZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0175,,,0.1875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-11-05,,0.17,,pre-market,,,,,,,,,,,,,,-9.3333,,,,,,,,,,,,
2025-12-31,LZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0074,,,0.1774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-02-20,,0.17,,pre-market,,,,,,,,,,,,,,-4.1714,,,,,,,,,,,,
2026-04-16,LZ,0.08,756043000.0,75.12,,1.304,0.968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.579,-0.0074,,,0.1774,,6.22,,498083000.0,,,,,,,,,,,,,,,,,,,0.0661,,,,,,,,,,,,,6.05,1.409,,,,,,,,0.0204,,,2026-02-20,,0.17,,pre-market,,,0.0183,0.116,0.177,4.228,,,,,9.03,6.53,,-4.1714,,,,,,,,,75.12,,12.4,5.28
2026-04-16,LZ,0.08,756043000.0,75.12,,1.304,0.968,,,,,,,,,,,,,,,None,61731000,61731000,,,,,,None,11921000,,,,,-0.579,-0.0074,14786000,26707000,0.1774,2025-12-31,6.22,,498083000.0,128535000,13991000,7933000,,,None,795000,1878000,,None,,,,,6058000,6057000,1083000,None,0.0661,,114591000,13944000,,,,,None,,,,,6.05,1.409,,,,,,,,0.0204,,,2026-02-20,quarterly,0.17,USD,pre-market,19499000,,0.0183,0.116,0.177,4.228,33466000,,,,9.03,6.53,,-4.1714,,,,,,,190266000,,75.12,,12.4,5.28
2026-04-16,LZ,0.08,756043000.0,75.12,,1.304,0.968,,,,,,,,,,,,,,,None,62271000,62271000,,,,,,None,11373000,,,,,-0.579,-0.0074,8530000,19903000,0.1774,2025-09-30,6.22,,498083000.0,127887000,8378000,3869000,,,None,152000,2139000,,None,,,,,4509000,4509000,1987000,None,0.0661,,121394000,6493000,,,,,None,,,,,6.05,1.409,,,,,,,,0.0204,,,2026-02-20,quarterly,0.17,USD,pre-market,19485000,,0.0183,0.116,0.177,4.228,33986000,,,,9.03,6.53,,-4.1714,,,,,,,190158000,,75.12,,12.4,5.28
2026-04-16,LZ,0.08,756043000.0,75.12,,1.304,0.968,,,,,,,,,,,,,,,None,67398000,67398000,,,,,,None,12205000,,,,,-0.579,-0.0074,-379000,11826000,0.1774,2025-06-30,6.22,,498083000.0,125111000,-544000,-278000,,,None,165000,2069000,,None,,,,,-266000,-266000,1904000,None,0.0661,,128211000,-3100000,,,,,None,,,,,6.05,1.409,,,,,,,,0.0204,,,2026-02-20,quarterly,0.17,USD,pre-market,21635000,,0.0183,0.116,0.177,4.228,36996000,,,,9.03,6.53,,-4.1714,,,,,,,192509000,,75.12,,12.4,5.28
2026-04-16,LZ,0.08,756043000.0,75.12,,1.304,0.968,,,,,,,,,,,,,,,None,66560000,66560000,,,,,,None,11024000,,,,,-0.579,-0.0074,10796000,21820000,0.1774,2025-03-31,6.22,,498083000.0,116550000,10614000,5487000,,,None,182000,1483000,,None,,,,,5127000,5127000,1301000,None,0.0661,,107584000,8966000,,,,,None,,,,,6.05,1.409,,,,,,,,0.0204,,,2026-02-20,quarterly,0.17,USD,pre-market,21322000,,0.0183,0.116,0.177,4.228,39221000,,,,9.03,6.53,,-4.1714,,,,,,,183110000,,75.12,,12.4,5.28
2026-04-16,LZ,0.08,756043000.0,75.12,,1.304,0.968,,,,,,,,,,,,,,,None,53385000,53385000,,,,,,None,9920000,,,,,-0.579,-0.0074,12667000,22587000,0.1774,2024-12-31,6.22,,498083000.0,108321000,12466000,-388000,,,None,201000,1303000,,None,,,,,12854000,12854000,1102000,None,0.0661,,95210000,13111000,,,,,None,,,,,6.05,1.409,,,,,,,,0.0204,,,2026-02-20,quarterly,0.17,USD,pre-market,16650000,,0.0183,0.116,0.177,4.228,31046000,,,,9.03,6.53,,-4.1714,,,,,,,161706000,,75.12,,12.4,5.28
2026-04-16,LZ,0.08,756043000.0,75.12,,1.304,0.968,,,,,,,,,,,,,,,None,54715000,54715000,,,,,,None,9674000,,,,,-0.579,-0.0074,19355000,29029000,0.1774,2024-09-30,6.22,,498083000.0,113884000,19283000,8232000,,,None,72000,1345000,,None,,,,,11051000,11051000,1273000,None,0.0661,,97615000,16269000,,,,,None,,,,,6.05,1.409,,,,,,,,0.0204,,,2026-02-20,quarterly,0.17,USD,pre-market,23179000,,0.0183,0.116,0.177,4.228,28149000,,,,9.03,6.53,,-4.1714,,,,,,,168599000,,75.12,,12.4,5.28
2026-04-16,LZ,0.08,756043000.0,75.12,,1.304,0.968,,,,,,,,,,,,,,,None,63609000,63609000,,,,,,None,9108000,,,,,-0.579,-0.0074,3472000,12580000,0.1774,2024-06-30,6.22,,498083000.0,113753000,3360000,2046000,,,None,112000,2315000,,None,,,,,1314000,1314000,2203000,None,0.0661,,112607000,1146000,,,,,None,,,,,6.05,1.409,,,,,,,,0.0204,,,2026-02-20,quarterly,0.17,USD,pre-market,25798000,,0.0183,0.116,0.177,4.228,26679000,,,,9.03,6.53,,-4.1714,,,,,,,177362000,,75.12,,12.4,5.28
2026-04-16,LZ,0.08,756043000.0,75.12,,1.304,0.968,,,,,,,,,,,,,,,None,68384000,68384000,,,,,,None,8357000,,,,,-0.579,-0.0074,8035000,16392000,0.1774,2024-03-31,6.22,,498083000.0,105830000,7974000,3230000,,,None,61000,2887000,,None,,,,,4744000,4744000,2826000,None,0.0661,,100775000,5055000,,,,,None,,,,,6.05,1.409,,,,,,,,0.0204,,,2026-02-20,quarterly,0.17,USD,pre-market,23957000,,0.0183,0.116,0.177,4.228,23065000,,,,9.03,6.53,,-4.1714,,,,,,,174214000,,75.12,,12.4,5.28
2026-04-16,LZ,0.08,756043000.0,75.12,,1.304,0.968,,,,,,,,,,,,,,,None,55907000,55907000,,,,,,None,8003000,,,,,-0.579,-0.0074,17782000,25785000,0.1774,2023-12-31,6.22,,498083000.0,102756000,10496000,3114000,,,None,254000,None,,None,,,,,7382000,7382000,2457000,None,0.0661,,95902000,6854000,,,,,None,,,,,6.05,1.409,,,,,,,,0.0204,,,2026-02-20,quarterly,0.17,USD,pre-market,22107000,,0.0183,0.116,0.177,4.228,27669000,,,,9.03,6.53,,-4.1714,,,,,,,158663000,,75.12,,12.4,5.28
2026-04-16,LZ,0.08,756043000.0,75.12,,1.304,0.968,,,,,,,,,,,,,,,None,59213000,59213000,,,,,,None,7330000,,,,,-0.579,-0.0074,12065000,19395000,0.1774,2023-09-30,6.22,,498083000.0,108061000,11997000,4463000,,,None,68000,2691000,,None,,,,,7534000,7534000,2623000,None,0.0661,,97805000,10256000,,,,,None,,,,,6.05,1.409,,,,,,,,0.0204,,,2026-02-20,quarterly,0.17,USD,pre-market,21491000,,0.0183,0.116,0.177,4.228,25243000,,,,9.03,6.53,,-4.1714,,,,,,,167274000,,75.12,,12.4,5.28
2026-04-16,LZ,0.08,756043000.0,75.12,,1.304,0.968,,,,,,,,,,,,,,,None,63748000,63748000,,,,,,None,6486000,,,,,-0.579,-0.0074,7609000,14095000,0.1774,2023-06-30,6.22,,498083000.0,105106000,7522000,6127000,,,None,87000,2240000,,None,,,,,1395000,1395000,2153000,None,0.0661,,100361000,4745000,,,,,624000,,,,,6.05,1.409,,,,,,,,0.0204,,,2026-02-20,quarterly,0.17,USD,pre-market,19900000,,0.0183,0.116,0.177,4.228,26936000,,,,9.03,6.53,,-4.1714,,,,,,,168854000,,75.12,,12.4,5.28
2026-04-16,LZ,0.08,756043000.0,75.12,,1.304,0.968,,,,,,,,,,,,,,,None,60395000,60395000,,,,,,None,6256000,,,,,-0.579,-0.0074,1563000,7819000,0.1774,2023-03-31,6.22,,498083000.0,105541000,1479000,3837000,,,None,84000,1665000,,None,,,,,-2358000,-2358000,1581000,None,0.0661,,106337000,-796000,,,,,694000,,,,,6.05,1.409,,,,,,,,0.0204,,,2026-02-20,quarterly,0.17,USD,pre-market,19683000,,0.0183,0.116,0.177,4.228,26504000,,,,9.03,6.53,,-4.1714,,,,,,,165936000,,75.12,,12.4,5.28
2026-04-16,LZ,0.08,756043000.0,75.12,,1.304,0.968,,,,,,,,,,,,,,,None,47712000,47712000,,,,,,None,6317000,,,,,-0.579,-0.0074,5537000,11854000,0.1774,2022-12-31,6.22,,498083000.0,99775000,5183000,20000,,,None,1032000,None,,None,,,,,5163000,1744000,1032000,None,0.0661,,94249000,5526000,,,,,1625000,,,,,6.05,1.409,,,,,,,,0.0204,,,2026-02-20,quarterly,0.17,USD,pre-market,18821000,,0.0183,0.116,0.177,4.228,27497000,,,,9.03,6.53,,-4.1714,,,,,,,147487000,,75.12,,12.4,5.28
2026-04-16,LZ,0.08,756043000.0,75.12,,1.304,0.968,,,,,,,,,,,,,,,None,50314000,50314000,,,,,,None,5692000,,,,,-0.579,-0.0074,-9966000,-4274000,0.1774,2022-09-30,6.22,,498083000.0,104963000,-12204000,-223000,,,None,535000,None,,None,,,,,-11981000,-10108000,535000,None,0.0661,,115166000,-10203000,,,,,-2536000,,,,,6.05,1.409,,,,,,,,0.0204,,,2026-02-20,quarterly,0.17,USD,pre-market,17457000,,0.0183,0.116,0.177,4.228,30103000,,,,9.03,6.53,,-4.1714,,,,,,,155277000,,75.12,,12.4,5.28
2026-04-16,LZ,0.08,756043000.0,75.12,,1.304,0.968,,,,,,,,,,,,,,,None,57151000,57151000,,,,,,None,6013000,,,,,-0.579,-0.0074,-11389000,-5376000,0.1774,2022-06-30,6.22,,498083000.0,105498000,-13382000,-639000,,,None,29000,None,,None,,,,,-12743000,-13179000,29000,None,0.0661,,116887000,-11389000,,,,,-2022000,,,,,6.05,1.409,,,,,,,,0.0204,,,2026-02-20,quarterly,0.17,USD,pre-market,16197000,,0.0183,0.116,0.177,4.228,28969000,,,,9.03,6.53,,-4.1714,,,,,,,162649000,,75.12,,12.4,5.28
2026-04-16,LZ,0.08,756043000.0,75.12,,1.304,0.968,,,,,,,,,,,,,,,None,55940000,55940000,,,,,,None,5394000,,,,,-0.579,-0.0074,-25076000,-19682000,0.1774,2022-03-31,6.22,,498083000.0,98269000,-27649000,2960000,,,None,53000,None,,None,,,,,-30609000,-30609000,-53000,None,0.0661,,124321000,-26052000,,,,,-1544000,,,,,6.05,1.409,,,,,,,,0.0204,,,2026-02-20,quarterly,0.17,USD,pre-market,17959000,,0.0183,0.116,0.177,4.228,29488000,,,,9.03,6.53,,-4.1714,,,,,,,154209000,,75.12,,12.4,5.28
2026-04-16,LZ,0.08,756043000.0,75.12,,1.304,0.968,,,,,,,,,,,,,,,None,48278000,48278000,,,,,,None,5082000,,,,,-0.579,-0.0074,-24812000,-19730000,0.1774,2021-12-31,6.22,,498083000.0,93859000,-24873000,-4102000,,,None,61000,None,,None,,,,,-20771000,-20771000,-61000,None,0.0661,,119564000,-25705000,,,,,None,,,,,6.05,1.409,,,,,,,,0.0204,,,2026-02-20,quarterly,0.17,USD,pre-market,18213000,,0.0183,0.116,0.177,4.228,31382000,,,,9.03,6.53,,-4.1714,,,,,,,142137000,,75.12,,12.4,5.28
