date,symbol,eps,revenue_ttm,accumulateddepreciationamortizationppe,beta,book_value,capitalexpenditures,capitalleaseobligations,cashandcashequivalentsatcarryingvalue,cashandshortterminvestments,cashflowfromfinancing,cashflowfrominvestment,changeincashandcashequivalents,changeinexchangerate,changeininventory,changeinoperatingassets,changeinoperatingliabilities,changeinreceivables,commonstock,commonstocksharesoutstanding,comprehensiveincomenetoftax,costofgoodsandservicessold,costofrevenue,currentaccountspayable,currentdebt,currentlongtermdebt,currentnetreceivables,deferredrevenue,depreciation,depreciationandamortization,depreciationdepletionandamortization,dividendpayout,dividendpayoutcommonstock,dividendpayoutpreferredstock,earnings_growth_yoy,earnings_surprise,ebit,ebitda,estimated_eps,fiscaldateending,forward_pe,goodwill,gross_profit_ttm,grossprofit,incomebeforetax,incometaxexpense,intangibleassets,intangibleassetsexcludinggoodwill,interestanddebtexpense,interestexpense,interestincome,inventory,investmentincomenet,investments,longtermdebt,longtermdebtnoncurrent,longterminvestments,netincome,netincomefromcontinuingoperations,netinterestincome,noninterestincome,operating_margin_ttm,operatingcashflow,operatingexpenses,operatingincome,othercurrentassets,othercurrentliabilities,othernoncurrentassets,othernoncurrentliabilities,othernonoperatingincome,paymentsforoperatingactivities,paymentsforrepurchaseofcommonstock,paymentsforrepurchaseofequity,paymentsforrepurchaseofpreferredstock,price_to_book,price_to_sales_ttm,proceedsfromissuanceofcommonstock,proceedsfromissuanceoflongtermdebtandcapitalsecuritiesnet,proceedsfromissuanceofpreferredstock,proceedsfromoperatingactivities,proceedsfromrepaymentsofshorttermdebt,proceedsfromrepurchaseofequity,proceedsfromsaleoftreasurystock,profit_margin,profitloss,propertyplantequipment,report_date,report_type,reported_eps,reportedcurrency,reporttime,researchanddevelopment,retainedearnings,return_on_assets_ttm,return_on_equity_ttm,revenue_growth_yoy,revenue_per_share_ttm,sellinggeneralandadministrative,shortlongtermdebttotal,shorttermdebt,shortterminvestments,sma_200,sma_50,stockbasedcompensation,surprise_pct,totalassets,totalcurrentassets,totalcurrentliabilities,totalliabilities,totalnoncurrentassets,totalnoncurrentliabilities,totalrevenue,totalshareholderequity,treasurystock,week_52_high,week_52_low
2019-06-30,ARQT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.17,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-09-09,,-0.17,,pre-market,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-30,ARQT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,-7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-11-27,,-7.6,,pre-market,,,,,,,,,,,,,,0.0,,,,,,,,,,,
2019-12-31,ARQT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.03,,,-9.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-03-18,,-6.18,,post-market,,,,,,,,,,,,,,32.899,,,,,,,,,,,
2020-03-31,ARQT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3,,,-0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-05-12,,-1.15,,post-market,,,,,,,,,,,,,,-35.2941,,,,,,,,,,,
2020-06-30,ARQT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1,,,-0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-08-11,,-0.94,,post-market,,,,,,,,,,,,,,-11.9048,,,,,,,,,,,
2020-09-30,ARQT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.11,,,-0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-11-05,,-1.01,,post-market,,,,,,,,,,,,,,-12.2222,,,,,,,,,,,
2020-12-31,ARQT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,-0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-02-16,,-0.79,,post-market,,,,,,,,,,,,,,8.1395,,,,,,,,,,,
2021-03-31,ARQT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,,,-0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-05-04,,-0.76,,post-market,,,,,,,,,,,,,,21.6495,,,,,,,,,,,
2021-06-30,ARQT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,-0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08-05,,-0.84,,post-market,,,,,,,,,,,,,,9.6774,,,,,,,,,,,
2021-09-30,ARQT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,-1.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-11-04,,-1.14,,post-market,,,,,,,,,,,,,,4.2017,,,,,,,,,,,
