date,symbol,eps,revenue_ttm,accumulateddepreciationamortizationppe,beta,book_value,capitalexpenditures,capitalleaseobligations,cashandcashequivalentsatcarryingvalue,cashandshortterminvestments,cashflowfromfinancing,cashflowfrominvestment,changeincashandcashequivalents,changeinexchangerate,changeininventory,changeinoperatingassets,changeinoperatingliabilities,changeinreceivables,commonstock,commonstocksharesoutstanding,comprehensiveincomenetoftax,costofgoodsandservicessold,costofrevenue,currentaccountspayable,currentdebt,currentlongtermdebt,currentnetreceivables,deferredrevenue,depreciation,depreciationandamortization,depreciationdepletionandamortization,dividendpayout,dividendpayoutcommonstock,dividendpayoutpreferredstock,earnings_growth_yoy,earnings_surprise,ebit,ebitda,estimated_eps,fiscaldateending,goodwill,gross_profit_ttm,grossprofit,incomebeforetax,incometaxexpense,intangibleassets,intangibleassetsexcludinggoodwill,interestanddebtexpense,interestexpense,interestincome,inventory,investmentincomenet,investments,longtermdebt,longtermdebtnoncurrent,longterminvestments,netincome,netincomefromcontinuingoperations,netinterestincome,noninterestincome,operating_margin_ttm,operatingcashflow,operatingexpenses,operatingincome,othercurrentassets,othercurrentliabilities,othernoncurrentassets,othernoncurrentliabilities,othernonoperatingincome,paymentsforoperatingactivities,paymentsforrepurchaseofcommonstock,paymentsforrepurchaseofequity,paymentsforrepurchaseofpreferredstock,price_to_book,price_to_sales_ttm,proceedsfromissuanceofcommonstock,proceedsfromissuanceoflongtermdebtandcapitalsecuritiesnet,proceedsfromissuanceofpreferredstock,proceedsfromoperatingactivities,proceedsfromrepaymentsofshorttermdebt,proceedsfromrepurchaseofequity,proceedsfromsaleoftreasurystock,profit_margin,profitloss,propertyplantequipment,report_date,report_type,reported_eps,reportedcurrency,reporttime,researchanddevelopment,retainedearnings,return_on_assets_ttm,return_on_equity_ttm,revenue_growth_yoy,revenue_per_share_ttm,sellinggeneralandadministrative,shortlongtermdebttotal,shorttermdebt,shortterminvestments,sma_200,sma_50,stockbasedcompensation,surprise_pct,totalassets,totalcurrentassets,totalcurrentliabilities,totalliabilities,totalnoncurrentassets,totalnoncurrentliabilities,totalrevenue,totalshareholderequity,treasurystock,week_52_high,week_52_low
2020-06-30,TSHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,-1.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-09-25,,-1.28,,post-market,,,,,,,,,,,,,,0.0,,,,,,,,,,,
2020-09-30,TSHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.11,,,-0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-11-12,,-1.28,,post-market,,,,,,,,,,,,,,-652.9412,,,,,,,,,,,
2020-12-31,TSHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.67,,,-0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-03-03,,-1.04,,pre-market,,,,,,,,,,,,,,-181.0811,,,,,,,,,,,
2021-03-31,TSHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.31,,,-0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-05-11,,-0.87,,pre-market,,,,,,,,,,,,,,-55.3571,,,,,,,,,,,
2021-06-30,TSHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.25,,,-0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08-16,,-1.09,,pre-market,,,,,,,,,,,,,,-29.7619,,,,,,,,,,,
2021-09-30,TSHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.27,,,-1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-11-10,,-1.35,,pre-market,,,,,,,,,,,,,,-25.0,,,,,,,,,,,
2021-12-31,TSHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.07,,,-1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-03-31,,-1.32,,pre-market,,,,,,,,,,,,,,-5.6,,,,,,,,,,,
2022-03-31,TSHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.24,,,-1.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-05-16,,-1.31,,pre-market,,,,,,,,,,,,,,-22.4299,,,,,,,,,,,
2022-06-30,TSHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-08-11,,-0.84,,pre-market,,,,,,,,,,,,,,16.0,,,,,,,,,,,
2022-09-30,TSHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18,,,-0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-11-08,,-0.64,,pre-market,,,,,,,,,,,,,,21.9512,,,,,,,,,,,
