date,symbol,eps,revenue_ttm,accumulateddepreciationamortizationppe,beta,book_value,capitalexpenditures,capitalleaseobligations,cashandcashequivalentsatcarryingvalue,cashandshortterminvestments,cashflowfromfinancing,cashflowfrominvestment,changeincashandcashequivalents,changeinexchangerate,changeininventory,changeinoperatingassets,changeinoperatingliabilities,changeinreceivables,commonstock,commonstocksharesoutstanding,comprehensiveincomenetoftax,costofgoodsandservicessold,costofrevenue,currentaccountspayable,currentdebt,currentlongtermdebt,currentnetreceivables,deferredrevenue,depreciation,depreciationandamortization,depreciationdepletionandamortization,dividendpayout,dividendpayoutcommonstock,dividendpayoutpreferredstock,earnings_growth_yoy,earnings_surprise,ebit,ebitda,estimated_eps,fiscaldateending,forward_pe,goodwill,gross_profit_ttm,grossprofit,incomebeforetax,incometaxexpense,intangibleassets,intangibleassetsexcludinggoodwill,interestanddebtexpense,interestexpense,interestincome,inventory,investmentincomenet,investments,longtermdebt,longtermdebtnoncurrent,longterminvestments,netincome,netincomefromcontinuingoperations,netinterestincome,noninterestincome,operating_margin_ttm,operatingcashflow,operatingexpenses,operatingincome,othercurrentassets,othercurrentliabilities,othernoncurrentassets,othernoncurrentliabilities,othernonoperatingincome,paymentsforoperatingactivities,paymentsforrepurchaseofcommonstock,paymentsforrepurchaseofequity,paymentsforrepurchaseofpreferredstock,price_to_book,price_to_sales_ttm,proceedsfromissuanceofcommonstock,proceedsfromissuanceoflongtermdebtandcapitalsecuritiesnet,proceedsfromissuanceofpreferredstock,proceedsfromoperatingactivities,proceedsfromrepaymentsofshorttermdebt,proceedsfromrepurchaseofequity,proceedsfromsaleoftreasurystock,profit_margin,profitloss,propertyplantequipment,report_date,report_type,reported_eps,reportedcurrency,reporttime,researchanddevelopment,retainedearnings,return_on_assets_ttm,return_on_equity_ttm,revenue_growth_yoy,revenue_per_share_ttm,sellinggeneralandadministrative,shortlongtermdebttotal,shorttermdebt,shortterminvestments,sma_200,sma_50,stockbasedcompensation,surprise_pct,totalassets,totalcurrentassets,totalcurrentliabilities,totalliabilities,totalnoncurrentassets,totalnoncurrentliabilities,totalrevenue,totalshareholderequity,treasurystock,week_52_high,week_52_low
2021-03-31,IAUX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0003,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-05-11,,-0.0003,,post-market,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-30,IAUX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.03,,,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08-10,,-0.04,,post-market,,,,,,,,,,,,,,-300.0,,,,,,,,,,,
2021-09-30,IAUX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.04,,,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-11-08,,-0.05,,post-market,,,,,,,,,,,,,,-400.0,,,,,,,,,,,
2021-12-31,IAUX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,-0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-03-28,,-0.02,,post-market,,,,,,,,,,,,,,0.0,,,,,,,,,,,
2022-03-31,IAUX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.09,,,-0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-05-09,,-0.11,,post-market,,,,,,,,,,,,,,-450.0,,,,,,,,,,,
2022-06-30,IAUX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.05,,,-0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-08-09,,-0.09,,post-market,,,,,,,,,,,,,,-125.0,,,,,,,,,,,
2022-09-30,IAUX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.01,,,-0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-11-08,,-0.06,,post-market,,,,,,,,,,,,,,-20.0,,,,,,,,,,,
2022-12-31,IAUX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.01,,,-0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-14,,-0.05,,post-market,,,,,,,,,,,,,,-25.0,,,,,,,,,,,
2023-03-31,IAUX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.05,,,-0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-08,,-0.08,,post-market,,,,,,,,,,,,,,-166.6667,,,,,,,,,,,
2023-06-30,IAUX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0667,,,-0.0133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-08-03,,-0.08,,pre-market,,,,,,,,,,,,,,-501.5038,,,,,,,,,,,
2023-09-30,IAUX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0725,,,-0.0175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-11-02,,-0.09,,pre-market,,,,,,,,,,,,,,-414.2857,,,,,,,,,,,
2023-12-31,IAUX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0711,,,-0.0362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-04,,-0.1073,,post-market,,,,,,,,,,,,,,-196.4088,,,,,,,,,,,
2024-03-31,IAUX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0328,,,-0.0187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-05-13,,-0.0515,,post-market,,,,,,,,,,,,,,-175.4011,,,,,,,,,,,
2024-06-30,IAUX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.062,,,-0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-08-12,,-0.102,,post-market,,,,,,,,,,,,,,-155.0,,,,,,,,,,,
2024-09-30,IAUX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0829,,,-0.0156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-11-01,,-0.0985,,post-market,,,,,,,,,,,,,,-531.4103,,,,,,,,,,,
2024-12-31,IAUX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,-0.0156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-03-10,,-0.0433,,post-market,,,,,,,,,,,,,,-531.4103,,,,,,,,,,,
2025-03-31,IAUX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0755,,,-0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-12,,-0.0955,,post-market,,,,,,,,,,,,,,-377.5,,,,,,,,,,,
2025-06-30,IAUX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.05,,,-0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-08-13,,-0.07,,post-market,,,,,,,,,,,,,,-250.0,,,,,,,,,,,
2025-09-30,IAUX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0273,,,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-11-12,,-0.0373,,post-market,,,,,,,,,,,,,,-273.0,,,,,,,,,,,
2025-12-31,IAUX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0936,,,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-02-19,,-0.1036,,post-market,,,,,,,,,,,,,,-936.0,,,,,,,,,,,
2026-04-16,IAUX,-0.3,95193000.0,,2.046,0.419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-0.0936,,,-0.01,,38.31,,-966000.0,,,,,,,,,,,,,,,,,,,-1.683,,,,,,,,,,,,,4.099,14.84,,,,,,,,-2.089,,,2026-02-19,,-0.1036,,post-market,,,-0.0903,-0.579,-0.083,0.142,,,,,1.199,1.728,,-936.0,,,,,,,,,,2.24,0.482
2026-04-16,IAUX,-0.3,95193000.0,,2.046,0.419,,,,,,,,,,,,,,,None,31810345,31810345,,,,,,None,1235694,,,,,0.0,-0.0936,-59013552,-57777858,-0.01,2025-12-31,38.31,,-966000.0,-16541666,-63719661,-2358792,,,None,4706109,3354000,,None,,,,,-61360869,-85560000,-3208000,None,-1.683,,9161209,-25702873,,,,,None,,,,,4.099,14.84,,,,,,,,-2.089,,,2026-02-19,quarterly,-0.1036,USD,post-market,None,,-0.0903,-0.579,-0.083,0.142,9516000,,,,1.199,1.728,,-936.0,,,,,,,15268678,,,2.24,0.482
2026-04-16,IAUX,-0.3,95193000.0,,2.046,0.419,,,,,,,,,,,,,,,None,28901000,28901000,,,,,,None,848000,,,,,0.0,-0.0936,-34772000,-33924000,-0.01,2025-09-30,38.31,,-966000.0,3118000,-41867000,None,,,None,7095000,357000,,None,,,,,-41867000,-41867000,-6738000,None,-1.683,,30885000,-27767000,,,,,None,,,,,4.099,14.84,,,,,,,,-2.089,,,2026-02-19,quarterly,-0.1036,USD,post-market,None,,-0.0903,-0.579,-0.083,0.142,7526000,,,,1.199,1.728,,-936.0,,,,,,,32019000,,,2.24,0.482
2026-04-16,IAUX,-0.3,95193000.0,,2.046,0.419,,,,,,,,,,,,,,,None,27038000,27038000,,,,,,None,951000,,,,,0.0,-0.0936,-22385000,-21434000,-0.01,2025-06-30,38.31,,-966000.0,798000,-30215000,None,,,None,8838271,346000,,None,,,,,-30215000,-30215000,-8349000,None,-1.683,,19549000,-18751000,,,,,None,,,,,4.099,14.84,,,,,,,,-2.089,,,2026-02-19,quarterly,-0.1036,USD,post-market,None,,-0.0903,-0.579,-0.083,0.142,7338000,,,,1.199,1.728,,-936.0,,,,,,,27836000,,,2.24,0.482
