symbol,total_pl,total_pl_pct,num_trades,win_rate,num_winning_trades,num_losing_trades,avg_win,avg_loss,profit_factor,avg_duration_days,sharpe_ratio,max_drawdown,max_drawdown_peak_date,max_drawdown_trough_date,best_trade_pl,best_trade_date,worst_trade_pl,worst_trade_date,final_equity,start_date,end_date,type,sector,description
AAPL,3395.4095022721704,3.3954095022721704,28,0.25,7,21,1359.365073404022,-291.43552435980877,1.5547922379402388,15.535714285714286,-0.6236901772939955,-0.022014684141592137,2022-02-09,2022-12-15,1737.341684554318,2020-11-25,-633.5928112040747,2022-09-12,104253.10674160991,2020-01-02,2023-12-29,stock,technology,Apple Inc.
BTCUSD,4020.8625033150092,4.020862503315009,6,0.5,3,3,1656.0812677700017,-315.79376666499866,5.244186056170042,5.0,-1.609478185338774,-0.006490658638065174,2020-04-29,2020-07-10,1911.87301767,2020-04-21,-425.51396852999824,2020-06-22,104020.86250331503,2020-01-01,2024-01-01,crypto,cryptocurrency,Bitcoin USD
ETHUSD,7777.025275185051,7.777025275185051,43,0.27906976744186046,12,31,1706.024743015001,-409.52489164499866,1.6125922701860003,6.395348837209302,-0.29586643041719896,-0.048906010727222324,2021-11-20,2023-01-05,2466.606980190001,2020-04-16,-1044.0751953149984,2021-05-20,107777.02527518511,2020-01-01,2024-01-01,crypto,cryptocurrency,Ethereum USD
GLD,357.68147653503365,0.3576814765350337,33,0.18181818181818182,6,27,663.8687348025011,-134.27892341777678,1.0986563025432803,17.424242424242426,-1.6412413395598027,-0.017431140111701156,2020-08-03,2022-02-03,1455.4393935900007,2020-06-09,-461.28604087500025,2020-11-05,101033.69474929504,2020-01-02,2023-12-29,commodity,precious_metals,Gold ETF
JPM,2854.484341051757,2.854484341051757,27,0.2962962962962963,8,19,906.8793739517387,-231.60792897695538,1.6486652620819415,19.22222222222222,-0.8050080920424646,-0.025663743332668413,2021-06-04,2022-09-21,1624.018469568442,2023-11-08,-580.0296994879882,2020-06-25,102854.48434105176,2020-01-02,2023-12-29,stock,financials,JPMorgan Chase & Co.
MSFT,758.4212315297518,0.7584212315297518,42,0.19047619047619047,8,34,956.3425074106808,-202.71525963987338,1.110038616971048,14.166666666666666,-1.1140284256859438,-0.03348104422419373,2020-06-09,2021-06-02,1571.1003749842566,2023-01-26,-514.2214049100476,2020-10-27,100758.42123152973,2020-01-02,2023-12-29,stock,technology,Microsoft Corporation
