entry_date,exit_date,entry_price,exit_price,quantity,pl,pl_pct,duration_days,exit_reason,commission,initial_stop_loss
2020-03-02,2020-03-03,164.59126100325,156.5475140865,60,-501.89314151038525,-4.887104496144035,1,Price crossed below MA,19.268326505384998,156.283556175
2020-03-04,2020-03-05,162.45754707945,158.22232796065,61,-277.90983862424764,-2.606969756061106,1,Price crossed below MA,19.5614723774461,154.257540955
2020-04-06,2020-04-07,157.42807860194998,155.57688334465,63,-136.34461381253277,-1.1758990351274146,1,Price crossed below MA,19.7193126026358,149.481933705
2020-04-08,2020-06-09,157.2947214567,181.1164654655,62,1455.966634956425,15.144655706299503,62,Take profit hit,20.9814935891764,149.35530773
2020-09-09,2020-09-10,202.31287058235,196.447848939,49,-306.9253357806938,-2.8989859253480743,1,Price crossed below MA,19.53927525654615,192.10117646499998
2020-09-30,2020-10-02,201.39365840595,197.23222465495002,49,-223.44292206898353,-2.066318167085357,2,Price crossed below MA,19.5326682699841,191.228361305
2020-10-09,2020-10-26,206.64082827974997,200.95322642335003,48,-292.56940373294674,-2.75240953288286,17,Price crossed below MA,19.5645146257488,196.21068152499998
2020-10-27,2020-10-28,204.18959567595,193.87471405005002,48,-514.2214049100476,-5.051619594893442,1,Price crossed below MA,19.107086866848,193.88317430499998
2020-11-04,2020-11-10,207.1961857197,201.84282330240003,47,-270.8328670371375,-2.5837166831546354,6,Price crossed below MA,19.2248334240387,196.73800742999998
2020-11-11,2020-11-20,207.34938768239996,201.77663991065,47,-281.14806856912037,-2.687612360006497,9,Price crossed below MA,19.228923296873347,196.88347656
2020-11-24,2020-12-09,205.30978539089998,203.12891453510002,48,-124.28685867484637,-1.0622342484298497,15,Price crossed below MA,19.605057596448,194.94682271
2020-12-11,2021-01-06,204.73377362894996,203.56049153865,48,-75.91566506244271,-0.5730769620972964,26,Price crossed below MA,19.598124728044798,194.399885005
2021-01-07,2021-01-12,209.56267207154997,206.13077245530002,46,-176.98928079573307,-1.6376483380008744,5,Price crossed below MA,19.1218984482351,198.985045945
2021-01-13,2021-01-14,207.69063392024998,204.2989678158,47,-178.77181819074394,-1.6330375811517417,1,Price crossed below MA,19.36351128159435,197.207498475
2021-01-20,2021-03-03,215.37079047945,218.746360106,45,132.36536141840406,1.567329357446967,42,Price crossed below MA,19.53527177634525,204.500000955
2021-03-05,2021-03-08,222.8526278286,218.58294435475003,44,-207.28923802546524,-1.9159224261577235,3,Price crossed below MA,19.4231651760674,211.60419434
2021-03-09,2021-03-18,224.95029073589998,221.7839699413,43,-155.3613673769196,-1.4075646598373903,9,Price crossed below MA,19.2095732091196,213.59597820999997
2021-03-22,2021-03-25,227.07682056944998,223.34122562395,43,-179.9985586428138,-1.6450798175401848,3,Price crossed below MA,19.3679759863162,215.615171955
2021-03-26,2021-03-30,227.54831359815,222.87020385265,42,-215.39818704393474,-2.0558753750034464,4,Price crossed below MA,18.9175777329336,216.062866485
2021-03-31,2021-05-12,226.86512977695,229.74327669710001,42,101.70461757439261,1.2686598962915907,42,Price crossed below MA,19.177553071910104,215.414166205
2021-05-14,2021-05-17,238.77754580834997,235.68391879015002,40,-142.72353931193902,-1.2956105264114726,3,Price crossed below MA,18.978458583940004,226.725305865
2021-05-20,2021-05-21,237.7182687345,236.21849916625,40,-78.94825344602941,-0.6309021078750199,1,Price crossed below MA,18.957470716030002,225.71949554999998
2021-05-24,2021-06-01,241.86541477125,238.36707873905002,40,-159.14274102841046,-1.4463977975142095,8,Price crossed below MA,19.209299740412,229.657315375
2021-06-04,2021-07-23,241.8750592911,279.0937417208,40,1467.908545147522,15.387565191211717,49,Take profit hit,20.838752040476002,229.66647308999998
2021-10-07,2021-10-11,284.91323452455,284.0299571784,34,-49.375498286997754,-0.31001625727352655,4,Price crossed below MA,19.344068517900297,270.532306645
2021-10-13,2021-11-18,286.32403097025,330.04193538055,34,1465.4523070942741,15.268681522174576,36,Take profit hit,20.9564428559272,271.871893475
2021-12-21,2022-01-04,316.83856921455,318.18529956410003,31,22.062900903913032,0.42505252844962094,14,Price crossed below MA,19.68573993213815,300.846217645
2022-03-18,2022-04-08,291.43765730565,287.79328327405,34,-143.60256905411006,-1.2504815147405313,21,Price crossed below MA,19.693851979709798,276.727410735
2022-06-24,2022-06-27,260.29214813355,257.30247590425,38,-133.2761404268349,-1.1485833325122208,3,Price crossed below MA,19.6685957134364,247.153963745
2022-07-06,2022-07-12,258.84337971135,246.40386213715,38,-491.9010630098437,-4.805808666256772,6,Price crossed below MA,19.199395190243,245.77832156499997
2022-07-20,2022-07-25,255.0124082829,251.4160588851,38,-155.90555886878428,-1.4102644738017478,5,Price crossed below MA,19.244281752383998,242.14071751
2022-07-27,2022-08-26,261.3033689913,260.96357224035,37,-31.896356610717703,-0.1300391771685394,30,Price crossed below MA,19.32387682557105,248.11414347
2022-11-10,2022-12-22,236.75769118575,232.51180164215,41,-193.32152049354409,-1.7933480945583447,42,Price crossed below MA,19.2400492059439,224.807402925
2022-12-29,2022-12-30,235.49995803344999,234.1029441729,42,-78.39790403576626,-0.5932119360936516,1,Price crossed below MA,19.7233218926667,223.61315355499997
2023-01-17,2023-01-18,234.85504713914997,230.18853835490003,42,-215.5251995292474,-1.9869740255081925,1,Price crossed below MA,19.5318305907501,223.00079438499998
2023-01-23,2023-01-25,237.03406430324998,234.87411139640002,41,-107.90630438453263,-0.9112415606588153,2,Price crossed below MA,19.34823520368565,225.06982617499997
