entry_date,exit_date,entry_price,exit_price,quantity,pl,pl_pct,duration_days,exit_reason,commission,initial_stop_loss
2020-01-06,2020-01-09,144.262095,137.64114500000002,69,-476.29687355999886,-4.589528524454023,3,Price crossed below MA,19.45132356,136.98049999999998
2020-01-10,2020-01-17,144.79236,169.50520500000002,68,1659.1012255800015,17.06778244376983,7,Take profit hit,21.37223442,137.48399999999998
2020-04-16,2020-04-29,172.636275,215.55217000000002,58,2466.606980190001,24.859140988763805,13,Take profit hit,22.51492981,163.9225
2020-06-28,2020-07-03,224.87238,224.94747,46,-17.237573099997462,0.033392273430821184,5,Price crossed below MA,20.6917131,213.522
2020-07-04,2020-07-05,229.45467,227.556165,45,-105.99821257499752,-0.8273987188842091,1,Price crossed below MA,20.565487575,217.873
2020-07-06,2020-07-16,241.770825,233.293295,42,-376.00895303999823,-3.506432176008001,10,Price crossed below MA,19.95269304,229.5675
2020-07-19,2020-07-23,239.289585,275.54216,43,1536.7229599650018,15.150084781165907,4,Take profit hit,22.137765035,227.21149999999997
2020-09-12,2020-09-13,388.003905,366.39671,26,-581.4014859899999,-5.568808643820223,1,Stop loss hit,19.614415989999998,368.41949999999997
2020-10-11,2020-10-16,374.56719,365.387215,27,-267.83809393499723,-2.4508219740228654,5,Price crossed below MA,19.978768934999998,355.661
2020-10-18,2020-11-06,378.76928999999996,456.421675,27,2074.0642389450004,20.501235725842527,19,Take profit hit,22.550156055000002,359.65099999999995
2021-03-01,2021-03-02,1572.6059099999998,1487.59583,6,-528.4216904399982,-5.4056823428827006,1,Stop loss hit,18.36121044,1493.2289999999998
2021-03-03,2021-03-05,1568.6439299999997,1528.05559,6,-262.1102371199977,-2.5874794925576095,2,Price crossed below MA,18.580197119999994,1489.4669999999999
2021-03-06,2021-03-13,1652.6559149999998,1920.649195,6,1586.5198493400003,16.215915095671928,7,Take profit hit,21.43983066,1569.2385
2021-03-29,2021-04-02,1816.637865,2133.61266,5,1565.1227223749993,17.44843048286897,4,Take profit hit,19.751252625,1724.9434999999999
2021-05-20,2021-05-21,2776.457535,2433.6425700000004,3,-1044.0751953149984,-12.347207212013044,1,Stop loss hit,15.630300315000003,2636.3165
2021-05-26,2021-05-27,2891.28492,2744.1372450000003,3,-458.3492914949984,-5.089352280092818,1,Price crossed below MA,16.906266495000004,2745.348
2021-07-24,2021-07-31,2187.042975,2532.47313,4,1362.8425555799986,15.794392654767098,7,Take profit hit,18.87806442,2076.6524999999997
2021-10-01,2021-10-15,3312.8155799999995,3867.7951350000003,3,1643.3968328550018,16.752503772033123,14,Take profit hit,21.541832145,3145.602
2021-11-19,2021-11-22,4301.699775,4087.11542,2,-445.94634038999993,-4.988361955129705,3,Price crossed below MA,16.77763039,4084.5724999999998
2021-11-23,2021-11-26,4343.7908099999995,4041.6481650000005,2,-621.0561679499988,-6.955736549385049,3,Stop loss hit,16.77087795,4124.539
2021-11-28,2021-12-03,4300.52919,4214.821535000001,2,-188.44601144999797,-1.9929560110717226,5,Price crossed below MA,17.030701450000002,4083.461
2021-12-06,2021-12-07,4356.39711,4308.0349049999995,2,-114.05327403000047,-1.1101422523898452,1,Price crossed below MA,17.32886403,4136.509
2021-12-08,2021-12-09,4442.730255,4104.00697,2,-694.540044450001,-7.624214515810168,1,Stop loss hit,17.093474450000002,4218.4845
2022-02-09,2022-02-10,3247.84311,3073.312575,3,-542.555072055,-5.3737366334791865,1,Stop loss hit,18.963467055,3083.9089999999997
2022-02-15,2022-02-17,3187.83312,2892.11322,3,-905.399539019998,-9.276517586340894,2,Stop loss hit,18.23983902,3026.9279999999994
2022-02-28,2022-03-03,2924.5415399999997,2832.24317,3,-294.1654641299974,-3.1559944947815444,3,Price crossed below MA,17.27035413,2776.926
2022-03-16,2022-03-27,2776.2774449999997,3294.6418550000003,3,1536.8804721000015,18.67120344667139,11,Take profit hit,18.2127579,2636.1454999999996
2022-07-16,2022-07-17,1356.37785,1337.5309000000002,7,-150.7860112499984,-1.3895058814179184,1,Price crossed below MA,18.857361250000004,1287.915
2022-07-18,2022-07-25,1582.1306699999998,1440.0296250000001,6,-870.7392317699978,-8.98162507651784,7,Stop loss hit,18.13296177,1502.273
2022-09-09,2022-09-13,1720.069605,1573.922645,6,-896.6457135,-8.496572439578676,4,Stop loss hit,19.7639535,1633.2495
2022-10-25,2022-11-08,1461.0701699999997,1333.582875,7,-911.9736363149987,-8.725610693975073,14,Stop loss hit,19.562571315,1387.3229999999999
2023-01-04,2023-01-13,1256.9681699999999,1451.05411,8,1531.0233417600011,15.440799905060466,9,Take profit hit,21.66417824,1193.523
2023-03-13,2023-04-13,1682.770965,2012.9730100000002,6,1959.0378061500014,19.622518564194525,31,Take profit hit,22.174463850000002,1597.8335
2023-05-02,2023-05-07,1872.19563,1872.3333650000002,5,-18.0339699749984,0.007356870072405819,5,Price crossed below MA,18.722644975,1777.697
2023-05-28,2023-05-31,1910.2046249999999,1873.1029800000001,5,-204.42476302499927,-1.9422864186604993,3,Price crossed below MA,18.916538025,1813.7875
2023-06-02,2023-06-05,1908.363705,1810.304395,5,-508.88989050000055,-5.138397347585267,3,Stop loss hit,18.5933405,1812.0395
2023-06-06,2023-06-07,1885.8924749999999,1831.5737550000001,5,-290.1809311499983,-2.8802660130450852,1,Price crossed below MA,18.58733115,1790.7024999999999
2023-06-21,2023-07-24,1890.5147849999998,1848.765155,5,-227.44454969999788,-2.2083736308891044,33,Price crossed below MA,18.6963997,1795.0914999999998
