entry_date,exit_date,entry_price,exit_price,quantity,pl,pl_pct,duration_days,exit_reason,commission,initial_stop_loss
2020-04-14,2020-04-20,69.45833322070499,66.9425909605,143,-379.2564753672268,-3.621944471675087,6,Price crossed below MA,19.505332157912314,65.95244033949999
2020-04-22,2020-05-20,66.80872950091499,77.37670845192001,149,1553.145233444775,15.81826062245395,28,Take profit hit,21.483630254972415,63.4365747385
2020-09-22,2020-09-23,108.70858062674999,104.04457668750001,93,-453.53840998047417,-4.2903733195301275,1,Price crossed below MA,19.78604363022525,103.22154082499999
2020-09-25,2020-10-02,109.16554359404999,109.7751871489,92,35.94465981784924,0.5584578565532183,7,Price crossed below MA,20.1425472283514,103.655438695
2020-10-05,2020-10-06,113.26848804104999,109.91116782455,88,-315.0839887681723,-2.964037283947185,1,Price crossed below MA,19.6398097161728,107.551287995
2020-10-07,2020-10-08,111.8878763802,111.66920256745,89,-39.35854936109172,-0.19544013151785444,1,Price crossed below MA,19.89658002634085,106.24036238
2020-10-09,2020-10-19,113.72545100834999,112.6502053207,88,-114.54267827015428,-0.9454749821753206,10,Price crossed below MA,19.9210577569564,107.98518586499999
2020-10-20,2020-10-21,114.2504722878,113.51465338045001,87,-83.83181087258527,-0.6440401449688826,1,Price crossed below MA,19.81556593313775,108.48370682
2020-11-05,2020-11-23,115.72831013745,110.77213512555001,86,-445.7100893160168,-4.282595162768354,18,Price crossed below MA,19.479038292618,109.88695115499999
2020-11-25,2020-12-28,113.00614983749999,132.9946697998,88,1737.341684554318,17.68799307917577,33,Take profit hit,21.6480721280824,107.30219124999999
2021-04-07,2021-05-11,124.75295040255,122.89756237905002,81,-170.34612143880804,-1.4872498145439117,34,Price crossed below MA,20.0596915353096,118.45607484499999
2021-05-14,2021-05-17,124.5251802744,123.24894919775001,81,-123.44442169589456,-1.024877919339473,3,Price crossed below MA,20.069704487244152,118.23980136
2021-06-14,2021-08-16,127.4856455673,147.72540064985,79,1577.1989788702958,15.87610510382158,63,Take profit hit,21.74167265115485,121.05083787
2021-10-19,2021-12-07,145.56390427935,167.57901367745,70,1519.1376536100233,15.124016841325627,49,Take profit hit,21.920004256976,138.21660076499998
2022-01-28,2022-02-11,166.91372475479997,165.3027786643,62,-120.4760808229803,-0.9651369849103086,14,Price crossed below MA,20.5974232119842,158.48879412
2022-02-15,2022-02-17,169.54010959094998,165.53802928015003,61,-264.5666654299348,-2.3605507395599745,2,Price crossed below MA,20.4397664711371,160.98261280499997
2022-03-22,2022-04-11,165.6447785988,162.4699689777,62,-217.18131085794266,-1.9166373054170016,20,Price crossed below MA,20.343114349743,157.28389772
2022-04-13,2022-04-14,167.19506145285,162.019071939,62,-341.3226261289965,-3.0957789475795305,1,Price crossed below MA,20.411276270294703,158.755930415
2022-05-04,2022-05-05,162.89744191695,153.66767442665,63,-601.4189542185468,-5.66599903699262,1,Stop loss hit,19.9436023296468,154.675232205
2022-07-07,2022-08-10,143.8083858588,166.36541518025,71,1579.5267419491793,15.685475632553114,34,Take profit hit,22.02233987377255,136.54969172
2022-09-12,2022-09-13,160.81483393335,151.2269880803,64,-633.5928112040747,-5.962040701434113,1,Stop loss hit,19.9706766088736,152.697743365
2022-10-28,2022-11-01,153.2478874509,148.09117107315,67,-365.68971423035873,-3.364951036863195,4,Price crossed below MA,20.189716921111348,145.51273671
2022-11-11,2022-11-28,147.54889517879997,142.0055630993,70,-408.3020576444669,-3.7569458400773192,17,Price crossed below MA,20.268812079466997,140.10139972
2022-11-30,2022-12-06,145.9028921886,140.7156775647,70,-383.16832355573024,-3.55525140460875,6,Price crossed below MA,20.063299882731002,138.53847833999998
2022-12-13,2022-12-14,143.37967791194998,141.011071194,71,-188.36282016097175,-1.6519821724000128,1,Price crossed below MA,20.19174318652245,136.14262270499998
2023-01-23,2023-03-30,139.08232871115,160.11111889275,73,1513.2605615817138,15.119670756500735,66,Take profit hit,21.8411216750847,132.06218118500001
2023-08-30,2023-09-06,185.7426653202,180.869883818,55,-288.1666728236014,-2.6234045332556466,7,Price crossed below MA,20.163690202601003,176.36734837999998
2023-10-11,2023-10-17,177.97245525674998,175.1741289201,58,-182.78542940795523,-1.5723367599851379,6,Price crossed below MA,20.4825018822573,168.98933782499998
