date,symbol,open,high,low,close
2014-11-16,GBPEUR,1.27378,1.28304,1.2425,1.25101
2014-11-23,GBPEUR,1.251,1.26936,1.23807,1.26434
2014-11-30,GBPEUR,1.26178,1.26985,1.2495,1.25542
2014-12-07,GBPEUR,1.25533,1.27852,1.24578,1.26627
2014-12-14,GBPEUR,1.26652,1.27973,1.25184,1.26012
2014-12-21,GBPEUR,1.26025,1.28264,1.24116,1.27812
2015-01-04,GBPEUR,1.2781,1.29856,1.26347,1.27746
2015-01-11,GBPEUR,1.27778,1.28963,1.26178,1.27957
2015-01-18,GBPEUR,1.27937,1.32848,1.27076,1.30798
2015-01-25,GBPEUR,1.30818,1.35235,1.28554,1.34537
2015-02-01,GBPEUR,1.34576,1.35977,1.31776,1.33321
2015-02-08,GBPEUR,1.33355,1.35685,1.2992,1.34649
2015-02-15,GBPEUR,1.34637,1.36315,1.33098,1.35153
2015-02-22,GBPEUR,1.35131,1.36762,1.3375,1.35164
2015-03-01,GBPEUR,1.35174,1.39021,1.34488,1.37902
2015-03-08,GBPEUR,1.37907,1.40731,1.36147,1.38933
2015-03-15,GBPEUR,1.38903,1.43568,1.37945,1.4048
2015-03-22,GBPEUR,1.40454,1.43288,1.32762,1.37983
2015-03-29,GBPEUR,1.37959,1.38995,1.33985,1.36791
2015-04-05,GBPEUR,1.36776,1.38736,1.34299,1.35544
2015-04-12,GBPEUR,1.35553,1.399,1.34704,1.37941
2015-04-19,GBPEUR,1.37926,1.40839,1.36355,1.38442
2015-04-26,GBPEUR,1.38465,1.41206,1.37562,1.3965
2015-05-03,GBPEUR,1.39616,1.41364,1.33923,1.35399
2015-05-10,GBPEUR,1.35414,1.3874,1.33062,1.3787
2015-05-17,GBPEUR,1.37838,1.41053,1.3688,1.37506
2015-05-24,GBPEUR,1.37501,1.42544,1.36325,1.40723
2015-05-31,GBPEUR,1.40699,1.42624,1.38425,1.39369
2015-06-07,GBPEUR,1.39342,1.40733,1.34502,1.37409
2015-06-14,GBPEUR,1.37407,1.39758,1.34482,1.38589
2015-06-21,GBPEUR,1.38589,1.41101,1.37002,1.39667
2015-06-28,GBPEUR,1.39689,1.43646,1.3833,1.42884
2015-07-05,GBPEUR,1.42879,1.4385,1.39153,1.4111
2015-07-12,GBPEUR,1.41129,1.42921,1.36968,1.39328
2015-07-19,GBPEUR,1.39342,1.44803,1.38213,1.43959
2015-07-26,GBPEUR,1.43941,1.44445,1.40614,1.41318
2015-08-02,GBPEUR,1.41328,1.43524,1.39175,1.42342
2015-08-09,GBPEUR,1.42345,1.44213,1.40448,1.41266
2015-08-16,GBPEUR,1.41262,1.42794,1.3849,1.40861
2015-08-23,GBPEUR,1.40862,1.426,1.37435,1.3763
2015-08-30,GBPEUR,1.37633,1.39162,1.3347,1.37599
2015-09-06,GBPEUR,1.376,1.38049,1.34938,1.36229
2015-09-13,GBPEUR,1.36227,1.38449,1.3562,1.36091
