date,symbol,open,high,low,close
2006-11-03,GBPUSD,1.8957,1.9136,1.8953,1.9007
2006-11-10,GBPUSD,1.9018,1.9178,1.8948,1.9107
2006-11-17,GBPUSD,1.9106,1.9152,1.8836,1.8951
2006-11-24,GBPUSD,1.895,1.9349,1.8931,1.932
2006-12-01,GBPUSD,1.9388,1.9847,1.9307,1.9808
2006-12-08,GBPUSD,1.9766,1.9837,1.9513,1.9546
2006-12-15,GBPUSD,1.9518,1.9727,1.9466,1.9519
2006-12-22,GBPUSD,1.9526,1.9748,1.9433,1.958
2006-12-29,GBPUSD,1.958,1.9756,1.9515,1.9586
2007-01-05,GBPUSD,1.9587,1.9751,1.9264,1.9291
2007-01-12,GBPUSD,1.9307,1.9606,1.9259,1.9589
2007-01-19,GBPUSD,1.9639,1.9778,1.9591,1.9737
2007-01-26,GBPUSD,1.9738,1.9914,1.9559,1.9588
2007-02-02,GBPUSD,1.9595,1.9746,1.9481,1.966
2007-02-09,GBPUSD,1.9656,1.9733,1.9456,1.949
2007-02-16,GBPUSD,1.9481,1.9677,1.9402,1.9499
2007-02-23,GBPUSD,1.9522,1.9651,1.9433,1.9632
2007-03-02,GBPUSD,1.9628,1.9672,1.9412,1.9434
2007-03-09,GBPUSD,1.9436,1.9447,1.9184,1.9319
2007-03-16,GBPUSD,1.9342,1.9503,1.9212,1.9423
2007-03-23,GBPUSD,1.9415,1.9726,1.9384,1.9615
2007-03-30,GBPUSD,1.9612,1.9721,1.9546,1.9677
2007-04-06,GBPUSD,1.969,1.9821,1.9636,1.9653
2007-04-13,GBPUSD,1.9654,1.9886,1.9591,1.9861
2007-04-20,GBPUSD,1.9861,2.013,1.9854,2.0021
2007-04-27,GBPUSD,2.0042,2.0061,1.9866,1.9973
2007-05-04,GBPUSD,1.9957,2.0072,1.9844,1.9921
2007-05-11,GBPUSD,1.9941,1.9996,1.9761,1.9812
2007-05-18,GBPUSD,1.9817,1.9872,1.97,1.9747
2007-05-25,GBPUSD,1.9751,1.9893,1.9677,1.9835
2007-06-01,GBPUSD,1.9842,1.9898,1.9733,1.9822
2007-06-08,GBPUSD,1.9821,1.9967,1.9623,1.9699
2007-06-15,GBPUSD,1.9695,1.9783,1.965,1.9759
2007-06-22,GBPUSD,1.9757,1.9996,1.9757,1.9993
2007-06-29,GBPUSD,1.999,2.0086,1.9929,2.0086
2007-07-06,GBPUSD,2.0084,2.0204,2.0057,2.0107
2007-07-13,GBPUSD,2.011,2.0365,2.0096,2.0342
2007-07-20,GBPUSD,2.034,2.0586,2.0324,2.056
2007-07-27,GBPUSD,2.0555,2.0652,2.023,2.024
2007-08-03,GBPUSD,2.0231,2.0459,2.0199,2.0406
2007-08-10,GBPUSD,2.0414,2.0461,2.0155,2.0232
2007-08-17,GBPUSD,2.0225,2.0256,1.9653,1.981
2007-08-24,GBPUSD,1.9808,2.0131,1.9742,2.0129
2007-08-31,GBPUSD,2.0177,2.0231,1.9962,2.017
2007-09-07,GBPUSD,2.0167,2.0322,2.0042,2.0285
2007-09-14,GBPUSD,2.0282,2.0363,2.0055,2.0073
2007-09-21,GBPUSD,2.0066,2.0211,1.988,2.0201
2007-09-28,GBPUSD,2.0205,2.0488,2.0085,2.0471
2007-10-05,GBPUSD,2.0462,2.0492,2.0277,2.0419
2007-10-12,GBPUSD,2.0415,2.0473,2.0245,2.0362
2007-10-19,GBPUSD,2.0355,2.0523,2.0287,2.0515
2007-10-26,GBPUSD,2.0509,2.0572,2.0258,2.0521
2007-11-02,GBPUSD,2.053,2.0896,2.0529,2.0892
2007-11-09,GBPUSD,2.0891,2.1159,2.0782,2.0899
2007-11-16,GBPUSD,2.086,2.0868,2.0354,2.0545
2007-11-23,GBPUSD,2.0541,2.0764,2.0451,2.0622
2007-11-30,GBPUSD,2.0602,2.0832,2.0534,2.0569
2007-12-07,GBPUSD,2.0546,2.0678,2.0183,2.0304
2007-12-14,GBPUSD,2.0302,2.0564,2.0145,2.0176
2007-12-21,GBPUSD,2.0145,2.0228,1.9808,1.9833
2007-12-28,GBPUSD,1.9838,2.0021,1.9696,1.9923
2008-01-04,GBPUSD,1.9947,2.0101,1.9672,1.9725
2008-01-11,GBPUSD,1.9738,1.9826,1.9482,1.9564
2008-01-18,GBPUSD,1.9578,1.9778,1.9518,1.9551
2008-01-25,GBPUSD,1.957,1.9849,1.9336,1.9812
2008-02-01,GBPUSD,1.9798,1.9958,1.9653,1.9676
2008-02-08,GBPUSD,1.9655,1.9786,1.9388,1.9455
2008-02-15,GBPUSD,1.9455,1.9737,1.9403,1.9604
2008-02-22,GBPUSD,1.9571,1.9706,1.9358,1.9685
2008-02-29,GBPUSD,1.9692,1.997,1.9613,1.9877
2008-03-07,GBPUSD,1.9889,2.021,1.972,2.0144
2008-03-14,GBPUSD,2.0166,2.0392,1.9995,2.0215
2008-03-21,GBPUSD,2.0169,2.0273,1.9737,1.9817
2008-03-28,GBPUSD,1.9816,2.0191,1.9759,1.994
2008-04-04,GBPUSD,1.9947,2.0046,1.973,1.9931
2008-04-11,GBPUSD,1.9935,1.994,1.9649,1.9699
2008-04-18,GBPUSD,1.9683,1.9996,1.96,1.9978
2008-04-25,GBPUSD,1.9982,2.0024,1.9677,1.9859
2008-05-02,GBPUSD,1.9847,1.9964,1.9624,1.9716
2008-05-09,GBPUSD,1.9723,1.9783,1.9457,1.9541
2008-05-16,GBPUSD,1.9523,1.9631,1.9365,1.957
2008-05-23,GBPUSD,1.9567,1.9849,1.9454,1.9797
2008-05-30,GBPUSD,1.9808,1.9845,1.9673,1.9821
2008-06-06,GBPUSD,1.9741,1.9765,1.9463,1.9708
2008-06-13,GBPUSD,1.9702,1.9799,1.941,1.9473
2008-06-20,GBPUSD,1.9471,1.9789,1.9458,1.9752
