date,symbol,open,high,low,close
2023-05-21,GBPCHF,1.11749,1.13218,1.11143,1.11841
2023-05-28,GBPCHF,1.11825,1.13062,1.10956,1.11742
2023-06-04,GBPCHF,1.11739,1.14285,1.11094,1.12901
2023-06-11,GBPCHF,1.12991,1.14401,1.11675,1.13509
2023-06-18,GBPCHF,1.13552,1.15789,1.12476,1.14533
2023-06-25,GBPCHF,1.14536,1.15282,1.13194,1.13908
2023-07-02,GBPCHF,1.13905,1.14762,1.12546,1.13545
2023-07-09,GBPCHF,1.13465,1.1526,1.12939,1.13955
2023-07-16,GBPCHF,1.13958,1.14757,1.11399,1.12776
2023-07-23,GBPCHF,1.12799,1.13139,1.09911,1.11162
2023-07-30,GBPCHF,1.11122,1.13044,1.09312,1.11713
2023-08-06,GBPCHF,1.11679,1.12759,1.10205,1.11162
2023-08-13,GBPCHF,1.11159,1.12505,1.10087,1.11183
2023-08-20,GBPCHF,1.11218,1.12696,1.1044,1.12244
2023-08-27,GBPCHF,1.12202,1.12761,1.10268,1.11131
2023-09-03,GBPCHF,1.11176,1.12686,1.10197,1.11463
2023-09-10,GBPCHF,1.11452,1.12595,1.1071,1.11216
2023-09-17,GBPCHF,1.11179,1.12192,1.105,1.11028
2023-09-24,GBPCHF,1.11029,1.12071,1.0985,1.10922
2023-10-01,GBPCHF,1.10951,1.12671,1.10459,1.11529
2023-10-08,GBPCHF,1.11513,1.12503,1.09828,1.10946
2023-10-15,GBPCHF,1.10944,1.12069,1.09119,1.09399
2023-10-22,GBPCHF,1.09424,1.1049,1.07636,1.08339
2023-10-29,GBPCHF,1.08371,1.10006,1.07977,1.09238
2023-11-05,GBPCHF,1.09214,1.12421,1.08894,1.11061
2023-11-12,GBPCHF,1.11061,1.11808,1.09648,1.10181
2023-11-19,GBPCHF,1.10223,1.12894,1.08904,1.10332
2023-11-26,GBPCHF,1.10385,1.11628,1.09794,1.1106
2023-12-03,GBPCHF,1.11123,1.12131,1.09438,1.10509
2023-12-10,GBPCHF,1.10484,1.11407,1.09218,1.10208
2023-12-17,GBPCHF,1.10321,1.11715,1.08623,1.1012
2023-12-24,GBPCHF,1.10181,1.1077,1.07915,1.08657
2023-12-31,GBPCHF,1.08623,1.09448,1.05918,1.07066
2024-01-07,GBPCHF,1.06911,1.09537,1.05749,1.0801
2024-01-14,GBPCHF,1.08061,1.09497,1.07211,1.08549
2024-01-21,GBPCHF,1.08585,1.10673,1.07838,1.10325
2024-01-28,GBPCHF,1.10122,1.11259,1.09095,1.09647
2024-02-04,GBPCHF,1.09618,1.10869,1.07882,1.09302
2024-02-11,GBPCHF,1.09465,1.10778,1.08192,1.1027
2024-02-18,GBPCHF,1.10358,1.12678,1.09912,1.10859
2024-02-25,GBPCHF,1.10972,1.12115,1.10243,1.1145
2024-03-03,GBPCHF,1.11455,1.12614,1.10719,1.11761
2024-03-10,GBPCHF,1.11817,1.13238,1.11358,1.12696
2024-03-17,GBPCHF,1.12708,1.13368,1.11483,1.12384
2024-03-24,GBPCHF,1.12386,1.15153,1.11812,1.12974
2024-03-31,GBPCHF,1.1298,1.1471,1.12857,1.13804
2024-04-07,GBPCHF,1.13769,1.15109,1.12862,1.13884
2024-04-14,GBPCHF,1.13887,1.16245,1.12951,1.13573
2024-04-21,GBPCHF,1.13587,1.14385,1.11423,1.12525
2024-04-28,GBPCHF,1.12515,1.14754,1.1183,1.14017
2024-05-05,GBPCHF,1.14004,1.15764,1.12829,1.13486
2024-05-12,GBPCHF,1.13479,1.14313,1.12605,1.13297
2024-05-19,GBPCHF,1.1329,1.15654,1.13209,1.15421
2024-05-26,GBPCHF,1.1542,1.1687,1.15171,1.1641
2024-06-02,GBPCHF,1.16406,1.16963,1.14326,1.14881
2024-06-09,GBPCHF,1.14878,1.15732,1.129,1.14151
2024-06-16,GBPCHF,1.13979,1.15528,1.12572,1.12886
2024-06-23,GBPCHF,1.12873,1.1357,1.11742,1.12901
2024-06-30,GBPCHF,1.12903,1.14094,1.12664,1.13592
2024-07-07,GBPCHF,1.13596,1.15639,1.13411,1.14644
2024-07-14,GBPCHF,1.14651,1.16531,1.14454,1.16084
2024-07-21,GBPCHF,1.16065,1.16681,1.14108,1.14697
2024-07-28,GBPCHF,1.14786,1.15432,1.12744,1.13578
2024-08-04,GBPCHF,1.13563,1.14336,1.08904,1.09887
2024-08-11,GBPCHF,1.09865,1.1077,1.07165,1.10185
2024-08-18,GBPCHF,1.10186,1.12987,1.10061,1.12112
2024-08-25,GBPCHF,1.12107,1.13006,1.10519,1.11879
2024-09-01,GBPCHF,1.11892,1.12556,1.10415,1.11505
2024-09-08,GBPCHF,1.11507,1.12307,1.09775,1.1063
2024-09-15,GBPCHF,1.10623,1.12231,1.09493,1.11219
2024-09-22,GBPCHF,1.11223,1.13619,1.10379,1.13165
2024-09-29,GBPCHF,1.13164,1.14403,1.12014,1.12368
2024-10-06,GBPCHF,1.12377,1.13746,1.11085,1.12586
2024-10-13,GBPCHF,1.12589,1.12922,1.11365,1.12
2024-10-20,GBPCHF,1.12013,1.13319,1.11653,1.12797
2024-10-27,GBPCHF,1.12787,1.1313,1.11589,1.12416
2024-11-03,GBPCHF,1.1242,1.1339,1.10785,1.12441
2024-11-10,GBPCHF,1.12482,1.1447,1.10611,1.12967
2024-11-17,GBPCHF,1.12916,1.13874,1.11484,1.11686
2024-11-24,GBPCHF,1.11732,1.12812,1.10521,1.11589
2024-12-01,GBPCHF,1.12055,1.12608,1.1054,1.12038
2024-12-08,GBPCHF,1.12084,1.13218,1.10971,1.11765
2024-12-15,GBPCHF,1.11879,1.14168,1.11375,1.12613
2024-12-22,GBPCHF,1.12484,1.14792,1.11187,1.12033
2024-12-29,GBPCHF,1.12164,1.13678,1.11461,1.13184
2025-01-05,GBPCHF,1.13219,1.14583,1.11647,1.12836
2025-01-12,GBPCHF,1.12871,1.14414,1.11042,1.11729
2025-01-19,GBPCHF,1.11808,1.12551,1.10358,1.11
2025-01-26,GBPCHF,1.11081,1.13488,1.1011,1.12839
2025-02-02,GBPCHF,1.12845,1.13785,1.11392,1.12371
2025-02-09,GBPCHF,1.12466,1.14545,1.11283,1.12866
2025-02-16,GBPCHF,1.12595,1.14876,1.12199,1.12974
2025-02-23,GBPCHF,1.1307,1.14625,1.12843,1.1345
2025-03-02,GBPCHF,1.13286,1.14269,1.12337,1.13565
2025-03-09,GBPCHF,1.13484,1.1536,1.12473,1.13618
2025-03-16,GBPCHF,1.13618,1.14983,1.12634,1.14298
2025-03-23,GBPCHF,1.1431,1.15083,1.13255,1.13873
2025-03-30,GBPCHF,1.13874,1.14966,1.13302,1.13894
2025-04-06,GBPCHF,1.13832,1.16493,1.08943,1.09686
2025-04-13,GBPCHF,1.09686,1.12188,1.04995,1.06983
2025-04-20,GBPCHF,1.07105,1.09375,1.06046,1.0841
2025-04-27,GBPCHF,1.08319,1.11183,1.06731,1.10176
2025-05-04,GBPCHF,1.10201,1.11837,1.08774,1.09513
2025-05-11,GBPCHF,1.09496,1.11286,1.08697,1.10723
