date,symbol,signal_type,reason,available_capital,required_capital
1997-05-01,SLB,BUY,All positions are immune (weakest: SCHW with score 100.0),2752.5498119421163,13283.710002891396
1997-05-01,SRE,BUY,All positions are immune (weakest: SCHW with score 100.0),2752.5498119421163,27911.68206858462
1997-05-01,VZ,BUY,All positions are immune (weakest: SCHW with score 100.0),2752.5498119421163,13595.828123830663
1997-05-02,CSCO,BUY,All positions are immune (weakest: SCHW with score 100.0),2752.5498119421163,6866.996050327846
1997-05-02,NEE,BUY,All positions are immune (weakest: SCHW with score 100.0),2752.5498119421163,21675.76799765155
1997-05-05,ETR,BUY,All positions are immune (weakest: SCHW with score 100.0),2752.5498119421163,18967.221162014393
1997-05-05,XOM,BUY,All positions are immune (weakest: SCHW with score 100.0),2752.5498119421163,12402.829132544119
1997-05-13,APD,BUY,All positions are immune (weakest: SCHW with score 100.0),2752.5498119421163,19464.15987750566
1997-05-13,CAH,BUY,All positions are immune (weakest: SCHW with score 100.0),2752.5498119421163,13602.261165233818
1997-05-13,LLY,BUY,All positions are immune (weakest: SCHW with score 100.0),2752.5498119421163,11548.98817579005
1997-06-10,CVS,BUY,No vulnerable positions (weakest: SCHW with score 72.0 >= threshold 51.806334214761854),2752.5498119421163,21233.007853001094
1997-06-11,SPGI,BUY,No vulnerable positions (weakest: SCHW with score 71.0 >= threshold 51.806334214761854),2752.5498119421163,18766.791912157627
1997-07-30,NEE,BUY,Insufficient capital and no positions to swap,11119.84187573522,26989.111437676747
1997-12-03,SRE,BUY,Insufficient capital and no positions to swap,11119.84187573522,23078.95102653843
1997-12-04,MDT,BUY,All positions are immune (weakest: CAT with score 100.0),246.24225528855277,10434.433721988062
1997-12-08,JPM,BUY,All positions are immune (weakest: CAT with score 100.0),246.24225528855277,12947.75100247024
1997-12-09,SCHW,BUY,All positions are immune (weakest: CAT with score 100.0),246.24225528855277,9800.241429202093
1997-12-16,XOM,BUY,All positions are immune (weakest: CAT with score 100.0),246.24225528855277,15149.975717581507
1998-01-27,WMB,BUY,All positions are immune (weakest: CSCO with score 100.0),1331.243188499262,16565.38920093847
1998-01-29,BA,BUY,All positions are immune (weakest: CSCO with score 100.0),1331.243188499262,12249.525632152669
1998-01-30,CAH,BUY,All positions are immune (weakest: CSCO with score 100.0),1331.243188499262,16946.116019507965
