date,open,high,low,close,volume,adx_14_adx,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,ema_14_ema,ema_7_ema,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,mfi_14_mfi,mom_10_mom,roc_10_roc,rsi_14_rsi,sar_14_sar,sma_14_sma,sma_7_sma
2025-07-25,24.0,25.57,24.0,24.41,1493083,,,,,,,,,,,,,,,,,
2025-08-01,24.92,25.16,23.55,23.52,651249,,,,,,,,,,,,,,,24.7333,,
2025-08-08,23.1,26.57,22.24,25.39,1110716,,,,,,,,,,,,,,,21.5151,,
2025-08-15,25.24,28.6,25.12,27.4,761102,,,,,,,,,,,,,,,21.5151,,
2025-08-22,28.09,28.76,26.63,27.57,457160,,,,,,,,,,,,,,,21.5151,,
2025-08-29,28.47,29.7,27.28,28.58,697562,,,,,,,,,,,,,,,21.714,,
2025-09-05,29.33,31.92,29.14,31.23,1277251,,,,,,,26.8736,,,,,,,,22.0079,,26.8736
2025-09-12,33.03,33.31,31.18,31.19,1291325,,,,,,,27.9529,,,,,,,,22.4693,,27.8417
2025-09-19,32.0,32.65,30.52,31.28,1451679,,,,,,,28.7844,,,,,,,,23.0768,,28.9495
2025-09-26,32.24,35.82,32.24,33.91,2653312,,,,,,,30.0648,,,,,,,,23.6479,,30.1659
2025-10-03,35.99,37.78,35.02,35.35,2299715,,,,,,,31.3872,,,,,10.9403,44.8115,,24.4461,,31.3019
2025-10-10,36.7,38.55,35.7,36.14,1529086,,,,,,,32.5747,,,,,12.613,53.6173,,25.4479,,32.5264
2025-10-17,38.6,41.04,36.02,35.87,3048291,,,,,,,33.3993,,,,,10.482,41.2822,,26.5526,,33.5679
2025-10-24,37.5,37.92,31.1,32.66,4010218,,,,,,30.3228,33.2153,,,,,5.2605,19.1967,,27.9134,30.3228,33.772
2025-10-31,32.5,32.74,29.11,31.64,3537735,,3.28,,,,30.4979,32.8205,,,,62.1504,4.0707,14.7675,69.9585,40.1607,30.8386,33.8356
2025-11-07,32.55,34.8,31.15,33.55,2280185,,3.3005,,,,30.9053,33.0038,,,,66.5409,4.9709,17.3913,73.0367,40.044,31.555,34.1606
2025-11-14,36.41,36.77,33.91,34.54,3448493,,3.2647,,,,31.3903,33.3884,,,,69.7855,3.3074,10.589,74.4874,39.9284,32.2087,34.2514
2025-11-21,35.2,38.0,34.0,35.65,2008363,,3.3149,,,,31.9577,33.9528,,,,71.3373,4.4551,14.2835,76.0379,39.814,32.7975,34.2931
2025-11-28,35.93,40.19,35.93,39.78,1332615,,3.38,,,,33.001,35.4103,,,,72.4031,8.5041,27.188,80.7583,28.4851,33.6702,34.8139
2025-12-05,39.9,42.44,38.34,40.89,2831875,,3.4295,22.683,32.0287,41.3743,34.0534,36.7812,,,,74.7002,6.9879,20.6095,81.7956,28.599,34.5495,35.5312
2025-12-12,42.0,46.7,40.37,46.22,2779887,,3.6334,22.5703,33.1191,43.6678,35.6759,39.1413,,,,76.4434,10.8672,30.7379,85.7595,28.8692,35.62,37.4681
2025-12-19,47.5,51.0,46.36,49.64,4279437,,3.703,22.5651,34.4251,46.285,37.5383,41.7671,,,,79.2923,13.5071,37.3772,87.624,29.3931,36.9381,40.0407
2025-12-26,50.96,54.3,50.4,53.63,2211969,,3.7406,22.0478,35.8371,49.6264,39.6842,44.7334,,,,83.3852,17.7595,49.5065,89.3704,30.2413,38.5348,42.909
2026-01-02,51.08,51.65,48.64,49.6,2245594,,3.8575,22.4939,36.9472,51.4005,41.0069,45.9512,,,,76.1139,16.9412,51.8659,77.4791,31.4229,39.6561,45.0608
2026-01-09,51.0,55.4,50.0,52.33,4163429,,3.9646,22.9376,38.1856,53.4336,42.517,47.5466,,,,78.1209,20.6969,65.422,79.4715,32.5454,40.8689,47.4447
2026-01-16,54.25,61.39,54.05,59.74,3586178,,4.2937,22.5012,39.7436,56.9861,44.8139,50.5959,,,,80.0085,26.1899,78.0532,83.6921,33.8904,42.5551,50.2962
2026-01-23,63.39,70.46,61.83,67.76,3792112,,4.7124,20.9189,41.5699,62.2209,47.8734,54.8869,,,,81.4576,33.2177,96.1655,86.843,35.7814,44.8327,54.1342
2026-01-30,70.23,76.8,63.53,63.19,8009213,60.8865,5.3161,21.0759,43.1697,65.2634,49.9151,56.9618,,,,90.4919,27.5405,77.2613,77.6272,38.5108,47.0129,56.5577
2026-02-06,60.56,66.46,60.0,65.47,6644823,61.369,5.3941,21.4781,44.8791,68.2802,51.9889,59.0884,,,,79.6846,25.6853,64.5636,78.8341,41.9021,49.4295,58.8183
2026-02-13,66.94,75.57,66.93,71.79,5083231,62.2253,5.6877,21.1999,46.7732,72.3465,54.6287,62.2632,,,,81.6804,30.8937,75.5459,81.7675,44.9883,52.1605,61.4119
2026-02-20,69.54,74.8,65.01,74.0,2340075,62.5432,5.9752,21.1149,48.7055,76.2961,57.2116,65.1974,,,,76.372,27.7786,60.0987,82.6728,47.7967,54.9789,64.897
