date,open,high,low,close,volume,ad_14_chaikin a/d,adosc_14_adosc,adx_14_adx,adxr_14_adxr,apo_14_apo,aroon_14_aroon down,aroon_14_aroon up,aroonosc_14_aroonosc,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,bop_14_bop,cci_20_cci,cmo_14_cmo,dema_14_dema,dx_14_dx,ema_12_ema,ema_26_ema,ht_dcperiod_14_dcperiod,ht_dcphase_14_ht_dcphase,ht_phasor_14_phase,ht_phasor_14_quadrature,ht_sine_14_lead sine,ht_sine_14_sine,ht_trendline_14_ht_trendline,ht_trendmode_14_trendmode,kama_14_kama,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,macdext_14_macd,macdext_14_macd_hist,macdext_14_macd_signal,mama_14_fama,mama_14_mama,mfi_14_mfi,midpoint_14_midpoint,midprice_14_midprice,minus_di_14_minus_di,mom_10_mom,natr_14_natr,obv_14_obv,plus_di_14_plus_di,ppo_14_ppo,roc_10_roc,rocr_14_rocr,rsi_14_rsi,sar_14_sar,sma_200_sma,sma_20_sma,sma_50_sma,stoch_14_slowd,stoch_14_slowk,stochf_14_fastd,stochf_14_fastk,stochrsi_14_fastd,stochrsi_14_fastk,t3_14_t3,tema_14_tema,trange_14_trange,trima_14_trima,trix_14_trix,ultosc_14_ultosc,willr_14_willr,wma_14_wma
1999-11-12,44.0,44.88,40.81,26.62,22566500,-16808107.5985,,,,,,,,,,,,-0.6486,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,22566500.0,,,,,,,,,,,,,,,,,,,,,,,
1999-11-19,40.5,44.0,39.81,28.15,19518900,-177445.7847,,,,,,,,,,,,0.7613,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,42085400.0,,,,,,28.8223,,,,,,,,,,,,2.6999,,,,,
1999-11-26,43.5,43.5,40.69,26.46,9319800,-7042921.2295,,,,,,,,,,,,-0.8683,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,32765600.0,,,,,,28.7906,,,,,,,,,,,,1.9331,,,,,
1999-12-03,40.81,42.13,39.63,26.02,15799800,-13362841.2295,,,,,,,,,,,,-0.172,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,16965800.0,,,,,,28.7593,,,,,,,,,,,,1.6109,,,,,
1999-12-10,40.0,40.06,37.06,25.21,22935400,-4647389.2295,,,,,,,,,,,,-0.29,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,-5969600.0,,,,,,28.6948,,,,,,,,,,,,2.1393,,,,,
1999-12-17,38.88,40.56,37.25,24.69,25119400,-13678230.9214,,,,,,,,,,,,-0.1722,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,-31089000.0,,,,,,28.5504,,,,,,,,,,,,2.1329,,,,,
1999-12-23,38.25,41.31,37.88,26.54,14369000,-314642.0001,,,,,,,,,,,,0.8571,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,-16720000.0,,,,,,28.4103,,,,,,36.378,64.1304,,,,,2.2102,,,,,
1999-12-31,41.13,41.94,40.81,26.7,9381000,764588.0884,,,,,,,,,,,,0.2743,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,-7339000.0,,,,,,28.2744,,,,,,56.1775,86.3905,,,,,0.7281,,,,,
2000-01-07,41.63,44.88,39.75,28.55,24792500,20047643.644,,,,,,,,,,,,0.5224,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,17453500.0,,,,,,23.8807,,,,57.8776,81.0773,81.0773,92.711,,,,,3.3057,,,,,
2000-01-14,44.31,44.5,42.0,28.35,14051300,28478423.644,15675507.0874,,,,,,,,,,,-0.124,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,3402200.0,,,,,,23.9311,,,,75.4814,89.1894,89.1894,88.4666,,,,,1.6109,,,,,
2000-01-21,43.88,48.13,43.13,29.44,30657000,29214191.644,16182966.2308,,,,,,,,,,,0.362,,,,,,,,,,,,,,0,,,,,,,,,,,,,,2.8224,,34059200.0,,,10.6028,,,23.981,,,,85.3525,85.7909,85.7909,76.1951,,,,,3.2219,,,,,
2000-01-28,45.81,46.88,43.63,28.76,17080700,22644691.644,12829088.9504,,,,,,,,,,,-0.3631,,,,,27.1251,,,,,,,,,0,,,,,,,,,,,,,,0.6057,,16978500.0,,,2.1515,,,24.1216,,,,83.0929,74.2985,74.2985,58.2339,,,,,2.0942,,,,,
2000-02-04,44.0,45.13,43.13,28.35,14199400,20798769.644,9703428.6129,,,,,,,,,,,0.0,,,,,27.314,,,,,,,,,0,,,,,,,,,,,,,,1.8945,,2779100.0,,,7.1603,,,24.2595,,,,73.9348,61.715,61.715,50.716,,,,,1.2888,,,,,
2000-02-11,43.88,43.88,38.38,25.79,20850500,11655356.9709,4633351.8413,,,,,,,,,,,-0.7193,,,,,27.0795,,,,,,,,,0,,,,,,,,,,,27.0639,27.4473,,-0.2299,,-18071400.0,,,-0.8837,,,24.3945,,,,59.1835,41.537,41.537,15.6611,,,,,3.5326,27.0161,,,-73.2325,27.4199
2000-02-18,39.63,39.69,35.88,23.28,18950600,-6101504.4464,-3511894.7291,,,,100.0,71.4286,-28.5714,2.2211,,,,-0.9528,,-20.4606,,19.1163,26.4951,,,,,,,,,0,25.7017,,,,,,,,,45.4459,26.3613,27.1086,25.6236,-1.9336,9.5405,-37022000.0,17.3992,,-7.6687,0.8746,39.7697,31.0139,,,,41.903,22.4569,22.4569,0.9936,,,,,2.5868,27.1739,,,-99.0064,26.9084
2000-02-25,35.94,39.94,35.88,24.45,16033600,-6891336.9587,-6776088.241,,,,92.8571,64.2857,-28.5714,2.25,,,,0.4606,,-11.8215,,17.4802,26.1807,,,,,,,,,0,25.6495,,,,,,,,,44.3022,26.3613,27.1086,23.3514,-0.2347,9.2019,-20988400.0,16.4024,,-0.9509,0.8685,44.0893,30.9358,,,,25.1615,11.4906,11.4906,17.8171,,,,,2.6256,27.2569,,,-84.0203,26.5847
2000-03-03,37.5,37.63,35.38,23.24,17866700,-15864390.7365,-10350494.6759,,,,100.0,57.1429,-42.8571,2.2015,,,,-0.6933,,-18.3376,,19.8513,25.7286,,,,,,,,,0,25.5629,,,,,,,,,43.2231,26.3419,26.947,23.2014,-3.2999,9.4722,-38855100.0,15.5156,,-12.4326,0.8784,40.8312,30.8585,,,,14.0548,8.217,8.217,5.8403,,,,,1.5715,27.2416,,,-95.5477,26.1351
2000-03-10,36.13,36.19,32.31,20.94,18932700,-34113952.0767,-16678476.4007,,,,100.0,50.0,-50.0,2.2235,,,,-0.9665,,-29.082,,32.6478,24.9919,,,,,,,,,0,25.2943,,,,,,,,,43.2405,25.1908,25.9543,27.9582,-5.7632,10.6185,-57787800.0,14.1958,,-21.5824,0.8048,35.459,30.6989,,,,9.2659,8.0902,8.0902,0.6133,,,,,2.5092,27.0406,,,-99.5527,25.4091
2000-03-17,32.25,38.94,32.0,24.57,32040000,-10753375.7079,-10318060.407,,,,100.0,42.8571,-57.1429,2.3853,,,,0.8285,,-5.4866,,14.9442,24.9276,,,,,,,,,0,25.2893,,,,,,,,,52.7295,25.1908,25.854,24.0222,-3.9781,9.7063,-25747800.0,17.7758,,-13.9327,0.9746,47.2567,30.4048,,,,14.5491,27.3401,27.3401,75.5668,,,,,4.488,26.7038,,,-62.4009,25.216
2000-03-24,37.19,37.69,34.81,23.28,23189300,-14779295.8467,-8059041.1441,,,,92.8571,35.7143,-57.1429,2.3622,21.5468,25.9707,30.3946,-0.4132,-99.1805,-11.6743,,14.9442,24.6743,,,,,,,,,0,25.2672,,,,,,,,,53.3611,25.1908,25.854,22.4572,-5.0718,10.1467,-48937100.0,16.6177,,-17.8881,0.9431,44.1629,30.0164,,25.9707,,25.8721,42.186,42.186,50.3778,,,,,2.0629,26.2131,,,-74.934,24.8566
2000-03-31,36.25,38.94,36.13,24.45,18272600,-11202808.3023,-5264283.4865,,,,85.7143,28.5714,-57.1429,2.3293,21.4012,25.8623,30.3234,0.5552,-56.8825,-4.9761,,7.3887,24.64,,,,,,,,,0,25.2541,,,,,,,,,53.8413,25.1908,25.854,21.0933,-4.9902,9.5263,-30664500.0,18.1907,,-16.9496,0.9212,47.5119,29.6435,,25.8623,,46.4712,69.8874,69.8874,83.7176,91.2586,100.0,,,1.9013,25.6331,,,-63.5916,24.6667
2000-04-07,37.75,38.25,35.38,23.08,15510800,-23362843.1455,-7511504.3052,,,,78.5714,21.4286,-57.1429,2.2955,21.1206,25.6087,30.0967,-0.7178,-77.0288,-11.6596,,11.1619,24.4001,,,,,,,,,0,25.194,,,,,,,,,49.5124,25.1908,25.854,21.3957,-5.6782,9.9457,-46175300.0,17.099,,-19.7443,0.8643,44.1702,29.2855,,25.6087,,58.1651,62.4218,62.4218,53.17,82.0168,72.2743,,,1.856,25.0629,,,-76.8766,24.3139
2000-04-14,35.5,38.38,34.75,22.88,15985500,-33799657.1951,-11068762.3554,,,,71.4286,14.2857,-57.1429,2.2992,20.8081,25.4298,30.0514,-0.0331,-75.619,-12.6274,,14.3198,24.1662,,,,,,,,,0,25.064,,,,,,,,,41.8071,25.1908,25.854,21.0904,-5.4727,10.049,-62160800.0,15.8068,,-19.3023,0.8013,43.6863,28.9419,,25.4298,,64.7243,61.8636,61.8636,48.7032,57.4248,0.0,,,2.3475,24.5258,,,-78.8192,23.9688
2000-04-20,35.13,40.25,34.06,25.91,21000400,-14088457.8413,-5246007.9129,,,,64.2857,7.1429,-57.1429,2.4209,20.8051,25.4241,30.0431,0.7964,-27.0945,4.3993,,2.6554,24.4339,,,,,,,,,0,25.0782,,,,,,,,,42.8332,25.1908,25.854,18.5202,0.1164,9.3448,-41160400.0,17.5621,,0.4514,0.9137,52.1996,28.612,,25.4241,,63.5178,66.2679,66.2679,96.9305,57.4248,100.0,,,4.003,24.1094,,,-49.4919,24.0814
2000-04-28,39.63,41.25,37.5,25.67,26047900,-9712410.6413,-994683.5398,,,,57.1429,0.0,-57.1429,2.4212,20.8276,25.4467,30.0658,0.016,3.969,3.0726,,3.0419,24.6237,,,,,,,,,0,25.095,,,,,,,,,40.8395,24.8493,25.4513,17.1561,2.3863,9.4331,-67208300.0,18.2326,,10.25,0.8718,51.5363,28.2952,,25.4467,,67.5924,74.6456,74.6456,78.3032,64.0694,92.2082,,,2.4251,23.8688,,,-47.7309,24.1853
2000-05-05,39.69,40.19,36.81,25.54,14525600,-1117381.0555,3569702.5301,,,-1.7101,50.0,0.0,-50.0,2.4044,20.8837,25.4896,30.0956,-0.0562,-11.7788,2.3533,,1.0392,24.7653,25.6517,,,,,,,,0,25.1059,,,,,,,,,41.6432,24.6463,24.8875,17.3735,1.0929,9.4127,-81733900.0,17.0161,-6.6665,4.4697,0.8882,51.1766,27.9912,,25.4896,,74.8483,83.6315,83.6315,75.6606,93.3973,87.9836,,,2.1858,23.7973,,,-42.1679,24.3087
2000-05-12,39.0,39.5,36.56,24.14,15996500,-9891263.6037,2320743.0634,,,-1.543,42.8571,0.0,-42.8571,2.3621,20.7545,25.3696,29.9847,-0.5957,-32.6401,-5.7336,24.2032,1.7149,24.6694,25.5398,,,,,,,,0,25.0751,,,,,,,,,41.7178,23.4232,24.4847,16.6202,0.8997,9.7841,-97730400.0,16.0598,-6.0378,3.8708,0.8515,47.1332,27.6993,,25.3696,,74.9213,66.4867,66.4867,45.4962,73.5601,40.4884,,,1.8115,23.8158,,,-54.524,24.2758
2000-05-19,36.63,37.88,36.25,23.98,13713000,-11994484.4626,929621.8206,11.7144,,-1.4218,35.7143,0.0,-35.7143,2.2689,20.623,25.2334,29.8438,0.1902,-44.8689,-6.6526,24.085,3.6963,24.5632,25.4242,,,,,,,,0,25.0594,,,,,,,,,43.1373,23.4232,23.6851,16.7021,3.0396,9.4619,-111443400.0,15.5114,-5.5987,14.5158,0.9298,46.6737,27.4191,,25.2334,,68.1686,54.3876,54.3876,42.0059,42.824,0.0,,,1.0581,23.9165,,,-45.0786,24.2613
2000-05-26,37.38,39.0,36.25,24.83,15607700,-4900075.3717,2533327.6757,11.1524,,-1.2269,28.5714,71.4286,42.8571,2.2344,20.6945,25.0473,29.4001,0.3164,-21.0425,-1.091,24.206,3.8457,24.6043,25.3802,,,,,,,,0,25.0564,,,,,,,,,49.661,23.4232,23.6851,15.7264,0.2556,8.9987,-95835700.0,16.9844,-4.8431,1.04,1.0665,49.4545,27.1501,,25.0473,,54.6015,42.9301,42.9301,41.2882,32.5586,57.1874,,,1.7852,24.0724,,57.6875,-30.8627,24.3775
2000-06-02,38.75,40.56,38.56,25.89,10296200,-1605291.3717,4007427.0095,11.3061,,-0.8095,21.4286,64.2857,42.8571,2.1819,20.8201,24.9241,29.028,0.565,35.5143,5.5114,24.5714,13.304,24.8018,25.4178,,,,,,,,0,25.0669,,,,,,,,,48.6294,23.4232,23.6851,14.9371,2.6071,8.4281,-85539500.0,19.5215,-3.196,11.1983,1.0588,52.7557,26.8919,,24.9241,,51.0522,55.839,55.839,84.2227,52.3958,100.0,,,1.4995,24.2856,,62.4036,-13.1742,24.62
2000-06-09,39.13,40.19,37.69,25.44,13462300,1087168.6283,5102847.9179,10.9973,,-0.746,14.2857,57.1429,42.8571,2.1419,21.1668,24.724,28.2812,0.024,31.569,2.4608,24.7577,6.9837,24.9,25.4195,,,,,,,,0,25.0743,,,,,,,,,49.2509,23.4232,23.6851,16.0348,0.9886,8.4196,-99001800.0,18.4426,-2.9444,4.0433,1.0946,51.2304,26.644,,24.724,,54.4479,64.5748,64.5748,68.2135,77.3693,74.9205,,,1.6229,24.5184,,57.35,-20.662,24.7891
2000-06-16,38.63,41.0,37.69,25.48,18255600,39264.0966,4753655.2187,11.0626,,-0.5933,7.1429,50.0,42.8571,2.1424,21.4933,24.56,27.6267,0.1873,62.8962,2.7241,24.9195,11.9105,24.989,25.4239,,,,,,,,0,25.0989,,,,,,,,,56.3316,24.3932,23.6851,14.8636,2.3986,8.4086,-80746200.0,18.883,-2.339,10.3923,1.2168,51.3621,20.6941,,24.56,,64.0928,71.8647,71.8647,63.1579,84.0021,77.0857,,,2.1487,24.7004,,57.3467,-20.0108,24.9425
2000-06-23,39.38,40.13,38.31,25.89,13414800,9768679.4812,7274376.2625,11.1231,,-0.4485,0.0,42.8571,42.8571,2.0738,21.8254,24.4368,27.0482,0.2747,91.3345,5.6063,25.1528,11.9105,25.1273,25.4583,15.5383,,-0.6498,-0.7884,,,,0,25.1126,,,,,,,0.2558,4.6885,53.2493,24.3932,24.3512,14.2473,3.008,8.0106,-67331400.0,18.1001,-1.7696,13.1469,1.0535,52.8032,20.7533,,24.4368,,68.5679,69.2641,69.2641,76.4211,84.0021,100.0,,,1.1814,24.8041,,55.7401,-16.9487,25.1071
2000-06-30,39.5,42.25,39.31,27.14,17547600,22063936.6241,11556400.6656,12.0509,,-0.1269,28.5714,100.0,71.4286,2.062,21.6941,24.5043,27.3145,0.7857,171.985,14.0118,25.6528,24.1118,25.4371,25.5829,16.979,,-0.4311,1.253,,,,0,25.2521,-0.3622,0.7049,-1.0672,-0.1269,0.8315,-0.9585,0.2791,4.9131,62.1271,25.0104,24.7264,13.2889,1.2344,7.5973,-49783800.0,21.7334,-0.5006,4.7646,1.1658,57.0059,20.812,,24.5043,,72.5907,76.6433,76.6433,90.3509,92.3619,100.0,,,1.9085,24.944,,62.8691,-5.2892,25.4263
2000-07-07,41.63,44.06,41.44,28.4,14145200,32861799.2195,15693239.5958,13.5247,,0.3389,21.4286,100.0,78.5714,2.0362,21.5398,24.7603,27.9808,0.8092,215.0978,21.5718,26.3684,32.6846,25.893,25.7916,18.5178,,0.5071,1.7438,,,,0,25.4737,-0.0818,0.7883,-0.8701,0.3389,1.0697,-0.7308,0.3034,5.1479,61.7997,25.6401,25.3139,12.483,2.733,7.1696,-35638600.0,24.605,1.3369,10.6477,1.1615,60.7859,20.9443,,24.7603,,77.7364,87.3018,87.3018,95.1334,100.0,100.0,,,1.7008,25.1474,,66.2684,-3.0606,25.8766
2000-07-14,43.88,45.13,43.0,28.85,15803000,38426235.8392,17729427.2103,15.2159,,0.565,14.2857,100.0,85.7143,1.9895,21.3057,24.9801,28.6545,0.2629,205.2722,24.1268,27.0534,37.201,26.3476,26.018,19.8752,,0.9388,0.8835,,,,0,25.9676,0.1746,0.8358,-0.6611,0.565,1.0616,-0.4966,0.3289,5.3849,68.7294,25.864,25.6612,11.8536,3.3038,6.8965,-19835600.0,25.8973,2.2269,12.9334,1.2499,62.0634,21.174,,24.9801,,85.3384,92.07,92.07,90.7258,100.0,100.0,,,1.3827,25.4311,,67.0166,-6.1614,26.3491
2000-07-21,44.44,47.31,43.31,30.39,27427700,58997010.8392,23495893.5334,17.3619,,0.922,7.1429,100.0,92.8571,2.0329,21.0674,25.3373,29.6073,0.5925,213.7791,32.2868,27.9827,45.2594,26.969,26.3416,20.9107,,0.8385,0.7383,,,,0,26.7973,0.4963,0.9259,-0.4297,0.922,1.1581,-0.2361,0.3554,5.6349,76.9876,27.183,26.3687,10.7567,6.2448,6.69,7592100.0,28.544,3.6285,25.8672,1.3281,66.1434,21.4989,,25.3373,,90.9355,93.4346,93.4346,94.4444,100.0,100.0,,,2.5966,25.7638,,70.7149,-3.7373,26.9717
2000-07-28,46.69,50.25,46.69,31.68,27137200,64180520.9516,25368210.8347,19.9688,,1.3211,0.0,100.0,100.0,2.0527,21.2628,25.8746,30.4864,0.5955,239.1021,38.3157,29.0466,53.8586,27.6945,26.7374,21.3846,,0.9649,1.6464,,,,0,27.5599,0.8461,1.0207,-0.1745,1.3211,1.2741,0.047,0.3831,5.8954,78.1775,27.8322,28.0756,9.8804,7.7054,6.4786,34729300.0,32.9463,5.1766,32.1332,1.223,69.1578,21.9595,,25.8746,,92.0579,90.6692,90.6692,86.8373,100.0,100.0,,,2.311,26.1544,,68.7347,-10.2857,27.696
2000-08-04,48.5,49.94,48.31,31.81,17738300,61459922.792,22962312.9677,22.3895,,1.8271,28.5714,92.8571,64.2857,1.9817,20.9971,26.2363,31.4754,0.3067,192.8498,38.8725,29.9234,53.8586,28.3274,27.113,21.4264,,1.6085,2.9886,,,,0,28.3081,1.1205,1.036,0.0845,1.8271,1.4872,0.3399,0.4119,6.1546,77.8391,27.8938,28.0756,9.4989,6.9783,6.2301,52467600.0,31.674,7.122,28.1046,1.2393,69.4363,22.5991,,26.2363,,91.045,89.0311,89.0311,85.8116,100.0,100.0,,,1.0581,26.6663,,69.7765,-8.9286,28.3817
