date,open,high,low,close,volume,adx_14_adx,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,ema_14_ema,ema_7_ema,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,mfi_14_mfi,mom_10_mom,roc_10_roc,rsi_14_rsi,sar_14_sar,sma_14_sma,sma_7_sma
2025-06-20,23.89,23.89,22.57,22.57,546304,,,,,,,,,,,,,,,,,
2025-06-27,22.59,23.0,21.0,22.34,707232,,,,,,,,,,,,,,,23.89,,
2025-07-03,22.22,22.45,20.2,21.13,355623,,,,,,,,,,,,,,,23.8611,,
2025-07-11,21.01,22.68,20.05,20.05,534698,,,,,,,,,,,,,,,23.7879,,
2025-07-18,20.05,21.57,19.68,20.29,459666,,,,,,,,,,,,,,,23.6757,,
2025-07-25,20.35,21.93,20.22,21.31,352523,,,,,,,,,,,,,,,23.5161,,
2025-08-01,21.6,21.6,19.3,19.9,559328,,,,,,,21.0843,,,,,,,,23.3629,,21.0843
2025-08-08,19.82,20.49,18.82,19.09,398593,,,,,,,20.5857,,,,,,,,23.1597,,20.5871
2025-08-15,19.16,22.42,18.5,21.47,1050404,,,,,,,20.8068,,,,,,,,22.8993,,20.4629
2025-08-22,21.47,22.7,20.96,22.66,424694,,,,,,,21.2701,,,,,,,,18.5,,20.6814
2025-08-29,22.7,23.79,22.08,22.64,370709,,,,,,,21.6126,,,,,0.07,0.3101,,18.5,,21.0514
2025-09-05,22.53,23.14,21.14,21.3,253609,,,,,,,21.5344,,,,,-1.04,-4.6553,,18.6058,,21.1957
2025-09-12,21.3,22.02,20.38,21.0,399481,,,,,,,21.4008,,,,,-0.13,-0.6152,,18.7095,,21.1514
2025-09-19,21.17,21.6,20.32,20.56,1860753,,,,,,21.165,21.1906,,,,,0.51,2.5436,,18.8111,21.165,21.2457
2025-09-26,20.76,21.2,18.81,19.52,876723,,2.0811,,,,20.9457,20.773,,,,26.1678,-0.77,-3.795,38.0016,23.79,20.9471,21.3071
2025-10-03,19.46,20.19,16.72,17.69,1496768,,2.1803,,,,20.5116,20.0022,,,,24.585,-3.62,-16.9873,32.9002,23.7402,20.615,20.7671
2025-10-10,17.84,18.24,16.35,17.64,1261949,,2.1595,,,,20.1287,19.4117,,,,22.8671,-2.26,-11.3568,32.7707,23.5998,20.3657,20.05
2025-10-17,17.7,18.4,17.23,17.91,655006,,2.0887,,,,19.8329,19.0362,,,,28.4664,-1.18,-6.1812,34.2745,23.3823,20.2129,19.3743
2025-10-24,17.93,20.0,17.83,18.94,847977,,2.0945,,,,19.7138,19.0122,,,,35.1053,-2.53,-11.7839,39.806,23.1713,20.1164,19.0371
2025-10-31,19.0,20.6,18.48,19.43,622337,,2.0964,17.229,20.372,23.515,19.676,19.1166,,,,36.4987,-3.23,-14.2542,42.2942,22.9667,19.9821,18.8129
2025-11-07,19.51,19.51,17.73,17.83,402259,,2.0738,16.9759,20.135,23.2941,19.4299,18.795,,,,37.1725,-4.81,-21.2456,36.9267,22.7682,19.8343,18.4229
2025-11-14,17.83,19.48,17.62,19.28,427691,,2.0589,16.972,19.982,22.992,19.4099,18.9162,,,,40.8743,-2.02,-9.4836,43.8778,22.5756,19.8479,18.3886
2025-11-21,19.55,19.55,17.77,18.14,404577,,2.0389,16.7689,19.8325,22.8961,19.2406,18.7222,,,,32.8869,-2.86,-13.619,40.133,22.3889,19.61,18.4529
2025-11-28,17.94,19.16,17.72,19.03,303682,,1.9965,16.7001,19.7815,22.8629,19.2125,18.7991,,,,31.6115,-1.53,-7.4416,44.1412,22.2077,19.3507,18.6514
