date,open,high,low,close,volume,ad_14_chaikin a/d,adosc_14_adosc,adx_14_adx,adxr_14_adxr,apo_14_apo,aroon_14_aroon down,aroon_14_aroon up,aroonosc_14_aroonosc,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,bop_14_bop,cci_20_cci,cmo_14_cmo,dema_14_dema,dx_14_dx,ema_12_ema,ema_14_ema,ema_26_ema,ht_dcperiod_14_dcperiod,ht_phasor_14_phase,ht_phasor_14_quadrature,ht_trendmode_14_trendmode,kama_14_kama,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,macdext_14_macd,macdext_14_macd_hist,macdext_14_macd_signal,mama_14_fama,mama_14_mama,mfi_14_mfi,midpoint_14_midpoint,midprice_14_midprice,minus_di_14_minus_di,mom_10_mom,natr_14_natr,obv_14_obv,plus_di_14_plus_di,ppo_14_ppo,roc_10_roc,rocr_14_rocr,rsi_14_rsi,sar_14_sar,sma_20_sma,stoch_14_slowd,stoch_14_slowk,stochf_14_fastd,stochf_14_fastk,stochrsi_14_fastd,stochrsi_14_fastk,tema_14_tema,trange_14_trange,trima_14_trima,trix_14_trix,ultosc_14_ultosc,willr_14_willr,wma_14_wma
2025-02-21,3.08,7.22,2.3,5.39,4330409,1109007.1829,,,,,,,,,,,,0.4695,,,,,,,,,,,0,,,,,,,,,,,,,,,,4330409.0,,,,,,,,,,,,,,,,,,,,
2025-02-28,4.75,5.7,3.52,5.44,10588378,9169049.526,,,,,,,,,,,,0.3168,,,,,,,,,,,0,,,,,,,,,,,,,,,,14918787.0,,,,,,2.3,,,,,,,,,2.1777,,,,,
2025-03-07,5.39,5.59,0.56,0.7,23666353,-13230580.6928,,,,,,,,,,,,-0.9335,,,,,,,,,,,0,,,,,,,,,,,,,,,,-8747566.0,,,,,,5.7,,,,,,,,,5.0295,,,,,
2025-03-14,0.68,0.8,0.6,0.61,2393942,-15465766.5392,,,,,,,,,,,,-0.3616,,,,,,,,,,,0,,,,,,,,,,,,,,,,-11141508.0,,,,,,5.7,,,,,,,,,0.19,,,,,
2025-03-21,0.59,1.14,0.52,0.7,21913771,-24529022.1585,,,,,,,,,,,,0.184,,,,,,,,,,,0,,,,,,,,,,,,,,,,10772263.0,,,,,,5.6486,,,,,,,,,0.6197,,,,,
2025-03-28,0.7,0.74,0.57,0.64,2018077,-24841747.9617,,,,,,,,,,,,-0.3169,,,,,,,,,,,0,,,,,,,,,,,,,,,,8754186.0,,,,,,5.546,,,,,,,,,0.1723,,,,,
2025-04-04,0.6,0.69,0.55,0.6,864225,-25100583.0404,,,,,,,,,,,,-0.0357,,,,,,,,,,,0,,,,,,,,,,,,,,,,7889961.0,,,,,,5.4455,,,,2.2137,1.5524,,,,0.1399,,,,,
2025-04-11,0.56,0.84,0.52,0.64,19107503,-29686383.7604,,,,,,,,,,,,0.255,,,,,,,,,,,0,,,,,,,,,,,,,,,,26997464.0,,,,,,5.347,,,,7.8473,19.6129,,,,0.32,,,,,
2025-04-17,0.62,0.7,0.55,0.62,1062193,-29726827.9828,,,,,,,,,,,,-0.0027,,,,,,,,,,,0,,,,,,,,,,,,,,,,25935271.0,,,,,,5.2022,,7.5333,12.539,12.539,16.4516,,,,0.1497,,,,,
2025-04-25,0.63,0.64,0.56,0.6,908389,-29702396.9828,-8362869.7658,,,,,,,,,,,-0.3655,,,,,,,,,,,0,,,,,,,,,,,,,,,,25026882.0,,,,,,5.0617,,13.5838,20.3653,20.3653,25.0312,,,,0.0818,,,,,
2025-05-02,0.6,0.62,0.55,0.57,681094,-30055252.9105,-7218043.8737,,,,,,,,,,,-0.5136,,,,,,,,,,,0,,,,,,,,,,,,,,-4.824,,24345788.0,,,-89.4991,,,4.9255,,17.1745,18.6193,18.6193,14.375,,,,0.0664,,,,,
2025-05-09,0.59,0.65,0.56,0.63,2234491,-28818131.2839,-5699890.5935,,,,,,,,,,,0.4227,,,,,1.4286,,,,,,0,,,,,,,,,,,,,,-4.8076,,26580279.0,,,-88.375,,,4.7933,,21.2761,24.8437,24.8437,35.125,,,,0.0932,,,,,
2025-05-16,0.62,0.66,0.54,0.59,4020583,-29561729.9012,-4797255.5759,,,,,,,,,,,-0.2354,,,,,1.2997,,,,,,0,,,,,,,,,,,,,,-0.1042,,22559696.0,,,-14.9906,,,4.6651,,23.529,27.1241,27.1241,31.8723,,,,0.1249,,,,,
2025-05-23,0.6,0.61,0.54,0.58,296159,-29485574.7298,-3967650.4618,,,,,,,,,,,-0.2314,,,,,1.1896,1.3084,,,,,0,,,,,,,,,,,3.003,3.87,,-0.0273,,22263537.0,,,-4.4659,,,4.5408,,28.681,34.0751,34.0751,35.2282,,,,0.07,0.8842,,,-99.0448,0.7502
2025-05-30,0.58,0.62,0.56,0.58,508383,-29533228.4371,-3282733.5982,,,,50.0,0.0,-50.0,0.6642,,,,0.15,,-90.551,,69.4544,1.0966,1.212,,,,,0,0.5844,,,,,,,,,21.8373,3.003,3.11,32.357,-0.117,113.5421,22771920.0,5.8326,,-16.6667,0.1085,4.7245,4.4201,,31.8586,34.3764,34.3764,36.0288,,,,0.064,0.7074,,,-98.7452,0.6537
2025-06-06,0.6,0.7,0.54,0.64,1223059,-29311283.7272,-2633491.2374,,,,42.8571,0.0,-42.8571,0.628,,,,0.2481,,-88.6179,,65.1421,1.0256,1.1351,,,,,0,0.6034,,,,,,,,,34.4859,0.634,3.055,31.7336,-0.0079,98.8252,23994979.0,6.6983,,-1.2279,0.1168,5.691,4.3031,,37.3666,43.6482,43.6482,59.6875,,,,0.1576,0.6156,,,-97.7219,0.6098
2025-06-13,0.63,0.7,0.59,0.59,636767,-29936859.743,-2327530.7096,,,,35.7143,0.0,-35.7143,0.5913,,,,-0.3348,,-88.7245,,64.8823,0.9589,1.0627,,,,,0,0.6031,,,,,,,,,81.1492,0.634,0.83,31.2651,-0.0072,99.916,23358212.0,6.6591,,-1.202,0.8514,5.6377,4.1897,,40.14,42.3955,42.3955,31.4702,,,,0.1138,0.6098,,,-88.4194,0.6057
2025-06-20,0.59,0.64,0.59,0.61,295687,-29979438.671,-2004319.179,,,,28.5714,7.1429,-21.4286,0.5526,,,,0.428,,-87.8746,,64.8927,0.9054,1.0025,,,,,0,0.6031,,,,,,,,,84.1073,0.634,0.83,31.0594,-0.0302,90.389,23653899.0,6.6129,,-4.707,1.0002,6.0627,4.0796,,43.6296,44.8452,44.8452,43.3779,,,,0.05,0.6064,,,-85.2581,0.6053
2025-06-27,0.61,0.63,0.58,0.59,229332,-30130641.5327,-1737995.4471,,,,21.4286,0.0,-21.4286,0.5167,,,,-0.4609,,-87.9429,,65.0313,0.8567,0.9473,,,,,0,0.6025,,,,,,,,,71.0756,0.6047,0.68,30.9779,-0.0335,87.8044,23424567.0,6.5639,,-5.3859,0.8383,6.0285,3.9728,,40.5546,34.4231,34.4231,28.4213,,,,0.0499,0.6031,,,-78.5937,0.6018
2025-07-03,0.59,0.61,0.56,0.58,160531,-30186007.7158,-1488661.7562,,,,14.2857,14.2857,0.0,0.4835,-1.7853,1.0954,3.976,-0.1696,-42.4028,-87.9793,,65.3248,0.8137,0.8979,,,,,0,0.6018,,,,,,,,,75.2725,0.6038,0.68,31.0384,-0.023,83.7856,23264036.0,6.51,,-3.8327,0.897,6.0104,3.8692,1.0954,36.7774,31.064,31.064,21.3929,,,,0.0519,0.6007,,,-82.1563,0.5979
2025-07-11,0.58,0.64,0.56,0.63,470050,-29816671.6128,-1133812.6902,,,,7.1429,7.1429,0.0,0.4544,-1.2463,0.8575,2.9612,0.6482,-38.5232,-85.0884,,63.2413,0.7857,0.8625,,,,,0,0.6022,,,,,,,,,77.5685,0.6038,0.68,30.6433,0.066,71.897,23734086.0,6.9003,,11.6608,1.0551,7.4558,3.7687,0.8575,32.8926,33.1906,33.1906,49.7578,95.0455,100.0,,0.0756,0.6002,,,-65.0,0.6019
2025-07-18,0.61,0.63,0.6,0.62,262811,-29763464.4778,-868643.7394,,,,0.0,0.0,0.0,0.4243,0.5463,0.6164,0.6865,0.2638,-35.9233,-85.144,,63.2413,0.7602,0.8301,,,,,0,0.6023,,,,,,,,,41.7409,0.6007,0.6223,30.4632,-0.0128,68.4734,23471275.0,6.8597,,-2.024,0.9657,7.428,3.6713,0.6164,37.5878,48.5089,48.5089,74.3759,95.2556,98.0777,,0.0326,0.6005,,,-51.6403,0.604
2025-07-25,0.62,2.69,0.6,2.35,38860894,-3576627.0342,7650977.6307,,,,35.7143,100.0,64.2857,0.5429,-0.0606,0.6992,1.459,0.8299,614.8045,-18.6776,,21.1476,1.0048,1.0327,,,,,0,1.1424,,,,,,,,,95.1105,1.458,1.615,21.6852,1.7591,23.1015,62332169.0,33.3168,,297.6984,3.7781,40.6612,3.5767,0.6992,50.3632,69.3902,69.3902,84.0368,99.3592,100.0,,2.085,0.6325,,,-15.814,0.837
2025-08-01,2.28,2.99,1.78,2.95,4384168,517678.6187,11743467.478,,,,28.5714,100.0,71.4286,0.5905,-0.4226,0.8161,2.0548,0.5537,412.2626,-4.649,,27.0682,1.304,1.2884,,,,,0,1.7704,,,,,,,,,96.2848,1.758,1.765,18.3759,2.366,20.0182,66716337.0,32.0161,,405.137,4.9158,47.6755,3.485,0.8161,67.8293,85.5889,85.5889,98.3538,99.3592,100.0,,1.21,0.7063,,,-1.6327,1.1335
2025-08-08,3.06,3.54,2.21,2.64,2163857,-250015.6868,12105813.5476,,,,21.4286,100.0,78.5714,0.6434,-0.5565,0.913,2.3825,-0.3157,277.2124,-10.5334,,36.5018,1.5096,1.4686,,,,,0,1.9748,,,,,,,,,96.9087,1.7636,2.0406,15.5636,2.055,24.3706,64552480.0,33.457,,351.2821,4.6643,44.7333,0.52,0.913,79.6725,84.0385,84.0385,69.7249,97.5632,92.6897,,1.3304,0.8165,,,-30.028,1.3663
2025-08-15,2.7,4.89,2.7,3.62,3194936,-760621.8968,10991051.914,,,0.0314,14.2857,100.0,85.7143,0.7581,-0.8148,1.0618,2.9385,0.4201,263.0578,8.6577,,52.6439,1.8342,1.7554,1.3353,,,,0,2.4326,,,,,,,,,97.213,2.0986,2.715,12.171,2.9845,20.9432,67747416.0,39.2312,2.352,469.6302,5.7242,54.3288,0.5502,1.0618,83.0397,79.4917,79.4917,70.3963,97.5632,100.0,,2.25,0.98,,,-29.1954,1.71
2025-08-22,3.62,4.08,2.47,3.6,1346918,-216835.1266,9708849.5895,,,0.3515,7.1429,92.8571,85.7143,0.819,-0.9508,1.2119,3.3746,-0.0124,173.257,8.2446,2.8024,45.8358,2.1059,2.0014,1.5031,,,,0,2.7649,,,,,,,,,95.3031,2.0986,2.715,12.4752,3.0082,22.7497,66400498.0,33.5891,27.7542,508.3136,6.0924,54.1223,0.637,1.2119,77.8452,70.0054,70.0054,69.895,97.0596,98.489,,1.61,1.1983,,,-29.6552,2.0226
