date,open,high,low,close,volume,ema_12_ema,ema_26_ema,sma_200_sma,sma_20_sma,sma_50_sma
2008-01-18,19.5,21.1,19.5,3.21,523300,,,,,
2008-01-25,19.25,21.25,19.0,3.37,429300,,,,,
2008-02-01,21.0,21.6,19.79,3.29,3082400,,,,,
2008-02-08,20.75,20.75,19.0,3.13,2763100,,,,,
2008-02-15,19.27,20.39,18.81,3.09,1863400,,,,,
2008-02-22,19.25,19.4,18.5,3.07,765100,,,,,
2008-02-29,19.22,19.6,18.67,3.03,1034100,,,,,
2008-03-07,18.75,19.31,17.55,2.94,851000,,,,,
2008-03-14,18.1,18.21,15.85,2.61,916600,,,,,
2008-03-20,16.0,16.09,14.6,2.5,406000,,,,,
2008-03-28,16.7,19.0,16.27,2.85,790700,,,,,
2008-04-04,18.0,18.27,16.8,2.93,400000,3.0029,,,,
2008-04-11,18.49,18.78,17.75,2.91,248300,2.9894,,,,
2008-04-18,18.25,18.25,17.5,2.94,169600,2.9818,,,,
2008-04-25,18.25,18.6,17.6,2.99,365700,2.9829,,,,
2008-05-02,19.0,20.8,18.88,3.26,660100,3.0263,,,,
2008-05-09,20.1,21.0,19.9,3.31,760600,3.0697,,,,
2008-05-16,20.65,20.73,20.0,3.24,605800,3.0955,,,,
2008-05-23,20.25,20.9,20.01,3.26,360600,3.1211,,,,
2008-05-30,20.63,20.7,18.33,3.09,628100,3.1158,,,3.0519,
2008-06-06,19.0,19.75,18.6,3.13,201600,3.1183,,,3.0479,
2008-06-13,19.2,19.28,18.56,3.13,169000,3.1202,,,3.0357,
2008-06-20,19.25,19.99,18.85,3.13,319100,3.1213,,,3.0274,
2008-06-27,19.12,20.16,18.93,3.16,279500,3.1265,,,3.0288,
2008-07-03,19.25,19.81,18.92,3.14,211000,3.1289,,,3.0315,
2008-07-11,19.2,19.7,18.67,3.09,182300,3.1236,3.07,,3.0326,
2008-07-18,19.0,19.46,18.5,3.08,125100,3.1164,3.0705,,3.0347,
2008-07-25,19.09,19.44,18.6,3.07,169600,3.1095,3.0706,,3.0413,
2008-08-01,18.8,19.0,18.32,3.05,119800,3.1009,3.0693,,3.0636,
