date,open,high,low,close,volume,ad_14_chaikin a/d,adosc_14_adosc,adx_14_adx,adxr_14_adxr,apo_14_apo,aroon_14_aroon down,aroon_14_aroon up,aroonosc_14_aroonosc,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,bop_14_bop,cci_20_cci,cmo_14_cmo,dema_14_dema,dx_14_dx,ema_12_ema,ema_14_ema,ema_26_ema,ht_dcperiod_14_dcperiod,ht_dcphase_14_ht_dcphase,ht_phasor_14_phase,ht_phasor_14_quadrature,ht_sine_14_lead sine,ht_sine_14_sine,ht_trendline_14_ht_trendline,ht_trendmode_14_trendmode,kama_14_kama,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,macdext_14_macd,macdext_14_macd_hist,macdext_14_macd_signal,mama_14_fama,mama_14_mama,mfi_14_mfi,midpoint_14_midpoint,midprice_14_midprice,minus_di_14_minus_di,mom_10_mom,natr_14_natr,obv_14_obv,plus_di_14_plus_di,ppo_14_ppo,roc_10_roc,rocr_14_rocr,rsi_14_rsi,sar_14_sar,sma_200_sma,sma_20_sma,sma_50_sma,stoch_14_slowd,stoch_14_slowk,stochf_14_fastd,stochf_14_fastk,t3_14_t3,tema_14_tema,trange_14_trange,trima_14_trima,trix_14_trix,ultosc_14_ultosc,willr_14_willr,wma_14_wma
1999-11-12,45.25,46.88,44.0,19.42,2074134,-1620415.1042,,,,,,,,,,,,-0.1944,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,3111197.0,,,,,,,,,,,,,,,,,,,,,
1999-11-19,45.13,49.0,45.06,20.48,1451734,-1531984.7691,,,,,,,,,,,,0.5025,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,5288794.0,,,,,,19.1249,,,,,,,,,,1.8734,,,,,
1999-11-26,46.44,46.44,44.63,19.8,1015401,-1792847.0288,,,,,,,,,,,,-0.5856,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,3765695.0,,,,,,19.1467,,,,,,,,,,1.0077,,,,,
1999-12-03,45.38,48.94,44.5,20.59,1271800,-1388965.6549,,,,,,,,,,,,0.4077,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,5673390.0,,,,,,19.1682,,,,,,,,,,1.9369,,,,,
1999-12-10,47.19,51.06,47.06,20.94,2011734,-2988292.0649,,,,,,,,,,,,0.2025,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,8690987.0,,,,,,19.2118,,,,,,,,,,1.7449,,,,,
1999-12-17,48.13,49.75,45.0,19.63,3008801,-7501489.0649,,,,,,,,,,,,-0.6589,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,4177790.0,,,,,,19.3037,,,,,,,,,,2.0721,,,,,
1999-12-23,46.0,46.75,44.88,19.91,1329067,-7895944.0863,,,,,,,,,,,,-0.1979,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,6171387.0,,,,,,19.3928,,,,,,27.486,17.2256,,,0.8158,,,,,
1999-12-31,45.81,51.44,45.75,22.38,1059334,-6379555.0336,,,,,,,,,,,,0.9666,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,7760384.0,,,,,,19.4792,,,,,,40.9915,98.1268,,,2.5345,,,,,
2000-01-07,51.31,54.0,46.13,22.74,3376934,-3721349.0171,,,,,,,,,,,,0.1042,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,12825779.0,,,,,,19.5781,,,,44.4756,64.9493,64.9493,79.4956,,,3.4331,,,,,
2000-01-14,52.13,53.44,48.63,21.65,2446601,-5865301.3185,-987914.9537,,,,,,,,,,,-0.5198,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,9155882.0,,,,,,19.777,,,,60.8365,76.5686,76.5686,52.0833,,,2.0983,,,,,
2000-01-21,49.0,49.19,45.56,20.39,2553334,-7184171.1533,-1357194.9563,,,,,,,,,,,-0.6198,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0.969,,5325884.0,,,4.9884,,,23.5565,,,,64.0708,50.6944,50.6944,20.5044,,,1.7755,,,,,
2000-01-28,46.81,46.81,41.81,18.4,2298134,-10107394.2093,-2314999.1155,,,,,,,,,,,-0.924,,,,,20.5276,,,,,,,,,,0,,,,,,,,,,,,,,-2.0721,,1878687.0,,,-10.1193,,,23.5197,,,,50.8327,25.235,25.235,3.1173,,,2.1812,,,,,
2000-02-04,42.13,44.75,41.44,18.3,1416134,-11589839.8497,-2968060.8739,,,,,,,,,,,-0.0574,,,,,20.1842,,,,,,,,,,0,,,,,,,,,,,,,,-1.5006,,-245510.0,,,-7.5804,,,23.4141,,,,28.3768,9.2009,9.2009,3.9809,,,1.4439,,,,,
2000-02-11,42.0,42.44,35.38,15.49,2643267,-15419951.8497,-4184070.7865,,,,,,,,,,,-0.9207,,,,,19.4614,20.008,,,,,,,,,0,,,,,,,,,,,19.1135,19.4952,,-5.0996,,-4210406.0,,,-24.7722,,,23.254,,,,12.3411,2.5876,2.5876,0.6645,,,3.0798,20.6102,,,-99.3555,19.6571
2000-02-18,35.75,43.38,35.63,17.97,3150268,-13365166.3155,-3647363.9184,,,,92.8571,57.1429,-35.7143,2.1025,,,,0.7019,,-8.5518,,2.2896,19.2317,19.7361,,,,,,,,,0,15.5196,,,,,,,,,43.3668,19.1135,19.4952,23.0571,-2.9707,11.7009,514991.0,22.0249,,-14.1875,0.925,45.7241,22.9412,,,,9.1202,15.5721,15.5721,42.071,,,3.4375,20.5062,,,-68.797,19.3851
2000-02-25,40.5,41.63,34.13,15.03,2341467,-16708777.8595,-4160099.8801,,,,100.0,50.0,-50.0,2.1869,,,,-0.8253,,-22.8861,,7.0641,18.5851,19.1084,,,,,,,,,0,15.4919,,,,,,,,,37.7226,18.8847,19.2532,22.4881,-4.6017,14.5518,-2997206.0,19.5206,,-23.4418,0.7339,38.5569,22.6409,,,,10.9617,14.7256,14.7256,1.4414,,,3.2852,20.2118,,,-99.0839,18.7351
2000-03-03,34.75,37.75,34.13,15.74,3877401,-16708777.8595,-3991664.6027,,,,100.0,42.8571,-57.1429,2.144,,,,0.3287,,-18.0463,,7.0641,18.1478,18.6597,,,,,,,,,0,15.5012,,,,,,,,,35.266,18.8847,19.2532,21.2332,-4.1626,13.619,2818890.0,18.4313,,-20.9119,0.7952,40.9768,22.2563,,,,16.8609,20.285,20.285,17.3428,,,1.5857,19.7714,,,-90.7882,18.2322
