date,open,high,low,close,volume,ad_14_chaikin a/d,adosc_14_adosc,adx_14_adx,adxr_14_adxr,apo_14_apo,aroon_14_aroon down,aroon_14_aroon up,aroonosc_14_aroonosc,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,bop_14_bop,cci_20_cci,cmo_14_cmo,dema_14_dema,dx_14_dx,ema_12_ema,ema_14_ema,ema_26_ema,ht_dcperiod_14_dcperiod,ht_dcphase_14_ht_dcphase,ht_phasor_14_phase,ht_phasor_14_quadrature,ht_sine_14_lead sine,ht_sine_14_sine,ht_trendline_14_ht_trendline,ht_trendmode_14_trendmode,kama_14_kama,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,macdext_14_macd,macdext_14_macd_hist,macdext_14_macd_signal,mama_14_fama,mama_14_mama,mfi_14_mfi,midpoint_14_midpoint,midprice_14_midprice,minus_di_14_minus_di,mom_10_mom,natr_14_natr,obv_14_obv,plus_di_14_plus_di,ppo_14_ppo,roc_10_roc,rocr_14_rocr,rsi_14_rsi,sar_14_sar,sma_200_sma,sma_20_sma,sma_50_sma,stoch_14_slowd,stoch_14_slowk,stochf_14_fastd,stochf_14_fastk,t3_14_t3,tema_14_tema,trange_14_trange,trima_14_trima,trix_14_trix,ultosc_14_ultosc,willr_14_willr,wma_14_wma
2000-03-10,36.88,36.88,34.06,15.55,1870667,-16649075.817,-3540884.5572,,,,100.0,35.7143,-64.2857,2.0791,,,,-0.4894,,-18.974,,7.3356,17.7481,18.245,,,,,,,,,0,15.5038,,,,,,,,,30.9732,18.8847,19.2379,20.3946,-6.8331,13.3704,12894.0,17.607,,-30.528,0.7554,40.513,21.818,,,,15.5075,11.5118,11.5118,15.7511,,,1.2352,19.2115,,,-92.6973,17.7421
2000-03-17,34.63,40.63,33.94,16.64,2839267,-15738728.8394,-2744920.086,,,,100.0,28.5714,-71.4286,2.1399,,,,0.5037,,-11.2673,,8.145,17.5784,18.0317,,,,,,,,,0,15.5494,,,,,,,,,31.3997,18.8847,19.2116,18.3033,-6.0957,12.8561,4271790.0,21.5493,,-26.8053,0.7949,44.3664,21.335,,,,19.1465,25.6426,25.6426,43.834,,,2.9304,18.6235,,,-79.5349,17.446
2000-03-24,38.0,39.5,36.88,17.14,1672401,-13957815.7554,-1603105.9041,,,,92.8571,21.4286,-71.4286,2.069,14.2984,18.9092,23.5199,0.4275,-75.9782,-7.8953,,8.145,17.5103,17.9122,,,,,,,,,0,15.5835,,,,,,,,,37.8026,18.8847,19.2116,17.5446,-4.5146,12.0744,6780388.0,20.656,,-20.8523,0.8729,46.0523,20.8176,,18.9092,,26.4898,42.3151,42.3151,67.3602,,,1.1476,18.0601,,,-73.8894,17.2562
2000-03-31,39.13,42.94,37.63,18.09,1793668,-12919110.8684,-659766.1926,,,,85.7143,14.2857,-71.4286,2.0874,14.2252,18.8427,23.4601,0.4105,-39.2029,-1.423,,20.3644,17.6002,17.9366,,,,,,,,,0,15.6209,,,,,,,,,42.7222,18.8847,19.2116,16.0889,-2.2989,11.5357,9470887.0,24.3173,,-11.2727,0.9091,49.2885,20.3415,,18.8427,,44.1063,64.361,64.361,81.8889,,,2.3259,17.5671,,,-62.8504,17.2181
2000-04-07,41.06,45.0,40.94,19.25,2176401,-11359179.8044,282465.9546,,,,78.5714,7.1429,-71.4286,2.0653,14.22,18.7812,23.3423,0.7094,3.677,5.879,,26.6565,17.8536,18.1113,,,,,,,,,0,15.7277,,,,,,,,,44.4061,18.8847,19.2116,15.06,0.8423,10.7305,12735485.0,26.007,,4.5765,0.8599,52.9395,19.9035,,18.7812,,62.1882,79.8883,79.8883,90.4159,,,1.7784,17.1758,,,-49.5934,17.3509
2000-04-14,43.81,48.06,41.0,18.02,2000735,-14249757.7081,-277483.4959,,,,71.4286,0.0,-71.4286,2.1387,14.1443,18.6922,23.2401,-0.3796,6.9119,-2.221,,34.8866,17.8786,18.0986,,,,,,,,,0,15.8366,,,,,,,,,40.9392,18.3394,19.0894,13.4493,-0.2795,11.8709,9734385.0,27.8611,,-1.5278,0.7922,48.8895,14.8666,,18.6922,,72.886,74.4085,74.4085,50.9207,,,3.0925,16.9167,,,-62.7094,17.3494
2000-04-20,41.0,45.0,40.5,19.38,1686667,-12563093.0414,55338.077,,,,64.2857,0.0,-64.2857,2.1267,14.1546,18.632,23.1094,0.7222,7.5915,6.3461,,32.2747,18.11,18.2698,,,,,,,,,0,15.9034,,,,,,,,,42.5287,17.7113,18.1624,13.2894,3.8965,10.9722,12264382.0,25.9556,,25.1608,0.8953,53.1731,14.9285,,18.632,,74.4609,69.086,69.086,65.9213,,,1.9711,16.8604,,,-31.4877,17.5751
2000-04-28,43.5,47.75,43.38,20.37,2264535,-11109542.4693,648954.9864,,,,57.1429,0.0,-57.1429,2.1115,14.1783,18.6035,23.0286,0.6865,54.8252,12.0694,,39.243,18.4574,18.5496,,,,,,,,,0,15.9224,,,,,,,,,51.1885,17.6985,17.9591,12.4023,2.3999,10.3667,15661182.0,28.4236,,13.3561,0.9987,56.0347,14.9897,,18.6035,,70.2632,67.295,67.295,85.0431,,,1.9142,16.9955,,,-11.0482,17.9538
2000-05-05,46.31,48.31,44.88,21.13,1831868,-8457876.3789,1676514.2975,,,-1.1569,50.0,100.0,50.0,2.068,14.1366,18.6787,23.2207,0.5656,75.1731,16.3512,,40.5837,18.8693,18.8943,19.0164,,,,,,,,0,16.0552,,,,,,,,,58.559,18.0818,18.0139,11.7399,6.1061,9.7849,18408981.0,27.7775,-6.0837,40.6296,1.1483,58.1756,15.0503,,18.6787,,73.2599,83.3987,83.3987,99.2318,,,1.5024,17.2974,,,-0.4175,18.4349
2000-05-12,47.5,47.63,43.88,19.9,1380268,-8805703.4109,1833796.8421,,,-1.014,42.8571,92.8571,50.0,2.057,14.1366,18.6786,23.2206,-0.5493,49.768,7.3148,19.4442,34.8609,19.0285,19.0289,19.0822,,,,,,,,0,16.108,,,,,,,,,58.4309,18.0818,18.0139,12.5008,4.1613,10.3348,16338582.0,25.8809,-5.3273,26.4329,1.0879,53.6574,15.1726,,18.6786,,77.7343,82.509,82.509,63.2522,,,1.9142,17.6801,,,-19.9722,18.726
2000-05-19,45.69,47.0,44.44,20.42,1356868,-7660847.7234,2095703.1616,21.6981,,-0.5628,35.7143,85.7143,50.0,1.9905,14.2849,18.5803,22.8756,0.3576,62.7634,10.431,19.7341,34.8609,19.2419,19.2139,19.181,,,,,,,,0,16.3744,,,,,,,,,65.2643,18.0818,18.0139,11.9827,4.866,9.7496,18373881.0,24.8084,-2.9569,31.2926,1.3183,55.2155,15.2923,,18.5803,,82.0473,80.2342,80.2342,78.2186,,,1.1254,18.1249,,,-11.838,19.07
2000-05-26,46.31,47.0,42.69,18.77,1558134,-9998044.7234,1268674.5958,21.9007,,-0.2711,28.5714,78.5714,50.0,1.9836,14.5297,18.3816,22.2335,-0.8399,38.5661,-1.0993,19.5536,24.5346,19.1689,19.1543,19.1503,,,,,,,,0,16.3964,,,,,,,,,57.7108,18.0818,18.0139,13.9828,2.1223,10.5696,16036684.0,23.0747,-1.4276,12.7506,1.0445,49.4504,15.4097,,18.3816,,69.9667,47.1569,47.1569,0.0,,,1.8948,18.5146,,46.1035,-38.029,19.1472
2000-06-02,42.94,45.0,41.06,19.32,1384867,-9038481.1346,1120326.3612,21.4544,,0.0916,21.4286,71.4286,50.0,1.9657,14.6843,18.2649,21.8455,0.2538,32.5956,2.5531,19.5408,15.6518,19.1917,19.176,19.1627,,,,,,,,0,16.6012,,,,,,,,,59.001,18.3424,18.0139,15.7458,2.1813,10.176,18113981.0,21.5894,0.4834,12.7295,1.2853,51.2766,15.5247,,18.2649,,55.6777,39.6418,39.6418,40.7069,,,1.7321,18.9048,,56.9514,-29.2987,19.2901
2000-06-09,43.56,44.13,41.75,18.44,1435467,-10847889.538,382069.7404,21.0399,,0.3372,14.2857,64.2857,50.0,1.9,14.7201,18.1671,21.6142,-0.6807,23.2501,-3.4567,19.3084,15.6518,19.0757,19.0776,19.109,,,,,,,,0,16.6666,,,,,,,,,63.2979,18.3424,18.0139,15.1129,0.3428,10.305,15960785.0,20.7217,1.7889,1.8942,1.1712,48.2717,15.6375,,18.1671,,34.9843,18.1542,18.1542,13.7555,,,1.0463,19.2246,,51.3041,-43.2672,19.2749
2000-06-16,41.94,41.94,35.0,17.23,4848134,-9338961.4688,525435.532,20.5269,,0.4373,7.1429,57.1429,50.0,1.9822,14.6394,18.1083,21.5772,-0.3963,-54.2746,-11.1654,18.8175,13.8575,18.7915,18.831,18.9697,,,,,,,,0,16.6771,,,,,,,,,56.8237,18.8899,18.0139,24.3192,-2.0182,11.5053,8688590.0,18.3995,2.3316,-10.4859,1.108,44.4173,21.1611,,18.1083,,29.1963,29.793,29.793,34.9167,,,3.051,19.4235,,51.0667,-62.4738,19.0729
2000-06-23,39.13,39.56,36.0,16.02,2048934,-11652642.3565,-199852.884,20.0505,,0.4138,0.0,50.0,50.0,1.9524,14.4103,17.9945,21.5788,-0.7556,-74.485,-18.1993,18.1196,13.8575,18.3651,18.4562,18.7512,15.6467,,0.2244,-1.9778,,,,0,16.6716,,,,,,,0.1843,3.4353,49.1164,18.5773,18.2739,22.9014,-1.9963,12.1876,5615193.0,17.3268,2.2241,-11.0807,0.9624,40.9003,21.1033,,17.9945,,22.7238,20.2241,20.2241,12.0,,,1.565,19.4449,,44.0206,-89.0369,18.6937
2000-06-30,36.5,37.94,34.23,15.06,3839534,-17349843.5209,-2291139.1625,20.0512,,0.3464,100.0,42.8571,-57.1429,1.9295,14.3245,17.9731,21.6217,-0.6065,-106.5749,-23.4009,17.3184,20.0606,17.8562,18.003,18.4775,17.2118,,-0.6174,-2.3431,,,,0,16.6353,-0.8867,-0.1739,-0.7128,0.3464,0.4996,-0.1532,0.2011,3.5516,41.0282,18.0959,18.1046,24.4249,-4.3257,12.8144,-144103.0,16.2627,1.8905,-22.3174,0.8787,38.2995,21.0462,,17.9731,,21.906,15.7008,15.7008,0.1857,,,1.631,19.2996,,40.097,-99.8562,18.192
2000-07-07,34.63,36.19,34.63,15.72,2516267,-15704593.9824,-2414891.4994,20.0519,,0.425,92.8571,35.7143,-57.1429,1.8526,14.0816,17.8605,21.6394,0.7179,-95.5643,-17.8722,16.8406,20.0606,17.527,17.6981,18.273,18.878,,-1.2838,-1.6035,,,,0,16.6106,-0.9706,-0.2062,-0.7644,0.425,0.4024,0.0226,0.2185,3.6732,41.8214,18.0959,18.1046,23.6084,-4.6518,11.7874,3630293.0,15.7191,2.3538,-22.8387,0.8686,41.0639,20.9262,,17.8605,,15.0349,9.1797,9.1797,15.3535,,,0.8529,19.021,,39.278,-89.0687,17.7981
2000-07-14,34.94,38.5,34.94,16.65,2550734,-13211182.4543,-1452623.6511,19.2097,,0.3897,85.7143,28.5714,-57.1429,1.832,14.3442,17.9417,21.5391,0.8258,-67.5328,-10.3142,16.6948,8.2609,17.3925,17.5587,18.153,20.4975,,-1.3328,-1.9339,,,,0,16.6119,-0.9505,-0.1489,-0.8016,0.3897,0.2111,0.1786,0.2364,3.803,41.8572,18.0959,18.1046,22.1455,-4.482,11.0013,7456390.0,18.7659,2.1816,-21.2067,0.8652,44.8429,20.8087,,17.9417,,15.2802,20.9601,20.9601,47.3411,,,1.565,18.6631,,46.199,-73.7504,17.5517
2000-07-21,37.81,39.69,37.25,16.84,2967934,-13795037.6674,-1112684.04,18.0278,,0.2324,78.5714,21.4286,-57.1429,1.7778,14.5031,17.9966,21.4901,0.2049,-47.4418,-8.7975,16.6315,2.6633,17.3078,17.4631,18.0559,21.6598,,-2.2069,-2.5416,,,,0,16.6151,-0.9088,-0.0858,-0.823,0.2324,-0.0345,0.2669,0.2549,3.9334,43.1108,18.0959,18.1046,21.1769,-3.0621,10.5558,11908286.0,20.0782,1.3112,-15.3844,0.9348,45.6012,20.6934,,17.9966,,25.3155,45.8066,45.8066,74.7253,,,1.0727,18.2697,,44.9768,-70.658,17.3552
2000-07-28,38.38,39.0,35.75,15.77,1293668,-15580296.7474,-1440501.7209,17.3863,,-0.1132,71.4286,14.2857,-57.1429,1.7529,14.5444,18.0078,21.4712,-0.7692,-80.1975,-15.8394,16.3219,9.0471,17.0717,17.2379,17.8868,22.4575,,-2.9076,-1.374,,,,0,16.5689,-0.9511,-0.1024,-0.8486,-0.1132,-0.3976,0.2845,0.2739,4.0518,43.9718,18.0959,18.1046,22.6514,-4.6424,11.1126,9967787.0,18.8929,-0.642,-22.739,0.8138,42.0803,20.5805,,18.0078,,39.1763,50.7621,50.7621,30.2198,,,1.4288,17.8054,,42.3205,-88.1337,17.0274
2000-08-04,36.13,37.06,31.38,14.59,4978267,-18288541.7545,-2305368.5725,17.8993,,-0.4134,100.0,7.1429,-92.8571,1.806,14.1746,17.9051,21.6356,-0.5176,-128.9235,-22.9333,15.7853,24.5684,16.6901,16.8849,17.6427,23.1505,,-3.3378,0.9132,,,,0,16.3508,-1.0677,-0.1752,-0.8925,-0.4134,-0.6418,0.2284,0.2933,4.1572,33.9289,17.8629,17.4782,28.0799,-4.1764,12.3776,2500393.0,17.0036,-2.3649,-22.2535,0.7164,38.5334,20.4699,,17.9051,,46.2702,42.242,42.242,21.781,,,2.497,17.3109,,36.8381,-89.1972,16.5764
2000-08-11,33.5,38.0,32.88,16.68,3485734,-13182490.9732,-824946.2566,18.0373,,-0.7707,92.8571,0.0,-92.8571,1.8378,14.1278,17.8823,21.6368,0.8672,-79.9573,-5.9507,15.8807,19.8313,16.6884,16.8575,17.5713,23.4286,,-2.542,4.3397,,,,0,16.3717,-0.9803,-0.0703,-0.91,-0.7707,-0.876,0.1053,0.3132,4.2824,35.8963,17.5035,17.3293,25.5953,-2.6377,11.0184,7728989.0,17.1236,-4.3971,-13.655,0.7892,47.0246,20.2697,,17.8823,,45.5504,43.6473,43.6473,78.941,,15.5903,2.2509,16.8842,,47.0297,-59.1975,16.4588
2000-08-18,37.94,39.0,35.5,15.9,2284467,-15578116.5393,-906568.3296,17.8081,19.7531,-0.9302,85.7143,0.0,-85.7143,1.8114,13.9219,17.7725,21.623,-0.5321,-61.6788,-10.9072,15.7722,14.8285,16.5669,16.7296,17.4474,23.2309,,-0.6017,4.5588,,,,0,16.3448,-0.9629,-0.0423,-0.9206,-0.9302,-0.8835,-0.0467,0.3336,4.3986,41.458,17.5035,17.2287,24.0979,-2.5394,11.3934,4302293.0,17.8741,-5.3311,-13.7727,0.7988,44.5464,20.0754,,17.7725,,46.2173,52.7626,52.7626,57.5659,,15.5373,1.4677,16.5639,-0.6002,48.1972,-69.3744,16.2795
2000-08-25,36.5,36.88,34.81,15.62,1599934,-16656331.1335,-1200612.155,17.7792,19.84,-1.2608,78.5714,0.0,-78.5714,1.7473,13.6948,17.5913,21.4879,-0.5411,-72.982,-12.6456,15.6248,17.4025,16.4219,16.5823,17.3123,22.912,,0.5215,1.8127,,,,0,16.2899,-0.9602,-0.0317,-0.9285,-1.2608,-1.028,-0.2327,0.3545,4.5108,37.0666,16.9539,17.2287,24.4466,-1.6042,11.1829,1902396.0,17.1992,-7.2165,-9.3113,0.7653,43.6772,19.887,,17.5913,,53.3713,63.704,63.704,54.605,,15.4212,0.9142,16.3285,-0.63,45.6148,-73.3617,16.1018
2000-09-01,35.88,36.0,34.38,15.48,2165601,-17177678.9607,-1377639.6508,17.8695,19.662,-1.497,71.4286,0.0,-71.4286,1.6736,13.4682,17.4647,21.4612,-0.5062,-75.3648,-13.5828,15.4789,19.0445,16.2775,16.4357,17.1768,22.889,,0.3248,-1.3888,,,,0,16.2481,-0.9584,-0.0239,-0.9345,-1.497,-1.0594,-0.4376,0.3759,4.6205,36.8598,16.9539,16.7891,24.5113,-0.5366,10.8089,-1346002.0,16.6688,-8.5735,-3.3495,0.825,43.2086,19.7043,,17.4647,,56.8841,54.1858,54.1858,50.3865,,15.303,0.7154,16.1561,-0.6568,43.1323,-71.8102,15.951
2000-09-08,35.25,37.0,35.0,16.01,2547534,-16222354.4607,-1020853.1354,17.5502,19.2951,-1.6163,64.2857,0.0,-64.2857,1.6171,13.3531,17.296,21.2389,0.5,-54.921,-8.9035,15.5002,13.3987,16.2361,16.3788,17.0903,23.0155,,-1.0231,-1.0209,,,,0,16.2355,-0.9041,0.0243,-0.9284,-1.6163,-0.9519,-0.6644,0.3977,4.7344,42.5518,16.5143,16.5978,23.5458,0.9517,10.1014,2475296.0,17.9817,-9.2475,6.3208,0.8287,45.5482,19.527,,17.296,,57.38,54.2502,54.2502,57.7592,,15.4156,0.8832,16.0067,-0.6721,44.0816,-60.5109,15.9014
2000-09-15,36.5,38.13,36.06,15.98,2310401,-19252659.0839,-1746278.0196,16.8117,18.6693,-1.594,57.1429,0.0,-57.1429,1.5669,13.3603,17.0767,20.793,-0.1498,-38.6221,-9.1068,15.5186,7.2111,16.197,16.3259,17.0082,22.892,,-0.5269,1.4567,,,,0,16.2258,-0.8534,0.06,-0.9134,-1.594,-0.7092,-0.8848,0.4199,4.8469,47.7762,15.9098,16.1165,22.5555,0.2658,9.804,-990301.0,19.5213,-9.1328,1.6912,0.8668,45.4466,19.355,,17.0767,,52.6875,49.6266,49.6266,40.7342,,15.5071,0.9142,15.9051,-0.6782,45.3231,-52.8922,15.8799
2000-09-22,36.0,36.06,32.88,14.74,2663001,-21991024.9518,-2755588.4284,17.0664,18.5585,-1.5282,50.0,0.0,-50.0,1.5594,13.4104,16.757,20.1036,-0.8239,-89.5803,-18.3035,15.2319,20.3779,15.9731,16.1146,16.8403,22.5409,,0.1881,0.3117,,,,0,16.168,-0.903,0.0084,-0.9113,-1.5282,-0.4478,-1.0804,0.4425,4.9459,51.2125,15.7164,15.6219,27.5204,-1.9116,10.5784,-4984798.0,18.203,-8.8024,-11.4789,0.8556,40.8482,19.1883,,16.757,,46.6275,36.0057,36.0057,9.5238,,15.1565,1.4618,15.8538,-0.6928,43.0878,-74.1058,15.7163
2000-09-29,33.38,34.38,31.0,14.9,2500468,-19638516.1471,-2169454.5734,17.7742,18.9127,-1.4731,100.0,28.5714,-71.4286,1.5546,13.3997,16.507,19.6143,0.1095,-112.4087,-16.6302,15.0484,26.9753,15.8087,15.9533,16.6969,22.1804,,-0.2043,-0.1647,,,,0,16.1467,-0.9185,-0.0057,-0.9128,-1.4731,-0.2416,-1.2315,0.4655,5.0454,50.9652,15.7164,15.5694,29.4631,-1.9372,10.4305,-1234100.0,16.9445,-8.5457,-11.5022,0.9304,41.6849,19.0265,,16.507,,38.4138,29.6092,29.6092,38.5694,,14.9639,1.4927,15.8179,-0.7088,39.7926,-67.6863,15.5981
2000-10-06,33.75,35.38,32.38,14.99,2197267,-19506680.3071,-1690501.6315,18.0204,19.0362,-1.448,92.8571,21.4286,-71.4286,1.5382,13.6345,16.2357,18.8368,0.0633,-93.9387,-15.7249,14.929,21.2216,15.6825,15.8247,16.5704,21.8903,,-0.1165,0.0446,,,,0,16.1412,-0.9134,-0.0005,-0.9129,-1.448,-0.1016,-1.3465,0.4889,5.1449,59.2169,15.7164,15.5694,27.6369,-0.785,10.2626,2061796.0,17.9604,-8.4807,-4.9767,0.9955,42.1375,18.813,,16.2357,,31.7969,29.7758,29.7758,41.2342,,14.8636,1.3249,15.754,-0.7226,44.7583,-65.4537,15.5018
2000-10-13,33.69,33.88,31.19,14.11,2118934,-20912736.9725,-1788266.0368,18.5579,18.8838,-1.5257,85.7143,14.2857,-71.4286,1.5151,13.5177,16.0026,18.4874,-0.6506,-139.3641,-22.5402,14.6205,25.5452,15.4399,15.5954,16.3878,21.6344,,-0.1621,-0.0928,,,,0,16.0852,-0.9696,-0.0453,-0.9242,-1.5257,-0.0953,-1.4304,0.5127,5.2345,53.1145,15.4736,15.5694,28.5385,-0.4857,10.7412,-1116601.0,16.9248,-9.0147,-3.3285,0.8975,38.7299,18.6081,,16.0026,,30.1269,30.9958,30.9958,13.1837,,14.4952,1.2145,15.6479,-0.7448,43.4225,-88.9546,15.2884
2000-10-20,32.0,34.0,31.56,14.74,2464134,-19094935.661,-1087299.6002,19.0039,18.5158,-1.4332,78.5714,7.1429,-71.4286,1.4838,13.7523,15.7738,17.7953,0.5656,-112.7286,-15.3097,14.5379,24.8014,15.3324,15.4815,16.2658,21.4278,,0.0169,-0.6064,,,,0,16.0375,-0.9517,-0.022,-0.9297,-1.4332,0.0531,-1.4862,0.5368,5.3295,52.6273,15.4736,15.5694,27.0482,-1.9379,10.0659,2579595.0,16.2978,-8.5585,-11.6188,0.8852,42.3451,18.4114,,15.7738,17.7661,31.5298,33.8178,33.8178,47.0356,,14.4564,1.0776,15.5303,-0.7615,45.3481,-72.0339,15.1751
2000-10-27,33.63,37.63,33.5,16.31,3009134,-16089448.0097,254596.3402,17.9758,17.681,-1.1337,71.4286,0.0,-71.4286,1.5119,14.0304,15.6676,17.3047,0.8015,22.5539,0.3455,14.8707,4.6102,15.4833,15.5924,16.2693,21.2628,,-0.5646,-1.465,,,,0,16.0399,-0.8015,0.1026,-0.9041,-1.1337,0.3384,-1.4721,0.5613,5.4394,52.4326,15.3922,15.4177,24.6351,0.4151,9.2679,7093291.0,22.4637,-6.8336,2.6111,0.9686,50.1727,18.2225,,15.6676,17.7039,38.2503,49.9374,49.9374,89.5928,,14.9925,1.8769,15.4389,-0.7506,50.5711,-24.0743,15.2896
