date,open,high,low,close,volume,ad_14_chaikin a/d,adosc_14_adosc,adx_14_adx,adxr_14_adxr,aroon_14_aroon down,aroon_14_aroon up,aroonosc_14_aroonosc,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,bop_14_bop,cci_20_cci,cmo_14_cmo,dema_14_dema,dx_14_dx,ema_12_ema,ema_14_ema,ema_26_ema,ht_dcperiod_14_dcperiod,ht_dcphase_14_ht_dcphase,ht_phasor_14_phase,ht_phasor_14_quadrature,ht_sine_14_lead sine,ht_sine_14_sine,ht_trendline_14_ht_trendline,ht_trendmode_14_trendmode,kama_14_kama,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,macdext_14_macd,macdext_14_macd_hist,macdext_14_macd_signal,mama_14_fama,mama_14_mama,mfi_14_mfi,midpoint_14_midpoint,midprice_14_midprice,minus_di_14_minus_di,mom_10_mom,natr_14_natr,obv_14_obv,plus_di_14_plus_di,ppo_14_ppo,roc_10_roc,rocr_14_rocr,rsi_14_rsi,sar_14_sar,sma_200_sma,sma_20_sma,sma_50_sma,stoch_14_slowd,stoch_14_slowk,stochf_14_fastd,stochf_14_fastk,stochrsi_14_fastd,stochrsi_14_fastk,t3_14_t3,tema_14_tema,trange_14_trange,trima_14_trima,trix_14_trix,ultosc_14_ultosc,willr_14_willr,wma_14_wma
1999-11-12,58.19,64.5,57.75,19.27,11244500,22489000.0,,,,,,,,,,,0.9348,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,22489000.0,,,,,,,,,,,,,,,,,,,,,,,
1999-11-19,64.81,68.94,64.13,19.72,15905400,15412585.0312,,,,,,,,,,,0.2474,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,54299800.0,,,,,,17.2569,,,,,,,,,,,,1.4373,,,,,
1999-11-26,67.88,68.69,61.75,18.66,9382900,378312.9851,,,,,,,,,,,-0.7839,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,35534000.0,,,,,,17.2904,,,,,,,,,,,,2.0738,,,,,
1999-12-03,61.5,62.5,59.31,17.85,14659200,-20852252.5322,,,,,,,,,,,-0.5486,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,6215600.0,,,,,,17.3235,,,,,,,,,,,,0.9532,,,,,
1999-12-10,60.06,60.69,55.25,16.77,16707900,-43457058.4145,,,,,,,,,,,-0.7224,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,-27200200.0,,,,,,20.6008,,,,,,,,,,,,1.6256,,,,,
1999-12-17,57.06,58.69,52.69,16.6,19585100,-45154433.7479,,,,,,,,,,,-0.25,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,-66370400.0,,,,,,20.5599,,,,,,,,,,,,1.7929,,,,,
1999-12-23,55.06,59.75,55.0,17.78,9890700,-28908448.8151,,,,,,,,,,,0.8985,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,-46589000.0,,,,,,20.4636,,,,,,22.2132,42.55,,,,,1.476,,,,,
1999-12-31,58.75,59.75,53.0,16.83,7327600,-29972307.7781,,,,,,,,,,,-0.3881,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,-61244200.0,,,,,,20.3692,,,,,,32.3638,36.8799,,,,,2.0234,,,,,
2000-01-07,55.63,60.06,53.5,17.63,17701300,-8061552.2903,,,,,,,,,,,0.4848,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,-25841600.0,,,,,,20.2767,,,,35.7768,52.7534,52.7534,78.8302,,,,,1.9665,,,,,
2000-01-14,58.75,62.38,57.88,18.44,12183100,6774756.1542,3574186.7631,,,,,,,,,,0.6111,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,-1475400.0,,,,,,20.1861,,,,51.3482,68.9273,68.9273,91.0719,,,,,1.349,,,,,
