date,open,high,low,close,volume,ad_14_chaikin a/d,adosc_14_adosc,adx_14_adx,adxr_14_adxr,aroon_14_aroon down,aroon_14_aroon up,aroonosc_14_aroonosc,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,bop_14_bop,cci_20_cci,cmo_14_cmo,dema_14_dema,dx_14_dx,ema_12_ema,ema_14_ema,ema_26_ema,ht_dcperiod_14_dcperiod,ht_dcphase_14_ht_dcphase,ht_phasor_14_phase,ht_phasor_14_quadrature,ht_sine_14_lead sine,ht_sine_14_sine,ht_trendline_14_ht_trendline,ht_trendmode_14_trendmode,kama_14_kama,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,macdext_14_macd,macdext_14_macd_hist,macdext_14_macd_signal,mama_14_fama,mama_14_mama,mfi_14_mfi,midpoint_14_midpoint,midprice_14_midprice,minus_di_14_minus_di,mom_10_mom,natr_14_natr,obv_14_obv,plus_di_14_plus_di,ppo_14_ppo,roc_10_roc,rocr_14_rocr,rsi_14_rsi,sar_14_sar,sma_200_sma,sma_20_sma,sma_50_sma,stoch_14_slowd,stoch_14_slowk,stochf_14_fastd,stochf_14_fastk,stochrsi_14_fastd,stochrsi_14_fastk,t3_14_t3,tema_14_tema,trange_14_trange,trima_14_trima,trix_14_trix,ultosc_14_ultosc,willr_14_willr,wma_14_wma
2000-01-21,62.0,67.63,61.75,19.78,15582400,20661112.6168,11521586.871,,,,,,,,,,0.6803,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0.5107,,29689400.0,,,2.6499,,,15.7449,,,,69.3114,86.2535,86.2535,88.8585,,,,,1.8376,,,,,
2000-01-28,66.25,66.94,59.75,17.99,16600900,-10231800.0397,3895815.8998,,,,,,,,,,-0.8693,,,,,18.1105,,,,,,,,,,0,,,,,,,,,,,,,,-1.7361,,-3512400.0,,,-8.8027,,,15.7902,,,,77.0355,75.9258,75.9258,47.8469,,,,,2.1553,,,,,
2000-02-04,60.38,65.12,58.75,17.84,13003800,-30115161.4212,-5904506.837,,,,,,,,,,-0.1381,,,,,18.0683,,,,,,,,,,0,,,,,,,,,,,,,,-0.8222,,-29520000.0,,,-4.4065,,,15.835,,,,73.9673,59.7227,59.7227,42.4628,,,,,1.9095,,,,,
2000-02-11,59.13,61.69,56.94,17.52,12881900,-39607087.737,-12397114.7992,,,,,,,,,,-0.1453,,,,,17.9837,18.0486,,,,,,,,,0,,,,,,,,,,,18.1936,18.1728,,-0.3361,,-55283800.0,,,-1.8824,,,15.8794,,,,56.8097,34.7805,34.7805,14.0318,,,,,1.4239,17.787,,,-63.4754,17.9264
2000-02-18,58.44,67.75,57.5,19.93,21630500,-6897551.1516,-3518591.4339,,,35.7143,7.1429,-28.5714,1.7926,,,,0.7863,,4.9526,,5.3453,18.2839,18.3001,,,,,,,,,0,17.54,,,,,,,,,46.9519,18.2686,18.1728,21.3469,3.1618,8.9925,-12022800.0,23.7579,,18.8505,1.0343,52.4763,15.9233,,,,47.6046,48.3104,48.3104,88.4366,,,,,3.0726,17.831,,,-13.7182,18.1779
2000-02-25,65.88,69.25,63.75,20.14,14348200,-1680023.8789,2093526.0236,,,28.5714,100.0,71.4286,1.7827,,,,0.2036,,6.5201,,9.9987,18.5698,18.5457,,,,,,,,,0,17.5583,,,,,,,,,46.5489,18.3724,18.2818,19.8448,3.5398,8.8505,16673600.0,24.2541,,21.3208,1.0213,53.2601,16.0111,,,,48.1892,61.4767,61.4767,81.9617,,,,,1.6535,17.9635,,,-13.3316,18.4507
2000-03-03,66.63,84.38,66.56,23.64,32710400,21521965.7956,11581522.9686,,,21.4286,100.0,78.5714,2.038,,,,0.6734,,28.0357,,38.8885,19.3496,19.2248,,,,,,,,,0,17.9618,,,,,,,,,58.0323,20.1206,20.5561,15.9327,5.8594,8.6215,82094400.0,36.2103,,32.9562,1.2669,64.0179,16.1553,,,,64.3254,83.1892,83.1892,79.1693,,,,,5.3573,18.2263,,,-17.9647,19.1858
2000-03-10,77.75,84.38,74.31,23.06,20756100,-367784.1547,7445190.1012,,,14.2857,92.8571,78.5714,2.1087,,,,-0.1053,,22.9521,,38.8885,19.9197,19.7355,,,,,,,,,0,18.3305,,,,,,,,,66.0925,20.1206,20.5561,14.226,6.2294,9.1461,40582200.0,32.3316,,37.0226,1.2913,61.476,16.5238,,,,74.1411,77.7574,77.7574,72.1411,,,,,3.0274,18.5515,,,-24.0258,19.7956
2000-03-17,76.0,80.44,72.19,22.34,16820700,-16719543.4274,-126614.0315,,,7.1429,85.7143,78.5714,2.1352,,,,-0.2048,,16.8238,,32.0029,20.2921,20.0828,,,,,,,,,0,18.665,,,,,,,,,64.6968,20.1206,20.5561,15.2165,4.7105,9.5579,6940800.0,29.5398,,26.7198,1.3319,58.4119,16.8775,,,,77.4351,71.3587,71.3587,62.7658,,,,,2.4802,18.92,,,-31.4616,20.2606
2000-03-24,74.38,80.81,69.44,23.51,17673300,2337154.7256,2850834.9658,,,0.0,78.5714,78.5714,2.2269,14.8708,19.2649,23.659,0.3351,143.6754,23.5166,,23.453,20.7866,20.5393,,,,,,,,,0,19.1774,,,,,,,,,72.3275,20.2323,20.6275,16.2355,5.0706,9.4734,42287400.0,26.1841,,27.5042,1.4158,61.7583,17.2171,,19.2649,,72.4723,68.3007,68.3007,69.9952,,,,,3.4182,19.3681,,,-19.6308,20.828
2000-03-31,77.25,83.88,75.56,23.0,16701100,-23517432.7744,-4416744.1913,,,7.1429,71.4286,64.2857,2.2465,14.7653,19.4511,24.137,-0.0901,143.1441,19.0241,,28.983,21.1269,20.8671,,,,,,,,,0,19.4565,,,,,,,,,73.5984,20.2323,20.6275,14.9015,3.2136,9.7679,8885200.0,27.0645,,16.2427,1.2935,59.5121,17.5431,,19.4511,,67.5021,62.847,62.847,55.78,50.0163,19.6251,,,2.5013,19.892,,,-24.9904,21.2619
2000-04-07,78.0,82.75,72.5,22.14,18982700,-53111925.0671,-16404751.9222,,,0.0,64.2857,64.2857,2.3061,14.7421,19.5718,24.4014,-0.4263,102.8481,11.6007,,19.7005,21.282,21.0363,,,,,,,,,0,19.6593,,,,,,,,,69.1587,20.5786,20.7025,16.3712,4.1494,10.4181,-29080200.0,24.4042,,23.0699,1.3156,55.8003,17.8561,,19.5718,,60.8071,51.2736,51.2736,28.0455,32.8737,0.0,,,3.0815,20.4598,,,-34.6399,21.5311
2000-04-14,72.13,74.94,69.19,21.1,14871300,-72509272.8932,-25989479.2184,,,0.0,57.1429,57.1429,2.2649,14.8394,19.6939,24.5485,-0.3374,51.4771,3.2855,,10.4416,21.2542,21.0449,,,,,,,,,0,19.7171,,,,,,,,,63.0818,20.5786,21.2181,18.6803,3.2651,10.7332,-58822800.0,23.0362,,18.306,1.1969,51.6428,18.1565,,19.6939,,48.1105,30.211,30.211,6.8074,6.5417,0.0,,,1.7286,20.9893,,,-51.4066,21.6118
2000-04-20,70.19,74.63,66.81,22.11,10818500,-56793395.6553,-22547317.6986,,,28.5714,50.0,21.4286,2.271,15.0202,19.9069,24.7937,0.4309,47.8422,10.3339,,4.2005,21.3866,21.1875,,,,,,,,,0,19.8191,,,,,,,,,63.1658,20.5786,21.2181,19.5721,4.596,10.2693,-37185800.0,21.2885,,26.235,1.1995,55.1669,18.445,,19.9069,,35.4277,24.7986,24.7986,39.5431,11.6131,34.8393,,,2.3509,21.4467,,,-39.198,21.7946
2000-04-28,74.5,79.88,73.25,23.02,14066400,-56835828.2345,-19102905.834,,,21.4286,42.8571,21.4286,2.2512,15.3756,20.2191,25.0626,0.3107,81.5724,16.1895,,15.539,21.6373,21.4314,,,,,,,,,0,19.938,,,,,,,,,63.304,20.5786,21.2181,18.3042,3.0817,9.7807,-9053000.0,25.0393,,15.4592,1.1633,58.0947,18.7219,,20.2191,,29.833,34.4894,34.4894,57.1178,38.9429,81.9893,,,1.9932,21.8104,,,-28.3298,22.0626
2000-05-05,76.31,77.94,73.88,23.34,16328200,-29166366.1655,-7153280.7007,,,14.2857,35.7143,21.4286,2.1775,15.8298,20.5559,25.282,0.3251,72.8959,18.2403,,15.539,21.899,21.6856,20.0001,,,,,,,,0,20.2436,,,,,,,,,62.5155,20.5786,21.2181,17.5542,3.1957,9.3305,23603400.0,24.0134,11.3835,15.8657,1.2976,59.1202,18.9877,,20.5559,,38.0449,54.8468,54.8468,67.8795,72.2762,100.0,,,1.2206,22.1336,,,-24.4535,22.3426
2000-05-12,77.38,80.94,75.0,24.22,10684000,-10532319.0275,4314515.5524,,,7.1429,28.5714,21.4286,2.1496,16.0755,20.8779,25.6802,0.5354,85.7422,23.7431,23.7787,21.682,22.2559,22.0234,20.3126,,,,,,,,0,20.679,,,,,,,,,67.1217,20.8687,21.2181,16.4897,0.5802,8.8756,44971400.0,25.6199,12.1026,2.4545,1.3578,61.8715,19.2429,,20.8779,,54.4796,74.1027,74.1027,97.3107,93.9964,100.0,,,1.7858,22.3918,,,-13.8389,22.6892
2000-05-19,80.0,84.25,78.81,23.81,15922800,-37928901.3804,-103436.3248,20.8982,,0.0,21.4286,21.4286,2.1128,16.6435,21.2269,25.8104,-0.1489,96.4405,19.6868,23.9886,27.912,22.4945,22.2612,20.5714,,,,,,,,0,21.01,,,,,,,,,72.2579,22.0768,21.302,15.5591,0.7516,8.8749,13125800.0,27.6078,12.7379,3.2599,1.359,59.8434,19.4878,,21.2269,,69.225,78.7255,78.7255,70.9862,89.9167,69.7502,,,1.6354,22.5632,,,-19.1902,22.92
2000-05-26,78.19,78.5,69.25,21.36,16218600,-57671759.3264,-8183195.4097,19.587,,0.0,14.2857,14.2857,2.1754,17.1376,21.4136,25.6896,-0.7708,16.4744,-1.0433,23.5347,2.5411,22.3204,22.1414,20.6301,,,,,,,,0,21.0154,,,,,,,,,65.3626,22.1806,22.2663,23.6169,-0.9771,10.1829,-19311400.0,24.8484,11.2372,-4.3736,1.0716,49.4783,19.723,,21.4136,,70.9831,60.1212,60.1212,12.0667,56.5834,0.0,,,2.9883,22.6229,,47.8329,-64.5662,22.7651
2000-06-02,71.56,74.81,69.5,20.97,14281100,-83544486.6333,-18976855.9593,18.3694,,0.0,7.1429,7.1429,2.134,17.48,21.5402,25.6005,-0.3409,-7.0818,-3.9307,23.0571,2.5411,22.1125,21.9851,20.6552,,,,,,,,0,21.015,,,,,,,,,59.8232,22.594,22.6887,22.3327,-2.5373,10.177,-47873600.0,23.4973,9.7442,-10.7942,1.041,48.0346,19.9488,,21.5402,,55.8807,28.7954,28.7954,3.3333,23.2501,0.0,,,1.5964,22.6409,,46.3159,-82.0988,22.5441
2000-06-09,72.5,73.38,69.06,21.55,14587400,-79762568.1148,-20463937.932,17.1947,,0.0,0.0,0.0,2.0746,17.649,21.6287,25.6084,-0.2315,-9.7944,0.7012,22.8068,1.9231,22.0265,21.9276,20.7217,,,,,,,,0,21.0307,,,,,,,,,56.2778,22.594,22.7263,21.5797,-1.4446,9.6253,-18698800.0,22.426,8.4563,-6.2815,0.9118,50.3506,20.1655,,21.6287,,33.1621,10.5696,10.5696,16.3088,5.5792,16.7375,,,1.3023,22.6318,,41.8754,-72.199,22.3931
2000-06-16,72.5,76.31,72.19,22.85,13281300,-59647201.1245,-12811587.6119,16.5967,,42.8571,0.0,-42.8571,2.03,18.2323,21.872,25.5117,0.8034,28.9857,10.2719,22.9199,8.8228,22.1537,22.051,20.8796,,,,,,,,0,21.0407,,,,,,,,,54.5391,22.594,22.7067,20.4612,0.7174,8.8828,7863800.0,24.421,6.9551,3.241,0.9912,55.136,20.3736,,21.872,,20.3171,21.5862,21.5862,45.1165,25.6245,60.1359,,,1.45,22.647,,45.8009,-47.2112,22.4353
2000-06-23,75.19,79.5,71.38,22.46,14099000,-66175802.1098,-10593673.0116,16.5377,,35.7143,64.2857,28.5714,2.0598,18.9654,22.1031,25.2408,-0.085,27.5143,6.8994,22.9053,15.7704,22.2005,22.1052,20.9965,15.6467,,0.857,-2.1855,,,,0,21.0477,,,,,,,0.2245,4.1766,62.0338,22.594,22.7067,18.6991,1.3567,9.1719,-20334200.0,25.7012,5.8335,6.4294,1.0053,53.4497,20.5733,,22.1031,,23.3333,37.8442,37.8442,52.1073,51.0425,76.2542,,,2.4478,22.6472,,42.8976,-54.7431,22.4267
2000-06-30,74.56,75.56,72.19,22.5,9886700,-57315910.7151,-5904226.7757,16.4829,,28.5714,57.1429,28.5714,1.9853,20.023,22.3521,24.6811,0.0208,-1.8041,7.2027,22.8962,15.7704,22.2461,22.1575,21.1077,17.2118,,-0.6921,-3.2367,,,,0,21.0684,1.2378,-0.5116,1.7493,1.0473,-0.8541,1.9014,0.2452,4.3599,55.6274,22.594,22.7067,18.006,0.3828,8.8245,-560800.0,24.7486,4.8954,1.7308,0.9571,53.6013,20.7651,,22.3521,,36.5408,50.1921,50.1921,53.3525,71.5933,78.3898,,,1.0159,22.5988,,39.2242,-53.9956,22.4222
2000-07-07,74.38,74.5,69.88,21.5,8984400,-64161167.858,-5627105.4269,15.9346,,21.4286,50.0,28.5714,1.9457,20.3379,22.4301,24.5224,-0.6645,-68.4969,-1.6128,22.6332,8.8074,22.1308,22.0694,21.1365,18.9332,,-1.8681,-1.1362,,,,0,21.0771,1.0783,-0.5368,1.6151,0.9315,-0.8205,1.7519,0.2666,4.5312,49.0893,22.594,22.7067,19.6373,-1.52,9.0514,-18529600.0,23.4304,4.324,-6.6038,0.9347,49.1936,20.9492,,22.4301,,43.4578,42.3372,42.3372,21.5517,51.548,0.0,,,1.4319,22.4964,,41.4803,-73.0841,22.2938
2000-07-14,71.0,76.0,68.63,22.55,14440600,-44606596.8946,1219726.3793,15.6884,,14.2857,42.8571,28.5714,1.9654,20.7407,22.5506,24.3605,0.517,-53.1076,7.0636,22.678,12.4881,22.1955,22.1336,21.2413,20.8267,,-1.5703,1.9973,,,,0,21.0879,1.0253,-0.4719,1.4972,0.8096,-0.7608,1.5704,0.2889,4.7114,57.996,22.594,22.7067,18.0324,-0.7866,8.7154,10351600.0,23.1789,3.7308,-3.3703,1.0188,53.5318,25.3673,,22.5506,,45.4829,43.9193,43.9193,56.8537,50.465,73.0051,,,2.2217,22.4008,,51.8908,-52.9607,22.3205
2000-07-21,74.0,77.19,72.31,22.1,9942400,-56341888.6979,175862.3282,15.6682,,7.1429,35.7143,28.5714,1.9301,20.7255,22.4736,24.2218,-0.1414,-17.5072,3.0043,22.5969,15.4052,22.1807,22.1291,21.3048,22.9095,,-0.2878,3.2352,,,,0,21.102,0.936,-0.4489,1.3849,0.6442,-0.7098,1.354,0.3119,4.8853,64.7567,22.594,22.7067,17.0394,-2.1196,8.7339,-9533200.0,23.2453,2.9563,-8.7518,1.0473,51.5021,25.3205,,22.4736,,42.2477,40.4866,40.4866,43.0543,41.7933,52.3747,,,1.4711,22.3392,,53.2678,-61.585,22.2829
2000-07-28,73.19,74.13,70.06,22.26,11251000,-37157136.8551,5837078.7728,15.1255,,0.0,28.5714,28.5714,1.8799,20.7041,22.4337,24.1632,0.1572,-58.4274,4.3581,22.5661,8.07,22.1923,22.146,21.3753,23.8356,,0.6659,1.8892,,,,0,21.1081,0.8679,-0.4136,1.2815,0.3898,-0.7522,1.1419,0.3356,5.059,58.9118,22.594,23.0084,18.8417,-1.551,8.4467,12968800.0,22.1497,1.7754,-6.5147,1.0064,52.179,25.2742,,22.4337,,45.9859,53.5519,53.5519,60.7477,64.3706,67.7319,,,1.2269,22.2925,,55.1649,-66.2146,22.2567
2000-08-04,73.88,78.69,72.69,23.46,13167900,-18370932.8551,13599815.9754,15.4215,,78.5714,21.4286,-57.1429,1.8748,20.7041,22.4898,24.2754,0.6583,53.1612,14.2705,22.8376,19.2693,22.3876,22.3214,21.5299,23.9956,,0.7231,-0.5848,,,,0,21.1271,0.9008,-0.3046,1.2054,0.1103,-0.8212,0.9315,0.3601,5.243,58.7073,22.594,23.0084,17.5301,2.099,7.9909,39304600.0,25.8985,0.4976,9.8253,1.0194,57.1353,25.2283,,22.4898,,53.041,65.0844,65.0844,91.4513,73.3689,100.0,,,1.8087,22.2667,,56.1796,-40.2259,22.3899
2000-08-11,77.0,82.25,76.81,24.0,13596500,-17371190.2081,15857234.2209,16.2321,,71.4286,14.2857,-57.1429,1.858,20.6604,22.5147,24.3689,0.4835,131.4752,18.3704,23.1877,26.7699,22.6364,22.5458,21.7132,23.927,,-0.033,-1.2997,,,,0,21.1567,0.9596,-0.1966,1.1562,-0.1227,-0.8455,0.7228,0.3855,5.4306,67.4388,22.594,23.0084,16.4144,3.0354,7.7404,66497600.0,28.4152,-0.5473,14.4757,1.0286,59.1852,25.1829,,22.5147,,65.4302,77.6542,77.6542,80.7636,89.244,100.0,,23.1832,1.6399,22.2714,,57.9083,-28.5309,22.5913
2000-08-18,80.0,86.75,79.75,25.7,17558300,2695438.3634,21723993.1195,17.572,19.2351,64.2857,100.0,35.7143,1.8786,20.3375,22.6497,24.9618,0.75,217.1389,29.6784,23.8868,34.9918,23.1075,22.9662,22.0084,23.4726,,-0.3046,0.396,,,,0,21.2468,1.1299,-0.0211,1.151,0.0169,-0.5455,0.5625,0.4117,5.6333,68.8993,23.3338,23.4197,15.0631,4.1449,7.3102,101614200.0,31.279,0.0748,19.2308,1.0611,64.8392,20.6885,,22.6497,,76.827,87.7425,87.7425,91.0126,100.0,100.0,,24.1245,2.1463,22.349,0.4942,59.1965,-8.2781,23.0121
2000-08-25,85.56,88.5,83.44,25.85,13194500,400742.7112,21418991.9505,19.0249,19.3059,57.1429,100.0,42.8571,1.8534,20.1516,22.8354,25.5192,0.0375,208.7652,30.5995,24.4816,37.9113,23.5293,23.3506,22.2929,22.6771,,0.1584,0.8867,,,,0,21.3834,1.2625,0.0892,1.1733,0.2041,-0.2438,0.4479,0.4388,5.8355,68.5679,23.4092,23.6834,14.1703,2.9964,7.17,128003200.0,31.475,0.8929,13.1117,1.0858,65.2997,20.7431,,22.8354,,83.6725,85.621,85.621,85.0868,100.0,100.0,,24.87,1.5253,22.5351,0.5348,60.962,-13.84,23.439
2000-09-01,85.5,88.88,83.69,26.08,9616600,2123948.4915,19895330.4069,20.42,19.3947,50.0,100.0,50.0,1.8328,20.1758,23.0843,25.9929,0.1961,180.7448,32.0704,25.0103,38.5566,23.9218,23.7146,22.5735,21.868,,0.16,1.9526,,,,0,22.0378,1.3704,0.1577,1.2127,0.4874,0.1018,0.3857,0.4668,6.0379,76.4207,23.5249,23.7407,13.2995,3.6227,7.0273,147236400.0,29.9908,2.1235,16.1309,1.2208,66.0352,20.8618,,23.0843,,86.8442,87.169,87.169,85.4077,100.0,100.0,,25.4896,1.5645,22.8255,0.5848,59.1727,-11.6667,23.8773
2000-09-08,85.63,87.69,80.5,24.92,10528100,-7218092.9549,14490880.1873,20.9082,19.0514,42.8571,92.8571,50.0,1.857,20.2466,23.2248,26.203,-0.4353,113.2748,18.5394,25.1385,27.2555,24.076,23.8758,22.7476,21.4871,,1.2893,2.9,,,,0,22.3036,1.3471,0.1075,1.2396,0.5881,0.2406,0.3475,0.4956,6.2268,77.183,23.7886,23.7407,15.7014,2.4264,7.4508,126180200.0,27.4673,2.5542,10.7855,1.1886,59.2697,21.0398,,23.2248,,81.9434,73.0402,73.0402,48.6262,67.0779,1.2337,,25.5252,2.1721,23.145,0.6237,58.6287,-30.6213,24.1163
2000-09-15,83.94,85.94,82.06,25.59,15082500,3510695.7049,14376321.4722,21.3616,18.9791,35.7143,85.7143,50.0,1.8081,20.2054,23.3532,26.5011,0.1933,106.4059,23.3737,25.3956,27.2555,24.3082,24.1038,22.9578,21.9153,,2.068,2.1814,,,,0,22.6115,1.3662,0.1013,1.2649,0.7239,0.3859,0.338,0.5253,6.4204,77.5702,23.7886,23.7407,14.9694,4.0889,7.0669,156345200.0,26.1868,3.1269,19.0211,1.187,61.6869,21.2124,,23.3532,,74.5315,63.3853,63.3853,56.122,45.6537,35.7275,,25.7561,1.1722,23.5039,0.6591,57.1245,-19.783,24.406
2000-09-22,84.75,85.25,77.81,23.92,16893600,-17924194.6177,6202325.8522,20.7112,18.6244,28.5714,78.5714,50.0,1.8395,20.2248,23.3822,26.5397,-0.75,48.6583,6.257,25.177,12.2556,24.2481,24.0789,23.0289,22.9542,,2.7612,1.2238,,,,0,22.6322,1.2326,-0.0259,1.2584,0.8265,0.4682,0.3583,0.5556,6.5954,68.4683,23.7886,23.7407,18.6713,1.3662,7.6909,122558000.0,23.8871,3.5675,6.0579,1.0466,53.1285,21.3798,,23.3822,,58.5031,39.0837,39.0837,12.503,12.3204,0.0,,25.3215,2.2477,23.8583,0.6704,49.1346,-47.1015,24.4348
2000-09-29,78.69,83.63,76.19,24.87,18261300,5638773.1242,9791878.6663,19.7371,18.11,21.4286,71.4286,50.0,1.8686,20.2106,23.4146,26.6186,0.4866,45.2868,13.6002,25.2265,7.0746,24.3432,24.1839,23.165,24.0642,,2.9097,-1.1863,,,,0,22.7187,1.1895,-0.0551,1.2447,1.0355,0.6054,0.43,0.5867,6.7781,59.2,23.7886,23.7407,18.9394,2.7669,7.5148,159080600.0,21.8232,4.4557,12.5205,1.1072,56.8001,21.5422,,23.4146,,47.2225,39.1984,39.1984,48.9703,21.3916,28.4473,,25.3037,2.2477,24.2173,0.6743,53.8099,-31.5616,24.58
2000-10-06,83.13,86.25,79.75,24.24,11580900,-13959673.0296,4134292.0716,19.3265,17.6306,14.2857,64.2857,50.0,1.8754,20.2161,23.4364,26.6568,-0.4431,62.3206,7.6428,25.1025,13.9886,24.3279,24.1919,23.2449,24.2845,,2.1635,-3.8901,,,,0,22.7557,1.0926,-0.1217,1.2142,1.0954,0.5559,0.5395,0.6185,6.9527,64.7823,23.7886,23.7407,17.5155,1.9879,7.7357,135918800.0,23.2129,4.6972,8.9317,1.0776,53.8214,21.6997,,23.4364,,36.8471,32.2592,32.2592,35.3043,12.1812,8.0964,,25.0549,1.9637,24.5226,0.6647,45.6168,-41.7566,24.6193
2000-10-13,81.44,86.38,81.06,24.6,12021200,-34567444.4582,-5113038.0872,18.9696,17.329,7.1429,57.1429,50.0,1.8737,20.4875,23.5985,26.7094,-0.0,67.0811,10.5607,25.0835,14.3292,24.3703,24.2468,23.3455,23.8934,,0.7691,-4.2478,,,,0,22.8586,1.0329,-0.1451,1.178,1.1694,0.4864,0.683,0.6511,7.1292,69.8884,24.09,23.7407,16.273,1.1416,7.6158,159961200.0,21.7166,4.9857,4.8656,1.1445,55.2804,21.8525,,23.5985,,38.9076,45.2652,45.2652,51.5211,20.5624,25.1434,,24.9782,1.8519,24.7486,0.6491,43.3473,-35.8673,24.6899
2000-10-20,81.44,84.44,79.56,25.42,10977100,-15402507.5729,-2333280.6808,18.2551,16.9617,0.0,50.0,50.0,1.8452,20.8614,23.8208,26.7802,0.5512,57.7147,16.9483,25.2629,8.9672,24.5312,24.4027,23.4989,23.2244,,-0.2227,-3.3196,,,,0,22.9896,1.0391,-0.1111,1.1502,1.3057,0.4795,0.8262,0.6844,7.3121,63.504,24.09,23.9562,17.1023,1.4116,7.26,181915400.0,20.4716,5.537,5.8806,1.127,58.4741,22.0007,,23.8208,21.7355,44.1465,54.915,54.915,77.9195,44.4133,100.0,,25.1922,1.4743,24.8849,0.6375,46.2054,-24.2682,24.8393
2000-10-27,83.94,83.94,72.56,22.7,16328000,-33308785.2531,-6681442.76,17.7953,16.4604,7.1429,42.8571,35.7143,1.9631,21.0549,23.878,26.701,-0.7742,-28.1428,-6.9864,24.7237,11.8175,24.249,24.1753,23.4395,22.6459,,-1.1807,-2.023,,,,0,22.9871,0.8153,-0.2679,1.0832,1.2543,0.3114,0.9429,0.7183,7.4659,56.5743,24.1684,23.9562,22.6439,-3.0015,8.649,149259400.0,17.8576,5.3216,-11.6796,1.0271,46.5068,26.7929,,23.878,21.804,49.842,49.3456,49.3456,18.5962,41.7145,0.0,,24.3922,3.4954,24.9184,0.5987,43.9436,-72.1935,24.5989
