date,open,high,low,close,volume,adx_14_adx,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,ema_14_ema,ema_7_ema,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,mfi_14_mfi,mom_10_mom,roc_10_roc,rsi_14_rsi,sar_14_sar,sma_14_sma,sma_7_sma
2025-07-03,18.43,19.28,16.4,17.37,1800803,,,,,,,,,,,,,,,,,
2025-07-11,17.95,18.34,16.6,16.27,885506,,,,,,,,,,,,,,,15.8215,,
2025-07-18,16.75,17.39,16.28,16.11,642776,,,,,,,,,,,,,,,17.6931,,
2025-07-25,17.4,17.46,16.35,16.38,703972,,,,,,,,,,,,,,,17.6931,,
2025-08-01,17.03,17.03,15.98,15.7,664984,,,,,,,,,,,,,,,17.6732,,
2025-08-08,16.2,17.8,16.04,16.99,772745,,,,,,,,,,,,,,,17.6281,,
2025-08-15,17.63,18.9,17.19,17.97,944152,,,,,,,16.6843,,,,,,,,15.4164,,16.6843
2025-08-22,18.72,19.47,17.58,18.19,895699,,,,,,,17.0595,,,,,,,,15.4445,,16.8014
2025-08-29,18.59,20.3,18.46,18.37,871692,,,,,,,17.3872,,,,,,,,15.5112,,17.1007
2025-09-05,18.72,19.46,18.06,18.15,509352,,,,,,,17.5767,,,,,,,,15.6405,,17.3914
2025-09-12,18.85,19.09,17.54,17.96,877920,,,,,,,17.6725,,,,,0.5948,3.4254,,15.766,,17.6169
2025-09-19,18.39,18.56,17.64,17.52,3030258,,,,,,,17.6345,,,,,1.2455,7.6528,,15.8876,,17.8776
2025-09-26,17.85,18.11,16.83,16.75,740125,,,,,,,17.4131,,,,,0.638,3.9598,,16.0056,,17.8433
2025-10-03,17.15,18.36,16.9,17.74,1027153,,,,,,17.2468,17.4937,,,,,1.3542,8.267,,16.1201,17.2468,17.8093
2025-10-10,18.36,18.36,17.46,17.07,750285,,1.3655,,,,17.2234,17.3881,,,,39.4957,1.3751,8.7607,48.198,16.2311,17.2258,17.6502
2025-10-17,17.63,18.31,17.39,17.64,578635,,1.3321,,,,17.2786,17.4505,,,,44.7787,0.6488,3.8189,51.8033,16.3388,17.3232,17.5456
2025-10-24,18.13,18.89,17.86,18.37,542381,,1.3092,,,,17.4242,17.6804,,,,49.245,0.3972,2.2101,56.0617,16.4433,17.4845,17.5777
2025-10-31,18.76,19.62,18.03,18.44,532002,,1.3266,,,,17.5594,17.8699,,,,48.8582,0.2533,1.3931,56.4485,16.5447,17.6315,17.646
2025-11-07,19.04,19.79,18.44,19.0,604995,,1.326,,,,17.7508,18.1512,,,,53.7333,0.625,3.4024,59.5695,16.643,17.8671,17.8567
2025-11-14,19.74,22.53,19.47,21.63,909470,,1.4461,15.1734,17.68,20.1866,18.2683,19.0214,,,,54.9766,3.4865,19.2142,70.3927,16.7383,18.1988,18.5543
2025-11-21,22.41,22.92,20.27,20.52,653511,,1.5273,15.0492,17.8377,20.6261,18.5684,19.3957,,,,54.3932,2.5587,14.2469,62.7541,16.9489,18.3806,18.9519
2025-11-28,21.01,21.52,20.45,20.71,517358,,1.5007,15.1027,18.0596,21.0164,18.8543,19.7249,,,,48.4861,3.192,18.2186,63.4965,17.2207,18.5611,19.4721
2025-12-05,20.7,21.51,20.16,20.1,817899,,1.4888,15.3167,18.259,21.2013,19.0204,19.8187,,,,41.0805,3.3511,20.0079,59.4624,17.4788,18.6847,19.8238
2025-12-12,20.52,22.26,20.2,21.6,922206,,1.5281,15.3714,18.52,21.6686,19.3645,20.2644,,,,47.6543,3.8661,21.7987,65.2854,17.7241,18.9316,20.2855
2025-12-19,22.0,22.75,21.54,22.3,1368533,,1.5043,15.5726,18.8503,22.1281,19.7562,20.7739,,,,57.0501,5.2314,30.6448,67.6248,17.9571,19.2418,20.8375
2025-12-26,22.64,23.06,22.04,22.69,733458,,1.4688,15.5756,19.1353,22.695,20.1471,21.2524,,,,74.8645,5.0502,28.6331,68.8659,18.2279,19.6109,21.365
2026-01-02,22.65,23.17,21.47,21.84,630913,,1.4835,15.6255,19.3286,23.0317,20.3726,21.3989,,,,74.3998,3.4683,18.8802,63.1196,18.5463,19.9744,21.3945
2026-01-09,22.21,23.74,20.05,23.01,6504739,47.8565,1.6375,15.5782,19.57,23.5618,20.7248,21.8026,,,,83.9349,4.5753,24.8141,67.1983,18.8934,20.3514,21.751
2026-01-16,23.3,23.8,22.16,22.27,1485311,46.3525,1.6363,15.6474,19.7652,23.8829,20.9312,21.9202,,,,88.4876,3.2779,17.2564,62.5064,19.3029,20.723,21.9739
2026-01-23,22.2,22.92,21.69,21.94,787418,44.3733,1.6062,15.8037,19.9547,24.1057,21.0654,21.9245,,,,83.9741,0.3052,1.4109,60.446,19.7234,21.0301,22.2363
2026-01-30,22.29,22.82,20.95,21.11,1006280,41.7019,1.6234,16.0376,20.1121,24.1866,21.071,21.7202,,,,78.7532,0.5889,2.8699,55.5722,20.1018,21.2256,22.1658
