date,open,high,low,close,volume,ad_14_chaikin a/d,adosc_14_adosc,apo_14_apo,aroon_14_aroon down,aroon_14_aroon up,aroonosc_14_aroonosc,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,bop_14_bop,cci_20_cci,cmo_14_cmo,dx_14_dx,ema_12_ema,ema_14_ema,ema_26_ema,ht_trendmode_14_trendmode,kama_14_kama,mfi_14_mfi,midpoint_14_midpoint,midprice_14_midprice,minus_di_14_minus_di,mom_10_mom,natr_14_natr,obv_14_obv,plus_di_14_plus_di,ppo_14_ppo,roc_10_roc,rocr_14_rocr,rsi_14_rsi,sar_14_sar,sma_20_sma,stoch_14_slowd,stoch_14_slowk,stochf_14_fastd,stochf_14_fastk,stochrsi_14_fastd,stochrsi_14_fastk,trange_14_trange,trima_14_trima,willr_14_willr,wma_14_wma
2025-07-03,11.69,11.98,2.91,4.82,3273869,-1895200.2924,,,,,,,,,,-0.7573,,,,,,,0,,,,,,,,3273869.0,,,,,,,,,,,,,,,,,
2025-07-11,4.55,8.17,3.7,7.63,10035374,5715805.8875,,,,,,,,,,0.6891,,,,,,,0,,,,,,,,13309243.0,,,,,,2.91,,,,,,,,4.4697,,,
2025-07-18,7.0,7.95,5.11,5.11,349015,5366790.8875,,,,,,,,,,-0.6655,,,,,,,0,,,,,,,,12960228.0,,,,,,2.9626,,,,,,,,2.84,,,
2025-07-25,5.0,5.81,4.86,5.06,372370,5148784.6059,,,,,,,,,,0.0634,,,,,,,0,,,,,,,,12587858.0,,,,,,3.0147,,,,,,,,0.9461,,,
2025-08-01,5.04,5.39,3.52,4.5,108583,5154010.5257,,,,,,,,,,-0.2888,,,,,,,0,,,,,,,,12479275.0,,,,,,3.0662,,,,,,,,1.87,,,
2025-08-08,4.07,4.5,3.66,3.86,56853,5123829.4714,,,,,,,,,,-0.2512,,,,,,,0,,,,,,,,12422422.0,,,,,,3.1173,,,,,,,,0.8361,,,
2025-08-15,3.78,4.3,3.44,4.27,44676,5165384.1859,,,,,,,,,,0.5706,,,,,,,0,,,,,,,,12467098.0,,,,,,3.1678,,,,14.4073,18.3818,,,0.8588,,,
2025-08-22,3.93,4.38,3.61,3.76,79933,5116593.9132,,,,,,,,,,-0.2179,,,,,,,0,,,,,,,,12387165.0,,,,,,3.2178,,,,13.0507,13.4583,,,0.77,,,
2025-08-29,3.82,3.99,3.2,3.47,52550,5099964.1664,,,,,,,,,,-0.443,,,,,,,0,,,,,,,,12334615.0,,,,,,8.1699,,14.0603,14.723,14.723,12.3288,,,0.79,,,
2025-09-05,3.6,6.57,3.1,4.87,19195712,5483402.5665,1216917.2271,,,,,,,,,0.3661,,,,,,,0,,,,,,,,31530327.0,,,,,,8.1202,,17.7896,25.5953,25.5953,50.9988,,,3.4693,,,
2025-09-12,3.96,4.13,3.08,3.3,691786,5081507.8427,929828.5759,,,,,,,,,-0.6286,,,,,,,0,,,,,,-1.52,,30838541.0,,,-31.5353,,,8.0198,,21.1762,23.2104,23.2104,6.3037,,,1.79,,,
2025-09-19,3.19,3.29,2.87,2.9,99438,4996275.2713,700733.8935,,,,,,,,,-0.6905,,,,4.4625,,,0,,,,,,-4.73,,30739103.0,,,-61.9921,,,7.8716,,22.7256,19.3711,19.3711,0.8108,,,0.43,,,
2025-09-26,2.94,3.09,2.58,2.65,143453,4889750.7663,509416.0998,,,,,,,,,-0.5743,,,,4.1837,,,0,,,,,,-2.46,,30595650.0,,,-48.1409,,,7.6716,,15.1656,2.9152,2.9152,1.6311,,,0.505,,,
2025-10-03,2.81,2.81,2.54,2.62,35181,4875417.7663,380278.6751,,,,,,,,,-0.7037,,,,3.9431,4.2014,,0,,,5.125,7.2606,,-2.44,,30560469.0,,,-48.2213,,,7.4172,,7.9207,1.4757,1.4757,1.9851,,,0.27,4.152,-99.1527,3.6518
2025-10-10,2.4,2.76,2.4,2.52,144835,4827139.433,277517.6521,,100.0,0.0,-100.0,1.4432,,,,0.3333,,-19.9307,4.901,3.7242,3.9772,,0,2.6166,55.6076,5.075,5.285,14.5021,-1.98,57.2704,30415634.0,13.147,,-44.0,0.5228,40.0347,7.1246,,2.6361,3.5175,3.5175,6.9364,,,0.36,3.9212,-97.9202,3.4276
2025-10-17,2.56,2.7,2.36,2.36,45105,4782034.433,195898.5834,,100.0,0.0,-100.0,1.3647,,,,-0.5819,,-21.1086,5.6831,3.5143,3.7616,,0,2.571,91.0403,3.735,5.155,14.4468,-1.5,57.8253,30370529.0,12.893,,-38.8601,0.3093,39.4457,6.7939,,2.6557,2.9738,2.9738,0.0,,,0.3437,3.6896,-100.0,3.204
2025-10-24,2.37,3.01,2.34,2.57,82745,4755863.0061,136372.7301,,100.0,0.0,-100.0,1.3153,,,,0.2973,,-18.6416,1.0868,3.369,3.6027,,0,2.5709,92.9785,3.71,4.455,13.8814,-1.7,51.1773,30453274.0,14.1864,,-39.8126,0.5029,40.6792,6.4392,,6.3419,12.5344,12.5344,30.6667,,,0.6728,3.4912,-94.5626,3.0586
2025-10-31,2.67,2.68,2.3,2.3,17537,4738326.0061,94043.7692,,100.0,42.8571,-57.1429,1.2485,,,,-0.9737,,-20.8734,0.1924,3.2045,3.429,,0,2.5451,94.7838,3.585,4.435,13.8034,-1.46,54.2806,30435737.0,13.8566,,-38.8298,0.4545,39.5633,6.0702,,8.5768,10.2222,10.2222,0.0,,,0.38,3.2793,-100.0,2.9013
2025-11-07,2.38,2.38,1.82,1.82,64931,4673395.0061,47518.0789,,100.0,35.7143,-64.2857,1.1993,,,,-1.0,,-24.8217,10.0889,2.9915,3.2145,,0,2.4778,95.1271,3.345,4.195,16.3625,-1.65,65.8944,30370806.0,13.3635,,-47.5504,0.4044,37.5892,5.6932,,10.9929,10.2222,10.2222,0.0,,,0.56,3.0795,-100.0,2.7064
2025-11-14,1.93,2.01,1.63,1.79,29266,4668774.0587,22694.7151,,100.0,28.5714,-71.4286,1.1408,0.7996,3.609,6.4184,-0.3684,-109.2929,-25.0733,13.857,2.8067,3.0246,,0,2.4282,95.2971,3.33,4.1,17.2151,-3.08,63.7295,30341540.0,13.0248,,-63.2444,0.4637,37.4633,5.2672,3.609,8.1005,3.8569,3.8569,11.5707,,,0.38,2.8929,-96.7611,2.533
2025-11-21,1.75,1.97,1.35,1.67,565106,4687097.386,16306.6964,,100.0,21.4286,-78.5714,1.1036,0.5788,3.4515,6.3242,-0.1291,-111.3434,-26.1384,19.2292,2.6318,2.844,,0,2.3438,94.5617,3.27,3.96,18.4068,-1.63,66.0811,29776434.0,12.4695,,-49.3939,0.3911,36.9308,4.8307,3.4515,8.117,10.2718,10.2718,19.2446,0.0,0.0,0.6199,2.7109,-93.8697,2.3632
2025-11-28,1.73,1.92,1.48,1.82,74191,4727557.5381,25084.6738,,92.8571,14.2857,-78.5714,1.0562,0.935,3.161,5.387,0.2046,-100.0843,-23.7701,19.2292,2.5069,2.7074,,0,2.3032,94.8696,3.27,3.96,17.826,-1.08,58.0302,29850625.0,12.0761,,-37.2414,0.484,38.115,4.3782,3.161,12.06,22.0512,22.0512,35.3383,14.994,44.9819,0.4399,2.5459,-90.9962,2.2383
2025-12-05,1.65,2.05,1.65,1.98,24739,4744039.7954,31639.5942,,85.7143,7.1429,-78.5714,1.009,0.9126,3.0045,5.0964,0.8331,-85.9738,-21.157,15.4681,2.4259,2.6104,,0,2.2857,95.0522,3.27,3.96,17.2968,-0.67,50.9598,29875364.0,12.6627,,-25.283,0.5706,39.4215,3.9845,3.0045,23.6352,38.5827,38.5827,61.165,48.3273,100.0,0.3961,2.3962,-87.931,2.1531
2025-12-12,1.9,3.4,1.87,2.65,345407,4750812.4816,33599.7715,,78.5714,0.0,-78.5714,1.0462,1.0136,2.884,4.7544,0.4902,-24.5713,-10.6246,15.3927,2.4603,2.6157,,0,2.3316,21.1723,2.485,2.74,15.3956,0.03,39.4799,30220771.0,20.9975,,1.145,0.5441,44.6877,3.6421,2.884,37.98,53.306,53.306,63.4146,81.6606,100.0,1.53,2.2679,-53.2374,2.1715
2025-12-19,2.55,2.68,2.28,2.44,38446,4743123.2816,28900.5739,,71.4286,0.0,-71.4286,1.0001,1.0568,2.781,4.5052,-0.275,-34.4259,-13.1724,15.3927,2.4572,2.5923,,0,2.3371,34.0081,2.285,2.375,14.9334,-0.08,40.986,30182325.0,20.3671,,-3.1746,0.7394,43.4138,3.4,2.781,50.3796,59.2501,59.2501,53.1707,94.5257,83.5772,0.4,2.183,-46.8293,2.183
2025-12-26,2.29,2.59,1.94,2.09,123264,4676750.3586,3232.1926,-1.0952,64.2857,85.7143,21.4286,0.9751,1.0179,2.6925,4.3671,-0.3077,-55.2453,-17.3988,7.0591,2.4007,2.5253,3.2627,0,2.3254,34.2606,2.16,2.375,16.7988,-0.27,46.6534,30059061.0,19.3506,-33.5671,-11.4407,0.7207,41.3006,3.4,2.6925,54.0023,49.4509,49.4509,31.7673,77.3483,48.4676,0.65,2.1209,-63.9024,2.1561
