date,open,high,low,close,volume,ad_14_chaikin a/d,adosc_14_adosc,adx_14_adx,adxr_14_adxr,aroon_14_aroon down,aroon_14_aroon up,aroonosc_14_aroonosc,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,bop_14_bop,cci_20_cci,cmo_14_cmo,dema_14_dema,dx_14_dx,ema_12_ema,ema_14_ema,ema_26_ema,ht_dcperiod_14_dcperiod,ht_dcphase_14_ht_dcphase,ht_phasor_14_phase,ht_phasor_14_quadrature,ht_sine_14_lead sine,ht_sine_14_sine,ht_trendline_14_ht_trendline,ht_trendmode_14_trendmode,kama_14_kama,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,macdext_14_macd,macdext_14_macd_hist,macdext_14_macd_signal,mama_14_fama,mama_14_mama,midpoint_14_midpoint,midprice_14_midprice,minus_di_14_minus_di,mom_10_mom,natr_14_natr,obv_14_obv,plus_di_14_plus_di,roc_10_roc,rocr_14_rocr,rsi_14_rsi,sar_14_sar,sma_200_sma,sma_20_sma,sma_50_sma,stoch_14_slowd,stoch_14_slowk,stochf_14_fastd,stochf_14_fastk,stochrsi_14_fastd,stochrsi_14_fastk,t3_14_t3,tema_14_tema,trange_14_trange,trima_14_trima,trix_14_trix,ultosc_14_ultosc,willr_14_willr,wma_14_wma
2009-10-16,27.29,28.8,26.1,27.3,20850800,17267551.4074,,,,,,,,,,,0.4733,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,20850800.0,,,,,,,,,,,,,,,,,,,,,,
2009-10-23,28.52,28.89,27.32,27.11,9916300,20615092.1717,,,,,,,,,,,-0.0955,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,10934500.0,,,,,24.9401,,,,,,,,,,,,1.5002,,,,,
2009-10-30,27.83,29.25,27.3,26.21,4949700,16325352.1717,,,,,,,,,,,-0.2051,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,5984800.0,,,,,24.9668,,,,,,,,,,,,1.8633,,,,,
2009-11-06,27.38,27.65,26.6,25.9,2916900,16186452.1717,,,,,,,,,,,-0.2667,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,3067900.0,,,,,25.0265,,,,,,,,,,,,1.0033,,,,,
2009-11-13,27.25,30.0,27.05,27.62,3704000,17128147.087,,,,,,,,,,,0.5593,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,6771900.0,,,,,25.0849,,,,,,,,,,,,2.8189,,,,,
2009-11-20,28.75,29.01,27.4,27.28,6750500,20021218.5156,,,,,,,,,,,-0.1242,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,21400.0,,,,,25.1924,,,,,,,,,,,,1.5385,,,,,
2009-11-27,28.68,28.68,26.66,25.79,2290400,18479167.0304,,,,,,,,,,,-0.8366,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,-2269000.0,,,,,25.2966,,,,,,46.8728,11.4706,,,,,1.9302,,,,,
2009-12-04,27.34,28.44,26.73,27.17,3354100,21794037.7906,,,,,,,,,,,0.6374,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,1085100.0,,,,,25.3977,,,,,,40.8824,53.8235,,,,,1.634,,,,,
2009-12-11,28.2,28.98,27.9,27.39,2235200,22704674.8277,,,,,,,,,,,0.4259,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,3320300.0,,,,,25.4752,,,,43.16,41.7248,41.7248,59.8802,,,,,1.032,,,,,
2009-12-18,28.56,31.0,28.56,29.2,12194300,30501030.5654,4573057.0714,,,,,,,,,,0.8197,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,15514600.0,,,,,25.5421,,,,50.1541,67.8552,67.8552,89.8618,,,,,2.3316,,,,,
