date,open,high,low,close,volume,ad_14_chaikin a/d,adosc_14_adosc,adx_14_adx,adxr_14_adxr,aroon_14_aroon down,aroon_14_aroon up,aroonosc_14_aroonosc,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,bop_14_bop,cci_20_cci,cmo_14_cmo,dema_14_dema,dx_14_dx,ema_12_ema,ema_14_ema,ema_26_ema,ht_dcperiod_14_dcperiod,ht_dcphase_14_ht_dcphase,ht_phasor_14_phase,ht_phasor_14_quadrature,ht_sine_14_lead sine,ht_sine_14_sine,ht_trendline_14_ht_trendline,ht_trendmode_14_trendmode,kama_14_kama,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,macdext_14_macd,macdext_14_macd_hist,macdext_14_macd_signal,mama_14_fama,mama_14_mama,midpoint_14_midpoint,midprice_14_midprice,minus_di_14_minus_di,mom_10_mom,natr_14_natr,obv_14_obv,plus_di_14_plus_di,roc_10_roc,rocr_14_rocr,rsi_14_rsi,sar_14_sar,sma_200_sma,sma_20_sma,sma_50_sma,stoch_14_slowd,stoch_14_slowk,stochf_14_fastd,stochf_14_fastk,stochrsi_14_fastd,stochrsi_14_fastk,t3_14_t3,tema_14_tema,trange_14_trange,trima_14_trima,trix_14_trix,ultosc_14_ultosc,willr_14_willr,wma_14_wma
2009-12-24,30.78,31.18,29.89,29.43,2323300,31455458.5598,5489067.1944,,,,,,,,,,0.0155,,,,,,,,,,,,,,,0,,,,,,,,,,,,,2.1328,,17837900.0,,7.8129,,,25.7053,,,,63.3416,80.445,80.445,91.5929,,,,,1.2326,,,,,
2009-12-31,30.89,31.14,30.21,28.93,863300,30722117.6996,5131456.7715,,,,,,,,,,-0.6559,,,,,27.4435,,,,,,,,,,0,,,,,,,,,,,,,1.8251,,16974600.0,,6.7325,,,25.9098,,,,78.4589,87.0767,87.0767,79.7753,,,,,0.8887,,,,,
2010-01-08,30.41,30.87,29.49,28.67,2348700,30109413.3518,4323714.145,,,,,,,,,,-0.2971,,,,,27.6317,,,,,,,,,,0,,,,,,,,,,,,,2.4558,,14625900.0,,9.3693,,,26.104,,,,81.9953,78.4642,78.4642,64.0244,,,,,1.3187,,,,,
2010-01-15,30.03,30.38,28.66,27.66,2880000,28200576.1425,2992851.7634,,,,,,,,,,-0.6279,,,,,27.6366,27.5466,,,,,,,,,0,,,,,,,,,,27.6109,27.3673,,1.7678,,11745900.0,,6.8266,,,26.2885,,,,72.812,52.8951,52.8951,14.8855,,,,,1.6436,27.4295,,,-43.8976,27.9312
2010-01-22,28.84,28.84,27.68,26.77,3766700,26553664.0213,1652313.1358,,,0.0,71.4286,71.4286,1.5675,,,,-0.7186,,-4.7376,,15.6576,27.5026,27.4424,,,,,,,,,0,27.6557,,,,,,,,,27.6109,27.6061,17.5178,-0.8504,5.8563,7979200.0,24.022,-3.0796,0.9805,47.6312,29.7944,,,,53.5874,29.403,29.403,9.299,,,,,1.2088,27.6232,,,-69.214,27.827
2010-01-29,27.98,29.24,27.83,26.87,1919300,25423863.312,594218.641,,,14.2857,64.2857,50.0,1.5517,,,,0.0993,,-3.6947,,19.5532,27.4053,27.3662,,,,,,,,,0,27.651,,,,,,,,,27.6109,27.6061,16.3579,-0.4109,5.7749,9898500.0,24.3098,-1.5061,0.9912,48.1527,29.761,,,,31.5188,12.2583,12.2583,12.5904,,,,,1.3473,27.8101,,,-66.8122,27.7419
2010-02-05,28.21,28.59,26.65,26.47,2509500,25630832.3842,173195.7214,,,7.1429,57.1429,50.0,1.5733,,,,-0.2629,,-7.4828,,4.2553,27.2613,27.2465,,,,,,,,,0,27.6436,,,,,,,,,27.6109,27.6061,20.3307,0.6784,5.944,7389000.0,22.1379,2.6306,1.0098,46.2586,29.7279,,,,19.0839,15.5903,15.5903,24.8815,,,,,1.8538,27.9431,,,-75.9825,27.6056
2010-02-12,27.73,28.39,27.38,27.05,3802600,28831040.305,1003461.9817,,,0.0,50.0,50.0,1.5299,,,,0.5743,,-1.2534,,4.2553,27.229,27.2206,,,,,,,,,0,27.6339,,,,,,,,,27.6109,27.63,19.3609,-0.1147,5.6553,11191600.0,21.0819,-0.4221,1.0446,49.3733,29.6427,,,,18.3913,27.3253,27.3253,44.504,,,,,0.9651,27.9803,,,-63.3554,27.5445
2010-02-19,28.1,28.41,27.66,26.77,1435900,28735313.6383,1221434.0596,,,85.7143,42.8571,-42.8571,1.4718,,,,-0.12,,-4.1943,,4.4955,27.1577,27.1599,,,,,,,,,0,27.6217,,,,,,,,,27.6109,27.63,18.6495,-0.6211,5.4988,9755700.0,20.4052,-2.268,0.9692,47.9029,29.5591,,,,27.8491,40.6317,40.6317,52.5097,,,,,0.7167,27.9157,,,-69.9779,27.4342
2010-02-26,28.0,28.42,27.82,27.04,1905600,29878673.6383,1563361.3587,,,78.5714,35.7143,-42.8571,1.4076,25.3316,27.3308,29.3301,0.5,-30.9727,-1.061,,4.6244,27.14,27.1442,,,,,,,,,0,27.618,,,,,,,,,27.6109,27.63,18.0772,-2.1596,5.2052,11661300.0,19.8302,-7.3953,0.9912,49.4695,29.4773,,27.3308,,40.5102,53.5734,53.5734,63.7066,,,,,0.5733,27.7984,,,-63.5762,27.369
2010-03-05,28.46,28.74,27.05,26.16,2464100,28376884.8809,1083275.0712,,,71.4286,28.5714,-42.8571,1.4224,25.2109,27.2741,29.3372,-0.6391,-68.3719,-10.2787,,5.9029,26.9897,27.0134,,,,,,,,,0,27.6063,,,,,,,,,27.7973,27.63,20.4177,-3.268,5.4367,9197200.0,18.1416,-11.1039,1.0144,44.8606,29.397,,27.2741,,48.1955,50.3815,50.3815,34.9282,50.9302,0.0,,,1.6149,27.6297,,,-83.8852,27.1888
2010-03-12,27.24,29.35,27.17,26.95,2816800,28221831.6699,739061.4708,,,64.2857,21.4286,-42.8571,1.4696,25.199,27.266,29.3329,0.4404,-25.7008,-1.2264,,2.4695,26.9831,27.0045,,,,,,,,,0,27.602,,,,,,,,,27.7973,27.63,18.2579,-1.9876,5.4537,12014000.0,19.1825,-6.8692,0.9919,49.3868,29.3184,,27.266,,51.1666,49.5449,49.5449,50.0,66.0686,98.2057,,,2.0831,27.4307,,,-65.7837,27.1095
2010-03-19,28.07,28.53,27.78,27.03,2197100,29012787.6699,782727.2279,,,57.1429,14.2857,-42.8571,1.4158,25.2936,27.3071,29.3205,0.2933,-30.1214,-0.2537,,2.4695,26.9907,27.0083,,,,,,,,,0,27.5973,,,,,,,,,27.7973,27.63,17.5693,-1.634,5.2374,14211100.0,18.459,-5.7,0.9871,49.8732,29.2413,,27.3071,,48.7356,46.2804,46.2804,53.913,66.0686,100.0,,,0.7167,27.2418,,,-63.7969,27.0438
2010-03-26,28.22,28.77,27.81,26.82,1768500,28202225.1699,471527.2214,,,50.0,7.1429,-42.8571,1.3802,25.4315,27.3534,29.2753,-0.1562,-34.7789,-2.7146,,5.8652,26.9649,26.9835,,,,,,,,,0,27.5345,,,,,,,,,27.7973,27.63,16.7011,-0.8409,5.1457,12442600.0,18.7823,-3.0397,0.9185,48.6427,29.1658,,27.3534,,48.4152,49.4203,49.4203,44.3478,91.2193,75.4521,,,0.9173,27.0685,,,-68.6534,26.9534
2010-04-01,28.06,28.42,27.75,26.75,2067100,27616032.6326,114836.2095,,,42.8571,0.0,-42.8571,1.3274,25.3744,27.3099,29.2454,-0.1045,-45.7756,-3.6456,,4.8821,26.9312,26.9519,,,,,,,,,0,27.4543,,,,,,,,,27.5488,27.6109,16.4237,-0.0191,4.9628,10375500.0,18.1096,-0.0714,0.9088,48.1772,29.0918,,27.3099,,47.3592,46.3768,46.3768,40.8696,80.5393,66.1658,,,0.6402,26.9384,,,-70.1559,26.8755
2010-04-09,27.68,28.19,27.52,26.74,2228300,28447487.8565,223031.4386,,,35.7143,0.0,-35.7143,1.2783,25.3311,27.2827,29.2343,0.4478,-56.6792,-3.7695,,1.0095,26.9013,26.9232,27.1948,,,,,,,,0,27.3939,,,,,,,,,27.415,27.4819,17.0886,-0.1338,4.781,8147200.0,17.4371,-0.4979,0.924,48.1152,29.0193,,27.2827,,45.5294,40.7911,40.7911,37.156,47.206,0.0,,,0.6402,26.8504,,,-68.4834,26.8219
2010-04-16,27.88,28.64,27.77,26.77,2935400,27199099.3507,-150196.9866,,,28.5714,0.0,-28.5714,1.2464,25.4865,27.3319,29.1773,0.1609,-39.5644,-3.1976,26.67,8.1548,26.8818,26.9034,27.1637,,,,,,,,0,27.3499,,,,,,,,,26.9134,27.2478,16.245,0.3058,4.655,11082600.0,19.1297,1.1552,0.934,48.4012,28.9482,,27.3319,,42.1699,39.3418,39.3418,40.0,27.4775,16.2667,,,0.8313,26.7963,,,-63.2708,26.7944
2010-04-23,28.02,28.73,27.9,27.05,1316200,27183241.5194,-294272.7445,6.654,,21.4286,0.0,-21.4286,1.214,25.478,27.3262,29.1743,0.3494,-27.1168,1.0599,26.7381,9.5609,26.908,26.9232,27.1554,,,,,,,,0,27.3441,,,,,,,,,26.6076,26.7557,15.4608,0.0,4.4876,12398800.0,18.7297,0.0,0.9779,50.53,28.8786,,27.3262,,42.3061,46.7853,46.7853,63.2,38.7556,100.0,,,0.7931,26.7871,,,-38.5185,26.8218
2010-04-30,28.21,28.73,27.69,26.77,1886200,26494053.0579,-545747.9973,6.5717,,14.2857,50.0,35.7143,1.1983,25.4323,27.2956,29.1589,-0.1827,-39.7261,-3.2391,26.7259,5.5024,26.8875,26.9034,27.1272,,,,,,,,0,27.3416,,,,,,,,,26.6076,26.7557,15.7502,0.0096,4.4753,10512600.0,17.5844,0.0357,1.0004,48.3804,28.8103,,27.2956,,44.7671,48.1741,48.1741,41.3223,42.4164,10.9826,,,0.9938,26.8016,,44.0342,-49.2593,26.818
2010-05-07,27.9,28.56,27.46,26.49,3937400,24398774.5353,-1265690.3127,6.1845,,7.1429,42.8571,35.7143,1.1875,25.486,27.1599,28.8337,-0.1642,-58.4446,-7.6173,26.6462,1.1502,26.8261,26.848,27.0799,,,,,,,,0,27.3302,,,,,,,,,26.6076,26.7557,16.0687,-0.5542,4.4832,6575200.0,16.4427,-2.0495,0.9858,46.1914,28.7434,,27.1599,,45.517,41.5917,41.5917,20.2527,36.9942,0.0,,,1.0478,26.8031,,40.2938,-60.3704,26.776
2010-05-14,28.48,31.48,27.56,29.46,6180300,28529485.2496,-130832.3679,8.3961,,0.0,100.0,100.0,1.3702,25.4797,27.1613,28.843,0.5995,163.2966,28.5003,27.3232,37.1475,27.2313,27.1963,27.2562,,,,,,,,0,27.5486,,,,,,,,,27.8116,27.9645,12.8553,3.2967,4.6512,12755500.0,28.0509,12.6004,1.113,64.2502,25.4657,,27.1613,,46.0766,48.4639,48.4639,83.8168,36.9942,100.0,,,3.7458,26.8489,,55.5164,-14.6727,27.1338
2010-05-21,30.78,31.75,28.46,27.72,5212700,25059633.2739,-758722.2584,10.6069,,21.4286,100.0,78.5714,1.4969,25.6016,27.1006,28.5997,-0.538,160.9653,6.0662,27.4368,39.3469,27.3066,27.2662,27.2906,,,,,,,,0,27.5508,,,,,,,,,27.8116,28.0935,10.8874,0.774,5.4,7542800.0,25.0131,2.8723,1.0247,53.0331,25.5118,,27.1006,,45.5905,46.7159,46.7159,36.0784,45.962,37.8859,,,3.1438,26.9057,,46.9548,-58.2979,27.2313
2010-05-28,28.81,30.4,28.42,28.91,8280500,32085512.0618,1288895.3334,12.6045,,14.2857,92.8571,78.5714,1.5251,25.5609,27.1126,28.6642,0.7273,168.0793,16.7325,27.8221,38.5733,27.5526,27.4848,27.4102,15.6467,,0.0579,0.5198,,,,0,27.6084,,,,,,,0.2831,5.1752,27.8116,28.0935,10.087,1.8729,5.2763,15823300.0,22.7555,6.9282,1.08,58.3663,25.6084,,27.1126,,52.2712,61.6339,61.6339,65.0064,68.4347,67.4181,,,1.892,27.0067,,51.6998,-31.9149,27.4804
2010-06-04,30.33,30.8,29.25,28.69,2993900,32066196.5779,2003238.9366,14.7069,,7.1429,85.7143,78.5714,1.522,25.481,27.1637,28.8464,-0.2,186.762,14.1435,28.0761,42.0389,27.727,27.645,27.5047,17.2074,,0.2278,0.2745,,,,0,27.641,0.1915,0.3639,-0.1724,-0.0497,0.2496,-0.2993,0.3088,5.4103,27.8116,28.0935,9.3738,1.8633,5.3057,12829400.0,22.9712,6.9469,1.0608,57.0718,25.703,,27.1637,,53.975,53.5752,53.5752,59.6407,55.1846,60.2498,,,1.4811,27.1424,,52.0034,-36.8085,27.6798
2010-06-11,30.07,30.58,28.82,28.24,3294700,31504599.987,1934667.9557,16.0372,,0.0,78.5714,78.5714,1.5334,25.5028,27.2373,28.9718,-0.2955,116.7533,8.8316,28.1659,33.3304,27.8054,27.7239,27.559,18.7438,,0.0257,1.4596,,,,0,27.6672,0.2204,0.3143,-0.0938,0.0179,0.2697,-0.2517,0.3354,5.6386,27.974,28.1508,10.5722,1.4907,5.4305,9534700.0,21.143,5.5734,1.0793,54.4158,25.7957,,27.2373,,57.5298,57.3804,57.3804,47.494,46.6649,12.3267,,,1.6818,27.3039,,51.9583,-48.0349,27.8036
2010-06-18,29.65,30.66,29.56,29.05,2116700,32620678.1688,2085853.0708,17.3302,,0.0,71.4286,71.4286,1.4996,25.4514,27.3462,29.2411,0.6818,139.704,16.4081,28.4368,34.1395,27.9967,27.9006,27.6693,20.1291,,1.262,2.3091,,,,0,27.7288,0.3054,0.3194,-0.014,0.2094,0.3945,-0.1852,0.3631,5.8727,27.974,28.291,10.03,2.3125,5.1625,11651400.0,20.4283,8.649,1.078,58.2041,25.8866,,27.3462,,55.4957,55.5314,55.5314,59.4595,56.5117,96.9586,,,1.0607,27.4903,,54.1448,-31.4942,28.016
2010-06-25,30.5,30.93,29.89,29.56,3198100,35818778.1688,2975655.7933,18.7296,,50.0,64.2857,14.2857,1.4635,25.4227,27.5006,29.5784,0.4135,141.9879,20.8264,28.7772,36.9216,28.2365,28.1212,27.8091,21.3892,,1.6475,-0.2325,,,,0,27.8272,0.4089,0.3383,0.0706,0.4387,0.5338,-0.0951,0.3918,6.1095,28.0218,28.291,9.5365,2.7807,4.9517,14849500.0,20.7005,10.3854,1.0933,60.4132,25.9756,,27.5006,,60.6321,68.9845,68.9845,100.0,69.7618,100.0,,,0.9938,27.7345,,57.9514,-19.1298,28.2759
2010-07-02,30.81,31.11,29.5,28.79,2483300,35278930.3427,2897382.0721,19.426,,42.8571,57.1429,14.2857,1.4689,25.4474,27.5875,29.7276,-0.4224,100.2655,11.2666,28.8564,28.4791,28.3218,28.2105,27.8818,23.0238,,1.0685,-0.3335,,,,0,27.8612,0.4243,0.283,0.1413,0.6154,0.6012,0.0142,0.4216,6.3363,28.0218,28.291,10.6499,1.7391,5.1018,12366200.0,19.1313,6.4288,1.0734,55.6333,26.0629,,27.5875,,65.5792,72.2216,72.2216,57.2052,72.4197,20.3004,,,1.5385,27.9764,,52.0063,-37.7931,28.4099
2010-07-09,30.35,30.35,29.11,28.06,1545400,34381601.3105,2316448.8511,19.5012,,35.7143,50.0,14.2857,1.4486,25.5374,27.6525,29.7676,-0.7903,48.3876,2.9344,28.734,20.4791,28.2823,28.1911,27.8953,23.8387,,1.344,-1.1669,,,,0,27.8653,0.3736,0.1858,0.1878,0.7461,0.6003,0.1458,0.4522,6.5536,28.0218,28.291,11.8804,1.29,5.1616,10820800.0,17.9996,4.818,1.0493,51.4672,26.1484,,27.6525,,67.2045,60.4076,60.4076,24.0175,40.1001,0.0,,,1.1849,28.1774,,55.6974,-55.5232,28.4283
2010-07-16,29.22,29.95,28.75,27.57,2632000,32188267.9771,1170329.3046,19.0694,,28.5714,42.8571,14.2857,1.427,25.5817,27.6788,29.7759,-0.3083,14.5172,-2.4483,28.5065,13.4562,28.1724,28.108,27.8711,23.8295,,0.3194,-1.7056,,,,0,27.8617,0.29,0.0818,0.2082,0.7927,0.5272,0.2655,0.4838,6.7637,28.0218,28.291,12.9327,1.0798,5.1764,8188800.0,16.9543,4.0765,1.0311,48.7759,26.2322,,27.6788,,53.7053,28.4867,28.4867,4.2373,6.7668,0.0,,28.4767,1.1467,28.3371,,47.2389,-67.6543,28.3679
2010-07-23,28.8,29.6,28.41,28.14,2078400,33742701.5906,1089661.1576,18.2149,12.4344,21.4286,35.7143,14.2857,1.4063,25.7922,27.7777,29.7631,0.5462,7.5341,3.8025,28.4617,7.1062,28.1676,28.1124,27.8911,23.7174,,0.3614,0.4496,,,,0,27.867,0.267,0.047,0.22,0.8537,0.4661,0.3876,0.5162,6.9775,28.0218,28.291,13.8459,-1.3187,4.9973,10267200.0,15.9643,-4.4762,1.051,51.9013,26.3144,,27.7777,,37.0507,22.2578,22.2578,38.5185,8.9522,26.8567,,28.3931,1.1371,28.4484,0.2356,50.9724,-53.6568,28.376
2010-07-30,29.5,30.15,28.75,28.37,1211600,34158107.3049,1089774.9922,18.0109,12.2913,14.2857,28.5714,14.2857,1.4014,25.8857,27.8489,29.812,0.1357,33.5125,6.2661,28.4794,15.3589,28.1988,28.1469,27.9266,23.6268,,0.9324,-0.648,,,,0,27.8762,0.2641,0.0353,0.2288,0.9529,0.4443,0.5086,0.5496,7.1915,28.0218,28.291,12.8921,0.6498,4.9397,11478800.0,17.5709,2.344,1.0487,53.1331,26.3949,,27.8489,,26.9329,30.0544,30.0544,47.4074,30.1323,63.5401,,28.4054,1.3378,28.5279,0.2286,54.1004,-48.0579,28.4016
2010-08-06,30.01,30.07,27.8,27.23,3073600,32980119.6397,615936.85,16.7959,11.4902,7.1429,21.4286,14.2857,1.4563,25.9105,27.8589,29.8073,-0.6652,-31.1951,-6.5176,28.2077,1.0012,28.0503,28.0251,27.8753,23.1814,,0.3095,-2.3558,,,,0,27.8713,0.1682,-0.0485,0.2167,0.7379,0.1418,0.5961,0.5838,7.3919,28.0218,28.291,16.0014,-1.6722,5.3473,8405200.0,15.6842,-5.7851,1.0171,46.7412,26.4737,,27.8589,,30.0348,37.7923,37.7923,27.451,30.1323,0.0,,28.0137,2.1691,28.5539,0.2114,49.1725,-75.8194,28.2631
2010-08-13,28.5,30.3,28.0,27.05,1968000,31542623.9875,-91285.2657,15.782,12.089,0.0,14.2857,14.2857,1.5092,25.9439,27.8704,29.7968,-0.0826,-28.4371,-8.4121,27.9411,2.6003,27.8967,27.8953,27.8143,22.5608,,-0.5986,-2.1762,,,,0,27.8642,0.0766,-0.112,0.1887,0.6822,0.0123,0.6699,0.6189,7.5885,28.3037,28.3371,14.3233,-1.634,5.579,6437200.0,15.0881,-5.6962,1.0213,45.7939,26.5511,,27.8704,,33.1998,31.7528,31.7528,20.4,21.18,0.0,,27.6545,2.1978,28.4945,0.1862,41.6234,-82.1002,28.096
2010-08-20,28.14,28.66,27.97,27.2,1693600,32303516.7411,-130202.5037,14.8039,12.7054,0.0,7.1429,7.1429,1.4485,26.0105,27.8933,29.7761,0.4783,-76.9134,-6.4556,27.7632,2.089,27.7903,27.8033,27.7691,22.3006,,-1.2715,-0.9948,,,,0,27.8344,0.0162,-0.138,0.1542,0.5235,-0.1813,0.7048,0.6547,7.7846,28.3037,28.4518,13.9964,-1.032,5.3245,8130800.0,14.5936,-3.6548,0.9235,46.7722,26.5646,,27.8933,,31.4763,24.8837,24.8837,26.8,4.4431,13.3293,,27.4403,0.6593,28.352,0.1581,41.2922,-83.038,27.944
2010-08-27,28.46,28.5,27.4,26.68,1380200,32228233.1048,-158240.485,14.2721,13.4383,100.0,0.0,-100.0,1.4201,26.0004,27.8904,29.7804,-0.4909,-116.8087,-12.3138,27.4888,7.3583,27.6193,27.6534,27.6884,22.5134,,-1.1547,0.8222,,,,0,27.8107,-0.0732,-0.1819,0.1087,0.3703,-0.3269,0.6972,0.6913,7.9736,28.1174,27.9549,16.011,-2.3698,5.323,6750600.0,13.8162,-8.1579,0.9624,43.8431,30.339,,27.8904,,26.1156,21.7103,21.7103,17.931,4.4431,0.0,,27.101,1.0511,28.1967,0.1246,44.2324,-85.9838,27.7433
2010-09-03,27.67,28.49,27.42,26.9,2264900,33053757.4038,107341.7529,13.7782,14.2426,92.8571,35.7143,-57.1429,1.3917,26.0206,27.8966,29.7727,0.4486,-107.9156,-9.2331,27.323,7.3583,27.5085,27.5528,27.6299,22.6942,,-0.3904,0.6958,,,,0,27.7594,-0.1249,-0.1869,0.062,0.2305,-0.4239,0.6544,0.7286,8.1628,28.1174,27.9549,15.1648,-2.6565,5.1739,9015500.0,13.086,-8.988,0.9306,45.3834,30.2975,,27.8966,,23.375,23.531,23.531,25.8621,21.9724,52.588,,26.9304,1.0224,28.0233,0.0907,47.2629,-79.7844,27.5818
2010-09-10,28.05,28.43,27.53,26.61,1201500,32706657.4038,95789.7817,13.3197,14.6784,85.7143,28.5714,-57.1429,1.3537,25.9499,27.8747,29.7994,-0.2222,-110.8753,-12.6006,27.1195,7.3583,27.3707,27.4274,27.5546,22.4938,,-0.5703,-0.7849,,,,0,27.6926,-0.1869,-0.1991,0.0122,0.0403,-0.5357,0.576,0.7667,8.3473,28.0839,27.9549,14.472,-2.1787,5.0869,7814000.0,12.4882,-7.5672,0.9277,43.6997,30.2563,,27.8747,,21.6705,19.7701,19.7701,15.5172,17.5293,0.0,,26.7117,0.86,27.8466,0.0557,43.5107,-87.8706,27.4013
2010-09-17,27.8,28.75,27.4,26.76,2530900,32421274.021,-8447.9903,12.4266,14.8784,78.5714,21.4286,-57.1429,1.3491,25.9467,27.8737,29.8007,0.1484,-99.5588,-10.3952,26.9934,0.8166,27.276,27.3378,27.4954,22.0313,,-1.0413,-0.326,,,,0,27.6564,-0.2218,-0.1873,-0.0346,-0.1824,-0.65,0.4677,0.8056,8.5314,28.0839,27.9549,13.4787,-1.3091,5.0421,10344900.0,13.2604,-4.6646,0.9475,44.8024,30.2156,,27.8737,,23.9697,28.6079,28.6079,44.4444,29.4924,35.8891,,26.6082,1.2881,27.6507,0.0227,41.8603,-83.8275,27.2596
2010-09-24,28.0,28.75,27.51,27.13,1980300,33251722.4081,213910.8617,11.5973,15.1634,71.4286,14.2857,-57.1429,1.3373,26.052,27.9057,29.7594,0.3145,-88.065,-4.6559,26.9872,0.8166,27.2533,27.3099,27.4682,21.6785,,-0.9044,0.1019,,,,0,27.624,-0.217,-0.1459,-0.0711,-0.3327,-0.6685,0.3358,0.8451,8.7174,28.0839,27.9549,12.6206,-0.4396,4.9296,12325200.0,12.4162,-1.5945,0.9339,47.6721,30.1753,,27.9057,27.4454,30.9366,44.4317,44.4317,73.3333,45.2964,100.0,,26.6722,1.1849,27.4505,-0.0043,45.7018,-73.3154,27.1817
2010-10-01,28.0,28.74,27.04,27.06,14029600,40349049.467,2543669.8324,11.4934,15.4597,100.0,7.1429,-92.8571,1.3578,26.0428,27.7858,29.5288,0.1882,-92.8159,-5.6045,26.9684,10.1432,27.2238,27.2768,27.4381,21.6357,,-0.9631,0.3159,,,,0,27.5664,-0.2161,-0.116,-0.1001,-0.4284,-0.6108,0.1824,0.8854,8.9008,27.7017,27.7829,13.9117,-1.0798,5.0176,-1704400.0,11.3494,-3.837,0.9156,47.1978,30.1353,,27.7858,27.4406,45.75,64.2105,64.2105,74.8538,74.6497,88.06,,26.7078,1.6245,27.283,-0.0266,54.5021,-68.5504,27.1132
2010-10-08,28.3,28.42,27.51,26.76,4209700,40672872.5439,3368544.951,11.397,15.4491,92.8571,0.0,-92.8571,1.323,25.9375,27.7375,29.5376,-0.3297,-87.3692,-10.0121,26.8798,10.1432,27.1518,27.2073,27.3875,21.709,,-0.6941,0.9951,,,,0,27.4979,-0.2373,-0.1097,-0.1275,-0.4968,-0.542,0.0452,0.9264,9.0794,27.4915,27.4198,13.2552,-1.6149,4.9446,-5914100.0,10.8138,-5.6922,0.9293,44.9939,30.0494,,27.7375,27.4336,58.9171,68.1092,68.1092,56.1404,73.547,32.5809,,26.6374,0.8696,27.1521,-0.0474,53.8893,-70.997,27.0276
