date,open,high,low,close,volume,adx_14_adx,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,ema_14_ema,ema_7_ema,mfi_14_mfi,mom_10_mom,roc_10_roc,rsi_14_rsi,sar_14_sar,sma_14_sma,sma_7_sma
2025-10-10,28.65,30.0,24.3,29.08,32301863,,,,,,,,,,,,,,
2025-10-17,28.11,32.39,26.71,27.0,20552254,,,,,,,,,,,,24.3,,
2025-10-24,27.6,28.0,18.7,23.54,28767553,,,,,,,,,,,,32.39,,
2025-10-31,25.52,30.9,23.0,26.21,27191474,,,,,,,,,,,,32.39,,
2025-11-07,27.58,29.31,22.78,24.35,15230346,,,,,,,,,,,,32.2531,,
2025-11-14,24.6,25.7,16.3,18.29,26476873,,,,,,,,,,,,32.1176,,
2025-11-21,18.04,19.22,13.64,14.34,23190076,,,,,,,23.2586,,,,,31.8012,,23.2586
2025-11-28,13.84,16.89,12.88,16.49,16098099,,,,,,,21.5664,,,,,31.2564,,21.46
2025-12-05,16.3,16.75,14.11,15.16,17879719,,,,,,,19.9648,,,,,30.5211,,19.7686
2025-12-12,15.15,16.66,8.3,10.09,75702634,,,,,,,17.4961,,,,,29.8153,,17.8471
2025-12-19,10.23,10.24,8.02,8.44,49226383,,,,,,,15.2321,,-20.64,-70.9766,,28.7395,,15.3086
2025-12-26,8.49,9.32,7.52,7.62,19712686,,,,,,,13.3291,,-19.38,-71.7778,,27.4963,,12.9186
2026-01-02,7.45,9.22,7.28,8.82,26008796,,,,,,,12.2018,,-14.72,-62.5319,,26.0977,,11.5657
2026-01-09,9.1,9.74,8.24,9.18,46557748,,,,,,17.0436,11.4463,,-17.03,-64.9752,,24.5922,17.0436,10.8286
2026-01-16,9.21,10.57,8.95,10.12,33044621,,4.8924,,,,16.1211,11.116,36.5485,-14.225,-58.4189,21.7974,23.2073,15.6896,9.9193
2026-01-23,9.72,10.27,8.69,9.8,25905242,,4.6557,,,,15.2783,10.787,28.6751,-8.49,-46.4188,21.5727,21.9331,14.4611,9.1536
2026-01-30,9.66,10.15,8.71,8.72,23555601,,4.426,,,,14.4038,10.2703,31.0798,-5.62,-39.1911,20.8052,20.7608,13.4025,8.9579
2026-02-06,8.71,8.91,7.18,8.0,26681792,,4.2334,,,,13.55,9.7027,19.5959,-8.49,-51.4857,20.287,19.6824,12.1018,8.895
2026-02-13,8.13,10.59,7.93,10.29,41153263,,4.121,,,,13.1153,9.8495,27.5602,-4.87,-32.124,26.5526,18.5572,11.0975,9.2764
2026-02-20,10.05,10.08,9.0,9.12,21536005,,3.9188,0.3804,14.7333,29.0861,12.5826,9.6671,29.5287,-0.97,-9.6135,25.4519,17.5332,10.4425,9.3193
2026-02-27,8.96,12.05,8.61,9.97,51319882,,3.8846,0.9044,13.7778,26.6511,12.2343,9.7429,39.5197,1.53,18.128,27.7938,16.6014,10.1304,9.4321
2026-03-06,9.76,10.29,7.97,8.01,34607096,,3.7729,1.2608,12.8283,24.3957,11.671,9.3096,39.071,0.39,5.1181,25.7825,15.7535,9.5246,9.13
2026-03-13,7.88,8.79,7.6,7.96,34826734,,3.588,1.4111,12.0493,22.6874,11.1762,8.9722,39.0026,-0.86,-9.7506,25.7313,14.9819,9.0104,8.8671
2026-03-20,8.11,8.37,7.17,7.2,34155979,,3.4172,2.4875,11.0988,19.71,10.6461,8.5292,44.7958,-1.98,-21.5686,24.9219,14.2797,8.8039,8.65
2026-03-27,7.28,7.72,5.93,6.18,51302569,,3.3009,3.8206,10.1903,16.5599,10.0506,7.9419,45.8749,-3.945,-38.963,23.8381,13.5687,8.6425,8.39
2026-04-02,4.95,5.98,4.63,5.36,90108309,,3.1759,4.025,9.5435,15.062,9.4245,7.2952,42.5729,-4.445,-45.3571,22.968,12.7285,8.4807,7.685
2026-04-10,5.37,5.62,4.47,4.87,67172556,,3.0315,3.6549,9.07,14.4851,8.8172,6.6889,36.6637,-3.85,-44.1514,22.4493,11.7567,8.1986,7.0779
2026-04-15,4.81,6.04,4.73,5.83,36072121,48.6524,2.9086,4.1466,8.537,12.9274,8.4189,6.4742,33.4144,-2.17,-27.125,26.0113,10.8094,7.9593,6.4864
