date,open,high,low,close,volume,ad_14_chaikin a/d,adosc_14_adosc,aroon_14_aroon down,aroon_14_aroon up,aroonosc_14_aroonosc,atr_14_atr,bop_14_bop,cmo_14_cmo,dx_14_dx,ema_12_ema,ema_14_ema,ht_trendmode_14_trendmode,kama_14_kama,mfi_14_mfi,midpoint_14_midpoint,midprice_14_midprice,minus_di_14_minus_di,mom_10_mom,natr_14_natr,obv_14_obv,plus_di_14_plus_di,roc_10_roc,rocr_14_rocr,rsi_14_rsi,sar_14_sar,stoch_14_slowd,stoch_14_slowk,stochf_14_fastd,stochf_14_fastk,trange_14_trange,trima_14_trima,willr_14_willr,wma_14_wma
2025-08-29,1.38,1.5,0.91,0.91,7181902,-7177051.0024,,,,,,-0.797,,,,,0,,,,,,,,7181902.0,,,,,,,,,,,,,
2025-09-05,0.88,1.04,0.84,0.95,2624891,-6917186.7934,,,,,,0.3495,,,,,0,,,,,,,,9806793.0,,,,,1.5,,,,,0.2,,,
2025-09-12,0.93,1.1,0.83,1.0,2595275,-6244337.7193,,,,,,0.2593,,,,,0,,,,,,,,12402068.0,,,,,1.4934,,,,,0.27,,,
2025-09-19,1.04,1.21,0.94,0.97,4642125,-9958037.7193,,,,,,-0.275,,,,,0,,,,,,,,7759943.0,,,,,1.4801,,,,,0.272,,,
2025-09-26,0.92,0.99,0.85,0.88,1106901,-10628641.9748,,,,,,-0.3285,,,,,0,,,,,,,,6653042.0,,,,,1.4671,,,,,0.137,,,
2025-10-03,0.88,0.92,0.84,0.87,659793,-10727705.7819,,,,,,-0.0613,,,,,0,,,,,,,,5993249.0,,,,,1.4544,,,,,0.08,,,
2025-10-10,0.89,0.9,0.75,0.76,1281972,-11850727.0757,,,,,,-0.8706,,,,,0,,,,,,,,4711277.0,,,,,1.4419,,,7.0147,2.0026,0.1484,,,
2025-10-17,0.8,0.83,0.75,0.77,466710,-12065116.8283,,,,,,-0.3186,,,,,0,,,,,,,,5177987.0,,,,,1.4212,,,6.1902,4.9891,0.0849,,,
2025-10-24,0.78,0.79,0.72,0.75,271319,-12141455.4305,,,,,,-0.3907,,,,,0,,,,,,,,4906668.0,,,,,1.3943,6.2728,5.6133,5.6133,9.8481,0.074,,,
2025-10-31,0.76,0.77,0.7,0.72,535152,-12443256.2677,-1583458.3258,,,,,-0.6346,,,,,0,,,,,,,,4371516.0,,,,,1.3606,6.3407,7.2185,7.2185,6.8182,0.0688,,,
2025-11-07,0.73,0.73,0.58,0.58,494751,-12909186.8211,-1541305.9792,,,,,-0.9417,,,,,0,,,,,,-0.3281,,3876765.0,,-36.1344,,,1.321,6.2836,6.019,6.019,1.3906,0.1545,,,
2025-11-14,0.57,0.59,0.52,0.56,495574,-12787545.9302,-1345239.1921,,,,,-0.1803,,,0.8094,,0,,,,,,-0.3888,,3381191.0,,-40.9306,,,1.2688,6.7748,7.0868,7.0868,13.0518,0.066,,,
2025-11-21,0.58,0.58,0.51,0.51,270585,-13056668.3086,-1228365.4276,,,,,-0.9973,,,0.7633,,0,,,,,,-0.4898,,3110606.0,,-48.98,,,1.2089,5.9811,4.8376,4.8376,0.0704,0.074,,,
2025-11-28,0.52,0.6,0.51,0.56,459542,-13001909.7992,-1051460.6867,,,,,0.5339,,,0.7322,0.7703,0,,,0.7551,1.005,,-0.4041,,3570148.0,,-41.867,,,1.146,7.6267,10.9557,10.9557,19.745,0.0886,0.78,-94.8384,0.6884
2025-12-05,0.58,0.69,0.58,0.61,679208,-13225145.995,-954532.9289,85.7143,0.0,-85.7143,0.1319,0.3357,-41.2979,27.3216,0.714,0.7494,0,0.5663,54.2267,0.7551,0.86,26.6989,-0.266,21.4878,4249356.0,15.2404,-30.2273,0.6762,29.351,1.0887,12.7211,22.3699,22.3699,47.2942,0.1289,0.7434,-85.1429,0.6676
2025-12-12,0.61,0.63,0.54,0.54,198927,-13417397.5923,-889275.9063,78.5714,14.2857,-64.2857,0.1289,-0.811,-47.3866,31.3687,0.6869,0.7212,0,0.5617,64.5191,0.7551,0.86,27.6294,-0.3365,23.9808,4050429.0,14.4345,-38.5011,0.5658,26.3067,1.0366,20.2549,27.439,27.439,15.2778,0.0894,0.7055,-96.0714,0.6393
2025-12-19,0.54,0.55,0.49,0.49,203193,-13620590.5923,-846388.9056,100.0,7.1429,-92.8571,0.1236,-0.7291,-50.4676,35.3901,0.6573,0.691,0,0.5466,54.8735,0.73,0.8524,29.2236,-0.2649,24.9785,3847236.0,13.9459,-34.8644,0.4949,24.7662,0.9893,23.5554,20.8573,20.8573,0.0,0.055,0.6673,-100.0,0.6094
2025-12-26,0.49,0.64,0.49,0.61,449105,-13338296.0209,-662078.7775,100.0,0.0,-100.0,0.1253,0.8143,-28.6107,19.4205,0.65,0.6802,0,0.5533,17.2364,0.6874,0.74,26.6292,-0.1632,20.5492,4296341.0,17.9681,-21.1204,0.6317,35.6947,0.9398,24.4463,25.0426,25.0426,59.85,0.147,0.6347,-76.06,0.5995
