date,open,high,low,close,volume,ad_14_chaikin a/d,adosc_14_adosc,adxr_14_adxr,apo_14_apo,aroon_14_aroon down,aroon_14_aroon up,aroonosc_14_aroonosc,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,bop_14_bop,cci_20_cci,cmo_14_cmo,dema_14_dema,dx_14_dx,ema_12_ema,ema_14_ema,ema_26_ema,ht_dcperiod_14_dcperiod,ht_dcphase_14_ht_dcphase,ht_phasor_14_phase,ht_phasor_14_quadrature,ht_sine_14_lead sine,ht_sine_14_sine,ht_trendline_14_ht_trendline,ht_trendmode_14_trendmode,kama_14_kama,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,macdext_14_macd,macdext_14_macd_hist,macdext_14_macd_signal,mama_14_fama,mama_14_mama,mfi_14_mfi,midpoint_14_midpoint,midprice_14_midprice,minus_di_14_minus_di,mom_10_mom,natr_14_natr,obv_14_obv,plus_di_14_plus_di,ppo_14_ppo,roc_10_roc,rocr_14_rocr,rsi_14_rsi,sar_14_sar,sma_200_sma,sma_20_sma,sma_50_sma,stoch_14_slowd,stoch_14_slowk,stochf_14_fastd,stochf_14_fastk,stochrsi_14_fastd,stochrsi_14_fastk,t3_14_t3,tema_14_tema,trange_14_trange,trima_14_trima,trix_14_trix,ultosc_14_ultosc,willr_14_willr,wma_14_wma
2005-07-29,24.9,24.9,23.65,20.37,788800,82035.2,,,,,,,,,,,-0.448,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,788800.0,,,,,,,,,,,,,,,,,,,,,,,
2005-08-05,24.23,26.0,23.15,19.56,1921000,-1542389.3614,,,,,,,,,,,-0.3018,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,-1132200.0,,,,,,21.7639,,,,,,,,,,,,2.3857,,,,,
2005-08-12,23.5,24.52,21.26,18.67,34415000,-13999352.5516,,,,,,,,,,,-0.3681,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,-35547200.0,,,,,,21.7639,,,,,,,,,,,,2.7289,,,,,
2005-08-19,22.5,22.58,20.69,18.12,14065200,-13776095.4087,,,,,,,,,,,-0.4497,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,-49612400.0,,,,,,21.7639,,,,,,,,,,,,1.5821,,,,,
2005-08-26,21.7,22.53,21.2,18.51,10393800,-9946800.6719,,,,,,,,,,,0.3083,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,-39218600.0,,,,,,21.6306,,,,,,,,,,,,1.1133,,,,,
2005-09-02,22.05,22.63,21.72,18.73,7114000,-6897943.529,,,,,,,,,,,0.3516,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,-32104600.0,,,,,,21.5013,,,,,,,,,,,,0.7617,,,,,
2005-09-09,21.69,22.97,21.69,18.47,9123400,-10746877.904,,,,,,,,,,,0.2891,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,-41228000.0,,,,,,21.3758,,,,,,31.3835,35.7702,,,,,1.0715,,,,,
2005-09-16,21.95,22.79,20.75,17.58,9399000,-17842201.4334,,,,,,,,,,,-0.4657,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,-50627000.0,,,,,,21.2541,,,,,,27.0017,13.5965,,,,,1.7076,,,,,
2005-09-23,20.8,21.5,18.61,16.81,8613400,-17693180.6722,,,,,,,,,,,-0.2491,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,-59240400.0,,,,,,21.136,,,,28.6931,27.6941,27.6941,33.7156,,,,,2.4191,,,,,
2005-09-30,20.03,20.33,19.52,16.58,8621200,-20141175.7339,-5752001.1439,,,,,,,,,,-0.2716,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,-67861600.0,,,,,,20.9137,,,,26.5469,24.945,24.945,27.5229,,,,,0.678,,,,,
2005-10-07,20.41,21.25,19.66,16.83,6298000,-22953490.1993,-6303935.8245,,,,,,,,,,-0.195,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,-3.5492,,-61563600.0,,,-17.4199,,,20.7003,,,,28.1478,31.8043,31.8043,34.1743,,,,,1.3309,,,,,
2005-10-14,20.0,20.96,19.3,16.86,5219800,-22890601.0427,-5936632.0236,,,,,,,,,,0.0843,,,,,18.0899,,,,,,,,,,0,,,,,,,,,,,,,,-2.7038,,-56343800.0,,,-13.8211,,,20.4954,,,,29.8387,32.7667,32.7667,36.6029,,,,,1.3895,,,,,
2005-10-21,20.08,20.58,18.98,16.39,4748200,-24077651.0427,-5624375.2847,,,,,,,,,,-0.3125,,,,,17.8284,,,,,,,,,,0,,,,,,,,,,,,,,-2.2768,,-61092000.0,,,-12.1973,,,20.2987,,,,33.1171,34.7804,34.7804,33.564,,,,,1.3393,,,,,
2005-10-28,19.62,19.62,18.51,15.72,5873200,-27093618.6103,-5944953.0917,,,,,,,,,,-0.7568,,,,,17.504,17.7992,,,,,,,,,0,,,,,,,,,,,18.0473,18.6291,,-2.4024,,-66965200.0,,,-13.2564,,,20.1099,,,,31.4069,26.6736,26.6736,9.854,,,,,0.9292,17.7738,,,-96.3952,17.1467
2005-11-04,18.6,24.12,18.49,19.03,18340000,-17811213.2097,-2582155.6497,,,100.0,7.1429,-92.8571,1.7249,,,,0.7328,,-13.8674,,4.4023,17.7383,17.9629,,,,,,,,,0,15.7927,,,,,,,,,35.965,17.6414,18.6211,22.8468,0.519,9.0657,-48625200.0,24.951,,2.8042,0.9339,43.0663,15.4784,,,,33.6763,39.5748,39.5748,75.3064,,,,,4.7119,17.52,,,-43.5477,17.3104
2005-11-11,22.8,22.9,21.38,18.0,7171000,-23849950.0518,-2893140.6323,,,92.8571,0.0,-92.8571,1.6926,,,,-0.8553,,-22.6881,,4.4023,17.7781,17.9674,,,,,,,,,0,15.8487,,,,,,,,,39.6152,17.3735,18.0017,21.5495,-0.7283,9.4048,-55796200.0,23.5342,,-3.8891,0.92,38.656,15.4784,,,,37.4846,46.2053,46.2053,53.4553,,,,,1.2724,17.3373,,,-50.0912,17.3496
