date,open,high,low,close,volume,ema_7_ema,sar_14_sar,sma_7_sma
2026-02-20,10.93,12.0,10.76,11.99,2416831,,,
2026-02-27,11.98,12.21,11.52,11.7,3635707,,10.76,
2026-03-06,11.52,12.02,10.45,10.5,2508490,,12.21,
2026-03-13,10.71,10.81,9.0,9.39,3129497,,12.21,
2026-03-20,9.52,10.11,8.66,8.97,1895205,,12.1458,
2026-03-27,8.97,9.37,6.9,6.91,3821138,,12.0412,
2026-04-02,7.07,7.56,6.77,7.18,4365357,9.52,11.8356,9.52
2026-04-10,7.18,8.27,6.46,7.1,2990916,8.915,11.5823,8.8214
2026-04-15,6.98,8.05,6.98,7.82,2113690,8.6412,11.275,8.2671
