date,open,high,low,close,volume,ad_14_chaikin a/d,adosc_14_adosc,adx_14_adx,adxr_14_adxr,apo_14_apo,aroon_14_aroon down,aroon_14_aroon up,aroonosc_14_aroonosc,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,bop_14_bop,cci_20_cci,cmo_14_cmo,dema_14_dema,dx_14_dx,ema_12_ema,ema_14_ema,ema_26_ema,ht_dcperiod_14_dcperiod,ht_dcphase_14_ht_dcphase,ht_phasor_14_phase,ht_phasor_14_quadrature,ht_sine_14_lead sine,ht_sine_14_sine,ht_trendline_14_ht_trendline,ht_trendmode_14_trendmode,kama_14_kama,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,macdext_14_macd,macdext_14_macd_hist,macdext_14_macd_signal,mama_14_fama,mama_14_mama,mfi_14_mfi,midpoint_14_midpoint,midprice_14_midprice,minus_di_14_minus_di,mom_10_mom,natr_14_natr,obv_14_obv,plus_di_14_plus_di,ppo_14_ppo,roc_10_roc,rocr_14_rocr,rsi_14_rsi,sar_14_sar,sma_20_sma,sma_50_sma,stoch_14_slowd,stoch_14_slowk,stochf_14_fastd,stochf_14_fastk,stochrsi_14_fastd,stochrsi_14_fastk,tema_14_tema,trange_14_trange,trima_14_trima,trix_14_trix,ultosc_14_ultosc,willr_14_willr,wma_14_wma
2022-12-09,32.6,36.13,31.38,28.84,106000,-78328.4211,,,,,,,,,,,,-0.1263,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,106000.0,,,,,,,,,,,,,,,,,,,,,
2022-12-16,32.14,33.64,26.76,24.44,17833086,-16097001.6013,,,,,,,,,,,,-0.7311,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,-17727086.0,,,,,,32.5657,,,,,,,,,,6.2013,,,,,
2022-12-23,27.12,29.6,27.1,25.27,15499895,-19940975.5613,,,,,,,,,,,,0.368,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,-2227191.0,,,,,,32.4813,,,,,,,,,,2.2534,,,,,
2022-12-30,28.16,29.87,27.88,25.84,4896448,-20949791.4809,,,,,,,,,,,,0.2563,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,2669257.0,,,,,,32.3977,,,,,,,,,,1.7937,,,,,
2023-01-06,29.0,29.97,28.26,26.84,5260866,-16858006.8142,,,,,,,,,,,,0.4561,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,7930123.0,,,,,,32.3149,,,,,,,,,,1.5413,,,,,
2023-01-13,30.5,32.01,30.03,28.74,7377656,-10374612.1475,,,,,,,,,,,,0.702,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,15307779.0,,,,,,32.2329,,,,,,,,,,2.01,,,,,
2023-01-20,32.47,32.48,30.94,28.84,4755524,-8573976.8466,,,,,,,,,,,,-0.3042,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,20063303.0,,,,,,32.1518,,,,,65.9575,91.0781,,,,1.3926,,,,,
2023-01-27,32.26,32.84,31.26,29.29,7241797,-4458796.964,,,,,,,,,,,,0.1524,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,27305100.0,,,,,,32.0715,,,,,86.2624,93.1452,,,,1.4196,,,,,
2023-02-03,32.11,34.01,31.55,30.38,8995124,2269263.2636,,,,,,,,,,,,0.6463,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,36300224.0,,,,,,31.992,,,81.7213,92.944,92.944,94.6087,,,,2.2173,,,,,
2023-02-10,33.29,35.79,32.98,31.26,10530476,4480288.4736,5700059.3399,,,,,,,,,,,0.4947,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,46830700.0,,,,,,24.1201,,,89.5669,89.4943,89.4943,80.7292,,,,2.5328,,,,,
2023-02-17,34.67,35.99,34.61,31.64,10738351,1367722.9663,4827311.886,,,,,,,,,,,0.3116,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,2.7942,,57569051.0,,,9.6875,,,24.2015,,,89.4496,85.9105,85.9105,82.3937,,,,1.2439,,,,,
2023-02-24,34.75,35.0,33.36,30.6,7108168,-653866.0979,3388199.4175,,,,,,,,,,,-0.4893,,,,,28.4992,,,,,,,,,,0,,,,,,,,,,,,,,6.1652,,50460883.0,,,25.2305,,,24.3663,,,82.907,73.3161,73.3161,56.8254,,,,1.5638,,,,,
2023-03-03,34.0,34.5,33.21,31.19,6845139,3856496.8091,3926568.9311,,,,,,,,,,,0.2171,,,,,28.9137,,,,,,,,,,0,,,,,,,,,,,,,,5.9196,,57306022.0,,,23.4217,,,24.5277,,,76.1956,69.3602,69.3602,68.8615,,,,1.1738,,,,,
2023-03-10,34.19,34.7,31.4,28.79,14522510,-8553648.1,-158832.2782,,,,,,,,,,,-0.7727,,,,,28.8948,28.7125,,,,,,,,,0,,,,,,,,,,,28.0365,28.3429,,2.9494,,42783512.0,,,11.4134,,,24.686,,,62.1515,43.7782,43.7782,5.6478,,,,3.0029,28.9038,,,-44.6934,29.6153
