date,open,high,low,close,volume,ad_14_chaikin a/d,adosc_14_adosc,adx_14_adx,adxr_14_adxr,apo_14_apo,aroon_14_aroon down,aroon_14_aroon up,aroonosc_14_aroonosc,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,bop_14_bop,cci_20_cci,cmo_14_cmo,dema_14_dema,dx_14_dx,ema_12_ema,ema_14_ema,ema_26_ema,ht_dcperiod_14_dcperiod,ht_dcphase_14_ht_dcphase,ht_phasor_14_phase,ht_phasor_14_quadrature,ht_sine_14_lead sine,ht_sine_14_sine,ht_trendline_14_ht_trendline,ht_trendmode_14_trendmode,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,macdext_14_macd,macdext_14_macd_hist,macdext_14_macd_signal,mama_14_fama,mama_14_mama,mfi_14_mfi,midpoint_14_midpoint,midprice_14_midprice,minus_di_14_minus_di,mom_10_mom,natr_14_natr,obv_14_obv,plus_di_14_plus_di,ppo_14_ppo,roc_10_roc,rocr_14_rocr,rsi_14_rsi,sar_14_sar,sma_200_sma,sma_20_sma,sma_50_sma,stoch_14_slowd,stoch_14_slowk,stochf_14_fastd,stochf_14_fastk,stochrsi_14_fastd,stochrsi_14_fastk,t3_14_t3,tema_14_tema,trange_14_trange,trima_14_trima,trix_14_trix,ultosc_14_ultosc,willr_14_willr,wma_14_wma
2007-04-20,74.95,75.36,74.94,41.83,200600,105076.1905,,,,,,,,,,,,0.7381,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,200600.0,,,,,,,,,,,,,,,,,,,,,,,
2007-04-27,75.28,75.55,75.14,41.82,498100,-138385.3705,,,,,,,,,,,,-0.0859,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,-297500.0,,,,,,41.6492,,,,,,,,,,,,0.2279,,,,,
2007-05-04,75.42,75.49,75.06,41.94,172600,-42496.4816,,,,,,,,,,,,0.1303,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,-124900.0,,,,,,41.6526,,,,,,,,,,,,0.2004,,,,,
2007-05-11,75.36,75.52,75.26,41.91,299900,-296471.0488,,,,,,,,,,,,-0.3078,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,-424800.0,,,,,,41.656,,,,,,,,,,,,0.1447,,,,,
2007-05-18,75.3,75.3,74.93,41.72,264300,-546484.5623,,,,,,,,,,,,-0.973,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,-689100.0,,,,,,41.6637,,,,,,,,,,,,0.206,,,,,
2007-05-25,74.95,75.05,74.69,41.67,206100,-557934.5623,,,,,,,,,,,,-0.25,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,-895200.0,,,,,,42.0423,,,,,,,,,,,,0.2004,,,,,
2007-06-01,74.77,74.9,74.32,41.53,200200,-733218.8629,,,,,,,,,,,,-0.5347,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,-1095400.0,,,,,,42.0377,,,,,,13.49,2.1293,,,,,0.1795,,,,,
2007-06-08,74.39,74.43,73.64,41.25,390000,-925750.5085,,,,,,,,,,,,-0.6962,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,-1485400.0,,,,,,42.0273,,,,,,11.6542,12.3513,,,,,0.4413,,,,,
2007-06-15,73.76,73.85,73.34,41.25,794700,-162215.2144,,,,,,,,,,,,0.1569,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,-1485400.0,,,,,,42.0006,,,,13.2583,14.6307,14.6307,29.4114,,,,,0.2849,,,,,
2007-06-22,73.83,74.2,73.69,41.28,298300,-214856.3909,-1415.781,,,,,,,,,,,0.1373,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,-1187100.0,,,,,,41.9594,,,,17.6905,26.7866,26.7866,38.5971,,,,,0.2849,,,,,
2007-06-29,74.1,74.28,73.94,41.5,924100,709243.6091,332070.9434,,,,,,,,,,,0.5294,,,,,,,,,,,,,,,0,,,,,,,,,,,,,-0.3318,,-263000.0,,,-0.7933,,,41.9198,,,,29.3878,46.7461,46.7461,72.2297,,,,,0.2123,,,,,
