date,open,high,low,close,volume,ad_14_chaikin a/d,adosc_14_adosc,adx_14_adx,adxr_14_adxr,apo_14_apo,aroon_14_aroon down,aroon_14_aroon up,aroonosc_14_aroonosc,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,bop_14_bop,cci_20_cci,cmo_14_cmo,dema_14_dema,dx_14_dx,ema_12_ema,ema_14_ema,ema_26_ema,ht_dcperiod_14_dcperiod,ht_dcphase_14_ht_dcphase,ht_phasor_14_phase,ht_phasor_14_quadrature,ht_sine_14_lead sine,ht_sine_14_sine,ht_trendline_14_ht_trendline,ht_trendmode_14_trendmode,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,macdext_14_macd,macdext_14_macd_hist,macdext_14_macd_signal,mama_14_fama,mama_14_mama,mfi_14_mfi,midpoint_14_midpoint,midprice_14_midprice,minus_di_14_minus_di,mom_10_mom,natr_14_natr,obv_14_obv,plus_di_14_plus_di,ppo_14_ppo,roc_10_roc,rocr_14_rocr,rsi_14_rsi,sar_14_sar,sma_200_sma,sma_20_sma,sma_50_sma,stoch_14_slowd,stoch_14_slowk,stochf_14_fastd,stochf_14_fastk,stochrsi_14_fastd,stochrsi_14_fastk,t3_14_t3,tema_14_tema,trange_14_trange,trima_14_trima,trix_14_trix,ultosc_14_ultosc,willr_14_willr,wma_14_wma
2007-07-06,74.1,74.33,73.59,41.26,195300,533049.0439,382247.1559,,,,,,,,,,,-0.6386,,,,,41.5799,,,,,,,,,,0,,,,,,,,,,,,,-0.5571,,-458300.0,,,-1.3322,,,41.8819,,,,41.5606,51.149,51.149,42.6202,,,,,0.4124,,,,,
2007-07-13,73.72,74.09,73.65,41.43,297100,614076.3166,393805.4518,,,,,,,,,,,0.4773,,,,,41.5568,,,,,,,,,,0,,,,,,,,,,,,,-0.5125,,-161200.0,,,-1.2219,,,41.8454,,,,52.8607,60.6872,60.6872,67.2116,,,,,0.2578,,,,,
2007-07-20,73.91,74.42,73.89,41.66,225500,771500.8449,412822.9726,,,,,,,,,,,0.8113,,,,,41.5726,41.5748,,,,,,,,,0,,,,,,,,,,41.5958,41.5063,,-0.2493,,64300.0,,,-0.5949,,,41.8104,,,,59.6684,67.1692,67.1692,91.6757,,,,,0.297,41.5217,,,-35.7144,41.4833
2007-07-27,74.29,74.74,74.17,41.83,190200,901637.6871,424480.6834,,,,57.1429,21.4286,-35.7143,0.2621,,,,0.6316,,0.3224,,0.567,41.6127,41.6093,,,,,,,,,0,,,,,,,,,58.7549,41.5958,41.5063,25.1108,0.1137,0.6265,254500.0,25.3972,,0.2725,1.0001,50.1612,40.9702,,,,70.5114,83.6779,83.6779,92.1466,,,,,0.3194,41.4823,,,-19.5115,41.5178
2007-08-03,74.58,74.8,74.23,42.07,249900,1131864.8516,463914.6917,,,,50.0,100.0,50.0,0.274,,,,0.647,,12.3167,,11.7921,41.6832,41.6709,,,,,,,,,0,,,,,,,,,56.5663,41.6604,41.5292,22.1307,0.3965,0.6512,504400.0,28.0478,,0.9514,1.006,56.1584,40.9793,,,,81.5967,93.943,93.943,98.0068,,,,,0.4289,41.4679,,,-1.5097,41.5839
2007-08-10,74.71,74.8,74.23,41.86,195500,1045776.2551,410480.8969,,,,42.8571,92.8571,50.0,0.2773,,,,-0.5623,,0.6017,,11.7921,41.71,41.6957,,,,,,,,,0,,,,,,,,,52.6063,41.6604,41.5292,20.1999,0.3285,0.6625,308900.0,25.6008,,0.791,0.998,50.3009,41.0015,,,,88.2993,87.2769,87.2769,71.6772,,,,,0.3207,41.4738,,,-20.6581,41.6191
2007-08-17,74.26,74.95,74.25,42.13,507000,1436890.5408,475750.6266,,,,35.7143,100.0,64.2857,0.2856,,,,0.8714,,12.9496,,16.31,41.7743,41.7533,,,,,,,,,0,,,,,,,,,54.623,41.6886,41.5714,18.1103,0.8782,0.678,815900.0,25.1692,,2.1289,1.0052,56.4748,41.0232,,,,89.7181,87.9344,87.9344,94.1191,,,,,0.3939,41.5029,,,-3.7434,41.6912
2007-08-24,74.97,75.16,74.7,42.22,231200,1547464.4538,494384.4314,,,,28.5714,100.0,71.4286,0.2837,,,,0.1522,,16.8836,,22.3094,41.8433,41.816,,,,,,,,,0,,,,,,,,,59.7548,41.7364,41.6305,16.8749,0.9738,0.672,1047100.0,26.5664,,2.3608,1.0121,58.4418,41.0577,,,,86.9043,85.5015,85.5015,90.7083,,,,,0.2588,41.5565,,,-5.1127,41.7739
2007-08-31,75.03,90.91,74.93,42.5,297900,1271934.9169,369394.8233,,,,21.4286,100.0,78.5714,0.9057,41.054,41.733,42.412,0.0313,547.6551,27.1089,,88.5582,41.9442,41.9071,,,,,,,,,0,,,,,,,,,64.8154,41.8743,46.0616,4.7508,1.216,2.1312,1345000.0,78.2921,,2.9456,1.0198,63.5545,41.107,,41.733,,79.331,64.5571,64.5571,8.844,,,,,8.9916,41.6373,,,-84.9859,41.8886
2007-09-07,75.25,75.87,75.05,42.82,234500,1472113.6582,348374.5992,,,,14.2857,92.8571,78.5714,0.8741,40.9538,41.7828,42.6118,0.683,113.2602,36.9393,,88.5582,42.0795,42.0293,,,,,,,,,0,,,,,,,,,64.2957,42.0365,46.0616,4.5687,1.3282,2.0412,1579500.0,75.2914,,3.2007,1.0312,68.4697,41.6093,,41.7828,,62.331,36.9342,36.9342,11.2503,100.0,100.0,,,0.4631,41.7434,,,-81.8001,42.0387
2007-09-14,75.91,76.14,75.44,42.68,328700,1246719.3725,236388.6349,,,,7.1429,85.7143,78.5714,0.8399,40.9095,41.8257,42.7418,-0.5143,104.9257,28.4907,,88.7497,42.1713,42.1156,,,,,,,,,0,,,,,,,,,71.6794,42.0365,46.0616,4.4132,1.415,1.9681,1250800.0,74.0415,,3.4294,1.0346,64.2453,42.0865,,41.8257,,37.1272,9.8904,9.8904,9.577,88.2608,64.7823,,,0.3954,41.8621,,,-83.2424,42.1569
2007-09-21,75.57,75.92,75.14,42.64,554100,1175680.911,146483.1722,,,,0.0,78.5714,78.5714,0.8114,40.8789,41.8604,42.842,-0.1154,78.5329,26.2326,,85.0442,42.243,42.1851,,,,,,,,,0,,,,,,,,,74.9435,42.0425,46.1594,5.7494,1.2074,1.903,696700.0,71.1358,,2.9143,1.0336,63.1163,42.3942,,41.8604,,18.6594,9.1535,9.1535,6.6333,70.4658,46.6151,,,0.4406,41.9806,,,-85.268,42.2562
2007-09-28,75.4,75.87,75.34,42.76,538100,1346337.8154,150686.9368,,,,0.0,71.4286,71.4286,0.7747,40.8463,41.9028,42.9592,0.5501,75.7846,30.1959,,85.0442,42.3219,42.2612,,,,,,,,,0,,,,,,,,,76.2172,42.0425,46.1972,5.5897,1.0962,1.8119,1234800.0,69.1602,,2.6314,1.0357,65.0979,42.445,,41.9028,,8.8834,7.6064,7.6064,6.6088,49.4714,37.0168,,,0.2978,42.1004,,,-84.7221,42.3581
2007-10-05,75.31,75.69,75.25,42.72,710300,958974.8465,15455.9925,,,,7.1429,64.2857,57.1429,0.7372,40.8421,41.953,43.0638,0.0909,70.6899,28.1693,,85.1611,42.3836,42.3228,,,,,,,,,0,,,,,,,,,75.286,42.0425,46.1972,5.4531,0.8901,1.7255,524500.0,68.0445,,2.1277,1.0296,64.0847,42.445,,41.953,,12.9965,22.2295,22.2295,53.4464,33.9069,18.0889,,,0.2494,42.2206,,,-85.0492,42.4417
2007-10-12,75.54,75.6,75.21,42.72,367000,855462.026,-74206.7451,,,0.4511,0.0,57.1429,57.1429,0.7003,40.8538,42.0054,43.157,-0.4872,60.4994,28.1693,,84.5602,42.4359,42.3762,41.9615,,,,,,,,0,,,,,,,,,72.5546,42.1265,46.2129,5.5626,0.6518,1.6392,524500.0,66.4931,1.075,1.5494,1.0354,64.0847,42.5595,,42.0054,,22.0916,36.4388,36.4388,49.2612,34.6575,48.8669,,,0.2211,42.3384,,,-85.3193,42.5135
2007-10-19,75.25,76.29,75.24,43.26,801100,1656562.026,150754.5664,,,0.5147,0.0,50.0,50.0,0.6928,40.8412,42.0918,43.3423,0.9905,80.7542,44.6093,43.0005,85.4381,42.5621,42.4935,42.0574,,,,,,,,0,,,,,,,,,75.1822,42.4578,46.2801,5.2177,1.3989,1.6017,1325600.0,66.4448,1.225,3.3421,1.0441,72.3047,42.6439,,42.0918,,42.0792,67.5692,67.5692,100.0,55.6519,100.0,,,0.5953,42.4526,,,-81.028,42.6425
2007-10-26,76.2,76.61,76.13,43.29,625200,1604462.026,212501.9605,59.9803,,0.5597,0.0,42.8571,42.8571,0.6628,40.9025,42.1938,43.4851,0.3125,91.4675,45.4673,43.1312,85.8402,42.6741,42.5997,42.1487,,,,,,,,0,,,,,,,,,76.942,42.5617,46.3586,5.0632,1.1626,1.531,1950800.0,66.4514,1.3303,2.7596,1.0391,72.7336,42.6439,,42.1938,,60.4997,77.4911,77.4911,83.212,82.9556,100.0,,,0.2722,42.556,,,-81.9991,42.7587
2007-11-02,76.27,76.41,75.94,43.45,504400,2006896.7837,346491.3209,61.669,,0.6342,0.0,35.7143,35.7143,0.6436,40.979,42.3036,43.6282,0.5131,86.0617,49.3386,43.271,83.6218,42.7929,42.7126,42.2448,,,,,,,,0,,,,,,,,,78.1604,42.6517,46.4062,5.6654,1.2228,1.4814,2455200.0,63.517,1.5054,2.896,1.0386,74.6693,42.6609,,42.3036,,79.2958,92.827,92.827,95.269,100.0,100.0,,,0.3941,42.6523,,48.5,-81.1803,42.8801
2007-11-09,76.43,76.51,75.94,43.42,796500,2216781.5206,436587.4464,63.2486,,0.684,0.0,28.5714,28.5714,0.6208,41.0873,42.4106,43.734,-0.2279,83.2892,47.6935,43.3735,83.7828,42.8899,42.8074,42.3321,,,,,,,,0,,,,,,,,,79.99,42.6517,46.4603,5.452,0.9244,1.4296,1658700.0,61.7854,1.6212,2.175,1.0321,73.8467,43.0855,,42.4106,,86.2386,88.3977,88.3977,86.7119,97.4095,92.2285,,,0.3244,42.7477,,50.3547,-82.3575,42.9831
2007-11-16,76.0,76.58,76.0,43.53,374600,2462209.1068,511845.78,64.7238,,0.723,0.0,21.4286,21.4286,0.6,41.1738,42.5122,43.8505,0.8276,82.5229,50.3493,43.4768,83.902,42.9877,42.9031,42.4205,,,,,,,,0,,,,,,,,,83.309,42.8267,46.4659,5.2359,0.7023,1.3786,2033300.0,59.8146,1.711,1.64,1.0399,75.1747,43.0918,,42.5122,,91.0535,91.9357,91.9357,93.8261,97.4095,100.0,,,0.3301,42.8467,,52.113,-81.3642,43.0869
2007-11-23,76.45,77.01,76.45,43.74,297900,2589880.5353,536724.5729,66.147,,0.7469,0.0,14.2857,14.2857,0.5799,41.3257,42.6359,43.9462,0.7143,98.9144,55.3687,43.6077,84.6489,43.1029,43.0142,42.518,,,,,,,,0,,,,,,,,,82.8273,42.9798,46.5925,5.0286,1.0598,1.326,2331200.0,60.4864,1.764,2.4832,1.0382,77.6843,43.2184,,42.6359,,89.9066,89.3865,89.3865,87.6214,97.4095,100.0,,,0.3187,42.9477,,54.8648,-81.3143,43.2029
2007-11-30,77.54,77.54,76.69,43.99,432300,2780092.5353,558631.1179,67.5322,,0.7496,0.0,7.1429,7.1429,0.5731,41.4493,42.7641,44.0789,-0.28,108.1319,60.6077,43.7723,85.5394,43.2399,43.1448,42.6273,15.6467,,0.431,0.2129,,,,0,,,,,,,0.4428,8.1327,83.3621,43.2463,46.6572,4.723,1.3565,1.3026,2763500.0,60.5999,1.7665,3.1816,1.0419,80.3039,43.2526,,42.7641,,90.2617,89.4629,89.4629,86.9414,100.0,100.0,,,0.4837,43.0608,,56.7493,-79.6237,43.3379
2007-12-07,77.23,77.43,76.33,43.72,453500,2475010.7172,419736.7516,68.8419,,0.7413,0.0,0.0,0.0,0.577,41.5928,42.8669,44.141,-0.6545,90.1899,41.2985,43.8307,85.8676,43.3131,43.2209,42.7079,17.2118,,0.4329,0.0272,,,,0,0.599,0.0588,0.5403,0.7413,0.0964,0.6449,0.483,8.4885,77.148,43.3153,43.3177,4.3529,0.9598,1.3199,2310000.0,57.2489,1.7431,2.2449,1.0286,70.6492,43.5087,,42.8669,,84.4125,74.3881,74.3881,48.6014,66.6667,0.0,,,0.6285,43.1732,,55.7914,-28.4607,43.4189
2007-12-14,76.49,76.95,76.09,43.52,643000,1954359.0174,159096.5381,69.6695,,0.7276,0.0,92.8571,92.8571,0.571,41.7402,42.9513,44.1624,-0.3713,62.3286,29.578,43.8241,80.4293,43.3451,43.2609,42.7682,18.9332,,0.4096,-0.1024,,,,0,0.5718,0.0252,0.5466,0.7276,0.0519,0.6757,0.5248,8.8388,72.8076,43.3153,43.3431,5.8245,0.798,1.312,1667000.0,53.6979,1.7074,1.8678,1.0163,64.789,51.153,,42.9513,,72.6967,54.2392,54.2392,27.1748,33.3333,0.0,,,0.4925,43.2762,,49.6256,-40.0809,43.4624
2007-12-21,76.3,77.16,76.27,43.7,3889300,-12140.9826,-587696.8709,70.4753,,0.7135,7.1429,85.7143,78.5714,0.5706,41.8503,43.0329,44.2156,0.2135,69.1375,35.0395,43.8593,80.9504,43.4003,43.32,42.8375,20.7921,,0.3166,-0.1099,,,,0,0.5585,0.0095,0.5489,0.7135,0.0158,0.6978,0.5681,9.1875,81.7109,43.3153,43.3431,5.4094,0.9808,1.3056,5556300.0,51.3837,1.6707,2.2958,1.0241,67.5198,51.0762,,43.0329,,54.6237,35.2438,35.2438,29.9553,5.867,17.6009,,,0.5657,43.3754,,45.0559,-29.9016,43.5237
2007-12-28,76.34,76.75,76.0,43.99,421500,375639.0174,-716391.7318,71.206,,0.7229,0.0,78.5714,78.5714,0.5606,42.0176,43.1394,44.2611,0.5067,69.7909,42.4384,43.953,80.7044,43.4903,43.4088,42.9225,22.6525,,0.342,0.0808,,,,0,0.5641,0.0121,0.552,0.7229,0.007,0.7159,0.6129,9.5355,86.518,43.3584,43.4003,5.1843,0.7292,1.2744,5977800.0,48.5514,1.6889,1.6859,1.0316,71.2192,51.0002,,43.1394,,43.5814,41.2612,41.2612,66.6534,19.6821,41.4454,,,0.43,43.471,,49.1111,-15.2052,43.6127
2008-01-04,76.92,78.26,76.8,44.46,3376300,467915.4542,-674552.4239,72.1352,,0.7447,0.0,100.0,100.0,0.5836,42.0947,43.256,44.4174,0.4315,129.0231,52.3271,44.1424,84.2151,43.6397,43.5491,43.0365,24.4263,,0.4513,-0.1355,,,,0,0.6001,0.0385,0.5616,0.7447,0.0165,0.7282,0.6593,9.8847,89.3779,43.5923,43.7561,4.6211,1.1711,1.3126,9354100.0,53.9294,1.7348,2.7052,1.0399,76.1636,50.9249,,43.256,,44.1025,55.8026,55.8026,70.7992,53.0154,100.0,,,0.8829,43.5692,,47.9426,-18.2988,43.7523
2008-01-11,77.7,78.26,77.36,44.59,742400,401924.343,-617110.5675,72.998,,0.7342,7.1429,92.8571,85.7143,0.5788,42.1767,43.3742,44.5717,0.0778,131.3579,54.5556,44.3218,84.2151,43.7855,43.6875,43.1514,25.9999,,0.3224,-0.7315,,,,0,0.6315,0.0559,0.5756,0.7342,0.0004,0.7337,0.7072,10.2317,89.4261,43.6553,43.7561,4.3253,1.1414,1.298,10096500.0,50.4778,1.7055,2.6271,1.0436,77.2778,50.8504,,43.3742,,56.499,72.4333,72.4333,79.8473,80.4818,100.0,,,0.516,43.6688,,46.7838,-12.6287,43.8925
2008-01-18,77.96,78.41,77.71,44.88,782200,893816.4002,-380999.5565,73.8224,,0.7428,0.0,100.0,100.0,0.5661,42.1981,43.4933,44.7885,0.4573,164.8735,59.3056,44.534,84.5392,43.9539,43.8465,43.2794,27.399,,-0.022,-0.4273,,,,0,0.6722,0.0773,0.5949,0.7428,0.0069,0.7359,0.7565,10.5782,92.2805,44.0681,43.8076,4.1052,1.4565,1.2613,10878700.0,48.9998,1.7205,3.3542,1.0505,79.6528,50.7767,,43.4933,,69.996,81.7522,81.7522,94.61,100.0,100.0,,44.6223,0.4013,43.7662,,47.8607,-3.2472,44.0539
2008-01-25,78.61,79.35,77.59,45.09,774200,1052175.4911,-199385.3816,74.7223,67.3513,0.7546,0.0,100.0,100.0,0.5977,42.1758,43.6067,45.0376,0.0227,166.791,62.3767,44.7523,86.4207,44.129,44.0126,43.4137,28.9028,,-0.0316,0.6924,,,,0,0.7134,0.0948,0.6186,0.7546,0.0178,0.7368,0.8073,10.9234,92.285,44.1911,44.2925,3.6081,1.5662,1.3256,11652900.0,49.5337,1.7428,3.5984,1.0424,81.1883,50.7037,,43.6067,,79.5687,84.5206,84.5206,79.1045,100.0,100.0,,44.8741,1.0091,43.8655,0.2233,51.4538,-16.7114,44.223
2008-02-01,78.51,78.63,78.0,45.07,648500,1398390.3883,3196.5556,75.5579,68.6134,0.7766,7.1429,92.8571,85.7143,0.5878,42.2277,43.7265,45.2252,0.1303,143.9817,61.1168,44.9172,86.4207,44.274,44.1538,43.5365,30.8209,,0.2768,1.7472,,,,0,0.7359,0.0938,0.6421,0.7766,0.0368,0.7398,0.8596,11.2649,87.6335,44.2577,44.2925,3.406,1.3352,1.3042,11004400.0,46.7583,1.7888,3.0529,1.0411,80.5584,50.6314,,43.7265,,82.6316,81.6222,81.6222,71.1522,95.8211,87.4632,,45.0434,0.4593,43.9842,0.2298,56.2986,-17.5611,44.372
2008-02-08,78.2,78.38,77.46,44.79,697200,1262042.6549,42397.0188,75.8653,69.5569,0.7693,0.0,85.7143,85.7143,0.5837,42.3544,43.8343,45.3141,-0.4022,112.5169,44.6203,44.9745,79.8619,44.3538,44.239,43.6296,33.1149,,0.8375,2.1151,,,,0,0.7229,0.0647,0.6582,0.7693,0.0264,0.7429,0.9133,11.6001,82.8805,44.2577,44.3559,4.8948,0.7994,1.303,10307200.0,43.7176,1.7674,1.8172,1.031,72.3102,50.5598,,43.8343,,76.3673,62.9591,62.9591,38.6207,62.4877,0.0,,45.0597,0.5294,44.1183,0.234,56.0653,-30.7837,44.4668
2008-02-15,77.95,78.08,76.99,44.44,635900,882859.7849,-66069.7975,75.27,69.9969,0.7388,0.0,78.5714,78.5714,0.5868,42.5036,43.9183,45.333,-0.679,73.6708,26.7212,44.9255,67.5308,44.3665,44.2653,43.6893,35.4588,,1.2224,1.2052,,,,0,0.676,0.0142,0.6618,0.7388,-0.0054,0.7442,0.9684,11.9285,78.1904,44.3066,44.3729,7.8238,0.7207,1.3205,9671300.0,40.3681,1.6939,1.6486,1.0233,63.3606,50.4889,,43.9183,,61.5792,40.1564,40.1564,10.6963,29.1544,0.0,,44.9341,0.6273,44.2559,0.234,49.6457,-47.1774,44.5013
2008-02-22,77.33,77.42,76.39,44.32,1180200,1123483.0859,-27874.2814,73.6864,69.9167,0.6854,0.0,71.4286,71.4286,0.5872,42.6856,43.9982,45.3107,-0.3107,35.2456,21.4973,44.8514,53.1004,44.3595,44.2727,43.7361,37.6749,,1.2951,0.1456,,,,0,0.6224,-0.0315,0.6539,0.6854,-0.0556,0.741,1.0248,12.2524,71.4905,44.3066,44.4838,11.4715,0.7999,1.3249,8491100.0,37.448,1.5686,1.8379,1.0183,60.7487,50.4188,,43.9982,,42.4445,24.2179,24.2179,23.3365,0.0,0.0,,44.7881,0.5928,44.3808,0.2299,50.051,-58.0613,44.5107
2008-02-29,76.8,78.28,76.53,44.96,984300,1928002.2639,246268.5574,72.6092,70.0707,0.6945,21.4286,64.2857,42.8571,0.6173,42.872,44.11,45.348,0.7534,73.3668,37.0159,44.9453,58.6043,44.4519,44.3644,43.8268,38.7082,,1.3014,-1.2501,,,,0,0.6243,-0.0237,0.648,0.6945,-0.0434,0.7379,1.0826,12.5795,72.7629,44.3066,44.4838,10.1293,1.2559,1.373,9475400.0,38.8098,1.5859,2.8735,1.028,68.5079,50.3493,,44.11,,34.3496,38.6745,38.6745,81.9905,13.0563,39.169,,44.8924,1.0083,44.4958,0.2265,56.5548,-26.4192,44.5978
2008-03-07,77.56,77.86,76.5,44.44,836400,1608240.252,234287.3916,71.6088,70.2253,0.7086,14.2857,57.1429,42.8571,0.6293,42.9883,44.169,45.3497,-0.4699,48.8992,16.6326,44.8855,58.6043,44.4494,44.3739,43.8719,38.5118,,0.9388,-2.9893,,,,0,0.5768,-0.0569,0.6338,0.7086,-0.0252,0.7339,1.1417,12.8981,68.2305,44.3066,44.4838,9.2238,0.45,1.4162,8639000.0,35.3404,1.616,1.0231,1.01,58.3163,50.2806,,44.169,,37.239,48.8245,48.8245,41.1466,13.0563,0.0,,44.7797,0.7856,44.5876,0.2202,51.8968,-52.3949,44.6032
2008-03-14,77.1,77.9,76.51,44.72,550100,1770392.9033,259681.1772,70.6986,70.1841,0.7146,7.1429,50.0,42.8571,0.6417,43.1092,44.2404,45.3716,0.223,56.2533,23.2667,44.9031,58.8663,44.4908,44.4198,43.9346,37.55,,0.2285,-3.4072,,,,0,0.5556,-0.0625,0.6181,0.7146,-0.017,0.7317,1.2021,13.2163,71.2122,44.3066,44.4838,8.3976,0.2572,1.435,9189100.0,32.4331,1.6268,0.5784,1.0229,61.6334,50.2125,,44.2404,,50.5526,64.1588,64.1588,69.3394,23.9052,32.5467,,44.7867,0.8029,44.6569,0.2133,56.3015,-38.3772,44.6422
2008-03-20,77.63,79.83,77.0,45.07,392000,1658195.0234,210762.8389,70.5793,70.5273,0.7112,0.0,100.0,100.0,0.7126,43.1974,44.3213,45.4453,0.1343,123.5553,30.5565,44.9993,69.0278,44.5791,44.5059,44.0183,36.1304,,-0.535,-2.6151,,,,0,0.5603,-0.0462,0.6066,0.7112,-0.017,0.7282,1.2637,13.5347,74.7641,44.398,44.8446,7.0189,0.4777,1.5814,9581100.0,38.3048,1.6155,1.0714,1.0355,65.2783,50.1452,,44.3213,,55.6207,53.8788,53.8788,51.1503,33.6191,68.3105,,44.9072,1.6348,44.7015,0.2078,51.4111,-41.3299,44.7179
2008-03-28,79.01,79.01,77.43,44.98,718400,1339916.5424,70320.1075,70.4685,70.8372,0.6691,7.1429,92.8571,85.7143,0.7269,43.3198,44.3994,45.479,-0.7215,102.733,27.513,45.0525,69.0278,44.6415,44.5696,44.0899,35.1735,,-0.9744,0.1687,,,,0,0.5512,-0.0443,0.5955,0.6691,-0.0496,0.7187,1.3266,13.8492,62.9419,44.5387,44.8446,6.3883,0.1044,1.616,8862700.0,34.8634,1.5169,0.2326,1.0293,63.7565,50.0784,,44.3994,43.048,57.7755,55.2889,55.2889,45.377,51.4121,53.379,,44.9637,0.9127,44.7218,0.2026,49.6888,-44.5092,44.7681
2008-04-04,78.38,78.38,76.7,45.01,2797600,1848571.0879,168318.1539,69.6412,70.8882,0.6163,0.0,85.7143,85.7143,0.7388,43.4414,44.4736,45.5057,-0.3017,75.1273,28.0753,45.0976,58.8866,44.6981,44.6283,44.158,34.7947,,-0.2886,1.8875,,,,0,0.5397,-0.0446,0.5843,0.6163,-0.0845,0.7009,1.3908,14.1608,50.2152,44.7065,45.0404,8.241,-0.0825,1.6415,11660300.0,31.8482,1.3945,-0.183,1.0233,64.0377,50.0124,,44.4736,43.1117,51.8312,46.3259,46.3259,42.4504,67.9565,82.1801,,45.0089,0.8931,44.733,0.1973,51.8095,-51.4372,44.8094
2008-04-11,77.53,77.87,77.05,45.16,573900,2422471.0879,375711.1589,68.873,70.9355,0.546,50.0,78.5714,28.5714,0.72,43.5295,44.5448,45.56,0.4146,77.9815,31.5013,45.1675,58.8866,44.7692,44.6992,44.2322,33.9185,,0.0461,0.9196,,,,0,0.5367,-0.0381,0.5748,0.546,-0.1301,0.6761,1.4562,14.4708,38.999,44.7407,45.0404,7.8516,0.0887,1.5943,12234200.0,30.3434,1.2327,0.1968,1.0157,65.7507,49.947,,44.5448,43.1785,49.201,45.9883,45.9883,50.1375,78.5197,100.0,,45.0896,0.4756,44.751,0.1927,54.1014,-44.4314,44.8611
