date,open,high,low,close,volume,ad_14_chaikin a/d,adosc_14_adosc,adx_14_adx,adxr_14_adxr,apo_14_apo,aroon_14_aroon down,aroon_14_aroon up,aroonosc_14_aroonosc,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,bop_14_bop,cci_20_cci,cmo_14_cmo,dema_14_dema,dx_14_dx,ema_12_ema,ema_14_ema,ema_26_ema,ht_dcperiod_14_dcperiod,ht_dcphase_14_ht_dcphase,ht_phasor_14_phase,ht_phasor_14_quadrature,ht_sine_14_lead sine,ht_sine_14_sine,ht_trendline_14_ht_trendline,ht_trendmode_14_trendmode,kama_14_kama,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,macdext_14_macd,macdext_14_macd_hist,macdext_14_macd_signal,mama_14_fama,mama_14_mama,midpoint_14_midpoint,midprice_14_midprice,minus_di_14_minus_di,mom_10_mom,natr_14_natr,obv_14_obv,plus_di_14_plus_di,ppo_14_ppo,roc_10_roc,rocr_14_rocr,rsi_14_rsi,sar_14_sar,sma_200_sma,sma_20_sma,sma_50_sma,stoch_14_slowd,stoch_14_slowk,stochf_14_fastd,stochf_14_fastk,stochrsi_14_fastd,stochrsi_14_fastk,t3_14_t3,tema_14_tema,trange_14_trange,trima_14_trima,trix_14_trix,ultosc_14_ultosc,willr_14_willr,wma_14_wma
1999-11-12,65.88,68.75,63.25,34.16,4387200,7370496.0,,,,,,,,,,,,0.4418,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,8774400.0,,,,,,,,,,,,,,,,,,,,,,,
1999-11-19,68.81,68.81,63.38,32.75,5319300,5039016.442,,,,,,,,,,,,-0.6096,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,-1864200.0,,,,,,31.625,,,,,,,,,,,,2.715,,,,,
1999-11-26,65.38,68.63,64.5,33.72,2967200,7553592.7132,,,,,,,,,,,,0.4988,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,4070200.0,,,,,,31.6528,,,,,,,,,,,,2.065,,,,,
1999-12-03,67.63,74.81,66.0,36.66,6677200,16360523.9277,,,,,,,,,,,,0.6447,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,17424600.0,,,,,,31.6803,,,,,,,,,,,,4.405,,,,,
1999-12-10,73.25,75.63,60.63,31.94,7318900,8065770.5944,,,,,,,,,,,,-0.6247,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,2786800.0,,,,,,37.815,,,,,,,,,,,,7.5,,,,,
1999-12-17,66.0,66.44,59.75,30.84,7055300,2138896.7528,,,,,,,,,,,,-0.6442,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,-11323800.0,,,,,,37.815,,,,,,,,,,,,3.345,,,,,
1999-12-23,62.44,65.44,58.0,31.69,6200700,7672854.8173,,,,,,,,,,,,0.1263,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,1077600.0,,,,,,37.815,,,,,,21.4665,30.5162,,,,,3.72,,,,,
1999-12-31,64.38,67.13,61.63,33.38,2418600,11841641.7264,,,,,,,,,,,,0.4309,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,5914800.0,,,,,,37.5506,,,,,,30.788,49.6313,,,,,2.75,,,,,
2000-01-07,67.5,68.62,55.63,28.75,5884300,3461383.8357,,,,,,,,,,,,-0.7698,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,-5853800.0,,,,,,37.294,,,,27.3623,29.8325,29.8325,9.35,,,,,6.495,,,,,
2000-01-14,58.5,62.0,53.38,28.19,8808400,-1893142.3824,-3459498.4802,,,,,,,,,,,-0.2459,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,-23470600.0,,,,,,36.9149,,,,28.9475,26.2221,26.2221,19.685,,,,,4.31,,,,,
2000-01-21,56.0,56.44,53.13,27.32,4932700,-2817092.2313,-4443697.7481,,,,,,,,,,,-0.4139,,,,,,,,,,,,,,,0,,,,,,,,,,,,,-6.84,,-33336000.0,,,-20.0264,,,36.4036,,,,22.9869,12.9062,12.9062,9.6837,,,,,1.655,,,,,
