date,open,high,low,close,volume,ema_7_ema,sar_14_sar,sma_7_sma
2026-02-27,12.8,14.0,11.26,11.64,19098632,,,
2026-03-06,11.3,12.19,10.62,10.67,12951331,,14.0,
2026-03-13,10.52,12.66,10.01,10.08,15192508,,13.9662,
2026-03-20,10.29,11.1,8.56,8.81,13383102,,13.8871,
2026-03-27,9.03,11.77,8.8,9.85,14613790,,13.7273,
2026-04-02,9.85,10.6,8.52,10.57,9875252,,13.5722,
2026-04-10,10.64,12.71,9.79,12.59,16510752,10.6014,13.3702,10.6014
2026-04-15,12.36,15.1,11.94,14.97,25201081,11.6936,8.52,11.0771
