date,open,high,low,close,volume,ad_14_chaikin a/d,adosc_14_adosc,adx_14_adx,adxr_14_adxr,apo_14_apo,aroon_14_aroon down,aroon_14_aroon up,aroonosc_14_aroonosc,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,cci_20_cci,cmo_14_cmo,dema_14_dema,dx_14_dx,ema_12_ema,ema_14_ema,ema_26_ema,ht_dcperiod_14_dcperiod,ht_dcphase_14_ht_dcphase,ht_phasor_14_phase,ht_phasor_14_quadrature,ht_sine_14_lead sine,ht_sine_14_sine,ht_trendline_14_ht_trendline,ht_trendmode_14_trendmode,kama_14_kama,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,macdext_14_macd,macdext_14_macd_hist,macdext_14_macd_signal,mama_14_fama,mama_14_mama,mfi_14_mfi,midpoint_14_midpoint,midprice_14_midprice,minus_di_14_minus_di,mom_10_mom,natr_14_natr,obv_14_obv,plus_di_14_plus_di,ppo_14_ppo,roc_10_roc,rocr_14_rocr,rsi_14_rsi,sar_14_sar,sma_200_sma,sma_20_sma,sma_50_sma,stoch_14_slowd,stoch_14_slowk,stochf_14_fastd,stochf_14_fastk,stochrsi_14_fastd,stochrsi_14_fastk,t3_14_t3,tema_14_tema,trange_14_trange,trima_14_trima,trix_14_trix,ultosc_14_ultosc,willr_14_willr,wma_14_wma
2001-12-21,29.95,30.99,29.39,14.82,21315100,21315100.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,21315100.0,,,,,,,,,,,,,,,,,,,,,,,
2001-12-28,30.75,33.1,30.75,15.76,12055500,31729000.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,33370600.0,,,,,,14.0596,,,,,,,,,,,,1.1242,,,,,
2002-01-04,33.11,33.74,30.82,15.28,16694200,27955653.4247,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,16676400.0,,,,,,14.0773,,,,,,,,,,,,1.3969,,,,,
2002-01-11,31.75,32.05,30.75,14.78,9510500,20639884.1939,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,7165900.0,,,,,,14.1186,,,,,,,,,,,,0.6219,,,,,
2002-01-18,30.75,31.15,29.53,14.47,10274700,19498250.8606,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,-3108800.0,,,,,,16.1405,,,,,,,,,,,,0.775,,,,,
2002-01-25,30.49,31.7,29.9,14.56,10221200,15296201.9717,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,7112400.0,,,,,,16.1204,,,,,,,,,,,,0.8611,,,,,
2002-02-01,31.04,31.18,29.8,14.64,15684300,17796597.6238,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,22796700.0,,,,,,16.1005,,,,,,22.1878,25.4157,,,,,0.6602,,,,,
2002-02-08,30.6,31.6,30.5,14.84,10899100,17400266.7147,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,33695800.0,,,,,,16.0807,,,,,,35.4391,59.5238,,,,,0.5262,,,,,
2002-02-15,30.7,32.28,30.67,15.07,11573300,17759685.9694,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,45269100.0,,,,,,16.0612,,,,36.6063,52.192,52.192,71.6364,,,,,0.7702,,,,,
2002-02-22,31.0,31.1,30.0,14.47,8852000,12770376.8785,-3164813.2593,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,36417100.0,,,,,,16.0418,,,,45.755,49.634,49.634,17.7419,,,,,0.7176,,,,,
2002-03-01,30.25,30.89,30.07,14.76,11804000,23422767.1224,4940.1406,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,-0.067,,48221100.0,,,-0.4518,,,16.0227,,,,48.5772,43.9057,43.9057,42.3387,,,,,0.3923,,,,,
2002-03-08,30.88,32.06,30.41,15.19,12239100,31062932.5769,3732170.0724,,,,,,,,,,,,,,,14.8868,,,,,,,,,,0,,,,,,,,,,,,,,-0.5693,,60460200.0,,,-3.6126,,,16.0037,,,,46.3838,45.6117,45.6117,76.7544,,,,,0.7893,,,,,
2002-03-15,31.85,31.9,30.6,14.88,12073500,28276740.2692,4031142.0309,,,,,,,,,,,,,,,14.8854,,,,,,,,,,0,,,,,,,,,,,,,,-0.4066,,48386700.0,,,-2.6604,,,15.985,,,,48.4323,55.7796,55.7796,48.2456,,,,,0.6219,,,,,
2002-03-22,31.55,31.78,30.83,14.95,11144300,26986347.6377,3376401.8102,,,,,,,,,,,,,,,14.8952,14.8906,,,,,,,,,0,,,,,,,,,,,15.112,15.1001,,0.1674,,59531000.0,,,1.1327,,,15.9664,,,,54.4282,61.8932,61.8932,60.6796,,,,,0.4545,14.8115,,,-57.2414,14.8555
2002-03-28,31.2,31.49,30.95,14.85,7070000,22534866.1562,1385227.4476,,,,0.0,14.2857,14.2857,0.7121,,,,,0.6211,,46.0026,14.8888,14.8857,,,,,,,,,0,14.9489,,,,,,,,,50.0868,15.112,15.1336,9.8652,0.3827,4.7941,52461000.0,26.6743,,2.6446,1.0019,50.3106,15.948,,,,56.7989,52.7238,52.7238,49.2462,,,,,0.2583,14.8088,,,-63.8955,14.8506
2002-04-05,31.3,32.7,30.93,15.46,11603200,29024791.5799,2509702.6207,,,,21.4286,7.1429,-14.2857,0.7217,,,,,12.8613,,54.391,14.9762,14.9618,,,,,,,,,0,14.9547,,,,,,,,,49.9074,14.9613,15.1336,8.9822,0.8994,4.6694,64064200.0,30.4056,,6.1781,0.9809,56.4307,15.9298,,,,59.6385,64.2984,64.2984,82.9694,,,,,0.8467,14.8126,,,-33.9667,14.9257
2002-04-12,32.31,33.2,32.2,15.55,10035000,25211491.5799,1528237.6805,,,,14.2857,0.0,-14.2857,0.7043,,,,,14.6581,,57.3402,15.0648,15.0405,,,,,,,,,0,14.9614,,,,,,,,,58.9792,15.0092,15.0044,8.5183,0.9137,4.5289,74099200.0,31.4176,,6.2418,1.0175,57.3291,15.9117,,,,61.8604,68.5591,68.5591,73.4615,,,,,0.4784,14.8481,,,-18.8011,15.0165
2002-04-19,32.6,32.7,31.66,15.26,8628300,20565483.8876,-490476.5772,,,,7.1429,92.8571,85.7143,0.6896,,,,,7.3851,,46.3349,15.0949,15.0698,,,,,,,,,0,14.9675,,,,,,,,,59.2303,15.0092,15.0044,10.8917,0.4162,4.5187,65470900.0,29.6996,,2.8037,1.0324,53.6925,15.8939,,,,66.6835,67.1929,67.1929,45.1477,,,,,0.4975,14.9073,,,-35.4223,15.0659
2002-04-26,32.0,33.1,31.7,15.2,10306500,11289633.8876,-4223132.2665,,,,0.0,85.7143,85.7143,0.6881,,,,,5.8441,,49.171,15.1107,15.0869,,,,,,,,,0,14.9759,,,,,,,,,65.9428,15.0092,15.069,10.0917,0.1292,4.5278,55164400.0,29.6168,,0.8571,1.0502,52.9221,15.8822,,,,62.5411,51.8712,51.8712,37.0044,,,,,0.6697,14.967,,,-42.0588,15.1024
