date,open,high,low,close,volume,ad_14_chaikin a/d,adosc_14_adosc,adx_14_adx,adxr_14_adxr,apo_14_apo,aroon_14_aroon down,aroon_14_aroon up,aroonosc_14_aroonosc,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,bop_14_bop,cci_20_cci,cmo_14_cmo,dema_14_dema,dx_14_dx,ema_12_ema,ema_14_ema,ema_26_ema,ht_dcperiod_14_dcperiod,ht_dcphase_14_ht_dcphase,ht_phasor_14_phase,ht_phasor_14_quadrature,ht_sine_14_lead sine,ht_sine_14_sine,ht_trendline_14_ht_trendline,ht_trendmode_14_trendmode,kama_14_kama,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,macdext_14_macd,macdext_14_macd_hist,macdext_14_macd_signal,mama_14_fama,mama_14_mama,mfi_14_mfi,midpoint_14_midpoint,midprice_14_midprice,minus_di_14_minus_di,mom_10_mom,natr_14_natr,obv_14_obv,plus_di_14_plus_di,ppo_14_ppo,rocr_14_rocr,rsi_14_rsi,sar_14_sar,sma_20_sma,sma_50_sma,stoch_14_slowd,stoch_14_slowk,stochf_14_fastd,stochf_14_fastk,stochrsi_14_fastd,stochrsi_14_fastk,t3_14_t3,tema_14_tema,trange_14_trange,trima_14_trima,trix_14_trix,ultosc_14_ultosc,willr_14_willr,wma_14_wma
2023-05-19,24.67,24.76,24.52,21.49,49738,-29345.42,,,,,,,,,,,,-0.42,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,49738.0,,,,,,,,,,,,,,,,,,,,,
2023-05-26,24.64,24.82,24.46,21.63,4109,-27290.92,,,,,,,,,,,,0.2453,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,53847.0,,,,,21.3947,,,,,,,,,,,0.3149,,,,,
2023-06-02,24.34,24.68,24.07,21.59,39705,12414.08,,,,,,,,,,,,0.5625,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,14142.0,,,,,21.7096,,,,,,,,,,,0.5773,,,,,
2023-06-09,24.65,24.8,24.65,21.62,77,12408.8605,,,,,,,,,,,,0.4661,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,14219.0,,,,,21.7096,,,,,,,,,,,0.1355,,,,,
2023-06-16,24.47,25.63,24.43,22.41,1239,13647.8605,,,,,,,,,,,,0.9674,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,15458.0,,,,,21.0536,,,,,,,,,,,1.045,,,,,
2023-06-23,25.33,25.76,25.07,22.01,4535,10286.1924,,,,,,,,,,,,-0.2487,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,10923.0,,,,,21.0672,,,,,,,,,,,0.6038,,,,,
2023-06-30,25.26,25.26,24.66,22.05,3427,13182.7006,,,,,,,,,,,,-0.0774,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,14350.0,,,,,21.0965,,,,,77.3752,67.7026,,,,,0.5232,,,,,
2023-07-07,25.2,25.51,25.16,22.31,13494,23629.6683,,,,,,,,,,,,0.7643,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,27844.0,,,,,21.1251,,,,,70.9817,80.8194,,,,,0.3095,,,,,
2023-07-14,25.48,26.08,25.48,22.74,3883,25996.7785,,,,,,,,,,,,0.8048,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,31727.0,,,,,21.1533,,,76.2983,80.5378,80.5378,93.0915,,,,,0.5342,,,,,
2023-07-21,25.86,26.5,25.86,23.21,4294,30290.7785,15267.5198,,,,,,,,,,,1.0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,36021.0,,,,,21.2039,,,80.941,91.3036,91.3036,100.0,,,,,0.5562,,,,,
2023-07-28,26.67,27.01,26.67,23.66,1187,31477.7785,14237.1708,,,,,,,,,,,1.0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,2.1697,,37208.0,,,,,21.284,,,89.8462,97.6972,97.6972,100.0,,,,,0.4539,,,,,
2023-08-04,27.07,27.07,26.72,23.6,708,31670.1253,12582.5773,,,,,,,,,,,-0.3642,,,,,22.3601,,,,,,,,,,0,,,,,,,,,,,,,,1.9649,,36500.0,,,,,21.4028,,,95.6004,97.8004,97.8004,93.4011,,,,,0.303,,,,,
2023-08-11,26.97,27.19,26.96,23.62,3427,28243.1253,9671.4184,,,,,,,,,,,-0.0222,,,,,22.5535,,,,,,,,,,0,,,,,,,,,,,,,,2.0262,,39927.0,,,,,21.541,,,96.2999,93.4023,93.4023,86.8058,,,,,0.219,,,,,
2023-08-18,26.89,26.89,26.4,23.36,6390,29028.651,7851.2099,,,,,,,,,,,-0.4385,,,,,22.6784,22.5217,,,,,,,,,0,,,,,,,,,,,22.575,22.4341,,1.7407,,33537.0,,,,,21.7002,,,90.5768,80.5276,80.5276,61.3759,,,,,0.4905,22.4851,,,-16.2951,22.9261
2023-08-25,26.7,27.03,26.65,23.67,5881,34909.651,8264.0601,,,,14.2857,85.7143,71.4286,0.4571,,,,0.8533,,58.7959,,38.5032,22.8315,22.6753,,,,,,,,,0,23.419,,,,,,,,,47.426,22.6328,22.4341,19.3047,1.2598,1.9307,39418.0,43.4781,,1.1016,79.3979,21.8482,,,83.2806,75.912,75.912,79.5541,,,,,0.3331,22.6824,,,-5.0912,23.0798
