date,open,high,low,close,volume,adx_14_adx,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,ema_14_ema,ema_50_ema,ema_7_ema,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,mfi_14_mfi,mom_10_mom,rsi_14_rsi,sar_14_sar,sma_14_sma,sma_50_sma,sma_7_sma
1999-11-12,33.62,33.62,32.0,5.16,462100,,,,,,,,,,,,,,,,,,
1999-11-19,32.81,32.81,31.38,4.97,340800,,,,,,,,,,,,,,,5.3155,,,
1999-11-26,31.5,31.5,30.38,4.84,398800,,,,,,,,,,,,,,,5.312,,,
1999-12-03,30.62,30.69,29.81,4.81,577700,,,,,,,,,,,,,,,5.3018,,,
1999-12-10,30.56,30.56,29.12,4.62,645600,,,,,,,,,,,,,,,5.2841,,,
1999-12-17,29.25,29.31,28.25,4.48,698900,,,,,,,,,,,,,,,5.2569,,,
1999-12-23,28.38,29.19,28.06,4.59,400200,,,,,,,,4.7825,,,,,,,5.2174,,,4.7825
1999-12-31,29.19,29.25,28.56,4.57,440400,,,,,,,,4.7284,,,,,,,5.1705,,,4.698
2000-01-07,29.06,30.19,27.69,4.76,922300,,,,,,,,4.7368,,,,,,,5.1265,,,4.6682
2000-01-14,30.0,30.06,29.19,4.68,382100,,,,,,,,4.7234,,,,,,,5.0741,,,4.6456
2000-01-21,29.62,30.0,29.12,4.68,502100,,,,,,,,4.7133,,,,,-0.4743,,5.0254,,,4.6271
2000-01-28,29.62,30.5,29.19,4.74,707700,,,,,,,,4.7208,,,,,-0.2277,,4.98,,,4.644
2000-02-04,30.06,31.12,29.81,4.81,602900,,,,,,,,4.7438,,,,,-0.0285,,4.9379,,,4.6921
2000-02-11,30.5,30.56,29.69,4.72,690600,,,,,,4.7466,,4.7389,,,,,-0.0885,,4.9202,4.7466,,4.7106
2000-02-18,29.5,29.62,28.62,4.62,670900,,0.1871,,,,4.7297,,4.7093,,,,43.0248,-0.0041,31.1667,4.9202,4.7082,,4.7184
2000-02-25,28.94,29.12,27.81,4.5,380700,,0.1889,,,,4.6992,,4.6572,,,,43.0019,0.025,28.5866,4.8823,4.6746,,4.6811
2000-03-03,28.12,28.81,27.75,4.64,432500,,0.1876,,,,4.6915,,4.6533,,,,48.2363,0.0469,35.3615,4.847,4.6604,,4.6752
2000-03-10,28.69,28.81,27.81,4.59,623300,,0.1857,,,,4.6782,,4.6378,,,,48.1283,0.0253,34.1194,4.8141,4.6446,,4.6621
2000-03-17,28.44,31.0,28.06,4.8,673500,,0.2064,,,,4.6948,,4.6791,,,,56.3825,0.0408,43.1992,4.3779,4.6573,,4.6706
2000-03-24,30.0,30.75,29.31,4.88,584000,,0.2082,4.4043,4.7246,5.045,4.72,,4.7302,,,,64.4295,0.2005,46.2444,4.3842,4.6864,,4.6807
2000-03-31,30.25,31.81,30.12,5.14,532400,,0.2129,4.409,4.7235,5.038,4.7754,,4.8315,,,,65.2308,0.4524,54.4498,4.3904,4.7251,,4.7395
2000-04-07,31.81,32.69,30.88,5.17,432100,,0.2185,4.3791,4.7333,5.0875,4.8275,,4.9152,,,,65.4201,0.423,55.3438,4.4053,4.7679,,4.8174
2000-04-14,31.69,33.38,31.69,5.24,422900,,0.2224,4.3379,4.7531,5.1683,4.8821,,4.9957,,,,63.4734,0.4244,57.4278,4.4315,4.8018,,4.9226
2000-04-20,32.31,33.75,32.25,5.43,380900,,0.2238,4.275,4.7838,5.2926,4.9549,,5.1037,,,,63.7238,0.7035,62.4841,4.4698,4.855,,5.0349
2000-04-28,33.12,37.38,33.12,5.97,1228000,,0.257,4.1311,4.8513,5.5714,5.0907,,5.3211,,,,73.5225,1.3529,72.5436,4.5187,4.9472,,5.2323
2000-05-05,36.81,37.44,36.0,5.97,770000,,0.2552,4.0777,4.9262,5.7746,5.2083,,5.4842,,,,74.2841,1.4724,72.5436,4.6097,5.0351,,5.3995
2000-05-12,36.38,37.69,36.38,6.09,589300,,0.2523,4.0277,5.001,5.9744,5.3262,,5.6362,,,,74.6871,1.4509,74.2867,4.7101,5.1265,,5.5722
2000-05-19,36.88,37.44,34.56,5.82,724800,33.8633,0.2681,4.0502,5.0636,6.0769,5.3916,,5.6813,,,,73.0411,1.2252,64.1243,4.8282,5.2045,,5.6695
2000-05-26,35.62,36.88,35.06,5.83,369700,33.8021,0.2703,4.0614,5.1168,6.1721,5.4496,,5.7176,,,,79.6534,1.0235,64.3121,4.9368,5.2906,,5.7638
2000-06-02,35.75,36.31,34.38,5.84,295200,33.1208,0.2736,4.0944,5.1744,6.2545,5.5011,,5.7473,,,,79.693,0.9527,64.5121,5.0367,5.386,,5.8494
2000-06-09,35.56,35.94,34.0,5.81,354100,32.1503,0.2768,4.1418,5.2306,6.3194,5.5419,,5.7621,,,,75.0318,0.6713,63.3647,5.1286,5.4692,,5.9036
2000-06-16,35.38,35.75,34.56,5.82,611300,31.2492,0.271,4.1911,5.2843,6.3775,5.5785,,5.7757,,,,81.8703,0.6504,63.5971,5.2132,5.5568,,5.8812
2000-06-23,35.44,36.0,34.19,5.74,287100,30.0607,0.2728,4.2426,5.3309,6.4191,5.6006,,5.7679,,,,77.3305,0.5072,60.5626,5.291,5.624,,5.8485
2000-06-30,34.88,35.31,32.56,5.38,548200,28.2085,0.2856,4.3118,5.3639,6.416,5.5719,,5.6722,0.2641,-0.013,0.2771,70.3768,-0.0427,48.2282,6.1859,5.6598,,5.7474
2000-07-07,33.19,35.31,33.19,5.71,239800,26.4886,0.2945,4.4142,5.4185,6.4229,5.5907,,5.6824,0.2566,-0.0164,0.273,69.4272,-0.2602,56.8677,6.1774,5.7011,,5.7326
2000-07-14,34.88,35.69,32.75,5.38,633800,25.2251,0.3079,4.5501,5.4627,6.3753,5.5633,,5.608,0.2216,-0.0411,0.2627,62.1432,-0.5884,48.2047,6.1691,5.7167,,5.6696
2000-07-21,32.56,32.88,31.5,5.17,477400,24.8965,0.3021,4.6452,5.4892,6.3331,5.5108,,5.4985,0.1746,-0.0705,0.2451,56.5802,-0.9224,43.5274,6.1609,5.7119,,5.5744
2000-07-28,31.5,31.81,31.25,5.17,538900,24.7454,0.2871,4.7644,5.5181,6.2718,5.4654,,5.4164,0.1357,-0.0875,0.2232,50.9573,-0.6467,43.5274,6.141,5.6935,,5.4834
2000-08-04,31.5,33.19,31.44,5.42,651300,23.3856,0.2871,4.8675,5.5488,6.23,5.4588,,5.4163,0.1234,-0.0799,0.2032,46.5341,-0.4103,49.9734,6.1107,5.6537,,5.4262
2000-08-11,32.75,33.08,31.81,5.49,417500,21.9229,0.2785,4.9685,5.579,6.1895,5.4628,,5.4343,0.118,-0.0682,0.1862,43.277,-0.3478,51.7174,6.0812,5.6191,,5.3896
2000-08-18,32.69,33.12,32.38,5.43,211800,20.4043,0.2675,5.0129,5.5936,6.1742,5.4579,,5.4324,0.1076,-0.0629,0.1705,39.3929,-0.3802,50.1079,6.0526,5.5715,,5.3956
2000-08-25,32.44,32.94,31.88,5.4,305800,19.3082,0.261,5.0512,5.6055,6.1597,5.4508,,5.4255,0.0964,-0.0592,0.1557,42.5151,-0.4118,49.5247,6.0249,5.5421,,5.3515
2000-09-01,32.25,32.94,32.06,5.49,330600,18.2904,0.2529,5.0868,5.618,6.1493,5.4559,,5.4412,0.0933,-0.0499,0.1432,41.8604,-0.2559,51.8461,5.9981,5.5179,,5.3663
2000-09-08,32.75,35.0,32.62,5.8,272400,18.2255,0.2633,5.1074,5.6366,6.1657,5.5015,,5.5304,0.1144,-0.023,0.1374,46.877,0.413,59.3039,5.972,5.5152,,5.456
2000-09-15,34.88,35.56,34.12,5.91,339600,18.5125,0.2617,5.1116,5.6334,6.1552,5.5559,,5.6253,0.1386,0.001,0.1377,53.114,0.1968,61.6221,5.1289,5.5226,,5.5618
2000-09-22,35.19,35.38,32.88,5.69,357900,17.7044,0.2729,5.1202,5.6191,6.118,5.5735,,5.6409,0.1383,0.0005,0.1378,44.204,0.3026,54.9327,5.1371,5.5134,,5.6005
2000-09-29,33.81,35.12,33.31,5.84,294100,16.954,0.275,5.1449,5.6063,6.0677,5.6085,,5.6897,0.1483,0.0084,0.1399,49.6415,0.6665,58.2025,5.1452,5.5199,,5.6502
2000-10-06,34.94,35.06,32.94,5.59,358500,15.9444,0.2807,5.1439,5.5952,6.0464,5.6066,,5.6658,0.1351,-0.0038,0.1389,51.2921,0.4239,51.63,5.1532,5.5349,,5.6741
2000-10-13,33.44,34.25,33.06,5.67,260500,15.007,0.2749,5.1471,5.5872,6.0273,5.6147,,5.6662,0.1291,-0.0079,0.137,46.5692,0.2513,53.3515,5.1612,5.5316,,5.7117
2000-10-20,34.06,34.44,32.62,5.54,296100,14.1253,0.277,5.1471,5.5724,5.9977,5.6048,5.2485,5.6347,0.1128,-0.0194,0.1321,49.6481,0.0519,50.0389,5.1691,5.5427,5.2485,5.7191
2000-10-27,33.12,33.5,31.5,5.54,492100,14.1934,0.2811,5.1475,5.5591,5.9707,5.5962,5.26,5.6111,0.0987,-0.0267,0.1255,49.3176,0.1138,50.0389,5.1769,5.5691,5.2562,5.6823
2000-11-03,33.12,34.88,32.94,5.62,477900,13.2924,0.2842,5.1537,5.5495,5.9452,5.5999,5.2742,5.6143,0.0932,-0.0258,0.119,59.0558,0.2191,52.2987,5.1846,5.6016,5.2692,5.6414
2000-11-10,33.88,34.12,33.0,5.62,953100,12.4557,0.2789,5.1562,5.5434,5.9306,5.6029,5.2879,5.6164,0.0878,-0.025,0.1128,43.7721,0.1341,52.2572,5.1922,5.6163,5.2849,5.6321
2000-11-17,33.19,34.0,32.75,5.74,320800,11.89,0.2742,5.1721,5.5611,5.9502,5.6212,5.3056,5.6473,0.0919,-0.0167,0.1086,42.9409,-0.0578,55.5333,5.1998,5.6343,5.3034,5.6184
2000-11-24,33.5,33.94,33.12,5.71,212700,11.3648,0.2646,5.1722,5.5609,5.9495,5.6328,5.3214,5.6624,0.0915,-0.0137,0.1052,43.0525,-0.2022,54.4258,5.2073,5.6544,5.3251,5.6346
2000-12-01,33.25,34.69,32.94,5.91,381700,11.5224,0.267,5.179,5.5872,5.9953,5.6698,5.3445,5.7245,0.1063,0.0009,0.1054,49.5825,0.223,59.8294,5.2147,5.6905,5.3538,5.6694
2000-12-08,34.62,35.44,34.62,5.98,454600,12.2397,0.2579,5.2321,5.6278,6.0236,5.7117,5.3696,5.7893,0.1225,0.0137,0.1088,51.0582,0.1474,61.6011,5.222,5.7259,5.3816,5.7327
2000-12-15,35.12,35.5,34.06,5.89,511600,12.3047,0.257,5.313,5.6638,6.0146,5.7352,5.3899,5.8141,0.1262,0.0139,0.1123,43.9981,0.2945,58.0127,5.2383,5.7324,5.408,5.7825
2000-12-22,34.5,35.88,34.06,6.11,376400,12.6638,0.2608,5.3161,5.6986,6.0812,5.7856,5.4183,5.8889,0.1456,0.0267,0.1189,44.4636,0.4458,63.4216,5.2626,5.7469,5.435,5.8524
2000-12-29,35.88,37.94,35.25,6.34,422300,14.293,0.2749,5.2809,5.741,6.2011,5.8591,5.4543,6.0008,0.177,0.0464,0.1306,51.5551,0.7962,67.8483,5.2967,5.7932,5.4681,5.9543
2001-01-05,37.25,37.44,33.62,5.74,465400,14.2815,0.3018,5.3197,5.7567,6.1937,5.8432,5.4655,5.9356,0.1519,0.0171,0.1348,45.0577,0.1998,50.3248,5.3551,5.7864,5.4892,5.9543
2001-01-12,33.69,35.38,33.56,5.91,497500,14.2201,0.3023,5.3717,5.782,6.1923,5.8522,5.483,5.9293,0.1442,0.0075,0.1367,43.9151,0.2866,53.9819,5.4105,5.809,5.5126,5.9833
