date,open,high,low,close,volume,adx_14_adx,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,ema_14_ema,ema_50_ema,ema_7_ema,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,mfi_14_mfi,mom_10_mom,rsi_14_rsi,sar_14_sar,sma_14_sma,sma_50_sma,sma_7_sma
2001-01-19,34.44,35.0,33.88,5.92,369500,14.1632,0.2944,5.4123,5.8036,6.1949,5.8613,5.5001,5.9272,0.1373,0.0005,0.1368,43.0602,0.2982,54.1997,5.4632,5.8271,5.5347,5.9848
2001-01-26,34.5,36.75,34.12,6.2,473600,15.1833,0.3054,5.3962,5.8236,6.251,5.9063,5.5275,5.995,0.1525,0.0125,0.14,49.35,0.4583,59.7718,5.5133,5.8741,5.5642,6.0154
2001-02-02,36.15,37.2,34.5,6.1,529900,16.3648,0.3164,5.3903,5.8331,6.2759,5.9321,5.5499,6.0212,0.1548,0.0118,0.1429,57.1626,0.3919,57.1093,5.5608,5.914,5.5938,6.0456
2001-02-09,35.9,37.55,35.9,6.34,902700,17.6423,0.3151,5.3772,5.8657,6.3541,5.9862,5.5809,6.1004,0.1738,0.0247,0.1491,60.2691,0.4277,61.5602,5.606,5.9651,5.6306,6.0778
2001-02-16,36.81,37.75,35.81,6.31,450900,19.2357,0.3166,5.3639,5.8895,6.415,6.0298,5.6096,6.1536,0.1848,0.0285,0.1562,71.6538,0.3292,60.8427,5.6489,6.0144,5.664,6.0744
2001-02-23,36.2,36.74,35.31,6.18,267000,20.1771,0.3117,5.3971,5.9188,6.4404,6.0498,5.6319,6.1601,0.1806,0.0195,0.1611,67.1889,0.2912,57.0478,5.7024,6.0458,5.6957,6.1372
2001-03-02,35.5,37.09,35.5,6.33,430100,21.2396,0.3091,5.4144,5.9519,6.4895,6.0872,5.6593,6.2027,0.1873,0.0209,0.1663,68.4229,0.2171,60.0777,5.7526,6.0902,5.7263,6.1972
2001-03-09,36.5,36.6,35.9,6.31,351800,22.2262,0.2957,5.4665,5.9902,6.5139,6.1164,5.6847,6.2285,0.1884,0.0177,0.1708,62.8544,-0.0304,59.3521,5.7999,6.1185,5.7547,6.2522
2001-03-16,36.5,36.76,35.6,6.17,382200,22.7823,0.2889,5.5355,6.0218,6.5081,6.1239,5.7038,6.2146,0.1766,0.0047,0.1719,56.4968,0.4325,55.39,5.8443,6.132,5.7755,6.2485
2001-03-23,35.6,36.2,33.91,6.01,526700,21.5842,0.2966,5.5903,6.0412,6.4921,6.1089,5.7159,6.1638,0.1524,-0.0156,0.168,56.2648,0.101,50.9647,6.54,6.1408,5.7924,6.2359
2001-03-30,34.9,37.3,34.9,6.4,448900,21.2409,0.3076,5.6464,6.0801,6.5139,6.1479,5.7428,6.2232,0.1628,-0.0041,0.167,56.8826,0.4806,59.4132,6.5333,6.1614,5.8157,6.245
2001-04-06,36.7,37.25,35.82,6.29,494300,20.9222,0.3033,5.6944,6.1076,6.5208,6.1667,5.7642,6.2396,0.1602,-0.0055,0.1656,57.3862,0.0903,56.3905,6.5267,6.1579,5.8329,6.2415
2001-04-12,36.15,37.95,36.15,6.44,505300,21.0897,0.3039,5.7494,6.1444,6.5395,6.2037,5.7909,6.2909,0.1687,0.0025,0.1662,64.617,0.345,59.4655,5.8747,6.2083,5.8423,6.2794
2001-04-20,36.82,37.33,35.75,6.25,650100,20.8421,0.3018,5.779,6.1616,6.5442,6.2105,5.809,6.2817,0.1582,-0.0064,0.1646,62.8279,-0.0841,54.4152,5.8817,6.2328,5.8479,6.2685
2001-04-27,35.9,37.54,35.9,6.46,387100,20.7607,0.3005,5.7909,6.1854,6.5799,6.2438,5.8346,6.3263,0.1647,0.0,0.1646,68.1969,0.1473,58.5195,5.8886,6.2713,5.8553,6.2905
2001-05-04,37.2,37.75,36.5,6.54,327000,20.8368,0.2945,5.8194,6.218,6.6166,6.2833,5.8622,6.3797,0.1742,0.0077,0.1666,67.6115,0.3603,60.0181,5.8955,6.2957,5.8698,6.343
2001-05-11,37.6,37.6,35.88,6.38,1404600,20.8992,0.289,5.8299,6.2313,6.6327,6.296,5.8825,6.3795,0.1668,0.0002,0.1666,52.6243,0.0482,55.6347,5.9023,6.3157,5.8808,6.3954
2001-05-18,36.1,36.72,35.9,6.46,312400,20.9572,0.2787,5.8262,6.2373,6.6485,6.3176,5.905,6.3991,0.1655,-0.0009,0.1664,48.6669,0.1518,57.2854,5.909,6.3242,5.8932,6.4035
2001-05-25,36.6,36.66,36.05,6.43,622700,21.011,0.2665,5.922,6.272,6.6219,6.333,5.9258,6.4076,0.1606,-0.0047,0.1652,41.0861,0.2605,56.58,5.9157,6.3328,5.9058,6.4241
2001-06-01,36.15,37.28,36.15,6.55,501900,21.6004,0.2617,5.9762,6.3038,6.6313,6.3614,5.9501,6.4422,0.1639,-0.0011,0.165,46.6671,0.5344,59.0615,5.9223,6.359,5.9204,6.4386
2001-06-08,37.12,37.7,36.95,6.57,500100,22.4798,0.2524,6.0394,6.3363,6.6333,6.3895,5.9745,6.4747,0.1667,0.0014,0.1653,47.3197,0.171,59.6436,5.9288,6.3763,5.9369,6.484
2001-06-15,37.3,38.4,37.05,6.59,540200,23.7946,0.2514,6.0466,6.3559,6.6653,6.4163,5.9986,6.5036,0.1684,0.0025,0.1659,53.357,0.3013,60.0514,5.9431,6.3965,5.961,6.5026
2001-06-22,37.3,38.25,37.0,6.58,359600,24.9345,0.2492,6.0794,6.38,6.6807,6.4382,6.0215,6.523,0.1672,0.001,0.1662,53.3627,0.1365,59.7264,5.9678,6.4257,5.9784,6.5085
2001-06-29,37.34,38.32,36.75,6.73,540000,25.5781,0.2511,6.0633,6.3996,6.736,6.4773,6.0493,6.575,0.1762,0.008,0.1682,60.2561,0.4769,63.3571,5.9917,6.4771,6.0053,6.5588
2001-07-06,38.0,38.6,37.77,6.8,252900,26.4009,0.2436,6.0478,6.4241,6.8003,6.5205,6.0788,6.6316,0.1869,0.015,0.1719,59.3246,0.3412,64.9581,6.015,6.5057,6.0379,6.6079
2001-07-13,38.45,39.25,38.3,6.77,342100,27.644,0.2382,6.0667,6.4534,6.8401,6.5533,6.1058,6.6653,0.1904,0.0147,0.1756,58.6401,0.2263,63.465,6.0464,6.5398,6.0699,6.6555
2001-07-20,38.4,39.0,37.84,6.67,487000,28.0263,0.2358,6.0767,6.4706,6.8645,6.5695,6.1281,6.6676,0.1836,0.0064,0.1772,51.7032,0.296,59.6275,6.0899,6.5562,6.095,6.6739
2001-07-27,37.88,38.61,36.12,6.77,606300,26.1745,0.2503,6.0873,6.4936,6.8999,6.5957,6.1531,6.6923,0.1835,0.005,0.1785,51.7804,0.3084,62.0957,6.1312,6.5928,6.1206,6.7015
2001-08-03,38.3,39.95,37.6,7.03,441500,25.5956,0.262,6.0952,6.5365,6.9779,6.6537,6.1875,6.7768,0.2024,0.0192,0.1833,52.3581,0.5973,68.1457,6.1704,6.6335,6.1527,6.7645
2001-08-10,39.75,40.09,39.39,7.14,2416500,25.5368,0.257,6.145,6.5932,7.0413,6.7192,6.225,6.8688,0.224,0.0326,0.1914,63.7841,0.5988,70.3486,6.2226,6.6767,6.1875,6.845
2001-08-17,39.93,40.38,39.43,7.21,379000,25.7382,0.2508,6.1209,6.6336,7.1463,6.7845,6.2636,6.9539,0.2436,0.0417,0.2018,75.7143,0.6368,71.5439,6.2881,6.7361,6.2219,6.9133
2001-08-24,40.25,41.25,40.07,7.31,451900,26.4632,0.2479,6.1195,6.6844,7.2493,6.854,6.3045,7.0419,0.2638,0.0496,0.2142,76.257,0.7158,73.2836,6.3632,6.7966,6.252,6.9854
2001-08-31,40.74,40.79,39.68,7.1,529800,26.6676,0.2448,6.1358,6.7173,7.2988,6.8871,6.3358,7.0569,0.2604,0.0369,0.2235,76.5186,0.5206,64.3405,6.455,6.8444,6.2759,7.0333
2001-09-07,39.55,40.28,39.55,7.19,317000,26.6999,0.2366,6.1888,6.764,7.3391,6.9271,6.3692,7.0896,0.2616,0.0305,0.2311,72.086,0.4567,66.2103,6.5385,6.8902,6.3059,7.1066
2001-09-10,40.25,40.62,39.7,7.27,161300,26.9684,0.2315,6.2069,6.8044,7.402,6.9729,6.4045,7.1347,0.2661,0.028,0.2381,70.9942,0.4686,67.9449,6.6145,6.9401,6.3346,7.1786
2001-09-21,40.62,40.78,38.5,6.99,665600,25.8359,0.2441,6.2371,6.8269,7.4167,6.975,6.4274,7.0983,0.2442,0.0049,0.2393,63.1032,0.2228,57.1594,6.6836,6.9686,6.3625,7.1727
2001-09-28,39.05,39.16,37.95,6.98,535000,24.243,0.2421,6.3013,6.857,7.4126,6.9757,6.4491,7.0688,0.2235,-0.0126,0.2362,61.6271,0.3055,56.8499,6.7466,6.9971,6.3887,7.1491
2001-10-05,39.05,40.01,38.05,7.1,582000,23.4663,0.2499,6.3557,6.8889,7.4221,6.9918,6.4745,7.0757,0.2141,-0.0176,0.2317,61.9585,0.3302,59.8905,6.7922,7.0232,6.4198,7.133
2001-10-12,39.5,39.7,38.65,7.0,402700,22.7451,0.2455,6.4253,6.9171,7.409,6.9926,6.495,7.0563,0.1964,-0.0283,0.2247,57.8505,-0.0325,56.2769,6.7922,7.0372,6.449,7.089
2001-10-19,39.11,39.69,38.2,7.02,439800,21.5984,0.247,6.4779,6.9406,7.4034,6.9957,6.5155,7.0462,0.1817,-0.0344,0.2161,53.1828,-0.1289,56.7874,6.8101,7.055,6.4768,7.0768
2001-10-26,39.2,39.37,37.5,6.81,430800,20.2621,0.2533,6.5172,6.9527,7.3882,6.9715,6.5271,6.9881,0.152,-0.0513,0.2033,53.4789,-0.3955,49.7224,7.3828,7.065,6.5007,7.0233
2001-11-02,37.85,38.49,36.8,6.83,616800,19.633,0.2568,6.5579,6.9649,7.3718,6.9531,6.5392,6.9494,0.1286,-0.0597,0.1883,53.3457,-0.4725,50.3697,7.3761,7.0698,6.5225,6.9609
2001-11-09,38.0,39.24,38.0,6.93,2535800,18.2993,0.2545,6.6145,6.9822,7.3499,6.9497,6.5544,6.944,0.1163,-0.0576,0.1739,62.5568,-0.1741,53.4633,7.3603,7.0624,6.5469,6.9522
2001-11-16,38.09,38.7,37.01,6.8,1711600,17.4081,0.2583,6.6268,6.9859,7.3449,6.9303,6.5642,6.909,0.0955,-0.0628,0.1582,42.3343,-0.3837,49.1412,7.3448,7.0381,6.5648,6.927
2001-11-23,37.35,37.71,37.0,6.86,452600,16.5898,0.249,6.6347,6.9887,7.3427,6.9207,6.5757,6.8964,0.0824,-0.0607,0.1431,38.1362,-0.4114,51.0224,7.3297,7.013,6.5823,6.8931
2001-11-30,37.7,38.0,37.03,6.8,695400,15.5183,0.2439,6.6407,6.9905,7.3403,6.9049,6.5846,6.8729,0.0668,-0.0611,0.1278,39.4178,-0.1868,49.0052,7.3148,6.9771,6.6006,6.8651
2001-12-07,37.41,38.83,37.05,7.06,721500,15.1138,0.2496,6.6907,7.0099,7.3291,6.9259,6.6034,6.9202,0.0745,-0.0427,0.1171,45.8011,0.0822,57.3764,7.3002,6.9743,6.6195,6.8717
2001-12-14,38.95,39.1,37.92,6.92,953600,14.9827,0.2471,6.7146,7.0173,7.32,6.9245,6.6156,6.9189,0.0679,-0.0394,0.1073,51.9559,-0.1814,52.1539,7.286,6.9548,6.6311,6.8862
2001-12-21,38.15,39.9,38.01,7.24,831700,15.5302,0.254,6.7099,7.0278,7.3458,6.9666,6.6401,6.9993,0.088,-0.0155,0.1034,54.8136,0.2426,60.6729,7.272,6.9527,6.6611,6.9444
2001-12-28,39.75,40.9,39.75,7.4,409200,16.7403,0.2508,6.6872,7.0404,7.3935,7.0238,6.6697,7.0983,0.115,0.0093,0.1058,59.8246,0.3793,63.955,6.5864,6.9817,6.6908,7.0112
2002-01-04,40.7,40.75,39.35,7.37,612500,17.3731,0.251,6.6731,7.0486,7.424,7.0704,6.6973,7.1671,0.1332,0.0219,0.1112,59.2409,0.5597,63.1537,6.5949,7.0098,6.7199,7.0925
2002-01-11,40.45,40.64,39.8,7.35,484400,17.9608,0.244,6.6691,7.0507,7.4323,7.1074,6.7228,7.2123,0.1438,0.0261,0.1178,58.9623,0.5145,62.1749,6.6033,7.0277,6.7429,7.1624
2002-01-18,40.2,41.09,40.0,7.33,526000,18.8433,0.2408,6.6619,7.0621,7.4622,7.137,6.7466,7.2416,0.1491,0.0251,0.124,63.0369,0.402,61.4424,6.6117,7.0514,6.7675,7.2377
2002-01-25,40.2,40.93,39.85,7.42,424800,19.4557,0.2376,6.6471,7.0736,7.5001,7.1746,6.773,7.2859,0.1586,0.0277,0.1309,66.9101,0.6147,63.6992,6.6289,7.0802,6.7891,7.2887
2002-02-01,40.55,42.25,40.51,7.65,636000,20.9271,0.2432,6.6042,7.0924,7.5806,7.2375,6.8072,7.376,0.1824,0.0412,0.1412,71.2763,0.7875,68.7275,6.6458,7.1397,6.8157,7.3931
2002-02-08,41.8,42.91,41.73,7.76,780800,22.6604,0.2412,6.5651,7.1312,7.6973,7.3077,6.8447,7.4731,0.2084,0.0537,0.1547,76.9078,0.9621,70.9787,6.677,7.2062,6.8474,7.4679
2002-02-15,42.0,42.79,41.62,7.76,618800,24.53,0.2394,6.5465,7.1702,7.7939,7.3681,6.8807,7.5449,0.2261,0.0571,0.169,72.7595,0.6981,70.7937,6.7221,7.2656,6.876,7.5201
2002-02-22,41.85,42.4,41.36,7.81,446800,25.8858,0.236,6.5237,7.2061,7.8885,7.4275,6.9173,7.6122,0.2416,0.0581,0.1835,82.3761,0.8989,71.8547,6.7808,7.3378,6.9062,7.583
2002-03-01,42.4,43.23,41.91,7.98,462300,27.5867,0.2365,6.5026,7.255,8.0074,7.5007,6.9588,7.7032,0.264,0.0644,0.1996,87.4184,0.7358,74.8415,6.8366,7.4176,6.9423,7.6728
2002-03-08,43.32,44.05,43.23,8.01,540400,29.5409,0.2306,6.4926,7.3049,8.1171,7.569,7.0001,7.7807,0.2815,0.0655,0.216,87.3393,0.6181,75.4784,6.9051,7.5041,6.9823,7.7705
2002-03-15,43.3,43.35,42.15,7.81,581300,29.9287,0.2309,6.5471,7.3545,8.1619,7.6007,7.0318,7.7872,0.2755,0.0476,0.2279,79.914,0.4332,65.4812,6.9908,7.5573,7.0104,7.8259
2002-03-22,42.3,44.0,42.2,8.04,497100,30.647,0.2381,6.5915,7.4151,8.2386,7.6599,7.0715,7.8515,0.2866,0.047,0.2396,79.0107,0.6967,70.3521,7.0705,7.6379,7.0455,7.8828
2002-03-28,43.56,44.45,43.19,8.12,426900,31.547,0.2377,6.6284,7.4748,8.3212,7.7215,7.1127,7.9192,0.2983,0.0469,0.2514,78.1004,0.7924,71.7498,7.1447,7.7009,7.0791,7.9339
2002-04-05,44.2,44.98,43.85,8.28,434900,32.6443,0.2356,6.692,7.5484,8.4049,7.7956,7.1583,8.0087,0.3164,0.052,0.2644,78.3156,0.8583,74.3539,7.2294,7.7639,7.1195,8.0077
2002-04-12,44.8,46.24,44.48,8.53,587900,34.2008,0.242,6.7353,7.6322,8.5291,7.894,7.2123,8.1399,0.3474,0.0664,0.281,86.1903,0.8875,77.9723,7.3258,7.8468,7.161,8.1105
2002-04-19,46.2,46.77,45.76,8.6,701100,35.8425,0.238,6.8156,7.7221,8.6286,7.9882,7.2667,8.255,0.373,0.0737,0.2994,86.7487,0.8357,78.8064,7.4466,7.9362,7.2022,8.1996
2002-04-26,46.5,47.04,45.85,8.48,520400,37.465,0.2367,6.8822,7.793,8.7038,8.0538,7.3143,8.3113,0.3793,0.064,0.3154,79.6122,0.7198,73.4023,7.5769,8.0184,7.2442,8.2663
2002-05-03,45.85,47.7,45.85,8.75,518000,39.2018,0.2442,6.9763,7.8848,8.7933,8.1468,7.3707,8.4213,0.4016,0.069,0.3326,80.0557,0.9375,77.2087,7.7095,8.1136,7.2901,8.4013
2002-05-10,47.4,47.8,46.34,8.69,1698900,41.0142,0.2449,7.0346,7.9573,8.8801,8.2194,7.4225,8.4889,0.4096,0.0616,0.348,82.8194,0.7153,74.6706,7.8516,8.1883,7.3353,8.4938
