date,open,high,low,close,volume,ad_14_chaikin a/d,adosc_14_adosc,adx_14_adx,adxr_14_adxr,apo_14_apo,aroon_14_aroon down,aroon_14_aroon up,aroonosc_14_aroonosc,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,bop_14_bop,cci_20_cci,cmo_14_cmo,dema_14_dema,dx_14_dx,ema_12_ema,ema_14_ema,ht_dcperiod_14_dcperiod,ht_dcphase_14_ht_dcphase,ht_phasor_14_phase,ht_phasor_14_quadrature,ht_sine_14_lead sine,ht_sine_14_sine,ht_trendline_14_ht_trendline,ht_trendmode_14_trendmode,kama_14_kama,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,macdext_14_macd,macdext_14_macd_hist,macdext_14_macd_signal,mama_14_fama,mama_14_mama,mfi_14_mfi,midpoint_14_midpoint,midprice_14_midprice,minus_di_14_minus_di,mom_10_mom,natr_14_natr,obv_14_obv,plus_di_14_plus_di,ppo_14_ppo,roc_10_roc,rocr_14_rocr,rsi_14_rsi,sar_14_sar,sma_200_sma,sma_20_sma,sma_50_sma,stoch_14_slowd,stoch_14_slowk,stochf_14_fastd,stochf_14_fastk,stochrsi_14_fastd,stochrsi_14_fastk,t3_14_t3,tema_14_tema,trange_14_trange,trima_14_trima,trix_14_trix,ultosc_14_ultosc,willr_14_willr,wma_14_wma
1999-11-12,19.0,21.94,18.25,6.13,6454350,2413821.9512,,,,,,,,,,,,0.3902,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,12908700.0,,,,,,,,,,,,,,,,,,,,,,,
1999-11-19,20.63,21.0,19.81,6.16,6863100,5063843.1651,,,,,,,,,,,,-0.0635,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,26634900.0,,,,,,5.4728,,,,,,,,,,,,0.3726,,,,,
1999-11-26,20.5,21.44,20.5,6.3,2858050,4698985.7183,,,,,,,,,,,,0.4681,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,32351000.0,,,,,,5.4812,,,,,,,,,,,,0.2826,,,,,
1999-12-03,20.69,22.44,20.69,6.73,2475750,9310954.2897,,,,,,,,,,,,0.9657,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,37302500.0,,,,,,5.5005,,,,,,,,,,,,0.5261,,,,,
1999-12-10,22.13,23.5,21.81,6.99,2397500,12687315.2365,,,,,,,,,,,,0.6627,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,42097500.0,,,,,,5.5379,,,,,,,,,,,,0.5081,,,,,
1999-12-17,23.06,24.38,23.06,7.33,3421350,19530015.2365,,,,,,,,,,,,1.0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,48940200.0,,,,,,5.5989,,,,,,,,,,,,0.3968,,,,,
1999-12-23,24.13,26.81,23.5,7.8,1861550,21295956.9283,,,,,,,,,,,,0.5468,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,52663300.0,,,,,,5.6855,,,,,,93.8304,86.2124,,,,,0.9951,,,,,
1999-12-31,26.0,26.81,24.0,8.02,1418500,23890650.8785,,,,,,,,,,,,0.2456,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,55500300.0,,,,,,5.8279,,,,,,94.7505,98.0392,,,,,0.8448,,,,,
2000-01-07,26.75,26.75,24.06,7.52,1455350,23014194.7447,,,,,,,,,,,,-0.6506,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,52589600.0,,,,,,5.9841,,,,90.4216,82.6839,82.6839,63.8,,,,,0.8087,,,,,
2000-01-14,25.13,29.25,23.75,8.79,2572650,28159494.7447,7756783.3906,,,,,,,,,,,0.7491,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,57734900.0,,,,,,6.1294,,,,88.238,87.2797,87.2797,100.0,,,,,1.6534,,,,,
2000-01-21,28.75,29.69,26.56,8.66,2233050,30114305.2878,7953094.7554,,,,,,,,,,,0.0192,,,,,,,,,,,,,,0,,,,,,,,,,,,,,2.5315,,53268800.0,,,41.3004,,,6.3426,,,,84.386,83.1945,83.1945,85.7835,,,,,0.941,,,,,
2000-01-28,28.88,33.31,28.13,9.3,3945850,30784642.7395,7523684.5251,,,,,,,,,,,0.3977,,,,,7.4773,,,,,,,,,0,,,,,,,,,,,,,,3.1385,,61160500.0,,,50.9268,,,6.575,,,,85.8239,86.9976,86.9976,75.2092,,,,,1.5572,,,,,
