date,open,high,low,close,volume,ema_12_ema,ema_26_ema,sma_200_sma,sma_20_sma,sma_50_sma
1999-11-12,38.06,38.38,35.75,5.95,47400,,,,,
1999-11-19,36.06,36.5,34.0,5.66,96934,,,,,
1999-11-26,34.25,38.0,34.25,6.11,96867,,,,,
1999-12-03,37.25,39.63,37.0,6.45,86334,,,,,
1999-12-10,39.19,39.75,37.31,6.56,75934,,,,,
1999-12-17,39.75,39.75,36.81,6.07,75268,,,,,
1999-12-23,36.81,36.94,35.56,5.9,58334,,,,,
1999-12-31,35.56,36.13,35.0,5.94,41868,,,,,
2000-01-07,35.87,36.13,35.0,5.89,56401,,,,,
2000-01-14,35.94,36.25,35.31,5.9,89268,,,,,
2000-01-21,35.88,35.88,35.25,5.86,24267,,,,,
2000-01-28,35.38,35.69,33.31,5.56,60468,5.9856,,,,
2000-02-04,33.56,33.56,32.31,5.44,61934,5.9022,,,,
2000-02-11,32.69,32.69,29.31,4.88,60001,5.745,,,,
2000-02-18,29.31,31.06,28.88,4.83,74134,5.6041,,,,
2000-02-25,29.0,29.0,26.5,4.41,47734,5.4208,,,,
2000-03-03,26.31,28.0,26.0,4.37,62201,5.2593,,,,
2000-03-10,26.19,28.81,26.13,4.75,71601,5.1803,,,,
2000-03-17,28.31,29.63,28.31,4.89,56535,5.136,,,,
2000-03-24,29.38,31.63,29.06,5.18,67201,5.1434,,,5.5293,
2000-03-31,31.31,31.81,29.5,4.95,39001,5.1142,,,5.4796,
2000-04-07,29.88,32.13,29.5,5.33,63067,5.1472,,,5.4631,
2000-04-14,32.25,32.25,29.5,4.96,69401,5.119,,,5.4057,
2000-04-20,29.63,29.94,28.75,4.8,31734,5.0696,,,5.3229,
2000-04-28,28.63,30.13,28.38,5.02,67734,5.0615,,,5.246,
2000-05-05,29.88,32.0,29.31,4.94,65267,5.0434,5.4074,,5.1896,
2000-05-12,29.75,29.94,28.31,4.88,49667,5.0188,5.3685,,5.139,
2000-05-19,28.94,29.19,28.25,4.77,42601,4.98,5.324,,5.0804,
2000-05-26,28.13,28.88,27.81,4.79,66334,4.9506,5.2843,,5.0256,
2000-06-02,28.5,30.75,28.31,5.17,41668,4.984,5.2757,,4.9891,
2000-06-09,30.56,30.56,29.31,5.0,33735,4.9864,5.2552,,4.9464,
2000-06-16,29.56,29.81,27.88,4.82,47267,4.9609,5.2231,,4.9096,
2000-06-23,28.81,29.25,28.75,4.87,20934,4.9474,5.1971,,4.8811,
2000-06-30,28.88,30.63,28.81,5.01,73001,4.9564,5.183,,4.8873,
2000-07-07,29.63,30.25,29.38,5.09,28934,4.9776,5.1764,,4.9006,
2000-07-14,30.38,31.38,29.81,5.28,48068,5.0247,5.1843,,4.9441,
2000-07-21,31.44,31.75,30.63,5.16,43134,5.0452,5.1824,,4.9834,
2000-07-28,30.56,31.63,29.63,5.01,61134,5.0397,5.1696,,4.9966,
2000-08-04,29.63,30.75,29.5,5.02,50801,5.0366,5.1584,,5.003,
2000-08-11,29.75,29.94,26.0,4.41,674534,4.9402,5.103,,4.9643,
2000-08-18,26.19,26.38,26.0,4.47,218801,4.8685,5.0564,,4.9403,
2000-08-25,26.38,26.38,25.0,4.37,177601,4.7915,5.0054,,4.8923,
2000-09-01,25.75,26.19,25.5,4.44,97001,4.7377,4.9637,,4.8662,
2000-09-08,26.25,28.25,25.56,4.76,422734,4.7414,4.9487,,4.8644,
2000-09-15,28.0,30.25,28.0,5.09,433534,4.7955,4.9594,,4.8682,
2000-09-22,29.94,29.94,28.0,5.05,222001,4.8346,4.9661,,4.8735,
2000-09-29,29.75,30.25,28.81,5.16,92868,4.8841,4.9802,,4.8871,
2000-10-06,31.13,32.63,30.81,5.4,172001,4.9636,5.0114,,4.9188,
2000-10-13,31.5,31.5,29.88,5.09,100334,4.9835,5.0174,,4.934,
2000-10-20,30.25,30.5,29.19,5.16,129601,5.01,5.0276,,4.9334,5.1773
2000-10-27,30.19,31.0,30.13,5.25,80801,5.0471,5.0442,,4.946,5.1634
2000-11-03,30.75,31.5,30.75,5.41,141467,5.1035,5.0716,,4.9756,5.1585
2000-11-10,31.38,33.06,31.13,5.38,116067,5.1463,5.0945,,5.0011,5.1439
2000-11-17,31.25,32.94,30.38,5.61,54201,5.2171,5.1325,,5.0311,5.1269
2000-11-24,32.69,34.44,32.5,5.93,61467,5.3269,5.1916,,5.0729,5.1144
2000-12-01,34.5,34.63,32.88,5.91,90468,5.4163,5.2447,,5.1042,5.1112
2000-12-08,34.06,34.69,33.13,5.94,140934,5.497,5.2962,,5.1433,5.1121
2000-12-15,34.75,35.88,34.31,6.18,161734,5.6019,5.3616,,5.2018,5.1169
2000-12-22,35.88,35.88,33.38,6.07,157068,5.6739,5.4141,,5.2543,5.1206
2000-12-29,35.19,37.94,34.81,6.35,94067,5.778,5.4835,,5.3513,5.1297
2001-01-05,36.88,37.38,32.06,5.66,129334,5.7602,5.4967,,5.4107,5.1258
2001-01-12,32.81,34.63,32.81,5.85,152534,5.7747,5.5232,,5.485,5.1318
2001-01-19,33.94,34.06,32.06,5.72,101467,5.7656,5.5374,,5.5487,5.1372
2001-01-26,33.13,33.44,31.56,5.53,85534,5.7298,5.5371,,5.5873,5.1502
2001-02-02,32.11,32.5,31.25,5.49,100534,5.6934,5.5338,,5.6073,5.1635
2001-02-09,31.89,34.1,31.75,5.68,138001,5.6921,5.545,,5.639,5.189
2001-02-16,32.7,34.95,32.44,5.67,101867,5.6883,5.5541,,5.6646,5.2149
2001-02-23,32.85,33.0,28.85,5.22,97734,5.6155,5.529,,5.6553,5.2243
2001-03-02,30.25,31.9,30.1,5.55,71601,5.6048,5.5303,,5.678,5.2374
2001-03-09,32.5,33.15,32.1,5.62,81467,5.6064,5.5366,,5.701,5.246
2001-03-16,32.3,32.35,30.5,5.35,80668,5.5677,5.5231,,5.7061,5.254
2001-03-23,30.8,31.99,28.75,5.27,94934,5.5215,5.5042,,5.6988,5.2528
2001-03-30,30.45,33.49,30.36,5.76,113868,5.5576,5.5228,,5.7176,5.2686
2001-04-06,33.5,33.5,31.82,5.54,60867,5.5547,5.524,,5.7142,5.2834
2001-04-12,31.8,33.2,31.8,5.74,32534,5.5833,5.54,,5.7047,5.2979
2001-04-20,32.8,33.86,32.4,5.75,49268,5.6096,5.5559,,5.697,5.3141
2001-04-27,32.9,33.9,32.8,5.75,30135,5.6319,5.5706,,5.6876,5.3315
2001-05-04,33.1,33.2,30.55,5.46,127934,5.6059,5.5627,,5.6519,5.3455
2001-05-11,31.0,31.4,28.5,5.1,142668,5.528,5.5284,,5.6033,5.3517
2001-05-18,29.0,31.7,29.0,5.42,108534,5.511,5.5201,,5.5567,5.3567
2001-05-25,30.8,32.41,30.8,5.55,60534,5.5172,5.5224,,5.5511,5.3677
2001-06-01,31.65,31.65,30.0,5.29,53001,5.4819,5.505,,5.5228,5.377
2001-06-08,30.0,32.0,29.7,5.61,89734,5.5009,5.5125,,5.5173,5.3917
2001-06-15,31.8,33.5,31.75,5.73,136201,5.5356,5.5283,,5.527,5.4061
2001-06-22,32.2,32.3,30.5,5.54,80267,5.5366,5.5294,,5.5294,5.4151
2001-06-29,31.5,34.0,30.9,5.97,96401,5.6037,5.5622,,5.5438,5.4289
2001-07-06,34.0,34.0,33.0,5.83,37801,5.6388,5.5822,,5.552,5.4423
2001-07-13,33.1,33.95,32.89,5.94,43868,5.6856,5.6089,,5.5884,5.461
2001-07-20,33.83,34.3,32.8,6.01,65467,5.7362,5.639,,5.6119,5.4809
2001-07-27,34.38,36.15,34.38,6.13,95134,5.7969,5.6754,,5.6376,5.5153
2001-08-03,34.8,34.83,33.6,6.17,75534,5.8544,5.7121,,5.6784,5.5492
2001-08-10,34.9,35.95,34.9,6.33,92868,5.9275,5.7578,,5.7315,5.5885
2001-08-17,35.8,37.8,35.8,6.56,91934,6.0251,5.8174,,5.7718,5.6309
2001-08-24,37.0,37.5,36.6,6.53,68801,6.1034,5.8705,,5.8216,5.6663
2001-08-31,37.0,39.6,37.0,6.71,92667,6.1969,5.9327,,5.8701,5.6987
2001-09-07,37.7,38.0,33.4,5.94,85734,6.1573,5.9332,,5.8794,5.7165
2001-09-10,33.3,33.3,32.4,5.88,33267,6.1143,5.9291,,5.8855,5.7309
2001-09-21,33.35,36.25,32.9,6.21,188800,6.1284,5.9496,,5.9227,5.747
2001-09-28,36.1,37.3,34.82,6.56,97801,6.1948,5.9949,,5.9957,5.7764
2001-10-05,36.85,37.0,35.5,6.37,31734,6.2224,6.0229,,6.0435,5.8007
2001-10-12,35.9,36.4,34.2,6.09,54001,6.2021,6.0279,,6.0705,5.8175
2001-10-19,34.25,34.25,32.2,5.88,63734,6.1522,6.0168,,6.1,5.8268
