date,open,high,low,close,volume,adx_14_adx,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,ema_14_ema,ema_7_ema,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,mfi_14_mfi,mom_10_mom,roc_10_roc,rsi_14_rsi,sar_14_sar,sma_14_sma,sma_7_sma
2025-07-11,44.55,50.05,44.0,47.25,17770726,,,,,,,,,,,,,,,,,
2025-07-18,47.17,49.76,46.42,46.49,8444880,,,,,,,,,,,,,,,43.8565,,
2025-07-25,46.99,49.0,45.9,47.35,7962277,,,,,,,,,,,,,,,43.9139,,
2025-08-01,47.36,48.75,43.49,44.24,4743686,,,,,,,,,,,,,,,49.5977,,
2025-08-08,44.97,45.56,42.0,44.85,7079057,,,,,,,,,,,,,,,49.5352,,
2025-08-15,45.08,47.39,42.44,43.36,7224680,,,,,,,,,,,,,,,49.3818,,
2025-08-22,43.64,43.99,40.97,43.61,6723845,,,,,,,45.3046,,,,,,,,49.2314,,45.3046
2025-08-29,43.71,43.71,41.23,41.67,6283581,,,,,,,44.3969,,,,,,,,48.9796,,44.5087
2025-09-05,42.14,44.4,41.0,43.14,4478927,,,,,,,44.0824,,,,,,,,48.7353,,44.0302
2025-09-12,43.22,43.79,41.31,41.23,5477109,,,,,,,43.3703,,,,,,,,48.4983,,43.1572
2025-09-19,41.32,44.31,40.7,43.33,7196999,,,,,,,43.3601,,,,,-3.9159,-8.2884,,48.2685,,43.0278
2025-09-26,43.0,44.96,42.06,43.06,4787882,,,,,,,43.2851,,,,,-3.4278,-7.3736,,47.9623,,42.7717
2025-10-03,43.56,45.78,42.35,44.21,4499180,,,,,,,43.5157,,,,,-3.1374,-6.6267,,47.6684,,42.893
2025-10-10,44.95,45.46,41.4,41.33,3306618,,,,,,43.9364,42.9702,,,,,-2.9016,-6.5594,,47.3863,43.9364,42.5682
2025-10-17,42.15,43.76,41.12,42.26,5027212,,3.4376,,,,43.7131,42.7931,,,,44.3402,-2.5915,-5.7777,37.3545,47.1155,43.5805,42.6522
2025-10-24,42.4,44.26,42.01,43.32,4533840,,3.3525,,,,43.6607,42.9247,,,,41.0403,-0.0386,-0.089,40.7781,46.8555,43.3541,42.678
2025-10-31,44.07,44.98,42.58,43.83,5870461,,3.2841,,,,43.683,43.1507,,,,50.2007,0.2212,0.5071,42.4089,46.6059,43.103,43.0487
2025-11-07,43.91,47.78,42.63,46.55,7825148,,3.4166,,,,44.0657,44.0012,,,,58.408,4.8791,11.708,50.2986,40.6152,43.2685,43.5092
2025-11-14,47.01,48.83,45.84,47.36,8432657,,3.3857,,,,44.5051,44.8412,,,,68.1576,4.2222,9.7876,52.383,40.6859,43.4476,44.1236
2025-11-21,47.2,47.74,44.07,45.87,7574305,,3.4054,40.3304,44.2154,48.1004,44.6876,45.0994,,,,58.7431,4.6403,11.2536,48.3649,40.8467,43.6273,44.3617
2025-11-28,45.97,49.99,45.67,49.27,5536755,,3.4701,40.0363,44.3165,48.5966,45.2982,46.1414,,,,66.5497,5.9376,13.7034,56.5543,41.0043,44.0316,45.495
2025-12-05,48.96,51.77,48.12,50.99,7930372,,3.4824,39.4339,44.5418,49.6496,46.0576,47.3544,,,,74.89,7.9334,18.4241,60.0282,41.2708,44.6973,46.7424
2025-12-12,52.37,52.89,50.23,50.9,7006669,,3.4235,39.02,44.7197,50.4193,46.7037,48.2416,,,,75.9779,6.6957,15.1459,59.7594,41.6864,45.2519,47.8258
2025-12-19,51.23,52.35,49.56,52.21,8586621,,3.378,38.5588,45.1185,51.6782,47.4381,49.2342,,,,82.8499,10.8782,26.318,62.3911,42.2437,46.0361,49.0234
2025-12-26,52.49,52.6,50.42,51.43,3403798,,3.2926,38.3372,45.4475,52.5578,47.9707,49.7839,,,,82.276,9.171,21.7005,59.88,42.7731,46.6149,49.7206
2026-01-02,51.23,51.64,50.35,51.16,3757298,,3.1495,38.3807,45.8377,53.2948,48.3964,50.1287,,,,77.3402,7.8435,18.1062,58.9949,43.276,47.1937,50.2637
2026-01-09,50.94,52.98,50.66,52.46,5543527,,3.0897,38.3682,46.2804,54.1927,48.9384,50.7119,,,,77.8466,8.6331,19.6975,61.914,43.7537,47.7832,51.2048
2026-01-16,52.15,54.38,51.53,53.47,5165469,23.2437,3.0724,38.6662,46.8703,55.0744,49.5427,51.4016,,,,81.9447,6.9177,14.8599,64.055,44.3038,48.6501,51.8053
