date,open,high,low,close,volume,ad_14_chaikin a/d,adosc_14_adosc,adx_14_adx,adxr_14_adxr,apo_14_apo,aroon_14_aroon down,aroon_14_aroon up,aroonosc_14_aroonosc,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,bop_14_bop,cci_20_cci,cmo_14_cmo,dema_14_dema,dx_14_dx,ema_12_ema,ema_14_ema,ema_26_ema,ht_dcperiod_14_dcperiod,ht_dcphase_14_ht_dcphase,ht_phasor_14_phase,ht_phasor_14_quadrature,ht_sine_14_lead sine,ht_sine_14_sine,ht_trendline_14_ht_trendline,ht_trendmode_14_trendmode,kama_14_kama,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,macdext_14_macd,macdext_14_macd_hist,macdext_14_macd_signal,mama_14_fama,mama_14_mama,mfi_14_mfi,midpoint_14_midpoint,midprice_14_midprice,minus_di_14_minus_di,mom_10_mom,natr_14_natr,plus_di_14_plus_di,ppo_14_ppo,roc_10_roc,rocr_14_rocr,rsi_14_rsi,sar_14_sar,sma_200_sma,sma_20_sma,sma_50_sma,stoch_14_slowd,stoch_14_slowk,stochf_14_fastd,stochf_14_fastk,stochrsi_14_fastd,stochrsi_14_fastk,t3_14_t3,tema_14_tema,trange_14_trange,trima_14_trima,trix_14_trix,ultosc_14_ultosc,willr_14_willr,wma_14_wma
1999-11-12,15.88,18.5,15.81,10.76,610800,383736.803,,,,,,,,,,,,0.7881,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-11-19,18.19,18.25,17.19,10.54,401100,315625.4822,,,,,,,,,,,,-0.5283,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,9.4552,,,,,,,,,,,,0.6339,,,,,
1999-11-26,17.56,19.38,17.56,11.03,158400,310403.5042,,,,,,,,,,,,0.4835,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,9.4698,,,,,,,,,,,,1.0885,,,,,
1999-12-03,18.38,19.38,17.88,11.48,197300,457720.8375,,,,,,,,,,,,0.54,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,9.5122,,,,,,,,,,,,0.8971,,,,,
1999-12-10,19.19,19.19,17.63,10.54,216300,241420.8375,,,,,,,,,,,,-1.0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,9.5537,,,,,,,,,,,,0.933,,,,,
1999-12-17,17.75,18.0,16.69,10.24,203000,171688.0131,,,,,,,,,,,,-0.4809,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,9.5945,,,,,,,,,,,,0.7834,,,,,
1999-12-23,17.0,17.38,16.81,10.24,53100,178209.0657,,,,,,,,,,,,0.2281,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,9.6344,,,,,,27.7741,16.3569,,,,,0.3409,,,,,
1999-12-31,17.06,17.63,17.06,10.28,95700,126161.6973,,,,,,,,,,,,0.2281,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,9.6735,,,,,,16.9765,18.5874,,,,,0.3409,,,,,
2000-01-07,17.44,17.5,15.0,9.5,260500,49053.6973,,,,,,,,,,,,-0.624,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,11.5902,,,,21.1332,18.6489,18.6489,21.0024,,,,,1.4951,,,,,
2000-01-14,16.5,17.75,16.0,10.47,404100,337696.5545,-21960.507,,,,,,,,,,,0.5714,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,11.564,,,,25.5332,40.9744,40.9744,83.3333,,,,,1.1184,,,,,
