date,open,high,low,close,volume,ad_14_chaikin a/d,adosc_14_adosc,adx_14_adx,adxr_14_adxr,apo_14_apo,aroon_14_aroon down,aroon_14_aroon up,aroonosc_14_aroonosc,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,bop_14_bop,cci_20_cci,cmo_14_cmo,dema_14_dema,dx_14_dx,ema_12_ema,ema_14_ema,ema_26_ema,ht_dcperiod_14_dcperiod,ht_dcphase_14_ht_dcphase,ht_phasor_14_phase,ht_phasor_14_quadrature,ht_sine_14_lead sine,ht_sine_14_sine,ht_trendline_14_ht_trendline,ht_trendmode_14_trendmode,kama_14_kama,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,macdext_14_macd,macdext_14_macd_hist,macdext_14_macd_signal,mama_14_fama,mama_14_mama,mfi_14_mfi,midprice_14_midprice,minus_di_14_minus_di,mom_10_mom,natr_14_natr,obv_14_obv,plus_di_14_plus_di,ppo_14_ppo,roc_10_roc,rocr_14_rocr,rsi_14_rsi,sar_14_sar,sma_200_sma,sma_20_sma,sma_50_sma,stoch_14_slowd,stoch_14_slowk,stochf_14_fastd,stochf_14_fastk,stochrsi_14_fastd,stochrsi_14_fastk,t3_14_t3,tema_14_tema,trange_14_trange,trima_14_trima,trix_14_trix,ultosc_14_ultosc,willr_14_willr,wma_14_wma
2011-07-08,24.92,25.36,24.75,21.27,1377900,-5407736.1285,-1792919.7679,,,,,,,,,,,0.1639,,,,,,,,,,,,,,,0,,,,,,,,,,,,,-2.1929,,-3776900.0,,,-9.3478,,,24.8515,,,,21.6863,30.5909,30.5909,56.4972,,,,,0.5185,,,,,
2011-07-15,24.73,25.0,24.35,21.01,1472600,-5203837.667,-1484544.8798,,,,,,,,,,,-0.0154,,,,,22.4509,,,,,,,,,,0,,,,,,,,,,,,,-1.7339,,-5249500.0,,,-7.6233,,,24.6401,,,,32.9684,47.0572,47.0572,49.5627,,,,,0.5695,,,,,
2011-07-22,24.66,25.03,24.4,21.21,1315000,-4222805.9209,-911286.4264,,,,,,,,,,,0.4603,,,,,22.2594,,,,,,,,,,0,,,,,,,,,,,,,-3.3998,,-3934500.0,,,-13.8169,,,24.4371,,,,44.3685,55.4575,55.4575,60.3125,,,,,0.5355,,,,,
2011-07-29,24.73,25.15,24.21,20.76,615800,-4551363.7484,-698468.5109,,,,,,,,,,,-0.3195,,,,,22.0294,22.2415,,,,,,,,,0,,,,,,,,,,,22.5068,,-4.4793,,-4550300.0,,,-17.7441,,,24.2423,,,,53.0751,56.7105,56.7105,60.2564,,,,,0.7981,22.1289,,,-79.6243,21.609
2011-08-05,24.66,24.67,22.0,19.14,1389800,-5399818.4301,-817872.3523,,,,100.0,21.4286,-78.5714,1.4218,,,,-0.8015,,-30.9379,,59.8714,21.5851,21.8281,,,,,,,,,0,20.6623,,,,,,,,,33.7304,22.0734,41.485,-5.0232,7.428,-5940100.0,10.413,,-20.7879,0.8159,34.5311,24.0552,,,,52.5055,45.3484,45.3484,15.4762,,,,,2.2694,21.7879,,,-93.4509,21.1956
2011-08-12,21.92,24.79,19.87,19.18,1909800,-5221259.8935,-735553.2665,,,,100.0,14.2857,-85.7143,1.6189,,,,0.1301,,-30.5953,,66.6008,21.2143,21.4744,,,,,,,,,0,20.5861,,,,,,,,,34.5467,21.1682,41.8367,-3.2383,8.443,-4030300.0,8.3872,,-14.4482,0.843,34.7024,23.7874,,,,48.0951,42.2265,42.2265,50.947,,,,,4.1818,21.4576,,,-73.287,20.8279
2011-08-19,22.8,23.24,20.96,17.98,716800,-5818593.2268,-825069.4041,,,,92.8571,7.1429,-85.7143,1.6417,,,,-0.7237,,-36.8663,,66.6008,20.7162,21.008,,,,,,,,,0,20.2072,,,,,,,,,30.2483,21.1682,38.1343,-3.1958,9.1326,-4747100.0,7.645,,-15.0943,0.7306,31.5669,23.3735,,,,39.2656,30.2219,30.2219,24.2424,,,,,1.9379,21.1167,,,-87.289,20.3343
2011-08-26,21.64,22.11,21.03,18.6,1291100,-5077406.1898,-550851.0937,,,,85.7143,0.0,-85.7143,1.59,,,,0.2222,,-30.302,,66.6008,20.3901,20.6865,,,,,,,,,0,19.972,,,,,,,,,22.0109,21.0449,36.4871,-3.4168,8.5499,-3456000.0,7.3147,,-15.5212,0.7367,34.849,22.9844,,,,36.7336,37.7525,37.7525,38.0682,,,,,0.918,20.7872,,,-79.4479,19.9867
2011-09-02,22.2,22.97,21.9,18.66,588000,-5599462.2645,-554702.2547,,,,78.5714,0.0,-78.5714,1.5426,,,,-0.2243,,-29.5686,,53.6106,20.1247,20.417,,,,,,,,,0,19.8115,,,,,,,,,24.0318,20.6964,34.8509,-1.3514,8.2648,-2868000.0,10.5247,,-6.7516,0.7724,35.2157,22.6187,,,,34.3015,34.9301,34.9301,42.4797,,,,,0.9265,20.4868,,,-76.6741,19.7114
2011-09-09,21.39,22.07,21.09,17.94,817600,-6383690.836,-755377.5247,,,,71.4286,0.0,-71.4286,1.4919,16.8899,21.1439,25.398,-0.2857,-122.6522,-33.8301,,57.0105,19.789,20.0871,,,,,,,,,0,19.6207,,,,,,,,,24.6283,19.7317,36.84,-3.3573,8.315,-3685600.0,10.0868,,-15.7622,0.8005,33.0849,22.2749,,21.1439,,35.9777,35.2504,35.2504,25.2033,,,,,0.833,20.1845,,,-81.4649,19.3921
2011-09-16,21.35,21.46,20.22,17.2,762300,-7121400.5134,-1003527.0757,,,,64.2857,0.0,-64.2857,1.4606,16.3882,20.8311,25.2741,-0.8952,-135.6398,-37.9673,,60.3702,19.3912,19.7026,,,,,,,,,0,19.3999,,,,,,,,,28.2749,19.685,38.628,-4.0628,8.4906,-4447900.0,9.5455,,-19.1047,0.8125,31.0163,21.9517,,20.8311,,30.9874,22.7817,22.7817,0.6623,47.2015,0.0,,,1.0539,19.8401,,,-94.3769,19.0168
2011-09-23,20.01,20.59,18.32,16.9,1187700,-6676667.0332,-872306.9597,,,,100.0,0.0,-100.0,1.4941,15.8739,20.5388,25.2036,-0.0573,-146.4468,-39.6488,,66.5233,19.0075,19.3285,,,,,,,,,0,19.0228,,,,,,,,,16.1297,18.9285,42.9399,-4.1138,8.8425,-5635600.0,8.6324,,-19.5793,0.7676,30.1756,21.6479,,20.5388,,25.9456,19.8046,19.8046,33.5484,13.8681,0.0,,,1.9294,19.4629,,,-80.2532,18.6386
2011-09-30,19.96,21.93,19.14,16.32,2717100,-9276902.5171,-1566673.0243,,,,92.8571,0.0,-92.8571,1.5568,15.5064,20.1244,24.7425,-0.2724,-115.4149,-42.8027,,48.9574,18.5939,18.9273,,,,,,,,,0,18.7114,,,,,,,,,32.4298,18.563,38.1137,-4.8872,9.5397,-8352700.0,13.0603,,-23.0461,0.8153,28.5986,21.2225,,20.1244,,20.0994,17.7118,17.7118,18.9247,0.0,0.0,,,2.3714,19.0861,,,-87.5,18.232
2011-10-07,19.04,19.18,17.24,15.71,1832000,-8766964.3728,-1546054.0027,,,,100.0,7.1429,-92.8571,1.5646,15.2798,19.6476,24.0154,-0.2887,-153.1536,-46.0194,,56.0385,18.1498,18.4979,,,,,,,,,0,17.9058,,,,,,,,,34.1433,18.1041,42.7237,-5.0572,9.961,-10184700.0,12.0368,,-24.3553,0.7374,26.9903,20.8269,,19.6476,,21.1884,26.0487,26.0487,25.6729,0.0,0.0,,,1.6659,18.6837,,,-84.7291,17.779
2011-10-14,18.88,19.9,18.63,16.5,962400,-8547203.7428,-1327144.7477,,,,92.8571,0.0,-92.8571,1.539,15.2153,19.2643,23.3133,0.4173,-112.6025,-35.4253,,47.6777,17.8956,18.2312,,,,,,,,,0,17.6629,,,,,,,,,31.3761,18.0148,40.262,-2.6434,9.3288,-9222300.0,14.2648,,-13.8099,0.7758,32.2874,20.333,,19.2643,,24.6831,30.2888,30.2888,46.2687,33.3333,100.0,,,1.2069,18.3032,,,-72.5664,17.4846
2011-10-21,19.18,22.28,19.13,18.9,2043200,-6555894.5365,-483343.0552,,,-2.4174,85.7143,14.2857,-71.4286,1.6203,15.3054,19.0887,22.8721,0.9714,-45.8775,-9.4114,,24.0217,18.0506,18.3208,20.1695,,,,,,,,0,17.7064,,,,,,,,,42.042,18.0148,35.3903,-0.272,8.5719,-7179100.0,21.6809,-11.9855,-1.4184,0.8997,45.2943,19.8787,,19.0887,,37.7956,57.0493,57.0493,99.2063,66.6667,100.0,,,2.6774,17.9746,,,-36.7889,17.5564
2011-10-28,22.25,23.29,21.84,19.2,1364600,-6508839.3641,-79239.0757,,,-2.2487,78.5714,7.1429,-71.4286,1.5926,15.3283,18.9901,22.652,0.2345,6.402,-6.682,16.9341,15.5618,18.2275,18.4381,20.0977,,,,,,,,0,17.755,,,,,,,,,41.7705,18.0148,33.3877,1.2239,8.2948,-5814500.0,24.3956,-11.2402,6.8085,0.9054,46.659,14.6532,,18.9901,,55.1021,77.9683,77.9683,88.4298,100.0,100.0,,,1.2324,17.7104,,,-32.3641,17.688
2011-11-04,22.18,23.4,21.53,19.4,1160000,-6068411.5566,233415.8616,50.4906,,-2.1015,71.4286,0.0,-71.4286,1.5924,15.4614,18.8592,22.2571,0.3422,13.9496,-4.8313,17.373,17.4236,18.4073,18.5658,20.0457,,,,,,,,0,17.7896,,,,,,,,,47.2324,17.8618,32.1628,0.799,8.21,-4654500.0,22.618,-10.5724,4.2962,0.9341,47.5844,14.7047,,18.8592,,75.9192,92.7402,92.7402,90.5844,100.0,100.0,,,1.5894,17.5435,,,-26.0927,17.8647
2011-11-11,22.7,23.37,21.45,19.68,1579500,-4834427.1816,732731.9224,48.1646,,-1.7698,64.2857,7.1429,-57.1429,1.5952,15.4644,18.8427,22.2209,0.2396,21.8543,-2.0139,17.8106,17.9266,18.6038,18.715,20.019,,,,,,,,0,17.8092,,,,,,,,,55.7634,17.8618,30.0754,1.0199,8.1038,-3075000.0,20.9316,-8.9895,5.4645,1.0284,48.993,14.8084,,18.8427,,87.3453,91.3276,91.3276,94.9686,100.0,100.0,,,1.6319,17.4901,,56.9817,-21.5894,18.093
2011-11-18,23.04,23.31,20.88,19.28,4908800,-2470930.8853,1622407.1395,46.2665,,-1.4837,57.1429,0.0,-57.1429,1.6288,15.5475,18.7415,21.9355,-0.1481,11.0645,-5.8605,18.0711,21.591,18.7074,18.79,19.964,,,,,,,,0,17.8166,,,,,,,,,47.7818,17.2711,29.4648,1.3344,8.4495,-7983800.0,19.0006,-7.6249,7.4372,1.0053,47.0698,14.91,,18.7415,,91.2105,89.5637,89.5637,83.1382,82.6673,48.0018,,,2.0654,17.5296,,65.5587,-11.6883,18.2617
2011-11-25,22.3,22.9,21.06,18.89,1677300,-2015142.8418,1983897.0931,44.504,,-1.2619,50.0,78.5714,28.5714,1.6242,15.6438,18.623,21.6022,-0.038,8.24,-9.4493,18.193,21.591,18.7362,18.8039,19.8848,,,,,,,,0,17.8349,,,,,,,,,45.6824,17.2711,27.4034,1.6914,8.596,-9661100.0,17.6713,-6.5533,9.832,1.0511,45.2754,15.0095,,18.623,,86.0391,77.2261,77.2261,53.5714,49.3339,0.0,,,1.5639,17.677,,66.7738,-18.9935,18.3784
2011-12-02,22.63,23.25,21.43,19.68,5836900,3180339.5758,3604533.1076,42.5997,,-1.0121,42.8571,71.4286,28.5714,1.6187,15.7385,18.5562,21.3739,0.2857,44.5992,-0.9741,18.4916,17.8441,18.8809,18.9202,19.8694,,,,,,,,0,17.8711,,,,,,,,,59.978,17.2711,25.5028,2.7794,8.2264,-3824200.0,17.7795,-5.2851,16.4487,1.058,49.513,15.1071,,18.5562,,80.7954,75.5963,75.5963,90.0794,49.3339,100.0,,,1.5469,17.9216,,69.2604,-4.0584,18.5906
2011-12-09,23.5,23.57,22.99,19.55,1118500,2100408.5413,3596221.3201,40.5836,,-0.7542,35.7143,100.0,64.2857,1.5383,15.8841,18.4734,21.0626,-0.8621,85.2856,-2.3024,18.7052,14.3738,18.9836,19.0041,19.8456,14.8669,,1.8803,-0.3261,,,,0,17.8978,,,,,,,0.1947,3.5391,60.8289,17.3434,24.9099,3.2298,7.8687,-4942700.0,18.6488,-3.9511,19.7917,1.0474,48.8488,15.2028,,18.4734,,75.6587,74.1537,74.1537,78.8104,61.4423,84.3268,,,0.493,18.2153,,64.4964,-9.0047,18.7756
2011-12-16,22.96,23.6,21.73,19.12,2045500,1739437.9531,3151037.5543,39.3904,,-0.4575,28.5714,100.0,71.4286,1.5419,16.0013,18.3913,20.7814,-0.246,61.5423,-6.7907,18.7749,23.8792,19.0052,19.0201,19.7922,15.6094,,1.5486,-1.3046,,,,0,17.9254,-0.8654,0.6451,-1.5105,-0.4575,1.0433,-1.5007,0.2122,3.6949,58.0653,17.3561,28.0822,3.4168,8.0627,-6988200.0,17.2558,-2.4106,21.7532,1.0658,46.6046,15.3477,,18.3913,,75.2999,76.1495,76.1495,59.5588,71.8985,31.3686,,,1.5894,18.5034,,63.736,-17.2956,18.8955
2011-12-23,22.59,23.95,22.51,20.02,2075900,2662060.1753,2976020.5796,37.9981,,-0.1493,21.4286,100.0,78.5714,1.5198,15.9612,18.4351,20.9091,0.6667,104.8424,3.2602,19.0556,19.8976,19.1608,19.1529,19.8088,15.996,,0.7851,-1.928,,,,0,18.0711,-0.7144,0.6369,-1.3513,-0.1493,1.0994,-1.2487,0.2305,3.8581,62.4931,17.5048,26.4334,3.5188,7.5928,-4912300.0,17.6599,-0.787,21.3292,1.1635,51.6301,15.5361,,18.4351,,75.0487,74.8428,74.8428,86.1592,71.8985,100.0,,,1.2324,18.7801,,65.1693,-5.9613,19.1231
2011-12-30,23.5,23.94,23.38,20.15,811100,2806899.461,2679960.6281,36.7052,,0.2652,14.2857,92.8571,78.5714,1.4452,15.9166,18.484,21.0513,0.375,116.82,4.7317,19.3174,19.8976,19.3134,19.2862,19.8343,16.1766,,-0.0043,-1.118,,,,0,18.2586,-0.5771,0.6194,-1.1964,0.2652,1.2346,-0.9694,0.2494,4.0211,65.7829,17.5048,25.8033,1.2494,7.1716,-4101200.0,17.2389,1.4009,6.6097,1.1927,52.3658,15.7772,,18.484,,76.5746,78.7314,78.7314,90.4762,77.1229,100.0,,,0.476,19.026,,62.5838,-3.5768,19.3421
2012-01-06,23.92,24.0,23.1,19.79,839700,2303079.461,2154906.0454,35.6703,,0.5962,7.1429,100.0,92.8571,1.3967,15.9579,18.5745,21.1911,-0.7111,93.5552,0.3156,19.4378,22.2171,19.3862,19.353,19.8308,16.3939,,0.0128,0.0567,,,,0,18.4171,-0.492,0.5635,-1.0555,0.5962,1.2659,-0.6697,0.2691,4.1787,60.7306,17.5261,26.0136,0.5865,7.0584,-4940900.0,16.5559,3.1587,3.0544,1.2125,50.1578,16.0061,,18.5745,,78.4044,81.6391,81.6391,68.2819,87.2247,61.6741,,,0.765,19.2312,,60.5647,-10.6509,19.4813
2012-01-13,23.39,25.05,23.32,21.24,1923000,4092692.1778,2313632.6674,33.7954,,0.7822,0.0,100.0,100.0,1.4044,15.8435,18.7067,21.5699,0.9249,131.5758,15.5632,19.8963,9.4212,19.6715,19.6046,19.9352,16.6814,,0.2574,0.0267,,,,0,18.9557,-0.3039,0.6013,-0.9052,0.7822,1.1683,-0.3861,0.2895,4.3494,66.8003,18.563,23.9996,1.8444,6.6117,-3017900.0,19.8669,4.1419,9.5092,1.3523,57.7816,16.2697,,18.7067,,82.0069,85.6503,85.6503,98.1928,87.2247,100.0,,,1.5044,19.4254,,64.9714,-0.9346,19.7813
2012-01-20,25.11,25.21,24.39,21.16,768400,4281507.615,2228313.682,31.9233,,0.9474,0.0,100.0,100.0,1.3538,15.775,18.8316,21.8882,-0.2565,135.2246,14.5699,20.2455,7.5866,19.9011,19.8125,20.0262,16.961,,0.0497,0.1473,,,,0,19.3191,-0.1591,0.5969,-0.756,0.9474,1.0634,-0.116,0.3106,4.5175,66.8259,18.843,23.1083,1.4789,6.3965,-3786300.0,19.8493,5.0174,7.513,1.2828,57.2849,16.6212,,18.8316,,84.1001,85.0109,85.0109,88.5579,85.0532,93.4856,,,0.6959,19.5894,,60.9664,-5.0799,20.0184
2012-01-27,24.9,25.83,24.1,21.55,1824300,5114569.4647,2255901.6237,29.678,,1.0969,0.0,100.0,100.0,1.3621,15.7661,19.0122,22.2584,0.2659,132.866,18.429,20.6214,0.4888,20.1555,20.0448,20.1394,17.2596,,0.3102,0.8898,,,,0,19.5497,-0.0127,0.5946,-0.6073,1.0969,0.9508,0.1461,0.3325,4.6879,66.9516,19.8507,21.3078,2.2779,6.3191,-1962000.0,21.1005,5.7998,11.8166,1.1403,59.2145,17.0056,,19.0122,,86.8353,89.8448,89.8448,82.7839,97.8285,100.0,,21.1651,1.4704,19.7323,,63.6395,-9.4949,20.2632
2012-02-03,25.26,26.04,24.64,21.57,2903200,5280466.6076,2114891.0886,27.6916,39.0911,1.1607,21.4286,100.0,78.5714,1.3498,15.9137,19.2307,22.5477,0.0857,133.8422,18.6012,20.9246,1.8682,20.3734,20.2484,20.2455,17.5862,,0.7178,0.4173,,,,0,19.7377,0.1035,0.5687,-0.4652,1.1607,0.7732,0.3875,0.3551,4.8567,69.0153,19.94,19.9529,2.6774,6.2572,941200.0,20.7126,6.1067,14.17,1.1235,59.3006,17.451,,19.2307,,85.94,82.9643,82.9643,77.551,97.8285,100.0,,21.4821,1.1899,19.9075,0.0939,65.3947,-12.7907,20.485
2012-02-10,25.37,25.98,24.96,21.48,1818300,4567407.784,1638059.7814,25.847,37.0058,1.2555,14.2857,92.8571,78.5714,1.3153,16.1866,19.4597,22.7329,-0.098,126.0857,17.1368,21.1406,1.8682,20.5434,20.4124,20.3369,17.9238,,0.5137,0.4984,,,,0,19.8734,0.1859,0.5209,-0.3349,1.2555,0.6447,0.6108,0.3785,5.0229,69.8936,19.94,19.0047,1.8019,6.1238,-877100.0,19.7283,6.5751,9.1577,1.1074,58.5684,17.9192,,19.4597,,83.3837,77.342,77.342,71.6912,87.8914,63.6743,,21.6687,0.867,20.1101,0.1581,61.6871,-14.9225,20.6717
2012-02-17,25.31,26.47,24.75,21.98,1938100,5130808.9468,1473341.9092,24.5526,35.4096,1.3587,7.1429,100.0,92.8571,1.3258,16.6298,19.7428,22.8558,0.3198,125.3348,22.6532,21.4336,7.725,20.7644,20.6214,20.4586,18.2709,,0.9937,1.0665,,,,0,20.0541,0.2884,0.4987,-0.2103,1.3587,0.5461,0.8126,0.4025,5.1925,70.4797,20.1227,17.495,2.4309,6.0318,1061000.0,20.4242,7.0583,12.4348,1.1166,61.3266,18.3406,,19.7428,,78.2692,74.5013,74.5013,74.2616,87.8914,100.0,,21.9642,1.4619,20.3343,0.2223,61.7499,-10.9123,20.9055
2012-02-24,25.92,26.24,24.92,21.24,1307700,3961804.4014,900061.1598,23.3506,33.9273,1.3873,0.0,92.8571,92.8571,1.3112,17.455,20.0194,22.5838,-0.7045,103.4685,10.9263,21.4794,7.725,20.8376,20.704,20.5165,18.5323,,1.3442,0.0968,,,,0,20.1281,0.3064,0.4133,-0.1069,1.3873,0.404,0.9834,0.4273,5.353,78.8321,20.1992,16.4171,2.1164,6.1732,-246700.0,19.1659,7.1694,11.0667,1.1019,55.4632,18.7979,,20.0194,,71.0039,61.1685,61.1685,37.5527,54.5581,0.0,,21.9073,1.1219,20.5761,0.2737,57.8347,-27.3567,21.0188
2012-03-02,24.76,25.28,24.21,20.95,2342100,3545917.4855,451385.8201,21.8324,32.216,1.4163,0.0,85.7143,85.7143,1.2825,18.2245,20.2421,22.2598,-0.1028,60.1945,6.6354,21.4376,2.0945,20.8551,20.737,20.5487,18.8767,,1.1097,-0.3514,,,,0,20.1843,0.294,0.3207,-0.0268,1.4163,0.305,1.1113,0.4527,5.509,76.3541,20.3564,18.9659,0.935,6.1214,-2588800.0,18.1877,7.2858,4.6709,1.1089,53.3177,19.205,,20.2421,,59.8103,43.7611,43.7611,19.469,33.3333,0.0,,21.7437,0.9095,20.8036,0.31,52.2672,-36.1111,21.0749
2012-03-09,24.62,25.07,23.63,20.74,1344700,3639299.4299,256514.1797,20.9417,30.7626,1.4433,0.0,78.5714,78.5714,1.2783,18.4032,20.3339,22.2647,-0.1528,33.4754,3.4662,21.3446,9.3629,20.8373,20.7372,20.5628,19.279,,1.0572,-0.8525,,,,0,20.2016,0.2639,0.2325,0.0314,1.4433,0.2379,1.2054,0.4787,5.6613,66.4004,20.4839,20.4338,0.5865,6.1639,-3933500.0,16.935,7.3839,2.9102,1.054,51.7331,19.5672,,20.3339,,44.3248,28.0448,28.0448,27.1127,0.0,0.0,,21.5292,1.2239,20.9816,0.3312,50.7268,-43.6709,21.0831
2012-03-16,24.58,24.67,23.69,20.66,2909400,4411181.0626,399073.1937,20.1146,29.7525,1.3641,7.1429,71.4286,64.2857,1.2465,18.5439,20.407,22.2701,-0.2755,20.499,2.2876,21.245,9.3629,20.8104,20.7272,20.5702,19.5463,,0.5348,-1.1849,,,,0,20.217,0.2313,0.1599,0.0714,1.3641,0.094,1.27,0.5054,5.8113,57.2914,20.4839,19.4518,0.8755,6.0328,-6842900.0,16.1212,6.9315,4.4244,1.057,51.1438,19.8897,,20.407,,31.7715,23.5085,23.5085,23.9437,0.0,0.0,,21.3273,0.833,21.1172,0.34,49.7907,-45.5696,21.071
2012-03-23,24.32,25.34,23.93,20.71,2059400,3637080.3533,174808.6379,18.7157,28.3569,1.264,0.0,64.2857,64.2857,1.2431,18.6651,20.4729,22.2807,0.0355,36.2583,3.0802,21.1726,0.5303,20.7955,20.7254,20.5808,19.8476,,0.3799,-0.9664,,,,0,20.2468,0.2071,0.1086,0.0985,1.264,-0.0412,1.3052,0.5327,5.9603,65.1269,20.8154,18.1039,-0.527,6.0014,-4783500.0,18.2969,6.3756,-2.481,1.0831,51.5401,20.0845,,20.4729,,26.0076,26.4696,26.4696,28.3525,3.0584,9.1753,,21.1826,1.1984,21.2015,0.3401,47.7766,-53.0303,21.055
2012-03-30,24.46,25.19,23.74,20.46,2077100,2505418.974,-292901.7227,17.5341,27.1196,1.1608,0.0,57.1429,57.1429,1.2423,18.7401,20.5116,22.283,-0.269,17.8125,-1.2339,21.0465,2.1724,20.7436,20.6898,20.5717,20.1192,,0.028,-1.5592,,,,0,20.25,0.1655,0.0536,0.1119,1.1608,-0.1515,1.3123,0.5605,6.1053,57.038,21.0662,17.7475,-0.7055,6.0724,-6860600.0,16.9928,5.8082,-3.3333,1.0221,49.3831,20.1355,,20.5116,,25.329,26.009,26.009,25.731,3.0584,0.0,,20.9768,1.2324,21.224,0.3306,45.6911,-71.2166,20.9899
2012-04-05,24.01,24.33,23.06,19.99,1148900,2183000.397,-560198.079,17.0885,26.3794,0.8919,100.0,50.0,-50.0,1.2304,18.8495,20.5473,22.245,-0.3874,-39.5416,-8.772,20.825,11.2961,20.6278,20.5966,20.5287,20.3085,,-0.6111,-1.1785,,,,0,20.2482,0.0937,-0.0146,0.1083,0.8919,-0.3905,1.2824,0.589,6.2441,53.2318,21.0513,19.9826,-1.5639,6.1547,-8009500.0,15.9263,4.4263,-7.2555,0.992,45.614,22.4983,,20.5473,20.2582,25.7244,24.6945,24.6945,20.0,3.0584,0.0,,20.6534,1.0752,21.1849,0.3091,42.1465,-86.6373,20.8583
2012-04-13,23.23,23.59,22.6,19.8,1051400,2594233.4615,-487772.6062,17.0848,25.4401,0.651,100.0,42.8571,-57.1429,1.2027,19.03,20.5923,22.1547,0.0605,-87.4586,-11.8036,20.5952,17.0363,20.4998,20.4898,20.4744,20.6046,,-0.7594,-0.4172,,,,0,20.2462,0.0208,-0.07,0.0908,0.651,-0.5642,1.2153,0.6179,6.3797,52.8378,20.8537,21.3362,-1.7764,6.0758,-9060900.0,15.1246,3.2107,-8.2348,1.0004,44.0982,22.4694,,20.5923,20.1849,24.7805,23.6378,23.6378,25.1825,0.0,0.0,,20.3398,0.8432,21.0873,0.2779,48.3173,-82.1705,20.7022
