date,open,high,low,close,volume,ad_14_chaikin a/d,adosc_14_adosc,adx_14_adx,adxr_14_adxr,apo_14_apo,aroon_14_aroon down,aroon_14_aroon up,aroonosc_14_aroonosc,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,bop_14_bop,cci_20_cci,cmo_14_cmo,dema_14_dema,dx_14_dx,ema_12_ema,ema_14_ema,ema_26_ema,ht_dcperiod_14_dcperiod,ht_dcphase_14_ht_dcphase,ht_phasor_14_phase,ht_phasor_14_quadrature,ht_sine_14_lead sine,ht_sine_14_sine,ht_trendline_14_ht_trendline,ht_trendmode_14_trendmode,kama_14_kama,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,macdext_14_macd,macdext_14_macd_hist,macdext_14_macd_signal,mama_14_fama,mama_14_mama,mfi_14_mfi,midprice_14_midprice,minus_di_14_minus_di,mom_10_mom,natr_14_natr,obv_14_obv,plus_di_14_plus_di,ppo_14_ppo,roc_10_roc,rocr_14_rocr,rsi_14_rsi,sar_14_sar,sma_200_sma,sma_20_sma,sma_50_sma,stoch_14_slowd,stoch_14_slowk,stochf_14_fastd,stochf_14_fastk,stochrsi_14_fastd,stochrsi_14_fastk,t3_14_t3,tema_14_tema,trange_14_trange,trima_14_trima,trix_14_trix,ultosc_14_ultosc,willr_14_willr,wma_14_wma
2011-04-29,28.96,29.05,27.17,23.46,2283200,-1239694.3868,,,,,,,,,,,,-0.7236,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,2283200.0,,,,,,,,,,,,,,,,,,,,,,,
2011-05-06,27.5,27.75,26.4,22.74,2217400,-2274481.0535,,,,,,,,,,,,-0.5481,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,65800.0,,,,,,24.6912,,,,,,,,,,,,1.1474,,,,,
2011-05-13,26.93,28.97,26.75,24.61,1294700,-1003108.9814,,,,,,,,,,,,0.9099,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,1360500.0,,,,,,24.6687,,,,,,,,,,,,1.8869,,,,,
2011-05-20,28.8,29.94,28.48,25.24,2183200,462326.635,,,,,,,,,,,,0.6164,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,3543700.0,,,,,,22.4388,,,,,,,,,,,,1.2409,,,,,
2011-05-27,29.65,29.65,27.9,24.16,450000,284898.0636,,,,,,,,,,,,-0.6971,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,3093700.0,,,,,,22.4689,,,,,,,,,,,,1.5299,,,,,
2011-06-03,28.45,28.83,26.37,22.41,1219600,-934701.9364,,,,,,,,,,,,-0.8455,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,1874100.0,,,,,,25.4477,,,,,,,,,,,,2.0909,,,,,
2011-06-10,26.43,26.56,24.29,21.17,3842100,-2678033.6545,,,,,,,,,,,,-0.6696,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,-1968000.0,,,,,,25.4173,,,,,,22.7727,10.9735,,,,,1.9294,,,,,
2011-06-17,25.08,26.45,24.89,22.01,2914100,-1818747.757,,,,,,,,,,,,0.5256,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,946100.0,,,,,,25.3219,,,,,,13.1563,28.4956,,,,,1.3259,,,,,
2011-06-24,25.84,26.22,23.54,20.02,5574000,-7351150.7421,,,,,,,,,,,,-0.8545,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,-4627900.0,,,,,,25.2284,,,,16.38,13.2109,13.2109,0.1637,,,,,2.2779,,,,,
2011-07-01,23.55,25.12,23.02,21.3,2228900,-5249616.4564,-1989710.7426,,,,,,,,,,,0.719,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,-2399000.0,,,,,,25.0718,,,,15.8748,21.257,21.257,35.1119,,,,,1.7849,,,,,
