date,open,high,low,close,volume,ad_14_chaikin a/d,adosc_14_adosc,aroon_14_aroon down,aroon_14_aroon up,aroonosc_14_aroonosc,atr_14_atr,bop_14_bop,cmo_14_cmo,dx_14_dx,ema_12_ema,ema_14_ema,ht_trendmode_14_trendmode,kama_14_kama,mfi_14_mfi,midpoint_14_midpoint,midprice_14_midprice,minus_di_14_minus_di,mom_10_mom,natr_14_natr,obv_14_obv,plus_di_14_plus_di,roc_10_roc,rocr_14_rocr,rsi_14_rsi,sar_14_sar,stoch_14_slowd,stoch_14_slowk,stochf_14_fastd,stochf_14_fastk,trange_14_trange,trima_14_trima,willr_14_willr,wma_14_wma
2025-09-12,7.6,10.24,7.45,7.89,56640964,-38775713.7061,,,,,,0.1057,,,,,0,,,,,,,,56640964.0,,,,,,,,,,,,,
2025-09-19,7.67,8.05,7.05,7.11,29705823,-64916837.9461,,,,,,-0.56,,,,,0,,,,,,,,26935141.0,,,,,10.24,,,,,1.0,,,
2025-09-26,7.0,7.36,6.43,6.58,15480501,-75403628.9461,,,,,,-0.4516,,,,,0,,,,,,,,11454640.0,,,,,10.2081,,,,,0.93,,,
2025-10-03,6.81,7.5,6.5,6.98,18952508,-76161729.2661,,,,,,0.17,,,,,0,,,,,,,,30407148.0,,,,,10.1325,,,,,1.0,,,
2025-10-10,7.2,7.39,5.93,5.95,15531021,-91267242.8414,,,,,,-0.8562,,,,,0,,,,,,,,14876127.0,,,,,10.0585,,,,,1.46,,,
2025-10-17,6.14,6.25,4.72,4.74,11557151,-102522246.1029,,,,,,-0.915,,,,,0,,,,,,,,3318976.0,,,,,9.9346,,,,,1.53,,,
2025-10-24,5.11,5.68,4.31,5.62,12366013,-91239387.5262,,,,,,0.3723,,,,,0,,,,,,,,15684989.0,,,,,9.726,,,14.0435,41.0658,1.37,,,
2025-10-31,6.0,6.48,5.0,5.09,15120630,-104520897.7208,,,,,,-0.6149,,,,,0,,,,,,,,564359.0,,,,,9.4552,,,22.0393,24.4514,1.4799,,,
2025-11-07,5.09,5.12,4.08,4.64,10990377,-103689511.3271,,,,,,-0.4333,,,,,0,,,,,,,,-10426018.0,,,,,9.198,21.1831,27.4665,27.4665,16.8824,1.0386,,,
2025-11-14,4.86,5.26,4.47,4.86,19217360,-103932769.0486,-15551390.4354,,,,,0.0,,,,,0,,,,,,,,8791342.0,,,,,8.891,24.7014,24.5982,24.5982,32.4609,0.79,,,
2025-11-21,5.0,5.36,4.13,4.43,17385107,-112813135.5676,-16044042.8453,,,,,-0.4647,,,,,0,,,,,,-3.46,,-8593765.0,,-43.853,,,8.6024,24.4523,21.292,21.292,14.5328,1.2265,,,
2025-11-28,4.54,4.56,4.07,4.24,13437224,-116926571.4859,-16095853.6374,,,,,-0.6122,,,5.6775,,0,,,,,,-2.87,,-22030989.0,,-40.3657,,,8.3312,21.3021,18.016,18.016,7.0542,0.49,,,
2025-12-05,4.1,4.14,1.74,2.23,176728866,-221491150.5359,-47924337.4194,,,,,-0.7792,,,5.1471,,0,,,,,,-4.35,,-198759855.0,,-66.1094,,,8.0329,17.0067,11.712,11.712,13.549,2.5,,,
2025-12-12,2.29,2.3,1.75,1.78,92796080,-304164021.8087,-82893327.3334,,,,,-0.9273,,,4.6291,5.1529,0,,,4.835,5.99,,-5.2,,-291555935.0,,-74.4986,,,7.5294,12.3215,7.2364,7.2364,1.106,0.55,5.2098,-99.5294,4.3038
2025-12-19,1.78,1.79,1.56,1.78,85376501,-226211564.3739,-64860011.5387,100.0,0.0,-100.0,1.1139,0.0,-67.0692,73.4769,4.1908,4.7031,0,1.78,16.7102,4.445,4.805,45.2401,-4.17,62.5801,-291555935.0,6.9168,-70.084,0.2256,16.4654,7.0663,8.5884,6.8166,6.8166,5.7948,0.23,4.8364,-96.6102,3.8541
2025-12-26,1.99,2.0,1.82,1.89,39420349,-234971641.9294,-54373678.705,92.8571,0.0,-92.8571,1.0501,-0.5556,-64.9246,68.439,3.8368,4.3281,0,1.801,22.5228,4.38,4.53,44.5126,-2.85,55.5595,-252135586.0,8.3405,-60.1266,0.2658,17.5377,6.5707,6.6733,5.967,5.967,11.0,0.22,4.4639,-94.4444,3.4772
