date,open,high,low,close,volume,ad_14_chaikin a/d,adosc_14_adosc,adx_14_adx,adxr_14_adxr,apo_14_apo,aroon_14_aroon down,aroon_14_aroon up,aroonosc_14_aroonosc,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,bop_14_bop,cci_20_cci,cmo_14_cmo,dema_14_dema,dx_14_dx,ema_12_ema,ema_14_ema,ema_26_ema,ht_dcperiod_14_dcperiod,ht_phasor_14_phase,ht_phasor_14_quadrature,ht_trendmode_14_trendmode,kama_14_kama,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,macdext_14_macd,macdext_14_macd_hist,macdext_14_macd_signal,mama_14_fama,mama_14_mama,mfi_14_mfi,midpoint_14_midpoint,midprice_14_midprice,minus_di_14_minus_di,mom_10_mom,natr_14_natr,obv_14_obv,plus_di_14_plus_di,ppo_14_ppo,roc_10_roc,rocr_14_rocr,rsi_14_rsi,sar_14_sar,sma_20_sma,stoch_14_slowd,stoch_14_slowk,stochf_14_fastd,stochf_14_fastk,stochrsi_14_fastd,stochrsi_14_fastk,tema_14_tema,trange_14_trange,trima_14_trima,trix_14_trix,ultosc_14_ultosc,willr_14_willr,wma_14_wma
2016-04-22,22.92,24.3,22.62,22.72,3879044,-2816924.8095,,,,,,,,,,,,-0.0417,,,,,,,,,,,0,,,,,,,,,,,,,,,,3879044.0,,,,,,,,,,,,,,,,,,,,
2016-04-29,23.0,24.44,22.75,23.57,1516740,-2610504.5728,,,,,,,,,,,,0.4201,,,,,,,,,,,0,,,,,,,,,,,,,,,,5395784.0,,,,,,22.4885,,,,,,,,,1.6802,,,,,
2016-05-06,23.8,27.5,23.5,26.04,1645792,-2042706.3328,,,,,,,,,,,,0.5975,,,,,,,,,,,0,,,,,,,,,,,,,,,,7041576.0,,,,,,22.5066,,,,,,,,,3.9768,,,,,
2016-05-13,26.7,26.75,24.7,25.41,1763278,-2326551.0841,,,,,,,,,,,,-0.5585,,,,,,,,,,,0,,,,,,,,,,,,,,,,5278298.0,,,,,,22.6033,,,,,,,,,2.0381,,,,,
2016-05-20,25.58,26.4,25.2,25.56,599951,-2416543.7341,,,,,,,,,,,,0.1083,,,,,,,,,,,0,,,,,,,,,,,,,,,,5878249.0,,,,,,22.698,,,,,,,,,1.193,,,,,
2016-05-27,26.4,28.46,25.68,27.61,1413552,-1704683.0146,,,,,,,,,,,,0.4928,,,,,,,,,,,0,,,,,,,,,,,,,,,,7291801.0,,,,,,22.7909,,,,,,,,,2.7638,,,,,
2016-06-03,28.0,29.01,26.44,26.73,675197,-2143797.1475,,,,,,,,,,,,-0.4312,,,,,,,,,,,0,,,,,,,,,,,,,,,,6616604.0,,,,,,22.956,,,,70.9052,61.4799,,,,2.559,,,,,
2016-06-10,27.01,27.96,26.13,26.78,649713,-2218165.7395,,,,,,,,,,,,-0.0383,,,,,,,,,,,0,,,,,,,,,,,,,,,,7266317.0,,,,,,23.1916,,,,67.1066,51.924,,,,1.8188,,,,,
2016-06-17,25.6,28.81,24.61,27.28,2568408,-1325338.1966,,,,,,,,,,,,0.4381,,,,,,,,,,,0,,,,,,,,,,,,,,,,9834725.0,,,,,,23.4177,,65.7443,59.2212,59.2212,64.2598,,,,4.1756,,,,,
2016-06-24,27.76,27.94,25.45,25.64,1073201,-2105456.1926,216516.027,,,,,,,,,,,-0.7912,,,,,,,,,,,0,,,,,,,,,,,,,,,,8761524.0,,,,,,23.6348,,57.9957,47.6592,47.6592,26.7938,,,,2.4755,,,,,
2016-07-01,25.37,26.89,24.03,25.66,1249486,-1799637.9409,216434.9192,,,,,,,,,,,0.1538,,,,,,,,,,,0,,,,,,,,,,,,,,2.9428,,10011010.0,,,12.954,,,23.8432,,49.7121,42.256,42.256,35.7143,,,,2.8434,,,,,
2016-07-08,26.4,26.4,24.8,25.73,601439,-1589134.2909,263704.2711,,,,,,,,,,,-0.325,,,,,25.7279,,,,,,0,,,,,,,,,,,,,,2.1574,,10612449.0,,,9.1523,,,23.8903,,41.2174,33.737,33.737,38.7029,,,,1.5907,,,,,
2016-07-15,26.0,26.5,25.01,25.79,702704,-1414637.3244,314590.3797,,,,,,,,,,,-0.0403,,,,,25.7374,,,,,,0,,,,,,,,,,,,,,-0.2485,,11315153.0,,,-0.9546,,,23.8903,,38.0394,38.1251,38.1251,39.9582,,,,1.4813,,,,,
2016-07-22,26.03,26.7,24.83,25.12,685209,-1780326.4057,190452.682,,,,,,,,,,,-0.4091,,,,,25.6421,25.6887,,,,,0,,,,,,,,,,,25.1629,25.6669,,-0.2933,,10629944.0,,,-1.1541,,,24.0885,,36.2037,36.7489,36.7489,31.5857,,,,1.8591,26.1804,,,-58.6331,25.946
2016-07-29,25.07,25.9,24.81,25.23,671899,-1746267.0094,133192.2788,,,,0.0,42.8571,42.8571,2.2524,,,,0.2857,,24.8039,,30.2931,25.5791,25.6279,,,,,0,25.1234,,,,,,,,,44.8298,25.5904,25.7316,10.2839,-0.3281,8.9267,11301843.0,19.2221,,-1.2835,1.1107,62.402,24.2788,,38.1521,39.5822,39.5822,47.2028,,,,1.0787,26.2306,,,-58.014,25.8852
2016-08-05,25.5,27.3,24.5,26.99,1110690,-754792.394,413128.3752,,,,0.0,35.7143,35.7143,2.29,,,,0.5903,,36.6438,,40.6069,25.7965,25.8098,,,,,0,25.2411,,,,,,,,,43.928,26.3634,26.1044,9.3326,-0.6164,8.484,12412533.0,22.0939,,-2.2326,1.1451,68.3219,28.8454,,44.7128,57.8072,57.8072,94.6333,,,,2.7788,26.203,,,-33.8049,26.035
2016-08-12,27.05,27.37,24.9,25.1,999508,-1471039.0175,262193.9095,,,,0.0,28.5714,28.5714,2.3019,,,,-0.7287,,15.602,,41.0747,25.6898,25.7156,,,,,0,25.2392,,,,,,,,,34.8876,26.3559,26.3678,8.5775,-1.6305,9.1696,11413025.0,20.5356,,-6.0989,0.9641,57.801,28.8005,,51.112,55.9465,55.9465,26.0035,,,,2.4556,26.0996,,,-75.5217,25.9004
2016-08-19,25.25,25.6,23.8,24.22,787827,-1768662.5508,81913.7847,,,,100.0,21.4286,-78.5714,2.2653,,,,-0.4944,,7.2693,,24.4825,25.4635,25.516,,,,,0,25.2215,,,,,,,,,37.3814,25.9135,26.2535,11.7141,-2.565,9.3535,10625198.0,19.3095,,-9.5768,0.9531,53.6346,28.7562,,53.0649,45.441,45.441,15.6863,,,,1.7895,25.9775,,,-89.2597,25.6568
2016-08-26,24.37,24.57,23.27,23.61,1218163,-2087259.0278,-100655.4894,,,,100.0,14.2857,-85.7143,2.1958,,,,-0.4769,,1.8504,,17.3227,25.1786,25.2621,,,,,0,25.1753,,,,,,,,,31.9145,25.6103,25.9901,13.0035,-3.6686,9.2994,9407035.0,18.4526,,-13.4475,0.9238,50.9252,28.6543,,39.7289,17.799,17.799,11.7073,,,,1.2924,25.8132,,,-91.6435,25.3436
2016-09-02,24.37,25.39,23.39,25.09,680990,-1508417.5278,17984.4202,,,,92.8571,7.1429,-85.7143,2.181,23.0167,25.4947,27.9727,0.435,-75.0745,13.3631,,24.553,25.1655,25.2396,,,,,0,25.1718,,,,,,,,,27.7239,25.4462,25.9901,12.1129,-0.5468,8.6914,10088025.0,19.9968,,-2.1326,0.9089,56.6816,28.4887,25.4947,29.4625,25.1475,25.1475,48.0488,,,,1.9884,25.6334,,,-65.7033,25.2465
2016-09-09,24.74,25.88,24.21,24.35,444375,-1803780.5517,-29095.1626,,,,85.7143,0.0,-85.7143,2.1438,23.3776,25.5762,27.7749,-0.1497,-74.7728,6.5859,,28.5728,25.0397,25.1207,,,,,0,25.1383,,,,,,,,,26.1628,25.4462,25.8886,11.4102,-1.3123,8.8048,9643650.0,20.539,,-5.1143,0.9107,53.293,28.3281,25.5762,24.2613,29.8374,29.8374,29.7561,22.5084,34.4363,,1.6603,25.4724,,,-77.9783,25.0739
2016-09-16,24.25,26.15,23.67,26.08,621734,-1182046.5517,152114.4774,,,,78.5714,7.1429,-71.4286,2.1673,23.697,25.7018,27.7066,0.7661,-38.2884,18.7636,,21.9753,25.2003,25.2491,,,,,0,25.1476,,,,,,,,,30.8767,25.4462,25.8886,12.0194,0.3542,8.3091,10265384.0,18.7899,,1.3766,0.9739,59.3818,28.1723,25.7018,38.0844,59.2683,59.2683,100.0,55.8417,100.0,,2.4737,25.3554,,,-46.4573,25.1556
2016-09-23,26.15,33.0,24.72,31.72,2826649,825194.8315,851084.8178,,,,71.4286,100.0,28.5714,2.6024,22.6819,25.9859,29.2899,0.6824,280.9539,44.1952,,57.1811,26.2032,26.1118,,,,,0,25.4625,,,,,,,,,53.0492,27.6657,28.0256,9.2021,5.9302,8.2044,13092033.0,33.7793,,22.995,1.1627,72.0976,23.1347,25.9859,53.8707,72.5064,72.5064,87.7632,78.1454,100.0,,8.2581,25.3506,,,-12.2368,25.9953
2016-09-30,31.61,32.0,29.48,30.05,11088778,-4543181.8193,-648463.9608,,,,64.2857,92.8571,28.5714,2.5961,22.4838,26.218,29.9522,-0.5873,243.958,31.1283,,57.1811,26.7956,26.6374,,,,,0,25.6803,,,,,,,,,79.0355,27.6657,28.0256,8.5455,4.9355,8.6381,2003255.0,31.3691,,19.6493,1.1721,65.5642,23.2326,26.218,72.6066,86.0452,86.0452,70.3724,88.4187,65.2562,,2.5136,25.4393,,,-29.2663,26.5707
2016-10-07,29.99,31.14,29.95,31.05,2122598,-2456257.7352,-538943.1652,,,,57.1429,85.7143,28.5714,2.4954,22.2231,26.4925,30.762,0.958,198.099,34.9308,,57.1811,27.4503,27.2259,,,,,0,25.9942,,,,,,,,,84.5638,27.6657,28.0256,8.2463,5.8187,8.0364,4125853.0,30.2707,,23.0603,1.2101,67.4654,23.3294,26.4925,79.3053,79.3643,79.3643,79.9571,80.2076,75.3666,,1.187,25.6596,,,-19.069,27.237
2016-10-14,31.11,31.11,29.81,29.75,5136671,-7434877.3199,-2029250.6016,,,0.6729,50.0,78.5714,28.5714,2.4112,22.1209,26.5998,31.0788,-0.9846,148.5181,25.2496,,55.3913,27.8048,27.563,26.2655,,,,0,26.1278,,,,,,,,,68.691,27.6657,28.0256,8.341,2.7623,8.1037,-1010818.0,29.0554,2.562,10.2335,1.1564,62.6248,23.4253,26.5998,79.1757,72.1177,72.1177,66.0236,55.3755,25.5037,,1.3167,26.0153,,,-32.3255,27.6791
2016-10-21,29.88,29.92,29.0,29.46,3943474,-6827858.7877,-2261302.238,,,0.7657,42.8571,71.4286,28.5714,2.3044,22.0868,26.7359,31.385,-0.381,104.5215,23.0554,29.589,45.0969,28.0587,27.8153,26.5018,,,,0,26.231,,,,,,,,,59.6022,27.6657,28.0256,10.6731,4.352,7.8235,-4954292.0,28.2066,2.8867,17.3363,1.1422,61.5277,23.5202,26.7359,73.1682,68.0226,68.0226,58.0872,33.6234,0.0,,0.9163,26.4867,,,-35.3846,28.0429
2016-10-28,29.6,29.76,28.72,29.3,6051517,-5314979.5377,-1669288.8517,38.7512,,0.7375,35.7143,64.2857,28.5714,2.2139,22.0802,26.8615,31.6428,-0.2212,85.365,21.8295,29.7209,41.6046,28.249,28.0127,26.7088,,,,0,26.3476,,,,,,,,,50.9532,27.6657,28.0256,11.2319,5.0772,7.5572,-11005809.0,27.2366,2.7575,20.9642,1.1663,60.9147,23.6141,26.8615,62.7054,47.976,47.976,19.8171,8.5012,0.0,,1.0374,27.0589,,,-37.0162,28.3506
2016-11-04,29.2,29.82,29.05,29.49,2579760,-4477395.1222,-1008843.8931,38.9781,,0.9701,28.5714,57.1429,28.5714,2.1106,22.0571,26.9717,31.8864,0.4675,80.4854,22.8128,29.8597,41.9272,28.4392,28.209,26.9144,,,,0,26.4692,,,,,,,,,54.9152,27.6657,28.0256,10.9322,5.8732,7.1583,-8426049.0,26.7177,3.6092,24.8738,1.1685,61.4064,23.7072,26.9717,51.179,37.5383,37.5383,34.7107,2.5019,7.5057,,0.7681,27.7056,,64.0244,-35.0787,28.6437
2016-11-11,29.84,31.12,29.14,30.91,4440139,-620304.6777,580307.2671,39.6623,,1.3163,21.4286,50.0,28.5714,2.101,22.0753,27.2353,32.3953,0.5808,95.3264,29.9546,30.3122,48.5573,28.8195,28.5694,27.2105,,,,0,26.6273,,,,,,,,,58.6881,27.6657,28.0256,10.1798,5.8182,6.7967,-3985910.0,29.3975,4.8591,23.1864,1.1452,64.9773,23.7993,27.2353,45.0727,49.7037,49.7037,94.5833,35.8352,100.0,,1.975,28.3227,,57.7132,-20.4966,29.0865
2016-11-18,31.22,31.41,30.75,31.14,6401633,2095539.6253,2041791.6321,40.3958,,1.7291,14.2857,42.8571,28.5714,1.9979,22.1354,27.5094,32.8833,-0.0076,101.3146,31.0595,30.7199,49.9306,29.1767,28.9122,27.5016,,,,0,26.9662,,,,,,,,,65.4576,27.6657,28.0256,9.9344,6.7933,6.4157,2415723.0,29.7481,6.3327,27.9012,1.2405,65.5298,23.8904,27.5094,53.773,74.077,74.077,92.9368,69.1686,100.0,,0.6583,28.8748,,65.0792,-18.1512,29.5226
2016-11-25,31.18,31.45,31.09,31.34,7199514,8095134.6253,4363016.2239,41.0909,,2.1061,7.1429,35.7143,28.5714,1.8809,22.2341,27.7899,33.3457,0.6667,94.7226,32.063,31.0832,50.1284,29.5096,29.236,27.786,,,,0,27.4191,,,,,,,,,70.9594,27.6657,28.0256,9.7956,5.2567,6.0014,9615237.0,29.4878,7.6734,20.153,1.2941,66.0315,23.9807,27.7899,73.0848,95.4737,95.4737,98.9011,100.0,100.0,,0.3591,29.3436,,63.5334,-16.1117,29.9278
2016-12-02,31.38,32.95,31.3,32.75,4560183,11549818.7162,6015187.9291,42.2499,,2.5749,0.0,100.0,100.0,1.8644,22.2641,28.1379,34.0118,0.8303,110.1347,38.8376,31.7115,57.3165,30.0081,29.7045,28.1537,15.6467,-0.5596,-0.4239,0,28.1867,,,,,,,0.2799,5.3606,74.558,28.5488,28.102,9.1625,1.0305,5.6927,14175420.0,33.7698,9.303,3.2489,1.387,69.4188,24.0701,28.1379,88.3841,95.6015,95.6015,94.9667,100.0,100.0,,1.65,29.7439,,73.9711,-2.0627,30.4531
2016-12-09,32.65,34.32,32.65,34.25,3696095,14936061.4408,7221681.9546,43.6878,,2.9683,0.0,100.0,100.0,1.8505,22.3243,28.5945,34.8648,0.9581,131.1453,45.1103,32.5752,62.3807,30.6607,30.3106,28.6053,17.2118,-0.4085,1.2128,0,29.0611,1.8278,0.6389,1.1888,2.9683,1.4304,1.5379,0.3068,5.6495,76.0291,29.2988,28.965,8.5595,4.1963,5.4029,17871515.0,36.9463,10.614,13.9627,1.3649,72.5551,24.2477,28.5945,96.1957,97.5118,97.5118,98.6676,100.0,100.0,,1.67,30.1202,,77.3827,-0.6536,31.0913
2016-12-16,34.31,34.43,33.5,34.18,1760593,15769030.172,7323766.6564,45.0503,,2.9082,7.1429,100.0,92.8571,1.7847,22.5226,29.0422,35.5617,-0.1344,127.997,44.4191,33.2376,62.7627,31.2029,30.8272,29.0186,18.7817,0.4926,2.7554,0,29.9517,1.9917,0.6423,1.3494,2.9082,1.1219,1.7862,0.3349,5.9348,76.6413,30.1669,29.02,8.2345,3.1338,5.2208,16110922.0,35.9926,10.3013,10.0925,1.404,72.2095,24.5498,29.0422,96.2728,95.7049,95.7049,93.4804,98.3602,95.0807,,0.93,30.5059,,79.6427,-2.2643,31.6337
2016-12-23,33.8,34.16,32.97,33.23,1178962,15105244.8442,6488527.1886,45.7336,,2.8809,0.0,92.8571,92.8571,1.744,22.6621,29.3541,36.046,-0.4748,106.5459,34.2976,33.5142,54.6157,31.5148,31.1476,29.3306,20.1073,1.4814,2.3322,0,30.3151,2.0212,0.5374,1.4838,2.8809,0.8597,2.0213,0.3643,6.2078,74.8945,31.7728,29.5441,10.0291,3.4755,5.2484,14931960.0,34.1672,10.1004,11.6807,1.274,67.1488,24.945,29.3541,92.9664,85.6824,85.6824,64.8993,70.7357,17.1264,,1.215,30.87,,73.8473,-12.2804,31.9551
