date,open,high,low,close,volume,adx_14_adx,adxr_14_adxr,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,ema_10_ema,ema_14_ema,ema_200_ema,ema_20_ema,ema_50_ema,ema_7_ema,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,mfi_14_mfi,mom_10_mom,roc_10_roc,rsi_14_rsi,sar_14_sar,sma_10_sma,sma_14_sma,sma_200_sma,sma_20_sma,sma_50_sma,sma_7_sma
1999-11-01,6.5,6.69,6.38,5.64,98600,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-11-02,6.5,6.5,6.25,5.54,48600,,,,,,,,,,,,,,,,,,,,5.8073,,,,,,
1999-11-03,6.5,6.5,6.38,5.64,81600,,,,,,,,,,,,,,,,,,,,5.8035,,,,,,
1999-11-04,6.44,6.44,6.25,5.59,61900,,,,,,,,,,,,,,,,,,,,5.7997,,,,,,
1999-11-05,6.31,6.38,6.12,5.37,118600,,,,,,,,,,,,,,,,,,,,5.796,,,,,,
1999-11-08,6.12,6.88,6.12,5.81,163900,,,,,,,,,,,,,,,,,,,,5.3184,,,,,,
1999-11-09,6.75,6.75,6.31,5.59,88900,,,,,,,,,,,,5.5978,,,,,,,,5.3184,,,,,,5.5978
1999-11-10,6.31,6.75,6.31,5.59,242200,,,,,,,,,,,,5.5959,,,,,,,,5.3184,,,,,,5.5901
1999-11-11,6.44,6.5,6.25,5.43,94600,,,,,,,,,,,,5.5537,,,,,,,,5.3249,,,,,,5.5746
1999-11-12,6.31,6.94,6.19,5.48,484600,,,,,,,5.5683,,,,,5.5357,,,,,,,,5.3314,5.5683,,,,,5.5514
1999-11-15,6.88,6.88,6.38,5.59,326500,,,,,,,5.5723,,,,,5.5493,,,,,-0.0538,-0.9538,,5.3452,5.5629,,,,,5.5514
1999-11-16,6.62,6.62,6.38,5.59,96100,,,,,,,5.5756,,,,,5.5595,,,,,0.0547,0.9882,,5.3588,5.5684,,,,,5.5824
1999-11-17,6.38,6.44,6.25,5.43,144400,,,,,,,5.5485,,,,,5.5264,,,,,-0.2171,-3.8462,,5.3721,5.5467,,,,,5.5281
1999-11-18,6.25,6.44,6.19,5.54,145900,,,,,,,5.5462,5.559,,,,5.5287,,,,,-0.0547,-0.9786,,6.0244,5.5412,5.559,,,,5.5202
1999-11-19,6.31,6.44,6.25,5.59,83300,,,0.3101,,,,5.5542,5.5632,,,,5.544,,,,66.7509,0.2171,4.0401,48.4981,6.0179,5.5629,5.5552,,,,5.5202
1999-11-22,6.44,6.5,6.38,5.64,76500,,,0.2957,,,,5.5705,5.574,,,,5.569,,,,69.6775,-0.1632,-2.811,50.1119,6.0114,5.5466,5.5629,,,,5.5513
1999-11-23,6.5,6.5,6.31,5.59,66000,,,0.2862,,,,5.5741,5.5761,,,,5.5743,,,,66.0603,0.0,0.0,48.476,6.005,5.5466,5.5591,,,,5.5668
1999-11-24,6.31,6.5,6.31,5.59,57600,,,0.2773,,,,5.577,5.578,,,,5.5783,,,,68.2004,0.0,0.0,48.476,5.9987,5.5466,5.5591,,,,5.5668
1999-11-26,6.44,6.44,6.31,5.48,19900,,,0.2653,,,,5.5597,5.5652,,,,5.5541,,,,71.8103,0.0547,1.008,45.0382,5.9924,5.5521,5.5668,,,,5.5513
1999-11-29,6.19,6.31,6.19,5.43,82100,,,0.2541,5.362,5.5575,5.7529,5.5356,5.5467,,5.5575,,5.5224,,,,65.7074,-0.0547,-0.9979,43.3689,5.9863,5.5466,5.5397,,5.5575,,5.5513
1999-11-30,6.25,6.25,6.12,5.37,52300,,,0.2437,5.3371,5.5439,5.7507,5.506,5.5236,,5.5399,,5.485,,,,67.2612,-0.2171,-3.8832,41.7296,5.9801,5.5249,5.5242,,5.5439,,5.5281
1999-12-01,6.25,6.38,6.12,5.54,59300,,,0.2418,5.3371,5.5439,5.7507,5.5114,5.5252,,5.5395,,5.4977,,,,68.3592,-0.0547,-0.9786,48.1014,5.9669,5.5194,5.5202,,5.5439,,5.5202
1999-12-02,6.25,6.38,6.19,5.37,23600,,,0.2361,5.3162,5.5304,5.7445,5.4862,5.5049,,5.5237,,5.4665,,,,71.2516,-0.0538,-0.992,43.0338,5.9539,5.5141,5.5164,,5.5304,,5.4815
1999-12-03,6.19,6.31,6.12,5.43,30500,,,0.2309,5.3054,5.5222,5.739,5.4755,5.4945,,5.5144,,5.4566,,,,57.8109,-0.1085,-1.9608,45.099,5.9412,5.5032,5.5125,,5.5222,,5.4582
1999-12-06,6.31,6.38,6.06,5.26,62000,,,0.2338,5.2807,5.5168,5.7529,5.4371,5.4639,,5.4906,,5.4086,,,,38.9445,-0.3256,-5.8248,40.3478,5.9288,5.4706,5.4892,,5.5168,,5.4117
1999-12-07,6.06,6.31,6.06,5.48,112400,,,0.2326,5.3055,5.5005,5.6955,5.4452,5.4662,,5.4898,,5.4269,,,,50.0361,-0.1624,-2.8769,48.204,5.9088,5.4544,5.4815,,5.5005,,5.4117
1999-12-08,6.25,6.56,6.19,5.64,146800,,,0.2392,5.3019,5.5032,5.7045,5.4814,5.4899,,5.5045,,5.4812,,,,65.3013,0.0538,0.963,53.1719,5.8895,5.4598,5.497,,5.5032,,5.4427
1999-12-09,6.69,6.69,6.5,5.75,112100,15.1164,,0.2338,5.2851,5.5113,5.7375,5.5307,5.525,,5.5281,,5.549,,,,64.2185,0.1624,2.9046,56.1964,5.8708,5.476,5.5125,,5.5113,,5.4969
1999-12-10,6.69,6.75,6.5,5.81,87200,16.8049,,0.2326,5.2738,5.5303,5.7869,5.581,5.5626,,5.5547,,5.6136,,,,64.5106,0.3256,5.9401,57.6799,5.2646,5.5086,5.528,,5.5303,,5.5358
1999-12-13,6.62,6.69,6.25,5.48,70300,16.5811,,0.2432,5.2738,5.5303,5.7869,5.5629,5.5518,,5.5477,,5.5806,,,,56.5968,0.0547,1.008,47.3912,5.2706,5.5141,5.5164,,5.5303,,5.5513
