date,open,high,low,close,volume,atr_14_atr,ema_14_ema,ema_200_ema,ema_20_ema,ema_50_ema,ema_7_ema,rsi_14_rsi,sma_14_sma,sma_200_sma,sma_20_sma,sma_50_sma,sma_7_sma
1999-11-01,59.0,59.5,58.88,6.62,124400,,,,,,,,,,,,
1999-11-02,57.75,58.25,57.75,6.51,431600,,,,,,,,,,,,
1999-11-03,56.5,56.88,56.13,6.38,580400,,,,,,,,,,,,
1999-11-04,57.94,58.13,56.88,6.42,110000,,,,,,,,,,,,
1999-11-05,56.56,56.69,55.88,6.3,89200,,,,,,,,,,,,
1999-11-08,55.88,56.63,55.75,6.37,522400,,,,,,,,,,,,
1999-11-09,56.88,57.0,56.44,6.41,111600,,,,,,6.4302,,,,,,6.4302
1999-11-10,56.19,57.63,56.19,6.43,768800,,,,,,6.431,,,,,,6.4031
1999-11-11,56.31,56.69,55.88,6.38,84960,,,,,,6.4175,,,,,,6.3839
1999-11-12,56.31,56.94,56.0,6.4,140800,,,,,,6.4127,,,,,,6.386
1999-11-15,57.38,58.0,57.0,6.49,194160,,,,,,6.4319,,,,,,6.3962
1999-11-16,58.38,58.63,58.0,6.6,408560,,,,,,6.4728,,,,,,6.4384
1999-11-17,58.38,58.88,58.06,6.55,366160,,,,,,6.491,,,,,,6.4635
1999-11-18,58.5,58.75,57.75,6.53,380560,,6.4559,,,,6.501,,6.4559,,,,6.4815
1999-11-19,56.75,57.5,56.5,6.41,123200,0.1286,6.4491,,,,6.4771,39.0023,6.4403,,,,6.4775
1999-11-22,56.75,56.88,56.25,6.38,88960,0.125,6.4404,,,,6.4537,38.118,6.4312,,,,6.4784
1999-11-23,57.13,57.69,56.81,6.42,275200,0.1236,6.4375,,,,6.445,40.4888,6.4337,,,,6.4813
1999-11-24,56.19,56.94,56.0,6.37,238560,0.1233,6.4285,,,,6.4263,38.297,6.4302,,,,6.4643
1999-11-26,54.75,55.5,54.44,6.23,74560,0.1321,6.402,,,,6.3771,32.7474,6.4252,,,,6.4121
1999-11-29,55.44,55.63,54.63,6.21,148160,0.1307,6.3762,,6.4199,,6.3349,31.9887,6.4137,,6.4199,,6.3639
1999-11-30,54.75,55.0,54.13,6.09,156960,0.1299,6.3379,,6.3884,,6.2735,28.0796,6.3911,,6.3932,,6.3007
1999-12-01,54.94,55.69,54.88,6.23,124560,0.1331,6.3235,,6.3733,,6.2625,37.7415,6.3765,,6.3791,,6.2756
1999-12-02,55.0,55.0,53.81,6.07,128560,0.1362,6.2894,,6.3442,,6.2138,32.3499,6.3545,,6.3633,,6.2305
1999-12-03,54.19,54.88,54.19,6.1,104960,0.1341,6.2636,,6.3205,,6.1843,34.1098,6.3328,,6.3472,,6.1844
1999-12-06,55.0,55.63,54.06,6.1,113200,0.1371,6.2421,,6.2998,,6.1639,34.5498,6.3052,,6.3373,,6.1461
1999-12-07,54.31,54.31,53.19,6.02,187360,0.1363,6.2122,,6.2729,,6.1274,31.6998,6.264,,6.3197,,6.1159
1999-12-08,53.13,53.25,52.38,5.94,111200,0.1356,6.176,,6.2413,,6.0807,29.3047,6.2207,,6.2965,,6.0776
1999-12-09,54.0,54.0,52.75,5.94,128000,0.1359,6.1446,,6.2126,,6.0457,29.3047,6.1786,,6.2719,,6.0564
1999-12-10,52.88,53.25,52.5,5.96,105200,0.1322,6.1203,,6.1888,,6.0248,30.9703,6.1469,,6.2511,,6.0182
1999-12-13,53.06,53.69,52.63,6.02,135760,0.1313,6.1067,,6.1725,,6.0231,35.2909,6.1208,,6.2321,,6.0111
1999-12-14,53.63,54.0,53.13,5.99,174560,0.1289,6.0911,,6.1551,,6.0148,34.1403,6.0902,,6.2071,,5.996
1999-12-15,53.88,54.88,53.88,6.13,602800,0.1328,6.0964,,6.1528,,6.0438,43.9759,6.0731,,6.1839,,6.0
1999-12-16,54.25,54.81,53.63,6.05,581600,0.1328,6.0906,,6.1433,,6.0461,40.3901,6.0605,,6.1592,,6.005
1999-12-17,54.08,54.2,52.52,5.98,477600,0.1368,6.0753,,6.1273,,6.0284,37.1297,6.0438,,6.1315,,6.01
1999-12-20,54.13,54.13,52.5,5.92,654160,0.1401,6.0546,,6.1076,,6.0014,34.9708,6.0318,,6.1072,,6.0071
1999-12-21,52.88,53.25,52.63,5.92,386000,0.1351,6.0367,,6.0898,,5.9811,34.9708,6.0097,,6.084,,6.0012
1999-12-22,52.69,52.94,52.25,5.89,130960,0.131,6.0174,,6.071,,5.9589,33.8077,5.9971,,6.0577,,5.9832
1999-12-23,53.19,53.44,52.75,5.93,338800,0.1302,6.0063,,6.0579,,5.9526,37.1401,5.9856,,6.0359,,5.9751
1999-12-27,52.94,53.06,52.38,5.89,394400,0.1263,5.9911,,6.0421,,5.9375,35.23,5.9705,,6.019,,5.9411
1999-12-28,52.63,53.0,52.38,5.92,450960,0.1223,5.9816,,6.0305,,5.9332,37.5664,5.9635,,6.0046,,5.9221
1999-12-29,53.08,54.12,52.52,5.98,73760,0.1264,5.982,,6.0261,,5.946,42.6462,5.9667,,5.9994,,5.9234
1999-12-30,54.38,54.94,54.0,6.15,151760,0.1314,6.0047,,6.0381,,5.9975,53.3348,5.9818,,5.9955,,5.9565
1999-12-31,54.69,55.88,54.69,6.2,121600,0.1315,6.0309,,6.0537,,6.0485,55.9458,5.9989,,6.0022,,5.9967
