date,open,high,low,close,volume,atr_14_atr,ema_14_ema,ema_200_ema,ema_20_ema,ema_50_ema,ema_7_ema,rsi_14_rsi,sma_14_sma,sma_200_sma,sma_20_sma,sma_50_sma,sma_7_sma
1999-11-01,34.44,34.88,34.13,5.7,6667,,,,,,,,,,,,
1999-11-02,34.94,35.69,34.88,5.83,12600,,,,,,,,,,,,
1999-11-03,35.69,35.81,35.5,5.84,8067,,,,,,,,,,,,
1999-11-04,35.5,35.75,35.25,5.9,9867,,,,,,,,,,,,
1999-11-05,35.75,37.88,35.75,6.25,23000,,,,,,,,,,,,
1999-11-08,38.06,38.38,36.88,6.18,17400,,,,,,,,,,,,
1999-11-09,37.5,37.5,36.94,6.11,7400,,,,,,5.9744,,,,,,5.9744
1999-11-10,36.94,36.94,36.06,5.97,8600,,,,,,5.973,,,,,,6.0125
1999-11-11,35.94,36.5,35.75,6.02,5000,,,,,,5.9847,,,,,,6.0391
1999-11-12,36.19,36.31,36.0,5.95,9000,,,,,,5.9754,,,,,,6.0539
1999-11-15,36.06,36.5,35.63,5.88,11400,,,,,,5.9507,,,,,,6.051
1999-11-16,35.5,35.69,35.0,5.77,50000,,,,,,5.9061,,,,,,5.9832
1999-11-17,35.19,35.19,34.94,5.77,4667,,,,,,5.8727,,,,,,5.9243
1999-11-18,35.06,35.19,34.94,5.8,6200,,5.9273,,,,5.8555,,5.9273,,,,5.8802
1999-11-19,35.13,35.13,34.0,5.66,24667,0.1331,5.8915,,,,5.8063,48.3466,5.9242,,,,5.8359
1999-11-22,34.25,37.0,34.25,6.02,39200,0.156,5.9086,,,,5.8597,60.2458,5.9375,,,,5.8359
1999-11-23,36.5,38.0,36.5,6.17,34400,0.1625,5.9428,,,,5.9361,63.8495,5.9604,,,,5.867
1999-11-24,37.38,37.38,37.0,6.13,12467,0.1554,5.9683,,,,5.9855,62.5315,5.9774,,,,5.9038
1999-11-26,37.13,37.13,37.0,6.11,10800,0.1465,5.9875,,,,6.0172,61.5946,5.9678,,,,5.9523
1999-11-29,37.25,37.94,37.0,6.26,16400,0.1471,6.0235,,5.9665,,6.0773,65.3763,5.9729,,5.9665,,6.0216
1999-11-30,37.94,38.0,37.56,6.26,6800,0.1418,6.0547,,5.9942,,6.1223,65.3763,5.9833,,5.9943,,6.0864
1999-12-01,38.19,39.25,38.19,6.41,24867,0.1471,6.1024,,6.034,,6.1948,69.1407,6.015,,6.0232,,6.1941
1999-12-02,39.13,39.63,39.0,6.43,13600,0.1455,6.1464,,6.072,,6.2542,69.5951,6.0444,,6.0526,,6.253
1999-12-03,38.94,39.31,38.5,6.45,24667,0.1446,6.1873,,6.1083,,6.3041,70.1087,6.0806,,6.0805,,6.2942
1999-12-06,39.19,39.25,38.88,6.41,5000,0.1386,6.2174,,6.1373,,6.3312,67.7391,6.1189,,6.0887,,6.334
1999-12-07,38.63,38.94,38.56,6.39,14600,0.1332,6.2405,,6.1614,,6.3461,66.4807,6.1631,,6.099,,6.3738
1999-12-08,38.5,38.94,38.0,6.28,12200,0.1348,6.2454,,6.1725,,6.3289,60.0993,6.1991,,6.1073,,6.3767
1999-12-09,38.25,38.25,37.31,6.15,22867,0.1362,6.2332,,6.1707,,6.2851,54.0286,6.2241,,6.1165,,6.3618
1999-12-10,37.31,39.75,37.31,6.56,21267,0.1552,6.2762,,6.2074,,6.3528,66.0453,6.2882,,6.1433,,6.3823
1999-12-13,39.75,39.75,38.63,6.39,24067,0.1573,6.2915,,6.2249,,6.3623,59.2138,6.3147,,6.1655,,6.3764
1999-12-14,38.56,39.0,38.44,6.41,11667,0.1527,6.3076,,6.2427,,6.3749,59.796,6.3324,,6.1923,,6.3705
1999-12-15,38.81,38.81,38.13,6.29,9267,0.1506,6.3051,,6.2471,,6.3534,54.9249,6.3434,,6.2181,,6.3529
1999-12-16,38.13,38.31,37.0,6.1,7400,0.1553,6.2781,,6.2333,,6.2906,48.5126,6.3427,,6.2346,,6.3116
1999-12-17,36.81,36.81,36.81,6.07,22867,0.1464,6.2505,,6.2179,,6.2357,47.5083,6.3294,,6.248,,6.2822
1999-12-20,36.81,36.94,36.13,5.96,12600,0.1455,6.2116,,6.1932,,6.1665,43.9976,6.3081,,6.263,,6.2544
1999-12-21,35.88,36.38,35.56,6.0,32867,0.1448,6.1834,,6.1748,,6.1249,45.5895,6.2786,,6.262,,6.175
1999-12-22,36.38,36.38,36.0,5.97,4600,0.1389,6.1548,,6.1552,,6.0859,44.553,6.2455,,6.2522,,6.1147
1999-12-23,36.25,36.25,35.75,5.9,8267,0.1349,6.1203,,6.1305,,6.0385,42.1623,6.2057,,6.2403,,6.0409
1999-12-27,35.56,35.56,35.25,5.82,14467,0.1311,6.0808,,6.1013,,5.9848,39.8589,6.1637,,6.2259,,5.9745
1999-12-28,35.31,35.75,35.0,5.86,9867,0.1306,6.0507,,6.0779,,5.9523,41.349,6.1254,,6.2057,,5.9391
1999-12-29,35.56,36.0,35.44,5.92,6200,0.1279,6.0329,,6.0626,,5.9437,44.3202,6.0997,,6.1887,,5.9172
1999-12-30,36.0,36.13,35.81,5.93,7467,0.1225,6.0189,,6.0497,,5.9397,44.7958,6.0836,,6.1645,,5.9127
1999-12-31,35.75,36.0,35.56,5.94,3867,0.119,6.008,,6.0391,,5.9391,45.2989,6.0394,,6.1398,,5.9038
2000-01-03,35.87,36.0,35.19,5.93,15600,0.12,5.9973,,6.0284,,5.9362,44.8586,6.0063,,6.1135,,5.8979
2000-01-04,35.75,36.13,35.13,5.82,14867,0.1232,5.9742,,6.0089,,5.9081,40.4166,5.9642,,6.084,,5.8875
2000-01-05,35.19,35.63,35.0,5.82,8400,0.1218,5.9541,,5.9913,,5.887,40.4166,5.931,,6.0556,,5.8875
2000-01-06,35.31,35.69,35.06,5.86,8467,0.1205,5.9409,,5.9783,,5.879,42.4112,5.9133,,6.0345,,5.8875
2000-01-07,35.13,35.69,35.0,5.89,9067,0.1201,5.9336,,5.9696,,5.8808,44.4151,5.9001,,6.0212,,5.883
2000-01-10,35.94,35.94,35.63,5.89,54000,0.1151,5.9273,,5.9616,,5.8822,44.4151,5.8949,,5.9877,,5.8772
2000-01-11,35.81,36.0,35.63,5.94,10467,0.1113,5.9287,,5.9593,6.0473,5.896,47.8488,5.8905,,5.965,6.0473,5.8772
2000-01-12,35.94,36.0,35.56,5.86,6067,0.1085,5.9202,,5.9503,6.0402,5.8882,43.7205,5.883,,5.9376,6.0506,5.8682
2000-01-13,35.31,36.25,35.31,5.96,12067,0.1118,5.9253,,5.9512,6.037,5.9059,49.7669,5.8875,,5.9211,6.0531,5.8875
2000-01-14,36.13,36.13,35.38,5.9,6667,0.1127,5.9215,,5.9459,6.0315,5.9035,46.2031,5.8927,,5.9108,6.0541,5.8979
2000-01-18,35.88,35.88,35.38,5.86,8000,0.1105,5.9126,,5.9373,6.0246,5.8914,43.9722,5.8927,,5.9,6.0533,5.8979
2000-01-19,35.38,35.44,35.25,5.84,3867,0.1056,5.9023,,5.9275,6.0171,5.8773,42.9013,5.8868,,5.8938,6.0451,5.8906
2000-01-20,35.25,35.5,35.25,5.86,3800,0.101,5.896,,5.9206,6.0108,5.8718,44.3605,5.8816,,5.8866,6.0385,5.8861
2000-01-21,35.38,35.5,35.38,5.86,8600,0.0952,5.8905,,5.9144,6.0047,5.8676,44.3605,5.8757,,5.8809,6.0333,5.8743
2000-01-24,35.38,35.69,34.88,5.75,16667,0.0979,5.8721,,5.899,5.9948,5.8389,38.4696,5.8633,,5.8737,6.029,5.8583
2000-01-25,34.88,34.88,34.06,5.64,10267,0.1006,5.8411,,5.8742,5.9808,5.7889,33.1876,5.8501,,5.8645,6.0214,5.8126
2000-01-26,34.19,34.19,33.5,5.56,5067,0.1015,5.8031,,5.844,5.9642,5.7308,29.9757,5.831,,5.8496,6.0136,5.7641
2000-01-27,33.69,33.75,33.56,5.54,15000,0.0965,5.7674,,5.8145,5.9474,5.6819,29.1849,5.8081,,5.8304,6.0067,5.7184
2000-01-28,33.56,33.75,33.31,5.56,13467,0.0948,5.7392,,5.79,5.932,5.6505,31.1413,5.7846,,5.8119,6.0024,5.6785
2000-01-31,33.56,33.56,33.13,5.48,18067,0.0946,5.7052,,5.7608,5.9145,5.6089,28.2922,5.7558,,5.7892,5.9967,5.6255
2000-02-01,33.19,33.38,33.19,5.48,8067,0.0901,5.6757,,5.7344,5.8976,5.5776,28.2922,5.7234,,5.767,5.9903,5.5725
2000-02-02,33.25,33.31,33.13,5.49,11000,0.0858,5.6514,,5.7115,5.8817,5.5567,29.315,5.6969,,5.7505,5.987,5.5355
2000-02-03,33.13,33.19,33.0,5.53,12400,0.082,5.6348,,5.6939,5.8678,5.5492,32.7577,5.666,,5.7357,5.9771,5.5195
2000-02-04,33.13,33.13,32.31,5.44,12400,0.0866,5.6093,,5.6701,5.8512,5.5228,28.9278,5.6337,,5.7151,5.9627,5.5034
2000-02-07,32.69,32.69,31.94,5.38,16600,0.0894,5.5788,,5.6425,5.8327,5.4872,26.4015,5.5998,,5.6898,5.9476,5.4812
2000-02-08,32.31,32.5,31.75,5.32,9667,0.0919,5.5441,,5.6116,5.8126,5.445,24.1865,5.5629,,5.6614,5.9317,5.4473
2000-02-09,31.81,32.0,31.31,5.21,8067,0.0935,5.5,,5.5737,5.7891,5.3872,20.9619,5.5171,,5.6252,5.9108,5.4087
2000-02-10,31.19,31.5,30.81,5.13,6867,0.0951,5.4508,,5.5315,5.7632,5.323,18.8176,5.4653,,5.5885,5.8883,5.3582
2000-02-11,30.56,30.56,29.31,4.88,18800,0.1061,5.3748,,5.4695,5.7286,5.2124,14.1433,5.4031,,5.5346,5.8577,5.2706
2000-02-14,29.31,30.56,29.19,5.08,14600,0.1148,5.3353,,5.4323,5.7032,5.179,29.1741,5.363,,5.4937,5.8306,5.2066
2000-02-15,30.38,30.38,30.13,5.02,19867,0.111,5.2929,,5.3928,5.6763,5.1386,27.5586,5.3245,,5.4518,5.8019,5.1457
2000-02-16,30.06,31.06,29.75,4.95,17600,0.1187,5.2477,,5.351,5.6479,5.0924,25.9682,5.283,,5.4078,5.7727,5.0848
2000-02-17,29.75,30.0,29.44,4.9,14600,0.1169,5.2017,,5.3083,5.6187,5.0449,24.7151,5.2363,,5.3601,5.7429,5.0253
2000-02-18,29.38,29.38,28.88,4.83,7467,0.1152,5.152,,5.2626,5.5877,4.991,23.0174,5.1895,,5.3089,5.714,4.9704
2000-02-22,29.0,29.0,28.06,4.68,10400,0.1181,5.0896,,5.2076,5.5523,4.9143,20.0802,5.1324,,5.2554,5.6846,4.9066
2000-02-23,28.06,28.06,27.38,4.57,7267,0.1186,5.0202,,5.1468,5.5137,4.828,18.1067,5.0664,,5.2019,5.6448,4.8621
2000-02-24,27.63,28.06,26.5,4.41,14800,0.1287,4.9392,,5.0769,5.4706,4.7242,15.825,4.9868,,5.1448,5.6053,4.767
2000-02-25,26.56,27.06,26.5,4.41,15267,0.1262,4.8691,,5.0136,5.4291,4.6464,15.825,4.9132,,5.0886,5.5653,4.6806
2000-02-28,26.31,26.44,26.25,4.39,6667,0.1201,4.8055,,4.9545,5.3885,4.583,15.5351,4.8426,,5.0305,5.5274,4.6005
2000-02-29,26.19,26.94,26.19,4.49,15067,0.1205,4.7629,,4.9099,5.3531,4.5587,22.6546,4.7832,,4.9806,5.495,4.541
2000-03-01,27.06,28.0,26.94,4.59,18200,0.1245,4.7398,,4.8793,5.3231,4.5664,29.7179,4.7386,,4.9358,5.4654,4.5067
2000-03-02,27.56,27.56,26.0,4.33,14867,0.1341,4.6851,,4.827,5.2841,4.5072,23.8229,4.6814,,4.8776,5.4328,4.4561
2000-03-03,26.19,26.44,26.0,4.37,7400,0.1298,4.6432,,4.7836,5.2483,4.4732,26.3444,4.645,,4.8198,5.4002,4.4278
2000-03-06,26.19,26.38,26.13,4.35,11067,0.1235,4.6043,,4.7424,5.2132,4.4427,25.9013,4.593,,4.7652,5.3679,4.419
2000-03-07,26.13,26.5,26.13,4.41,6800,0.1191,4.5788,,4.711,5.1818,4.4352,29.8215,4.5498,,4.7168,5.3382,4.419
2000-03-08,26.63,27.56,26.63,4.52,19867,0.1232,4.5706,,4.6926,5.1557,4.4558,36.0276,4.5186,,4.6768,5.3121,4.4368
2000-03-09,27.13,28.56,27.13,4.73,22667,0.1314,4.5913,,4.6958,5.1389,4.5233,46.1946,4.506,,4.6524,5.2895,4.4711
2000-03-10,28.75,28.81,28.5,4.75,11200,0.1271,4.6119,,4.7005,5.1235,4.5789,47.0644,4.5001,,4.6332,5.2661,4.4934
2000-03-13,28.31,29.0,28.31,4.83,8467,0.1262,4.6409,,4.7128,5.1119,4.6415,50.6444,4.5104,,4.6306,5.2441,4.5648
2000-03-14,28.94,29.5,28.81,4.83,13667,0.1254,4.666,,4.7238,5.1008,4.6884,50.6444,4.529,,4.6181,5.2219,4.6302
2000-03-15,29.19,29.63,28.63,4.87,17467,0.1284,4.6933,,4.7378,5.0918,4.734,52.507,4.5617,,4.6108,5.2008,4.7044
2000-03-16,29.13,29.13,28.94,4.84,6667,0.1229,4.7127,,4.7475,5.0819,4.7602,50.9338,4.5921,,4.605,5.1811,4.7653
2000-03-17,28.88,29.44,28.88,4.89,10267,0.1208,4.7367,,4.7613,5.0745,4.7933,53.4628,4.6278,,4.6045,5.1625,4.8189
