date,open,high,low,close,volume,ad_14_chaikin a/d,adosc_14_adosc,adx_14_adx,adxr_14_adxr,apo_14_apo,aroon_14_aroon down,aroon_14_aroon up,aroonosc_14_aroonosc,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,bop_14_bop,cci_20_cci,cmo_14_cmo,dema_14_dema,dx_14_dx,ema_12_ema,ema_14_ema,ema_26_ema,ht_dcperiod_14_dcperiod,ht_dcphase_14_ht_dcphase,ht_phasor_14_phase,ht_phasor_14_quadrature,ht_sine_14_lead sine,ht_sine_14_sine,ht_trendline_14_ht_trendline,ht_trendmode_14_trendmode,kama_14_kama,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,macdext_14_macd,macdext_14_macd_hist,macdext_14_macd_signal,mama_14_fama,mama_14_mama,mfi_14_mfi,midpoint_14_midpoint,midprice_14_midprice,minus_di_14_minus_di,mom_10_mom,natr_14_natr,obv_14_obv,plus_di_14_plus_di,ppo_14_ppo,roc_10_roc,rocr_14_rocr,rsi_14_rsi,sar_14_sar,sma_200_sma,sma_20_sma,sma_50_sma,stoch_14_slowd,stoch_14_slowk,stochf_14_fastd,stochf_14_fastk,stochrsi_14_fastd,stochrsi_14_fastk,t3_14_t3,tema_14_tema,trange_14_trange,trima_14_trima,trix_14_trix,willr_14_willr,wma_14_wma
2013-07-17,26.75,27.71,26.5,14.6,15692194,3760939.0579,,,,,,,,,,,,0.4132,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,15692194.0,,,,,,,,,,,,,,,,,,,,,,
2013-07-18,27.34,28.15,27.0,15.0,1562500,4915830.3622,,,,,,,,,,,,0.5739,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,17254694.0,,,,,,14.1968,,,,,,,,,,,,0.6161,,,,
2013-07-19,27.95,28.1,27.63,14.94,623246,4955612.0218,,,,,,,,,,,,-0.1489,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,16631448.0,,,,,,14.2056,,,,,,,,,,,,0.2518,,,,
2013-07-22,27.71,28.1,27.41,14.73,416446,4647804.1087,,,,,,,,,,,,-0.3043,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,16215002.0,,,,,,14.2144,,,,,,,,,,,,0.3697,,,,
2013-07-23,27.4,27.89,27.4,14.89,555485,4999233.3944,,,,,,,,,,,,0.8163,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,16770487.0,,,,,,14.223,,,,,,,,,,,,0.2625,,,,
2013-07-24,27.64,27.73,27.5,14.81,209421,5044759.6988,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,16561066.0,,,,,,14.2316,,,,,,,,,,,,0.1607,,,,
2013-07-25,27.61,28.24,27.5,15.0,216057,5120277.5976,,,,,,,,,,,,0.5263,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,16777123.0,,,,,,14.2401,,,,,,68.5946,71.3436,,,,,0.397,,,,
2013-07-26,28.01,29.45,27.96,15.53,126937,5169005.3557,,,,,,,,,,,,0.6563,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,16904060.0,,,,,,14.2579,,,,,,68.1856,77.561,,,,,0.7999,,,,
2013-07-29,28.67,29.25,28.26,15.17,148043,5038906.9617,,,,,,,,,,,,-0.3535,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,16756017.0,,,,,,14.3035,,,,67.1248,64.5942,64.5942,44.878,,,,,0.5304,,,,
2013-07-30,28.75,28.88,28.4,15.33,260962,5019032.3723,226218.0706,,,,,,,,,,,-0.269,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,17016979.0,,,,,,14.3477,,,,64.246,59.9583,59.9583,57.4359,,,,,0.3,,,,
