date,open,high,low,close,volume,ad_14_chaikin a/d,adosc_14_adosc,adx_14_adx,adxr_14_adxr,apo_14_apo,aroon_14_aroon down,aroon_14_aroon up,aroonosc_14_aroonosc,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,bop_14_bop,cci_20_cci,cmo_14_cmo,dema_14_dema,dx_14_dx,ema_12_ema,ema_14_ema,ema_26_ema,ht_dcperiod_14_dcperiod,ht_dcphase_14_ht_dcphase,ht_phasor_14_phase,ht_phasor_14_quadrature,ht_sine_14_lead sine,ht_sine_14_sine,ht_trendline_14_ht_trendline,ht_trendmode_14_trendmode,kama_14_kama,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,macdext_14_macd,macdext_14_macd_hist,macdext_14_macd_signal,mama_14_fama,mama_14_mama,mfi_14_mfi,midpoint_14_midpoint,midprice_14_midprice,minus_di_14_minus_di,mom_10_mom,natr_14_natr,obv_14_obv,plus_di_14_plus_di,ppo_14_ppo,roc_10_roc,rocr_14_rocr,rsi_14_rsi,sar_14_sar,sma_200_sma,sma_20_sma,sma_50_sma,stoch_14_slowd,stoch_14_slowk,stochf_14_fastd,stochf_14_fastk,stochrsi_14_fastd,stochrsi_14_fastk,t3_14_t3,tema_14_tema,trange_14_trange,trima_14_trima,trix_14_trix,willr_14_willr,wma_14_wma
2013-07-31,28.31,28.6,27.82,15.27,115008,5104551.1416,204429.0815,,,,,,,,,,,0.2436,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0.6697,,16901971.0,,,4.5872,,,14.3906,,,,58.5837,51.1987,51.1987,51.2821,,,,,0.4286,,,,
2013-08-01,28.54,29.0,27.87,15.27,278489,5136589.6991,187125.0287,,,,,,,,,,,-0.0354,,,,,15.045,,,,,,,,,,0,,,,,,,,,,,,,,0.2679,,16901971.0,,,1.7857,,,14.4322,,,,53.7674,50.1452,50.1452,41.7178,,,,,0.6054,,,,
2013-08-02,29.0,29.03,28.0,15.38,122076,5180442.2428,176987.8138,,,,,,,,,,,-0.2913,,,,,15.0959,,,,,,,,,,0,,,,,,,,,,,,,,0.4393,,17024047.0,,,2.9412,,,14.4725,,,,50.9522,51.5128,51.5128,61.5385,,,,,0.5518,,,,
2013-08-05,28.7,29.03,28.11,15.29,219230,5166144.6341,152201.731,,,,,,,,,,,-0.1739,,,,,15.1257,15.0861,,,,,,,,,0,,,,,,,,,,,15.0647,14.987,,0.5572,,16804817.0,,,3.7818,,,14.5117,,,,51.9705,54.2535,54.2535,59.5041,,,,,0.4929,15.1068,,-30.8475,15.1988
2013-08-06,28.9,28.96,28.5,15.38,68368,5160199.5906,126333.8441,,,,0.0,50.0,50.0,0.4295,,,,-0.413,,31.1966,,52.4965,15.1649,15.1254,,,,,,,,,0,15.2955,,,,,,,,,77.4367,15.1316,15.1209,7.1655,0.4875,2.7925,16873185.0,23.0026,,3.2734,1.0536,65.5983,14.5496,,,,56.8772,64.8654,64.8654,73.5537,,,,,0.2464,15.1624,,-30.2041,15.2381
2013-08-07,28.69,28.88,28.25,15.32,97895,5171076.8128,107727.5661,,,,0.0,42.8571,42.8571,0.4229,,,,-0.1429,,27.9577,,40.5035,15.1891,15.1516,,,,,,,,,0,15.2961,,,,,,,,,65.1485,15.1316,15.2281,9.1469,0.5143,2.7604,16775290.0,21.6009,,3.4732,1.0214,63.9788,14.5865,,,,61.4828,65.3296,65.3296,62.931,,,,,0.3375,15.2042,,-41.4634,15.2621
2013-08-08,28.75,28.75,28.14,15.23,397393,5138503.6161,79958.2929,,,,14.2857,35.7143,21.4286,0.4161,,,,-0.541,,22.623,,35.4557,15.1946,15.1614,,,,,,,,,0,15.2946,,,,,,,,,50.4186,15.1316,15.2281,9.6778,0.225,2.7327,16377897.0,20.3104,,1.5,1.0194,61.3115,14.6222,,,,63.0941,59.0872,59.0872,40.7767,,,,,0.3268,15.2409,,-50.2439,15.2701
2013-08-09,28.12,28.55,28.09,15.2,258665,5194735.1378,79221.0478,,,,7.1429,28.5714,21.4286,0.404,,,,0.5435,,21.1125,,33.1147,15.1953,15.1664,,,,,,,,,0,15.2907,,,,,,,,,52.852,15.1691,15.2281,9.733,-0.3322,2.6578,16119232.0,19.3705,,-2.1387,1.0316,60.5562,14.6568,,,,56.305,44.4983,44.4983,29.7872,,,,,0.2464,15.2693,,-52.6829,15.2719
2013-08-12,28.6,28.76,28.4,15.37,260275,5353792.0823,122326.5619,,,,0.0,21.4286,21.4286,0.39,,,,0.25,,27.2859,,37.964,15.2221,15.1935,,,,,,,,,0,15.294,,,,,,,,,48.1121,15.1691,15.2549,9.3384,0.1982,2.5376,16379507.0,20.7681,,1.3065,1.032,63.643,14.6904,,,,50.0318,46.5098,46.5098,68.9655,,,,,0.2089,15.29,,-38.9744,15.292
2013-08-13,28.75,28.75,28.2,15.16,293970,5166720.2641,69317.188,,,,0.0,14.2857,14.2857,0.3832,14.6599,15.1432,15.6264,-0.8182,30.3607,15.4299,,28.4149,15.2128,15.1892,,,,,,,,,0,15.2905,,,,,,,,,46.596,15.2656,15.2549,10.9058,-0.1714,2.5276,16085537.0,19.5636,,-1.1181,1.0239,57.715,14.723,,15.1432,,44.2622,41.7783,41.7783,26.5823,,,,,0.2947,15.3001,,-58.9744,15.2798
2013-08-14,28.0,28.6,28.0,15.1,157199,5109080.6308,22990.0892,,,,0.0,7.1429,7.1429,0.3788,14.7536,15.1683,15.5831,0.3167,-5.4408,12.254,,19.507,15.1957,15.1776,,,,,,,,,0,15.2888,,,,,,,,,39.9764,15.3165,15.3406,12.3364,-0.1661,2.5082,15928338.0,18.3157,,-1.0877,1.0068,56.127,14.7547,,15.1683,,42.8236,40.1826,40.1826,25.0,20.4065,0.0,,,0.3214,15.2968,,-77.3006,15.2563
2013-08-15,28.4,28.56,27.99,15.08,376057,4930948.3676,-54730.3612,,,,21.4286,0.0,-21.4286,0.3736,14.7622,15.1721,15.582,-0.4561,-19.3621,10.7622,,19.0623,15.1772,15.164,,,,,,,,,0,15.2759,,,,,,,,,32.5668,15.2281,15.287,11.6881,-0.1929,2.4779,15552281.0,17.1936,,-1.2632,0.9707,55.3811,14.7853,,15.1721,,35.2162,23.6876,23.6876,19.4805,0.0,0.0,,,0.3054,15.2828,,-77.6224,15.2283
2013-08-16,28.0,28.4,27.86,15.09,117379,4943990.4787,-77399.841,,,,14.2857,0.0,-14.2857,0.3675,14.7819,15.1796,15.5773,0.2963,-45.2149,11.2702,,13.1665,15.1632,15.1536,,,,,,,,,0,15.2737,,,,,,,,,32.9201,15.2281,15.2281,12.4167,-0.2893,2.4362,15669660.0,16.1822,,-1.8815,0.9944,55.6351,14.8151,,15.1796,,29.936,25.938,25.938,33.3333,1.0247,3.0741,,,0.2893,15.2673,,-71.9008,15.2061
2013-08-19,28.25,28.56,28.02,15.12,254509,4877412.0576,-100821.4129,,,,7.1429,28.5714,21.4286,0.3619,14.8562,15.1989,15.5416,-0.0557,-25.0134,12.8724,,18.5147,15.1563,15.1489,,,,,,,,,0,15.2682,,,,,,,,,32.7027,15.2281,15.2281,11.6783,-0.1714,2.3938,15924169.0,16.9852,,-1.1212,0.986,56.4362,14.844,,15.1989,,26.9044,31.0878,31.0878,40.4494,16.0942,45.2084,,,0.2888,15.2472,,-66.9421,15.1889
2013-08-20,28.12,28.12,27.85,14.97,320616,4768950.8829,-135747.7559,,,,0.0,21.4286,21.4286,0.3502,14.872,15.2026,15.5333,-0.6691,-116.4482,3.4813,,10.7123,15.1274,15.1248,,,,,,,,,0,15.253,,,,,,,,,30.6587,15.1745,15.2364,13.1229,-0.4125,2.3395,15603553.0,16.2718,,-2.682,0.9804,51.7407,14.872,,15.2026,,28.5269,28.5551,28.5551,11.8825,16.0942,0.0,,,0.1977,15.2249,,-92.4512,15.1538
2013-08-21,27.89,27.89,27.25,14.7,364376,4620923.1329,-184794.8388,,,0.0303,100.0,14.2857,-85.7143,0.3516,14.8389,15.1973,15.5557,-0.7031,-237.9354,-10.7921,,11.4762,15.0617,15.0682,15.1121,,,,,,,,0,15.1999,,,,,,,,,21.4923,15.0406,15.0754,18.8926,-0.6214,2.3916,15239177.0,15.0027,0.2004,-4.0559,0.9628,44.604,15.7772,,15.1973,,27.3071,22.2786,22.2786,14.5038,15.0695,0.0,,,0.3697,15.1919,,-89.3258,15.0858
2013-08-22,27.64,27.97,27.54,14.83,105823,4588930.1329,-198239.6147,,,-0.0243,92.8571,7.1429,-85.7143,0.3467,14.8059,15.189,15.5721,0.1163,-169.7901,-3.1323,14.9349,8.3629,15.0267,15.037,15.0915,,,,,,,,0,15.1683,,,,,,,,,21.0246,15.0406,15.0754,17.7476,-0.3911,2.3374,15345000.0,15.0083,-0.1608,-2.5686,0.9648,48.4338,15.7654,,15.189,,23.6084,19.9914,19.9914,33.5878,10.7894,32.3682,,,0.2839,15.1512,,-75.2809,15.0412
2013-08-23,27.87,28.1,27.54,14.89,124110,4580065.1329,-188538.6489,23.7189,,-0.0559,85.7143,0.0,-85.7143,0.3434,14.7872,15.1571,15.527,-0.125,-130.4635,0.1391,14.9127,3.3137,15.0062,15.0178,15.0768,,,,,,,,0,15.153,,,,,,,,,25.5096,15.0406,15.0566,16.6027,-0.3054,2.3057,15469110.0,15.5376,-0.3698,-2.0092,0.9741,50.0696,15.7537,,15.1571,,24.0985,30.0254,30.0254,41.9847,26.1869,46.1924,,,0.3,15.1107,,-67.8363,15.0095
2013-08-26,28.3,28.3,27.9,14.97,172850,4450427.6329,-208678.4903,22.3169,,-0.0783,78.5714,0.0,-78.5714,0.338,14.7689,15.1472,15.5255,-0.875,-60.78,4.5839,14.9157,4.0905,15.0011,15.0119,15.0692,,,,,,,,0,15.1425,,,,,,,,,27.8197,15.0352,15.0352,15.633,-0.3964,2.2573,15641960.0,16.9664,-0.5181,-2.5793,0.9735,52.292,15.7422,,15.1472,,32.4766,47.4131,47.4131,66.6667,59.5202,100.0,,,0.2679,15.0717,,-57.0552,14.9923
2013-08-27,27.93,28.11,27.64,14.89,207351,4375428.335,-221810.1574,21.1086,,-0.1102,71.4286,0.0,-71.4286,0.3318,14.7406,15.1249,15.5093,-0.2979,-100.3576,-0.5033,14.8977,5.401,14.9837,14.9954,15.0557,,,,,,,,0,15.1266,,,,,,,,,26.9571,15.0352,15.0031,17.8485,-0.2732,2.229,15434609.0,16.0193,-0.7286,-1.8021,0.9717,49.7484,15.7307,,15.1249,,43.5995,53.36,53.36,51.4286,71.0357,66.9148,,,0.2518,15.0345,,-64.2384,14.9675
2013-08-28,27.92,28.02,27.5,14.88,222733,4392561.6427,-201566.1363,20.326,,-0.1504,64.2857,14.2857,-50.0,0.328,14.7134,15.1057,15.4979,-0.2692,-104.0126,-0.828,14.8826,10.1519,14.9682,14.9804,15.0429,,,,,,,,0,15.1146,,,,,,,,,28.4746,15.0352,15.0031,18.4144,-0.2196,2.2042,15211876.0,15.0202,-0.9946,-1.4544,0.9775,49.586,15.7194,,15.1057,,50.6016,51.0317,51.0317,35.0,65.5929,29.8638,,,0.2786,14.9974,,-64.9007,14.9462
2013-08-29,27.85,28.26,27.7,14.89,284996,4199171.4998,-236493.5244,18.9317,,-0.1763,57.1429,7.1429,-50.0,0.326,14.6909,15.0866,15.4824,-0.1071,-61.7858,-0.4749,14.8726,0.8056,14.9558,14.968,15.0314,,,,,,,,0,15.1047,,,,,,,,,36.9744,15.0352,15.0031,17.1723,-0.1875,2.19,15496872.0,16.8979,-1.1653,-1.2438,0.9796,49.7626,15.7082,,15.0866,,48.4282,40.8929,40.8929,36.25,34.4344,6.5246,,,0.3,14.9608,,-64.2384,14.9289
2013-08-30,27.9,28.05,27.77,14.93,59611,4178852.4363,-235747.7466,17.637,,-0.1881,50.0,0.0,-50.0,0.3136,14.6858,15.0641,15.4425,-0.1411,-60.5181,2.1094,14.8747,0.8056,14.9511,14.9623,15.0236,15.6467,,-0.0773,0.2309,,,,0,15.0891,,,,,,,0.1586,2.8671,30.7809,14.9307,15.0004,16.5634,-0.1607,2.1011,15556483.0,16.2987,-1.2439,-1.0653,0.9711,51.0547,15.6971,,15.0641,,43.5582,38.75,38.75,45.0,30.2218,54.2769,,,0.1518,14.9323,,-59.3333,14.9195
2013-09-03,28.1,28.12,27.86,15.02,328951,4305372.0517,-173754.8011,16.5205,,-0.173,42.8571,0.0,-42.8571,0.3011,14.6866,15.0507,15.4149,-0.2308,-29.1271,8.6183,14.9012,2.007,14.962,14.9703,15.0234,17.2118,,0.0192,0.1902,,,,0,15.0877,-0.0402,-0.0178,-0.0225,-0.173,-0.0701,-0.1029,0.1728,2.9887,41.1164,14.9093,14.9602,16.0028,-0.0964,2.0047,15885434.0,16.6583,-1.1454,-0.6378,0.9908,54.3091,15.6861,,15.0507,,43.4701,50.7675,50.7675,71.0526,53.6005,100.0,,,0.1393,14.9191,,-41.4815,14.9272
2013-09-04,28.17,28.45,27.95,15.18,338610,4481449.2517,-76573.596,16.3523,,-0.1656,35.7143,0.0,-35.7143,0.2988,14.7035,15.0406,15.3776,0.32,37.5283,18.0701,14.9619,14.1654,14.9951,14.9979,15.0348,18.7595,,0.0619,0.0424,,,,0,15.0887,-0.0218,0.0006,-0.0223,-0.1656,-0.0409,-0.1247,0.1874,3.1106,49.2495,14.9388,14.9495,14.9545,0.2089,1.9685,16224044.0,19.8905,-1.0965,1.3958,1.005,59.035,15.6753,,15.0406,,52.4415,67.807,67.807,87.3684,84.759,100.0,,,0.2679,14.9168,,-17.5573,14.9569
2013-09-05,28.48,28.59,28.28,15.16,196695,4297444.2517,-88403.4579,16.525,,-0.1557,28.5714,100.0,71.4286,0.2893,14.7158,15.0323,15.3487,-0.6129,81.3354,16.2835,15.006,18.77,15.0198,15.0189,15.0438,20.1843,,0.0186,-0.0327,,,,0,15.0895,-0.0088,0.0108,-0.0196,-0.1557,-0.0164,-0.1393,0.2027,3.231,58.5518,14.9388,14.9575,14.3279,0.4554,1.9088,16027349.0,20.9494,-1.0313,3.0977,1.0053,58.1417,15.6645,,15.0323,,64.493,74.9044,74.9044,66.2921,96.7888,90.3663,,,0.1661,14.9215,,-22.3881,14.9831
2013-09-06,28.69,28.73,27.95,15.08,486558,4047927.3286,-164598.0172,15.6686,,-0.1394,21.4286,100.0,78.5714,0.2985,14.7201,15.0248,15.3295,-0.7051,54.0437,9.5869,15.0218,4.5348,15.0284,15.0264,15.0461,21.4332,,0.0039,0.0627,,,,0,15.0894,-0.0049,0.0118,-0.0167,-0.1394,0.0092,-0.1486,0.2184,3.3494,52.2496,14.9388,14.995,17.181,0.2411,1.9799,15540791.0,18.8132,-0.9235,1.6251,0.9993,54.7934,15.6538,,15.0248,,68.9504,64.1397,64.1397,38.7586,79.0719,46.8494,,,0.4179,14.9313,,-39.8649,14.9978
2013-09-09,28.32,29.71,28.06,15.58,464321,4163304.0619,-144094.2838,16.7628,,-0.0779,14.2857,100.0,85.7143,0.3403,14.6594,15.044,15.4287,0.4667,212.0278,35.0846,15.1613,30.988,15.1139,15.1008,15.086,22.4872,,0.0293,0.205,,,,0,15.1158,0.0388,0.0444,-0.0056,-0.0779,0.0707,-0.1485,0.2347,3.4718,55.1364,15.1424,15.2575,13.9422,0.6911,2.1836,16005112.0,26.463,-0.5155,4.6403,1.0308,67.5423,14.5986,,15.044,,65.4077,57.1791,57.1791,66.4865,79.0719,100.0,,,0.884,14.9572,,-25.2033,15.0804
2013-09-10,29.28,29.57,29.08,15.61,216740,3999654.0803,-174677.3612,17.7789,,-0.0222,7.1429,92.8571,85.7143,0.3347,14.6197,15.0561,15.4925,-0.2858,250.7595,36.1059,15.2802,30.988,15.1904,15.1689,15.1249,23.3889,,0.1148,0.3374,,,,0,15.164,0.0747,0.0642,0.0105,-0.0222,0.1165,-0.1387,0.2515,3.5932,62.8688,15.1557,15.2575,13.1496,0.6375,2.1442,16221852.0,24.9586,-0.1468,4.2576,1.0429,68.053,14.6118,,15.0561,,59.6461,57.6196,57.6196,67.6136,82.2831,100.0,,,0.2625,15.0003,,-23.1707,15.1622
2013-09-11,29.25,29.75,29.16,15.8,324765,4049194.504,-155545.9979,18.9973,,0.0339,0.0,100.0,100.0,0.3342,14.5442,15.0882,15.6322,0.4237,238.7454,43.053,15.4234,34.8366,15.2848,15.2535,15.1752,24.2423,,0.2419,0.3708,,,,0,15.3309,0.1174,0.0855,0.0319,0.0339,0.1522,-0.1182,0.2688,3.7153,72.7002,15.3191,15.3352,12.2182,0.9161,2.1144,16546617.0,25.282,0.2242,6.1533,1.0751,71.5265,14.6248,,15.0882,,62.7341,73.4037,73.4037,86.1111,100.0,100.0,,15.5791,0.3268,15.0605,,-11.1111,15.2636
2013-09-12,29.52,30.09,29.32,15.85,303204,3948654.2743,-165569.059,20.6027,22.1608,0.0888,28.5714,100.0,71.4286,0.3396,14.4887,15.1255,15.7622,0.0783,211.8293,44.4972,15.5484,41.4722,15.3713,15.3326,15.2249,25.1453,,0.3083,0.1076,,,,0,15.4602,0.1529,0.0968,0.0561,0.0888,0.1776,-0.0888,0.2866,3.8366,74.2557,15.3647,15.4263,11.1502,0.9643,2.1431,16849821.0,26.952,0.586,6.4795,1.0683,72.2486,14.6511,,15.1255,,69.2181,76.631,76.631,76.1682,100.0,100.0,,15.7232,0.4104,15.1314,0.0419,-19.6911,15.3602
2013-09-13,29.55,29.71,28.64,15.8,489610,4246080.9098,-59981.9218,20.2669,21.2919,0.1466,21.4286,92.8571,71.4286,0.3563,14.4607,15.1619,15.8631,-0.0467,125.9528,40.6557,15.637,15.9021,15.4378,15.3955,15.2678,26.2429,,0.213,0.3099,,,,0,15.5333,0.1756,0.0956,0.08,0.1466,0.1982,-0.0516,0.305,3.9563,64.4162,15.3647,15.4263,17.2835,0.9161,2.2545,16360211.0,23.8198,0.9663,6.1533,1.0612,70.3279,14.6951,,15.1619,,75.9244,77.7384,77.7384,70.936,86.3959,59.1878,,15.8107,0.5732,15.2101,0.0692,-22.7799,15.4414
2013-09-16,29.75,30.09,29.36,16.01,303002,4374752.992,29606.8351,20.5413,20.825,0.2102,14.2857,100.0,85.7143,0.3588,14.4173,15.208,15.9986,0.1781,152.8926,47.76,15.7571,24.1088,15.5255,15.4771,15.3226,27.1204,,0.4289,0.79,,,,0,15.6417,0.2076,0.1021,0.1055,0.2102,0.2193,-0.009,0.3238,4.0768,65.6396,15.445,15.4263,15.9238,1.0822,2.2413,16663213.0,26.041,1.3833,7.2505,1.0691,73.88,14.7379,,15.208,,77.3033,77.5405,77.5405,85.5172,86.3959,100.0,,15.941,0.3911,15.299,0.098,-8.1081,15.5411
2013-09-17,29.99,30.25,29.63,16.01,224504,4332162.201,50013.6354,21.0258,20.6759,0.2724,7.1429,100.0,92.8571,0.357,14.3902,15.2524,16.1147,-0.1768,137.9928,47.76,15.8518,27.3246,15.5996,15.5478,15.3734,27.7579,,0.6519,0.3746,,,,0,15.7482,0.2303,0.0998,0.1304,0.2724,0.2328,0.0396,0.3432,4.1961,70.6238,15.445,15.4691,14.8517,0.9857,2.2299,16663213.0,26.0196,1.7889,6.5621,1.0752,73.88,14.7932,,15.2524,,77.701,77.8239,77.8239,77.0186,86.3959,100.0,,16.032,0.3332,15.4012,0.1261,-13.4545,15.631
2013-09-18,29.82,30.97,29.82,16.44,360237,4516979.4445,112620.6643,22.3601,20.6459,0.3576,0.0,100.0,100.0,0.3755,14.3319,15.3261,16.3203,0.7565,158.3518,59.6897,16.0337,39.7059,15.7292,15.667,15.4525,29.1437,,0.6483,0.0906,,,,0,15.9753,0.2801,0.1197,0.1604,0.3576,0.2609,0.0967,0.3631,4.3186,76.5969,15.6647,15.7156,13.0961,1.2643,2.2836,17023450.0,30.3447,2.3415,8.3304,1.1048,79.8449,14.8638,,15.3261,,79.6236,83.5062,83.5062,87.9828,100.0,100.0,,16.2442,0.6161,15.5154,0.1589,-8.5627,15.768
2013-09-19,30.93,31.26,30.79,16.53,271158,4326591.9126,67416.5374,23.8955,20.7662,0.4307,0.0,100.0,100.0,0.3705,14.3372,15.4177,16.4983,-0.1489,166.9867,61.6682,16.2002,43.8549,15.8528,15.7824,15.5325,30.9343,,0.6794,-0.3588,,,,0,16.1606,0.3231,0.1302,0.1929,0.4307,0.2707,0.16,0.3834,4.4407,76.6779,15.729,15.8111,12.3188,1.3768,2.2408,17294608.0,31.5634,2.8108,9.0845,1.1105,80.8341,14.9675,,15.4177,,81.525,83.2448,83.2448,84.7328,100.0,100.0,,16.427,0.3054,15.6336,0.1941,-11.4502,15.9023
2013-09-20,31.01,31.03,30.21,16.18,1018869,3307722.9126,-281390.427,23.9948,20.2577,0.473,0.0,92.8571,92.8571,0.3754,14.3903,15.4852,16.5801,-0.9756,115.0103,34.4881,16.2446,25.286,15.9038,15.836,15.5808,31.4458,,0.4309,-0.514,,,,0,16.1644,0.3254,0.106,0.2194,0.473,0.2518,0.2212,0.4043,4.5581,62.3198,15.7772,15.8361,17.2377,1.109,2.3194,16275739.0,28.9055,3.0786,7.3561,1.0844,67.244,15.092,,15.4852,,79.7451,72.4842,72.4842,44.7368,66.6667,0.0,,16.4331,0.4393,15.7456,0.2231,-30.8824,15.9746
2013-09-23,30.21,30.76,29.68,16.37,372873,3535576.3181,-326004.4264,23.0786,19.7154,0.5243,0.0,85.7143,85.7143,0.3899,14.4353,15.5589,16.6824,0.3148,93.207,40.1557,16.3221,11.1675,15.975,15.9067,15.639,31.4586,,0.395,0.1094,,,,0,16.1987,0.338,0.0949,0.2431,0.5243,0.2423,0.2819,0.4257,4.6762,55.7073,15.804,15.8602,20.6337,0.7822,2.3822,16648612.0,25.8216,3.4011,5.0189,1.0895,70.0779,15.2079,,15.5589,,72.5724,61.9883,61.9883,56.4951,40.284,20.852,,16.4914,0.5785,15.8512,0.249,-21.4502,16.0591
2013-09-24,30.59,30.89,29.62,16.11,233331,3471272.4992,-335079.148,22.4112,19.4681,0.5713,0.0,78.5714,78.5714,0.4106,14.5012,15.6159,16.7307,-0.4016,75.965,24.1645,16.3185,13.7358,15.9965,15.9345,15.6742,31.6049,,0.4626,0.3427,,,,0,16.1913,0.324,0.0647,0.2593,0.5713,0.2297,0.3417,0.4475,4.7906,50.4948,15.804,15.8602,18.1776,0.5036,2.5482,16415281.0,23.9664,3.6968,3.2258,1.0618,62.0823,15.3156,,15.6159,,59.1887,43.0936,43.0936,28.0488,6.9507,0.0,,16.438,0.6804,15.9477,0.2669,-35.6495,16.0973
2013-09-25,30.0,30.48,29.11,16.11,327305,3607450.4919,-265000.432,20.9072,18.2879,0.5772,7.1429,71.4286,64.2857,0.4337,14.595,15.6773,16.7595,0.0584,48.7299,24.1645,16.3122,1.3554,16.0146,15.9585,15.7068,32.7556,,0.6515,0.5378,,,,0,16.1842,0.3093,0.04,0.2693,0.5772,0.1813,0.3959,0.4698,4.9038,45.7026,15.804,15.8602,20.4917,0.3107,2.6915,16415281.0,21.0548,3.7256,1.9661,1.0633,62.0823,15.4158,,15.6773,15.321,49.434,43.2201,43.2201,45.1163,6.9507,0.0,,16.3894,0.7339,16.0348,0.2782,-35.6495,16.1265
2013-09-26,30.07,30.84,29.82,16.37,266241,3725635.5212,-174636.5905,20.0561,18.4094,0.5866,0.0,64.2857,64.2857,0.442,14.6938,15.7517,16.8097,0.478,81.7017,33.1928,16.3679,8.9908,16.0696,16.0136,15.7561,34.4965,,0.8405,-0.6726,,,,0,16.2095,0.3147,0.0364,0.2784,0.5866,0.1418,0.4448,0.4925,5.0185,52.5903,16.0584,15.8897,18.6647,0.525,2.6996,16681522.0,22.3525,3.7731,3.313,1.086,66.5964,15.509,,15.7517,15.3564,45.2919,49.562,49.562,75.5208,18.8193,56.458,,16.4354,0.5491,16.1133,0.2878,-21.875,16.1809
