date,open,high,low,close,volume,ad_14_chaikin a/d,adx_14_adx,adxr_14_adxr,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,ema_14_ema,ema_20_ema,ema_30_ema,ema_7_ema,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,mfi_14_mfi,mom_10_mom,roc_10_roc,rsi_14_rsi,sar_14_sar,sma_14_sma,sma_20_sma,sma_30_sma,sma_7_sma,stochrsi_14_fastd,stochrsi_14_fastk
2026-03-13,9.38,9.6,9.0,9.39,351878,-1915449.1782,,,0.5752,9.4246,11.1345,12.8444,10.5534,10.9032,,10.0881,,,,25.7456,-2.31,-19.7436,36.0485,11.8635,10.9907,11.1345,,10.1329,3.6234,10.8702
2026-03-16,9.52,9.99,9.47,9.75,509879,-1881457.2449,,,0.5774,9.2587,11.072,12.8853,10.4463,10.7934,,10.0036,,,,21.9811,-2.01,-17.0918,41.2694,11.6917,10.83,11.072,,9.9543,31.5155,83.6762
2026-03-17,9.73,10.04,9.72,9.98,325584,-1669569.2449,,,0.5586,9.1386,11.012,12.8854,10.3841,10.7159,,9.9977,,,,13.5207,-1.62,-13.9655,44.3928,11.5302,10.6857,11.012,,9.88,64.8488,100.0
2026-03-18,10.11,10.11,9.55,9.61,173223,-1805673.0306,,,0.5587,8.9627,10.9225,12.8823,10.2809,10.6106,,9.9008,,,,14.5224,-2.39,-19.9167,40.6477,11.3784,10.5236,10.9225,,9.7414,81.6782,61.3583
2026-03-19,9.5,9.65,9.13,9.34,310278,-1865004.0635,,,0.5559,8.757,10.8245,12.892,10.1554,10.4896,,9.7606,,,,14.8063,-1.66,-15.0909,38.1204,11.2357,10.355,10.8245,,9.6243,62.0629,24.8304
2026-03-20,9.3,9.43,8.66,8.97,576241,-1977258.8038,,,0.5712,8.5288,10.6735,12.8182,9.9974,10.3448,,9.5629,,,,14.0399,-1.53,-14.5714,34.9165,11.1015,10.1557,10.6735,,9.4771,28.7296,0.0
2026-03-23,8.97,9.37,8.84,9.18,495269,-1837088.3321,31.2545,,0.5683,8.3802,10.535,12.6898,9.8884,10.2339,,9.4672,,,,19.838,-1.4,-13.2325,38.0966,10.9306,9.9829,10.535,,9.46,19.4628,33.558
2026-03-24,8.5,9.0,8.01,8.23,830318,-2298376.1099,33.2647,,0.6112,8.0806,10.3465,12.6124,9.6673,10.0431,,9.1579,,,,15.6254,-1.93,-18.9961,30.7717,10.7717,9.7136,10.3465,,9.2943,11.186,0.0
2026-03-25,8.41,8.41,7.51,7.69,1502362,-3199793.3099,35.4738,,0.6319,7.72,10.131,12.542,9.4036,9.819,10.5467,8.7909,,,,15.5649,-2.31,-23.1,27.5313,10.5507,9.4771,10.131,10.5467,9.0,11.186,0.0
2026-03-26,7.6,7.94,7.32,7.32,387051,-3586844.3099,37.6431,,0.631,7.3391,9.903,12.4669,9.1258,9.581,10.3385,8.4232,,,,16.754,-1.98,-21.2903,25.5462,10.2771,9.25,9.903,10.4323,8.62,0.0,0.0
2026-03-27,7.18,7.35,6.9,6.91,606138,-4166042.8432,39.8987,,0.6181,6.9267,9.6635,12.4003,8.8304,9.3266,10.1173,8.0449,,,,18.4366,-2.48,-26.4111,23.5224,9.9814,8.9879,9.6635,10.3223,8.2343,0.0,0.0
2026-03-30,7.07,7.4,6.88,7.19,1721155,-3835051.497,41.8419,,0.6111,6.6735,9.435,12.1965,8.6117,9.1231,9.9284,7.8312,,,,33.5405,-2.56,-26.2564,27.7331,9.6424,8.7757,9.435,10.1953,7.9271,19.3616,58.0847
2026-03-31,7.36,7.55,7.02,7.27,901990,-3886107.5348,43.1822,,0.6053,6.4912,9.2185,11.9458,8.4328,8.9466,9.7569,7.6909,-1.1539,-0.2146,-0.9393,41.7255,-2.71,-27.1543,28.937,9.3109,8.5807,9.2185,10.065,7.6843,52.6949,100.0
2026-04-01,7.47,7.56,7.16,7.17,1544280,-5352196.1424,44.4108,,0.5903,6.4281,8.977,11.5259,8.2644,8.7774,9.59,7.5607,-1.1557,-0.1731,-0.9826,52.3112,-2.44,-25.3902,28.3023,9.0192,8.4286,8.977,9.924,7.3971,82.121,88.2782
2026-04-02,7.04,7.32,6.77,7.18,197932,-5257688.0703,45.8482,,0.5878,6.3004,8.786,11.2716,8.1198,8.6253,9.4345,7.4655,-1.1431,-0.1284,-1.0147,53.5388,-2.16,-23.1263,28.4712,8.7625,8.2707,8.786,9.7867,7.2471,93.2256,91.3986
2026-04-06,7.18,7.41,6.76,6.9,353978,-5459394.0777,46.8978,,0.5923,6.1215,8.606,11.0905,7.9572,8.461,9.271,7.3241,-1.1425,-0.1023,-1.0403,48.8495,-2.07,-23.0769,26.5824,8.5035,8.0671,8.606,9.617,7.1343,59.8923,0.0
2026-04-07,6.91,6.98,6.46,6.75,612595,-5382076.2621,48.1082,,0.5867,5.9782,8.4145,10.8508,7.7962,8.298,9.1084,7.1806,-1.141,-0.0806,-1.0604,44.1805,-2.43,-26.4706,25.6024,8.2594,7.8364,8.4145,9.4437,7.0529,30.4662,0.0
2026-04-08,7.16,7.35,6.98,7.22,1149435,-5051416.8786,48.0482,,0.5877,5.9169,8.2675,10.6181,7.7194,8.1954,8.9865,7.1904,-1.0894,-0.0232,-1.0662,50.4791,-1.01,-12.2722,33.8331,7.9895,7.6657,8.2675,9.2843,7.0971,33.3333,100.0
2026-04-09,7.26,8.02,7.08,7.92,377361,-4754345.453,46.2786,,0.6129,5.9486,8.1635,10.3784,7.7461,8.1691,8.9177,7.3728,-0.9806,0.0684,-1.0491,53.8918,0.23,2.9909,43.8047,6.46,7.5643,8.1635,9.1483,7.2014,66.6667,100.0
2026-04-10,7.98,8.27,7.09,7.1,497547,-5243435.8031,44.1011,37.6778,0.6531,5.8569,8.0535,10.2501,7.66,8.0673,8.8005,7.3046,-0.9497,0.0795,-1.0292,54.842,-0.22,-3.0055,36.807,6.4756,7.4307,8.0535,8.989,7.1771,87.1853,61.556
2026-04-13,6.98,7.51,6.98,7.47,366552,-4932212.4069,42.2494,37.757,0.6443,5.8364,7.9575,10.0786,7.6347,8.0104,8.7146,7.346,-0.8851,0.1153,-1.0004,50.5427,0.56,8.1042,41.359,6.5114,7.3086,7.9575,8.848,7.22,82.7067,86.5642
2026-04-14,7.69,7.85,7.44,7.45,435872,-5346822.3581,39.8029,37.6384,0.6276,5.879,7.8425,9.806,7.61,7.957,8.633,7.372,-0.826,0.1395,-0.9655,57.1609,0.26,3.6161,41.1863,6.5465,7.2529,7.8425,8.7043,7.2586,73.9541,73.7421
