date,open,high,low,close,volume,ad_14_chaikin a/d,adx_14_adx,adxr_14_adxr,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,ema_14_ema,ema_20_ema,ema_30_ema,ema_7_ema,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,mfi_14_mfi,mom_10_mom,roc_10_roc,rsi_14_rsi,sar_14_sar,sma_14_sma,sma_20_sma,sma_30_sma,sma_7_sma,stochrsi_14_fastd,stochrsi_14_fastk
2026-02-11,11.0,11.31,10.58,10.75,5787971,-3092203.6849,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-12,10.6,11.06,10.21,10.21,1070619,-4162822.6849,,,,,,,,,,,,,,,,,,11.31,,,,,,
2026-02-13,10.5,11.01,10.25,11.0,1602454,-2602538.527,,,,,,,,,,,,,,,,,,11.299,,,,,,
2026-02-17,10.93,11.19,10.76,11.18,765635,-1872514.4573,,,,,,,,,,,,,,,,,,11.2881,,,,,,
2026-02-18,11.16,11.44,11.0,11.4,577202,-1400258.2755,,,,,,,,,,,,,,,,,,10.21,,,,,,
2026-02-19,11.3,11.36,10.97,11.3,434957,-1108451.6805,,,,,,,,,,,,,,,,,,10.2223,,,,,,
2026-02-20,11.11,12.0,11.11,11.99,639037,-483775.0625,,,,,,,,,,11.1186,,,,,,,,10.2345,,,,11.1186,,
2026-02-23,11.98,11.98,11.54,11.95,888737,285132.2296,,,,,,,,,,11.3264,,,,,,,,10.2698,,,,11.29,,
2026-02-24,11.77,12.0,11.7,12.0,792354,1077486.2296,,,,,,,,,,11.4948,,,,,,,,10.3044,,,,11.5457,,
2026-02-25,12.0,12.21,11.95,12.0,982366,472953.3065,,,,,,,,,,11.6211,,,,,,,,10.3383,,,,11.6886,,
2026-02-26,11.96,12.0,11.8,11.88,602769,352399.5065,,,,,,,,,,11.6858,,,,,1.13,10.5116,,10.3945,,,,11.7886,,
2026-02-27,11.84,11.91,11.52,11.7,369481,323977.8911,,,,,,,,,,11.6894,,,,,1.49,14.5935,,10.4489,,,,11.8314,,
2026-03-02,11.52,11.84,11.46,11.76,105916,385297.6806,,,,,,,,,,11.707,,,,,0.76,6.9091,,10.5018,,,,11.8971,,
2026-03-03,11.72,11.72,11.2,11.6,355063,576485.4498,,,,,,,11.48,,,11.6803,,,,,0.42,3.7567,,10.553,11.48,,,11.8414,,
2026-03-04,11.65,12.02,11.35,12.0,216055,779641.6439,,,0.5039,,,,11.5493,,,11.7602,,,,69.2036,0.6,5.2632,67.7054,10.6027,11.5693,,,11.8486,,
2026-03-05,11.92,11.93,10.99,11.0,1017756,-216459.9732,,,0.5401,,,,11.4761,,,11.5702,,,,69.0273,-0.3,-2.6549,51.8784,10.6509,11.6257,,,11.7057,,
2026-03-06,10.9,11.17,10.45,10.5,813700,-916435.3051,,,0.5526,,,,11.3459,,,11.3026,,,,57.5255,-1.49,-12.427,46.0785,12.21,11.59,,,11.4914,,
2026-03-09,10.71,10.81,10.3,10.58,1060385,-812475.9914,,,0.5496,,,,11.2438,,,11.122,,,,47.6318,-1.37,-11.4644,47.0976,12.1924,11.5471,,,11.3057,,
2026-03-10,10.65,10.79,10.05,10.16,643325,-1264542.2076,,,0.5632,,,,11.0993,,,10.8815,,,,41.157,-1.84,-15.3333,42.5507,12.1546,11.4586,,,11.0857,,
2026-03-11,10.15,10.32,9.95,10.0,542036,-1660081.9914,,,0.5494,9.9097,11.248,12.5863,10.9527,11.248,,10.6611,,,,40.9182,-2.0,-16.6667,40.9297,12.0914,11.3657,11.248,,10.8343,,
2026-03-12,9.9,10.05,9.16,9.3,531873,-2024624.1599,,,0.5737,9.6009,11.1755,12.7501,10.7324,11.0625,,10.3208,,,,34.4153,-2.58,-21.7172,34.7009,12.0058,11.1736,11.1755,,10.5057,0.0,0.0
