date,open,high,low,close,volume,adx_14_adx,adxr_14_adxr,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,ema_10_ema,ema_14_ema,ema_200_ema,ema_20_ema,ema_50_ema,ema_7_ema,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,mfi_14_mfi,mom_10_mom,roc_10_roc,rsi_14_rsi,sar_14_sar,sma_10_sma,sma_14_sma,sma_200_sma,sma_20_sma,sma_50_sma,sma_7_sma
2014-09-24,21.5,23.22,21.35,15.4,60428679,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-25,22.56,23.41,22.45,15.38,8430006,,,,,,,,,,,,,,,,,,,,14.2468,,,,,,
2014-09-26,23.18,23.37,22.91,15.51,2504353,,,,,,,,,,,,,,,,,,,,14.2606,,,,,,
2014-09-29,23.14,23.45,22.91,15.5,4832586,,,,,,,,,,,,,,,,,,,,14.2742,,,,,,
2014-09-30,23.11,23.57,23.05,15.63,4103103,,,,,,,,,,,,,,,,,,,,14.3016,,,,,,
2014-10-01,23.22,23.61,23.11,15.64,3915508,,,,,,,,,,,,,,,,,,,,14.3444,,,,,,
2014-10-02,23.34,23.59,23.3,15.57,3121384,,,,,,,,,,,,15.5204,,,,,,,,14.4009,,,,,,15.5204
2014-10-03,23.38,23.47,23.01,15.5,1585901,,,,,,,,,,,,15.5156,,,,,,,,14.455,,,,,,15.5347
2014-10-06,23.28,23.37,22.61,15.11,1208403,,,,,,,,,,,,15.4136,,,,,,,,14.507,,,,,,15.4956
2014-10-07,22.56,22.74,22.26,15.03,1508726,,,,,,,15.4279,,,,,15.3171,,,,,,,,14.5569,15.4279,,,,,15.426
2014-10-08,22.11,23.15,22.11,15.18,1649208,,,,,,,15.383,,,,,15.2831,,,,,-0.2202,-1.4298,,14.6049,15.4059,,,,,15.3803
2014-10-09,23.0,23.0,22.24,15.0,1229058,,,,,,,15.3136,,,,,15.2125,,,,,-0.3804,-2.4729,,14.6509,15.3679,,,,,15.2907
2014-10-10,22.39,22.56,22.14,14.87,924069,,,,,,,15.2324,,,,,15.1263,,,,,-0.6473,-4.172,,14.695,15.3031,,,,,15.1801
2014-10-13,22.13,22.66,22.12,14.98,1382774,,,,,,,15.1867,15.3078,,,,15.0899,,,,,-0.5205,-3.3577,,14.7374,15.2511,15.3078,,,,15.0952
