date,open,high,low,close,volume,adx_14_adx,adxr_14_adxr,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,ema_10_ema,ema_14_ema,ema_200_ema,ema_20_ema,ema_50_ema,ema_7_ema,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,mfi_14_mfi,mom_10_mom,roc_10_roc,rsi_14_rsi,sar_14_sar,sma_10_sma,sma_14_sma,sma_200_sma,sma_20_sma,sma_50_sma,sma_7_sma
2002-10-16,12.24,13.48,12.16,2.25,4133900,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-10-17,14.48,14.72,14.0,2.46,448200,,,,,,,,,,,,,,,,,,,,2.0794,,,,,,
2002-10-18,14.48,15.0,14.48,2.56,330700,,,,,,,,,,,,,,,,,,,,2.0837,,,,,,
2002-10-21,14.96,14.96,14.08,2.49,236800,,,,,,,,,,,,,,,,,,,,2.0934,,,,,,
2002-10-22,14.48,14.48,14.08,2.48,103900,,,,,,,,,,,,,,,,,,,,2.1028,,,,,,
2002-10-23,14.4,15.16,14.4,2.58,177000,,,,,,,,,,,,,,,,,,,,2.112,,,,,,
2002-10-24,15.56,16.8,15.48,2.79,430100,,,,,,,,,,,,2.5152,,,,,,,,2.1265,,,,,,2.5152
2002-10-25,16.24,16.4,15.72,2.76,102500,,,,,,,,,,,,2.5772,,,,,,,,2.1563,,,,,,2.5885
2002-10-28,16.0,16.32,16.0,2.78,51200,,,,,,,,,,,,2.6272,,,,,,,,2.185,,,,,,2.6334
2002-10-29,16.32,16.32,16.0,2.74,104000,,,,,,,2.5883,,,,,2.6544,,,,,,,,2.2125,2.5883,,,,,2.6588
2002-10-30,16.08,16.4,16.0,2.76,68200,,,,,,,2.6201,,,,,2.6816,,,,,0.513,22.7964,,2.2389,2.6396,,,,,2.6979
2002-10-31,16.32,16.56,16.16,2.8,107600,,,,,,,2.6536,,,,,2.7123,,,,,0.342,13.8889,,2.2643,2.6738,,,,,2.7448
2002-11-01,16.42,16.46,15.65,2.72,310900,,,,,,,2.6652,,,,,2.7135,,,,,0.159,6.2166,,2.2886,2.6897,,,,,2.7646
2002-11-04,15.99,16.12,15.79,2.74,60100,,,,,,,2.6787,2.6362,,,,2.72,,,,,0.2497,10.0275,,2.312,2.7146,2.6362,,,,2.7573
2002-11-05,16.1,16.18,16.01,2.75,7200,,,0.1152,,,,2.6913,2.6511,,,,2.727,,,,63.5595,0.2719,10.9807,75.5712,2.3344,2.7418,2.6718,,,,2.7551
2002-11-06,16.2,16.74,16.16,2.85,113600,,,0.1151,,,,2.7209,2.6782,,,,2.7588,,,,58.7216,0.2753,10.6764,78.1367,2.3559,2.7694,2.6997,,,,2.7661
2002-11-07,16.99,17.1,16.65,2.9,64500,,,0.1124,,,,2.7541,2.7082,,,,2.795,,,,53.5798,0.1129,4.0441,79.2352,2.3766,2.7806,2.7244,,,,2.79
2002-11-08,16.8,16.98,16.14,2.77,162700,,,0.1146,,,,2.757,2.7165,,,,2.7888,,,,54.9581,0.0068,0.2475,69.1689,2.404,2.7813,2.7444,,,,2.791
2002-11-11,16.4,16.5,16.26,2.81,54200,,,0.1101,,,,2.7672,2.7294,,,,2.7948,,,,56.0902,0.0359,1.2931,70.4641,2.43,2.7849,2.7685,,,,2.7922
2002-11-12,16.49,16.65,16.4,2.82,51100,,,0.1053,2.3677,2.6909,3.0141,2.7771,2.7416,,2.6909,,2.8015,,,,53.2234,0.0855,3.125,70.7289,2.4547,2.7935,2.7858,,2.6909,,2.8071
