date,open,high,low,close,volume,ad_14_chaikin a/d,adosc_14_adosc,adx_14_adx,adxr_14_adxr,apo_14_apo,aroon_14_aroon down,aroon_14_aroon up,aroonosc_14_aroonosc,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,bop_14_bop,cci_20_cci,cmo_14_cmo,dema_14_dema,dx_14_dx,ema_12_ema,ema_14_ema,ema_26_ema,ht_dcperiod_14_dcperiod,ht_dcphase_14_ht_dcphase,ht_phasor_14_phase,ht_phasor_14_quadrature,ht_sine_14_lead sine,ht_sine_14_sine,ht_trendline_14_ht_trendline,ht_trendmode_14_trendmode,kama_14_kama,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,macdext_14_macd,macdext_14_macd_hist,macdext_14_macd_signal,mama_14_fama,mama_14_mama,mfi_14_mfi,midpoint_14_midpoint,midprice_14_midprice,minus_di_14_minus_di,mom_10_mom,natr_14_natr,plus_di_14_plus_di,ppo_14_ppo,roc_10_roc,rocr_14_rocr,rsi_14_rsi,sar_14_sar,sma_200_sma,sma_20_sma,sma_50_sma,stoch_14_slowd,stoch_14_slowk,stochf_14_fastd,stochf_14_fastk,stochrsi_14_fastd,stochrsi_14_fastk,t3_14_t3,tema_14_tema,trange_14_trange,trima_14_trima,trix_14_trix,ultosc_14_ultosc,willr_14_willr,wma_14_wma
2025-02-24,52.0,53.0,46.21,48.6,33848474,-10019945.9116,,,,,,,,,,,,-0.5007,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-25,48.3,55.01,47.81,48.16,8198903,-17421733.3422,,,,,,,,,,,,-0.0194,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,46.21,,,,,,,,,,,,7.2,,,,,
2025-02-26,46.15,49.91,45.3,46.58,8389104,-21152245.9669,,,,,,,,,,,,0.0933,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,55.01,,,,,,,,,,,,4.61,,,,,
2025-02-27,46.04,47.87,41.58,45.16,9676119,-19813895.6442,,,,,,,,,,,,-0.1399,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,55.01,,,,,,,,,,,,6.29,,,,,
2025-02-28,45.23,48.7,43.75,46.85,7713908,-17865939.0785,,,,,,,,,,,,0.3273,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,54.7414,,,,,,,,,,,,4.95,,,,,
2025-03-03,48.49,50.88,47.6,50.31,4812952,-14728335.2556,,,,,,,,,,,,0.5557,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,54.4782,,,,,,,,,,,,4.03,,,,,
2025-03-04,46.69,50.1,45.1,48.69,6074695,-12077371.6237,,,,,,,,,,,,0.3997,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,54.2202,,,,,,60.2319,76.4516,,,,,5.2135,,,,,
2025-03-05,47.6,49.4,46.5,48.47,5071821,-10252566.3113,,,,,,,,,,,,0.3003,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,53.9674,,,,,,71.8471,74.086,,,,,2.8975,,,,,
2025-03-06,47.41,49.06,45.24,46.5,4157319,-11667360.7354,,,,,,,,,,,,-0.2382,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,53.7197,,,,65.0383,63.0357,63.0357,38.5694,,,,,3.82,,,,,
2025-03-07,49.2,51.13,47.16,51.0,7825880,-4354006.8815,3515254.7658,,,,,,,,,,,0.4534,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,53.4769,,,,68.3499,70.1669,70.1669,97.8454,,,,,4.63,,,,,
