date,open,high,low,close,volume,ad_14_chaikin a/d,adx_14_adx,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,ema_14_ema,ema_20_ema,ema_30_ema,ema_7_ema,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,mfi_14_mfi,mom_10_mom,roc_10_roc,rsi_14_rsi,sar_14_sar,sma_14_sma,sma_20_sma,sma_30_sma,sma_7_sma,stochrsi_14_fastd,stochrsi_14_fastk
2026-02-17,14.25,17.51,13.01,15.59,6358527,932583.96,,,,,,,,,,,,,,,,,,,,,,,
2026-02-18,16.2,16.49,14.02,14.71,4442422,-1027837.0845,,,,,,,,,,,,,,,,,13.01,,,,,,
2026-02-19,15.06,15.09,12.99,13.68,4827112,-2682846.9131,,,,,,,,,,,,,,,,,16.49,,,,,,
2026-02-20,13.55,13.66,12.49,13.29,4033726,-1200366.4174,,,,,,,,,,,,,,,,,16.49,,,,,,
2026-02-23,12.8,12.92,11.86,12.49,3134155,-604089.4317,,,,,,,,,,,,,,,,,16.41,,,,,,
2026-02-24,12.28,12.34,11.4,12.03,4424068,902607.2028,,,,,,,,,,,,,,,,,16.2735,,,,,,
2026-02-25,11.98,13.19,11.92,13.09,3912532,4198992.4311,,,,,,,,,13.5543,,,,,,,,16.0786,,,,13.5543,,
2026-02-26,13.36,14.0,12.68,12.89,3892578,1544961.9766,,,,,,,,,13.3882,,,,,,,,15.8914,,,,13.1686,,
2026-02-27,12.17,12.4,11.26,11.64,3735299,277922.2277,,,,,,,,,12.9512,,,,,,,,15.7118,,,,12.73,,
2026-03-02,11.3,12.19,11.29,11.92,2583179,1311193.8277,,,,,,,,,12.6934,,,,,,,,15.4894,,,,12.4786,,
2026-03-03,11.3,11.89,11.03,11.81,2626430,3448985.6882,,,,,,,,,12.4725,,,,,-3.78,-24.2463,,15.2782,,,,12.2671,,
2026-03-04,11.71,11.95,11.36,11.8,2163784,4512540.5356,,,,,,,,,12.3044,,,,,-2.91,-19.7825,,15.0233,,,,12.1686,,
2026-03-05,11.59,12.04,10.92,11.21,3033109,3047672.8828,,,,,,,,,12.0308,,,,,-2.47,-18.0556,,14.7837,,,,12.0514,,
2026-03-06,10.85,11.21,10.62,10.67,2544829,934170.8319,,,,,,12.63,,,11.6906,,,,,-2.62,-19.7141,,14.5133,12.63,,,11.7057,,
2026-03-09,10.52,11.66,10.38,11.66,3259916,4194086.8319,,1.2759,,,,12.5007,,,11.6829,,,,31.7911,-0.83,-6.6453,27.1246,14.2019,12.3493,,,11.53,,
2026-03-10,11.65,12.66,11.65,12.15,3387799,4160544.2676,,1.2569,,,,12.4539,,,11.7997,,,,40.2575,0.12,0.9975,31.3423,13.8579,12.1664,,,11.6029,,
2026-03-11,12.16,12.3,11.31,11.43,2697480,2116998.813,,1.2378,,,,12.3174,,,11.7073,,,,42.8817,-1.66,-12.6814,28.7127,13.545,12.0057,,,11.5329,,
2026-03-12,11.32,11.53,10.61,10.68,2772869,-233911.8609,,1.2151,,,,12.0991,,,11.4505,,,,44.7362,-2.21,-17.1451,26.2428,13.2602,11.8193,,,11.3714,,
2026-03-13,10.84,11.19,10.01,10.08,3074444,-2943591.3185,,1.2126,,,,11.8299,,,11.1078,,,,45.3305,-1.56,-13.4021,24.4321,13.001,11.6471,,,11.1257,,
2026-03-16,10.29,10.65,10.14,10.55,2400716,-1475192.2117,,1.1667,9.4493,12.1685,14.8877,11.6592,12.1685,,10.9684,,,,53.0047,-1.37,-11.4933,28.5886,12.7019,11.5414,12.1685,,11.0314,,
2026-03-17,10.77,11.1,10.55,10.78,2023700,-1795687.6868,,1.1228,9.6461,11.928,14.2099,11.542,12.0363,,10.9213,,,,50.1637,-1.03,-8.7214,30.6003,12.4327,11.3764,11.928,,11.0471,53.3836,100.0
2026-03-18,10.6,10.62,9.77,9.8,2854991,-4449149.9103,,1.1148,9.6031,11.6825,13.7619,11.3097,11.8233,,10.641,,,,41.0658,-2.0,-16.9492,27.0976,12.1904,11.1557,11.6825,,10.7814,67.7879,43.2129
2026-03-19,9.44,9.79,9.01,9.62,2546193,-3012835.9103,,1.0916,9.4272,11.4795,13.5318,11.0844,11.6134,,10.3857,,,,43.0062,-1.59,-14.1838,26.4976,11.9242,11.0114,11.4795,,10.42,58.8997,33.4863
2026-03-20,9.5,9.55,8.56,8.81,3557502,-4768158.579,,1.0893,9.069,11.2555,13.442,10.7812,11.3465,,9.9918,,,,35.6236,-1.86,-17.4321,23.93,11.5745,10.7893,11.2555,,10.0457,25.5664,0.0
