date,open,high,low,close,volume,ad_14_chaikin a/d,adx_14_adx,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,ema_14_ema,ema_20_ema,ema_30_ema,ema_7_ema,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,mfi_14_mfi,mom_10_mom,roc_10_roc,rsi_14_rsi,sar_14_sar,sma_14_sma,sma_20_sma,sma_30_sma,sma_7_sma,stochrsi_14_fastd,stochrsi_14_fastk
2026-03-23,9.03,9.69,8.8,9.58,2201149,-3111113.8262,,1.0751,8.8845,11.11,13.3355,10.621,11.1782,,9.8888,,,,41.4785,-2.08,-17.8388,30.7952,11.1826,10.63,11.11,,9.8886,44.4954,100.0
2026-03-24,9.4,10.36,9.21,10.25,2476777,-1108155.0349,,1.0804,8.8075,11.021,13.2345,10.5715,11.0898,,9.9791,,,,41.3782,-1.9,-15.6379,36.1914,10.8417,10.5193,11.021,,9.9129,66.6667,100.0
2026-03-25,10.85,11.55,10.5,11.33,4000089,1215706.1936,,1.0961,8.9251,10.933,12.9409,10.6727,11.1127,,10.3169,,,,50.9779,-0.1,-0.8749,43.7987,8.56,10.5279,10.933,,10.0243,100.0,100.0
2026-03-26,11.28,11.77,10.6,10.65,3071582,-1593369.8667,30.4536,1.1014,9.0233,10.821,12.6187,10.6696,11.0686,,10.4001,,,,50.2329,-0.03,-0.2809,40.5229,8.5899,10.5264,10.821,,10.0057,94.5042,83.5126
2026-03-27,10.4,10.4,9.66,9.85,2864193,-2986761.0559,29.5238,1.0935,8.9276,10.7315,12.5354,10.5604,10.9526,,10.2626,,,,42.4575,-0.23,-2.2817,37.0153,8.6535,10.3971,10.7315,,10.0129,77.1155,47.834
2026-03-30,9.85,9.9,8.52,8.92,3074215,-4278822.4327,29.4605,1.1139,8.7006,10.5815,12.4624,10.3416,10.759,11.432,9.927,,,,33.6862,-1.63,-15.4502,33.3963,11.7701,10.1664,10.5815,11.432,9.9129,43.7822,0.0
2026-03-31,9.13,9.82,9.11,9.81,2043096,-2292710.9387,29.4017,1.0986,8.6608,10.4815,12.3022,10.2708,10.6686,11.3274,9.8977,,,,39.6775,-0.97,-8.9981,39.4931,11.7376,10.0507,10.4815,11.2393,10.0557,35.4811,58.6094
2026-04-01,9.92,10.09,9.33,9.41,2218430,-4044103.0439,29.0169,1.0744,8.5901,10.362,12.1339,10.156,10.5487,11.2037,9.7758,,,,46.148,-0.39,-3.9796,37.8176,11.7054,9.96,10.362,11.0627,10.0314,40.2162,62.0392
2026-04-02,9.03,10.6,9.0,10.57,2539511,-1599823.7064,28.0564,1.112,8.5978,10.33,12.0622,10.2112,10.5508,11.1628,9.9743,,,,53.6949,0.95,9.8753,45.0927,11.6736,9.995,10.33,10.959,10.0771,73.5495,100.0
2026-04-06,10.64,11.12,10.42,10.45,1660682,-3118161.535,26.5901,1.0826,8.5928,10.319,12.0452,10.243,10.5412,11.1168,10.0933,-0.7385,0.2036,-0.9421,52.7751,1.64,18.6152,44.5125,11.642,9.9879,10.319,10.8643,9.9514,85.6929,95.0397
2026-04-07,10.27,10.33,9.79,10.04,1938753,-3261772.8683,25.7782,1.0524,8.6226,10.238,11.8534,10.216,10.4934,11.0473,10.0799,-0.6953,0.1974,-0.8927,47.1804,0.46,4.8017,42.5005,11.6108,9.935,10.238,10.7827,9.8643,86.4694,64.3687
2026-04-08,10.89,11.48,10.68,11.32,2691495,-1640188.9242,24.0066,1.0801,8.7455,10.1965,11.6475,10.3632,10.5722,11.0649,10.39,-0.5514,0.2731,-0.8245,55.1355,1.07,10.439,50.0861,11.5799,10.0436,10.1965,10.759,10.0743,86.4694,100.0
2026-04-09,11.3,12.67,11.3,11.89,5115313,-2349611.895,23.3197,1.1008,8.6791,10.2195,11.7599,10.5667,10.6977,11.1181,10.765,-0.3869,0.3501,-0.7369,65.1475,0.56,4.9426,53.056,8.52,10.2057,10.2195,10.719,10.4986,88.1229,100.0
2026-04-10,12.45,12.71,11.5,12.59,5104509,1742432.5099,22.7117,1.1086,8.4663,10.315,12.1637,10.8365,10.8779,11.2131,11.2212,-0.1978,0.4313,-0.6291,74.888,1.94,18.216,56.4807,8.5615,10.4757,10.315,10.709,10.8957,100.0,100.0
2026-04-13,12.36,12.87,11.94,12.59,3121364,2988298.8275,22.2724,1.096,8.348,10.4405,12.533,11.0703,11.0409,11.3019,11.5634,-0.0473,0.4654,-0.5128,75.897,2.74,27.8173,56.4807,8.6445,10.6907,10.4405,10.7407,11.35,100.0,100.0
2026-04-14,13.26,14.23,12.62,14.12,9589819,11267707.7778,22.8096,1.1348,7.9815,10.619,13.2565,11.4769,11.3342,11.4837,12.2026,0.1931,0.5647,-0.3716,80.4565,5.2,58.296,63.2727,8.7712,10.9671,10.619,10.814,11.8571,100.0,100.0
