date,open,high,low,close,volume,ad_14_chaikin a/d,adx_14_adx,adxr_14_adxr,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,ema_14_ema,ema_20_ema,ema_30_ema,ema_50_ema,ema_7_ema,ema_90_ema,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,mfi_14_mfi,mom_10_mom,roc_10_roc,rsi_14_rsi,sar_14_sar,sma_14_sma,sma_20_sma,sma_30_sma,sma_50_sma,sma_7_sma,sma_90_sma,stochrsi_14_fastd,stochrsi_14_fastk
2025-07-16,24.5,24.8,23.5,23.46,1913818,294433.5385,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-17,24.25,24.64,23.5,22.73,807623,-513189.4615,,,,,,,,,,,,,,,,,,,,22.731,,,,,,,,
2025-07-18,23.8,24.52,23.75,23.21,386178,-648602.5265,,,,,,,,,,,,,,,,,,,,22.731,,,,,,,,
2025-07-21,24.0,25.41,24.0,24.06,507326,-529866.6541,,,,,,,,,,,,,,,,,,,,22.731,,,,,,,,
2025-07-22,24.75,25.57,24.61,24.45,480686,-339595.1125,,,,,,,,,,,,,,,,,,,,22.768,,,,,,,,
2025-07-23,25.01,25.46,24.86,24.32,291688,-361290.9141,,,,,,,,,,,,,,,,,,,,22.8269,,,,,,,,
2025-07-24,24.69,25.06,24.45,24.01,101860,-340587.6621,,,,,,,,,,,23.748,,,,,,,,,22.8841,,,,,23.748,,,
2025-07-25,24.61,25.27,24.19,24.41,111523,-235242.0808,,,,,,,,,,,23.9146,,,,,,,,,22.9396,,,,,23.8848,,,
2025-07-28,24.92,25.16,23.94,23.38,129218,-315738.5399,,,,,,,,,,,23.7807,,,,,,,,,22.9934,,,,,23.9774,,,
2025-07-29,24.1,24.36,23.88,23.4,118937,-282667.7734,,,,,,,,,,,23.6851,,,,,,,,,23.0456,,,,,24.0037,,,
2025-07-30,23.77,24.22,23.55,22.91,251255,-428920.6838,,,,,,,,,,,23.4925,,,,,,-0.5417,-2.3093,,24.7333,,,,,23.8406,,,
2025-07-31,23.62,24.5,23.62,23.57,77708,-374920.2092,,,,,,,,,,,23.5125,,,,,,0.8415,3.7021,,24.7137,,,,,23.7149,,,
2025-08-01,24.21,25.03,24.18,23.52,74131,-424631.5857,,,,,,,,,,,23.5155,,,,,,0.3095,1.3333,,24.6944,,,,,23.6016,,,
2025-08-04,23.1,24.87,22.24,24.01,161098,-269052.7406,,,,,,,23.6751,,,,23.6398,,,,,,-0.0435,-0.1809,,24.6752,23.6751,,,,23.6023,,,
2025-08-05,24.21,25.0,23.6,23.9,266563,-113318.8016,,,1.0447,,,,23.7053,,,,23.7052,,,,,59.0215,-0.5513,-2.2547,53.622,24.612,23.7069,,,,23.529,,,
2025-08-06,25.23,25.58,24.67,24.28,219764,-126008.144,,,1.0331,,,,23.7818,,,,23.8485,,,,,76.4706,-0.0387,-0.1591,56.4993,21.5151,23.8175,,,,23.6575,,,
2025-08-07,25.4,25.83,24.7,24.7,170808,-42871.5068,,,1.0374,,,,23.9048,,,,24.0625,,,,,74.873,0.6964,2.9009,59.5483,21.5475,23.9239,,,,23.8441,,,
2025-08-08,25.5,26.57,25.35,25.39,292483,96177.7883,,,1.0476,,,,24.1029,,,,24.3946,,,,,73.0552,0.977,4.0016,63.9406,21.6162,24.0192,,,,24.1978,,,
2025-08-11,25.24,26.88,25.12,25.97,196148,284546.5475,,,1.0947,,,,24.3521,,,,24.7888,,,,,70.0093,2.5923,11.0881,67.1833,21.7387,24.1277,,,,24.5405,,,
2025-08-12,27.1,28.14,26.66,26.1,128842,212100.0357,,,1.1191,22.3021,24.0898,25.8775,24.5847,24.0898,,,25.1159,,,,,68.015,2.6987,11.5337,67.8578,21.9094,24.2548,24.0898,,,24.9081,,,
2025-08-13,26.7,26.98,26.03,25.71,156051,236739.6673,,,1.1048,22.3078,24.2025,26.0972,24.7348,24.2441,,,25.2645,,,,,66.1564,2.7954,12.1992,63.5312,22.1749,24.3764,24.2025,,,25.1506,,82.6439,47.9317
2025-08-14,26.3,28.12,26.0,27.12,162366,386116.3873,,,1.1727,22.2612,24.4221,26.5829,25.0532,24.5183,,,25.729,,,,,67.0859,3.5499,15.0595,70.8395,22.4271,24.5699,24.4221,,,25.6107,,82.6439,100.0
2025-08-15,28.29,28.6,27.76,27.4,117695,427205.1743,,,1.1473,22.1862,24.6315,27.0768,25.3665,24.793,,,26.1475,,,,,72.3514,3.8788,16.4885,72.0382,22.6667,24.8573,24.6315,,,26.0571,,82.6439,100.0
2025-08-18,28.09,28.52,27.39,27.75,120834,513820.6964,,,1.1444,22.0372,24.8162,27.5953,25.6844,25.0747,,,26.5484,,,,,77.2703,3.7385,15.569,73.4947,22.9668,25.1682,24.8162,,,26.4923,,100.0,100.0
2025-08-19,28.76,28.76,26.63,26.66,127410,459387.3161,,,1.2115,22.0411,24.9263,27.8116,25.8139,25.2252,,,26.5751,,,,,80.4533,2.7538,11.5215,62.4661,23.3127,25.4354,24.9263,,,26.6729,,66.6667,0.0
2025-08-20,26.79,27.54,26.7,26.93,70521,526550.1733,,,1.1837,22.0595,25.0569,28.0544,25.9626,25.3875,,,26.6636,,,,,77.1895,2.6506,10.9172,63.9236,23.6991,25.6751,25.0569,,,26.8098,,37.7386,13.2158
2025-08-21,27.79,27.86,26.98,27.12,76459,578818.7552,,,1.161,22.1269,25.2128,28.2987,26.1176,25.553,,,26.779,,,,,77.3089,2.4207,9.7986,64.97,24.0546,25.9323,25.2128,,,26.9566,,11.9731,22.7036
2025-08-22,27.44,28.23,27.16,27.57,61936,633808.6617,23.8752,,1.1528,22.1451,25.3704,28.5957,26.3106,25.7446,,,26.9755,,,,,83.2052,2.1742,8.563,67.2702,24.3816,26.1861,25.3704,,,27.2216,,26.4933,43.5606
2025-08-25,28.47,28.65,27.28,26.9,106159,560194.7566,24.811,,1.1662,22.3915,25.5464,28.7013,26.3892,25.8547,,,26.9566,,,,,76.5578,0.9285,3.575,60.7757,24.6825,26.4003,25.5464,,,27.1898,,22.088,0.0
2025-08-26,27.77,28.5,27.77,27.77,142437,655803.1539,25.6799,,1.1535,22.6299,25.765,28.9001,26.5734,26.0371,25.0909,,27.1602,,,,,75.9071,1.6736,6.413,65.4739,24.9593,26.6497,25.765,25.0909,,27.2423,,38.6342,72.3419
2025-08-27,28.58,28.99,28.22,28.02,171394,666932.6344,26.8632,,1.125,23.0272,26.02,29.0129,26.7656,26.2256,25.2796,,27.374,,,,,76.1935,2.3052,8.9659,66.6812,25.214,26.8862,26.02,25.2429,,27.2801,,54.4243,90.931
2025-08-28,29.12,29.52,28.4,27.81,110254,560633.9348,28.3249,,1.1225,23.3648,26.2319,29.099,26.9049,26.3764,25.4429,,27.4829,,,,,74.0328,0.6874,2.5346,64.6367,25.4978,27.059,26.2319,25.4122,,27.445,,74.2408,59.4496
2025-08-29,28.25,29.7,28.25,28.58,167318,614868.0452,29.8038,,1.1437,23.7274,26.4848,29.2423,27.1286,26.5866,25.6454,,27.7579,,,,,73.9049,1.18,4.306,68.5441,25.8362,27.2455,26.4848,25.5911,,27.6813,,83.4602,100.0
2025-09-02,29.33,30.74,29.14,29.78,433191,881199.8895,31.7722,,1.1741,23.9067,26.773,29.6394,27.4817,26.8904,25.912,,28.2626,,1.3687,0.1131,1.2556,78.2565,2.0256,7.299,73.4272,26.191,27.5084,26.773,25.7818,,28.0601,,86.4832,100.0
2025-09-03,30.82,31.64,30.51,30.33,315861,839271.4382,34.0035,,1.1748,24.1469,27.0947,30.0425,27.8621,27.2184,26.1973,,28.7806,,1.4819,0.1811,1.3008,86.7126,3.6793,13.8032,75.3523,26.6576,27.8387,27.0947,25.9779,,28.4557,,100.0,100.0
2025-09-04,31.0,31.4,30.2,29.82,322302,662005.3382,35.5307,,1.1748,24.4944,27.3716,30.2487,28.1226,27.4658,26.4308,,29.0394,,1.5124,0.1692,1.3431,73.3555,2.8867,10.7195,70.2555,27.217,28.0311,27.3716,26.1612,,28.8723,,84.1454,52.4363
