date,open,high,low,close,volume,ad_14_chaikin a/d,adosc_14_adosc,adx_14_adx,adxr_14_adxr,apo_14_apo,aroon_14_aroon down,aroon_14_aroon up,aroonosc_14_aroonosc,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,bop_14_bop,cci_20_cci,cmo_14_cmo,dema_14_dema,dx_14_dx,ema_12_ema,ema_14_ema,ema_26_ema,ht_dcperiod_14_dcperiod,ht_dcphase_14_ht_dcphase,ht_phasor_14_phase,ht_phasor_14_quadrature,ht_sine_14_lead sine,ht_sine_14_sine,ht_trendline_14_ht_trendline,ht_trendmode_14_trendmode,kama_14_kama,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,macdext_14_macd,macdext_14_macd_hist,macdext_14_macd_signal,mama_14_fama,mama_14_mama,midpoint_14_midpoint,midprice_14_midprice,minus_di_14_minus_di,mom_10_mom,natr_14_natr,obv_14_obv,plus_di_14_plus_di,ppo_14_ppo,roc_10_roc,rocr_14_rocr,rsi_14_rsi,sar_14_sar,sma_200_sma,sma_20_sma,sma_50_sma,stoch_14_slowd,stoch_14_slowk,stochf_14_fastd,stochf_14_fastk,stochrsi_14_fastd,stochrsi_14_fastk,t3_14_t3,tema_14_tema,trange_14_trange,trima_14_trima,trix_14_trix,ultosc_14_ultosc,willr_14_willr,wma_14_wma
2000-01-03,52.5,53.0,48.0,50.43,5086200,-41227716.3871,-5131033.5955,13.847,15.4839,-3.4975,85.7143,50.0,-35.7143,4.0112,46.6488,54.5885,62.5282,-0.25,-107.2822,-15.4706,49.0265,12.6819,51.9144,52.4561,54.7072,21.7434,,-3.2933,-5.9101,,,,0,56.0588,-2.7611,-0.8711,-1.89,-3.4975,0.1536,-3.6511,1.3846,15.8665,52.2152,52.5842,28.7113,-5.5989,7.9542,-20257800.0,22.2486,-6.2144,-9.993,0.8836,42.2647,62.0777,,54.5885,,14.0469,29.643,29.643,63.8889,38.232,100.0,,47.9979,5.53,53.7444,-0.6298,29.5659,-63.7909,51.5262
2000-01-04,51.38,57.25,51.25,53.14,5836200,-41714066.3871,-4436482.0497,13.0573,15.0451,-3.3946,78.5714,42.8571,-35.7143,4.1464,46.6951,54.2412,61.7872,0.4367,-31.2842,-5.1566,49.6528,2.7902,52.1022,52.5467,54.5908,21.6792,,-5.1881,-5.054,,,,0,56.0432,-2.4617,-0.4574,-2.0044,-3.3946,0.2074,-3.602,1.4589,16.2391,52.2152,52.5842,25.7614,-1.968,7.8035,-14421600.0,27.2403,-6.0709,-3.5714,0.993,47.4217,60.6932,,54.2412,,29.5322,50.4231,50.4231,72.3404,71.5653,100.0,,49.2256,5.9039,53.0426,-0.6511,33.4096,-46.4736,51.5512
2000-01-05,55.25,64.22,54.63,58.98,9632400,-40679512.4768,-3419854.5323,13.6791,14.7979,-2.9806,71.4286,100.0,28.5714,4.5686,46.8474,54.1644,61.4814,0.4891,92.2676,12.9336,51.6398,21.7632,53.1603,53.4045,54.9159,21.3536,,-6.1915,-1.4417,,,,0,56.1109,-1.7329,0.2172,-1.9501,-2.9806,0.5017,-3.4823,1.535,16.6666,52.4907,53.9814,21.6762,0.551,7.7459,-4789200.0,33.7356,-5.3465,0.9431,1.0849,56.4668,44.7713,,54.1644,,50.396,71.122,71.122,77.1368,100.0,100.0,,52.2483,10.0563,52.4276,-0.6305,39.5821,-22.8632,52.359
2000-01-06,61.38,64.13,54.38,56.58,7051200,-43217944.4768,-3500748.4995,14.1915,14.6125,-2.6873,64.2857,92.8571,28.5714,4.9275,46.9282,54.0719,61.2157,-0.3979,74.8993,4.9469,52.6652,20.852,53.6863,53.8277,55.0391,20.7787,,-6.5907,2.1322,,,,0,56.1133,-1.3336,0.4932,-1.8268,-2.6873,0.6413,-3.3286,1.6126,17.0657,52.4907,53.9814,18.9986,0.492,8.7091,-11840400.0,29.0093,-4.8352,0.8772,1.0054,52.4735,44.9555,,54.0719,,63.946,70.2929,70.2929,61.4015,94.1335,82.4004,,53.7145,9.5939,51.9266,-0.5913,39.3759,-35.8974,52.8027
2000-01-07,59.69,60.75,55.63,56.33,2036400,-43965685.1018,-3453509.094,14.6672,14.3529,-2.734,57.1429,85.7143,28.5714,4.9354,46.9422,54.0409,61.1397,-0.4766,58.2518,4.1343,53.4438,20.852,54.0935,54.1618,55.135,19.9664,,-5.6947,9.8063,,,,0,56.1143,-1.0252,0.6413,-1.6665,-2.734,0.4951,-3.2291,1.6918,17.4584,52.4907,53.9814,17.6039,2.214,8.7611,-13876800.0,26.8796,-4.9306,4.0909,1.0054,52.0672,45.1379,,54.0409,,68.8679,65.1889,65.1889,57.0284,83.8072,69.0213,,54.7384,5.038,51.6365,-0.5413,39.8102,-37.2329,53.2107
2000-01-10,58.69,59.63,52.88,53.38,12112800,-51161585.5462,-5409833.1974,14.3568,13.8689,-2.5504,50.0,78.5714,28.5714,5.0573,46.9098,53.8378,60.7657,-0.6578,9.1816,-5.3377,53.3453,10.3209,53.9839,54.0577,55.0051,19.0233,,-0.4025,13.6256,,,,0,56.0898,-1.0074,0.5273,-1.5346,-2.5504,0.5883,-3.1387,1.7725,17.8176,52.4907,53.9814,19.7878,-0.1279,9.4739,-25989600.0,24.3424,-4.6337,-0.2391,0.9687,47.3311,45.3184,,53.8378,,60.8895,47.1867,47.1867,23.1303,50.4739,0.0,,54.472,6.6419,51.5903,-0.4974,38.8879,-53.2585,53.2222
2000-01-11,53.75,57.0,51.88,51.96,5057400,-54381726.9525,-6742935.0328,13.8085,13.412,-2.3867,42.8571,71.4286,28.5714,5.0559,46.7746,53.5824,60.3902,-0.1836,-27.3978,-9.5888,52.9192,6.6804,53.6732,53.7786,54.7798,18.1447,,4.3224,11.0051,,,,0,55.9493,-1.095,0.3517,-1.4467,-2.3867,0.645,-3.0317,1.8544,18.159,52.4907,53.9814,19.7694,0.9151,9.7296,-31047000.0,22.5999,-4.3635,1.7926,0.8894,45.2056,45.4971,,53.5824,57.5552,47.2024,29.2317,29.2317,7.5365,23.0071,0.0,,53.7684,5.038,51.8021,-0.4643,36.9674,-60.9509,53.0612
2000-01-12,53.63,54.19,51.0,50.31,1702200,-55945189.6484,-7172766.184,13.0682,12.5858,-2.2774,35.7143,64.2857,28.5714,4.919,46.4667,53.4225,60.3783,-0.7837,-64.3906,-14.4175,52.1708,3.4454,53.156,53.3163,54.4488,17.5928,,8.3946,4.4163,,,,0,55.7783,-1.283,0.131,-1.414,-2.2774,0.6167,-2.8941,1.9375,18.4806,52.4907,53.9814,20.1277,0.5609,9.7771,-32749200.0,21.5641,-4.1924,1.1274,0.897,42.7912,45.6741,,53.4225,57.4102,28.9902,10.5523,10.5523,0.9901,0.0,0.0,,52.6588,3.1389,52.2225,-0.446,33.1998,-69.9252,52.7414
2000-01-13,53.11,53.19,50.0,50.8,1796400,-55905770.2127,-6683993.9995,12.1531,11.8039,-1.9244,28.5714,57.1429,28.5714,4.7918,46.2123,53.2444,60.2765,-0.4639,-68.4878,-12.4919,51.698,0.2561,52.794,52.9812,54.1787,17.312,,7.7463,-5.6418,,,,0,55.6936,-1.3764,0.03,-1.4065,-1.9244,0.7904,-2.7148,2.0219,18.8038,52.4907,53.9814,20.6554,4.8018,9.4322,-30952800.0,20.5499,-3.5671,10.4385,0.9387,43.7541,45.8493,,53.2444,57.3352,15.8935,7.8965,7.8965,15.1628,3.46,10.3799,,52.0017,3.1389,52.7024,-0.4352,33.6674,-67.2543,52.5422
2000-01-14,52.5,57.0,52.25,55.97,4738200,-51406974.0021,-4444970.7662,12.1835,11.7622,-1.3115,21.4286,50.0,28.5714,4.827,46.2221,53.2292,60.2362,0.9221,19.4645,5.4937,52.6128,12.5789,53.2825,53.3796,54.3114,17.0481,,3.4024,-9.7369,,,,0,55.6967,-1.0218,0.3077,-1.3295,-1.3115,1.1604,-2.4719,2.1076,19.1754,52.4907,53.9814,19.0326,9.3479,8.6244,-26214600.0,24.5097,-2.4354,20.0507,1.046,52.7468,46.0227,,53.2292,57.3647,15.8825,29.1988,29.1988,71.4434,36.7933,100.0,,53.3234,5.284,53.1461,-0.407,37.1467,-39.2094,53.0633
