date,open,high,low,close,volume,ad_14_chaikin a/d,adosc_14_adosc,adx_14_adx,adxr_14_adxr,apo_14_apo,aroon_14_aroon down,aroon_14_aroon up,aroonosc_14_aroonosc,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,bop_14_bop,cci_20_cci,cmo_14_cmo,dema_14_dema,dx_14_dx,ema_12_ema,ema_14_ema,ema_26_ema,ht_dcperiod_14_dcperiod,ht_dcphase_14_ht_dcphase,ht_phasor_14_phase,ht_phasor_14_quadrature,ht_sine_14_lead sine,ht_sine_14_sine,ht_trendline_14_ht_trendline,ht_trendmode_14_trendmode,kama_14_kama,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,macdext_14_macd,macdext_14_macd_hist,macdext_14_macd_signal,mama_14_fama,mama_14_mama,mfi_14_mfi,midpoint_14_midpoint,midprice_14_midprice,minus_di_14_minus_di,natr_14_natr,obv_14_obv,plus_di_14_plus_di,ppo_14_ppo,roc_10_roc,rocr_14_rocr,rsi_14_rsi,sar_14_sar,sma_200_sma,sma_20_sma,sma_50_sma,stoch_14_slowd,stoch_14_slowk,stochf_14_fastd,stochf_14_fastk,stochrsi_14_fastd,stochrsi_14_fastk,t3_14_t3,tema_14_tema,trange_14_trange,trima_14_trima,trix_14_trix,ultosc_14_ultosc,willr_14_willr,wma_14_wma
2000-01-03,48.56,49.0,46.62,8.34,5791900,-18554840.475,-6109541.2388,23.8293,24.5854,-0.3282,100.0,7.1429,-92.8571,0.2718,8.2388,9.0657,9.8927,-0.6555,-131.6095,-38.1469,8.5298,41.3698,8.7485,8.793,8.9324,26.8148,,-0.2657,-0.3642,,,,0,8.6757,-0.1867,-0.09,-0.0968,-0.3282,-0.2162,-0.1119,0.2086,2.4997,16.0428,8.89,8.9565,29.7142,3.2603,-112332259.0,12.3234,-3.6026,-8.5247,0.8816,30.9266,9.5364,,9.0657,,16.1567,19.1859,19.1859,11.4458,49.0817,34.9099,,8.3875,0.4221,8.8617,-0.2024,30.4742,-95.1031,8.7004
2000-01-04,47.06,47.75,43.5,7.85,7173600,-24700505.5338,-7902823.7038,26.2244,25.5213,-0.3825,100.0,0.0,-100.0,0.3062,8.0221,8.9876,9.9531,-0.6612,-186.1971,-51.8373,8.3297,57.3608,8.61,8.667,8.8521,28.048,,-0.3787,-0.2463,,,,0,8.4899,-0.2445,-0.1182,-0.1263,-0.3825,-0.2168,-0.1657,0.2204,2.5532,7.2732,8.5406,8.6071,37.4394,3.9016,-121830105.0,10.1448,-4.223,-12.4802,0.831,24.0813,9.473,,8.9876,,18.6996,20.5087,20.5087,12.2349,44.97,0.0,,8.1421,0.7538,8.779,-0.2511,26.2604,-92.5447,8.5654
2000-01-05,45.0,45.13,44.44,7.94,9090000,-25921463.7947,-8306487.4585,28.4484,25.8598,-0.431,92.8571,0.0,-92.8571,0.2955,7.8942,8.8972,9.9003,-0.3623,-171.0526,-45.5302,8.1929,57.3608,8.5064,8.5696,8.7843,29.8825,,-0.4264,-0.2523,,,,0,8.3945,-0.2799,-0.1229,-0.157,-0.431,-0.2102,-0.2207,0.2323,2.607,6.9905,8.4909,8.4688,36.0195,3.7229,-109794945.0,9.76,-4.7851,-11.3861,0.8596,27.2349,9.3676,,8.8972,,18.388,15.4693,15.4693,22.7273,19.6679,24.0939,,7.9962,0.1561,8.6907,-0.3026,28.9324,-85.2941,8.4574
2000-01-06,44.56,45.0,43.13,7.8,7153600,-29112351.8054,-8731769.9563,30.8116,26.3231,-0.4742,100.0,0.0,-100.0,0.2982,7.7506,8.8079,9.8652,-0.4332,-160.8303,-48.9821,8.0522,61.5326,8.3981,8.4674,8.7115,32.1936,,-0.5091,0.111,,,,0,8.2905,-0.3152,-0.1265,-0.1887,-0.4742,-0.2005,-0.2737,0.2444,2.659,7.1523,8.4576,8.4298,37.6945,3.8217,-119266311.0,8.9766,-5.2969,-12.4502,0.8542,25.509,9.2684,,8.8079,,17.1078,15.3455,15.3455,11.0744,11.6671,10.9074,,7.8485,0.3335,8.5957,-0.3564,28.7985,-92.5063,8.3439
2000-01-07,44.56,44.75,43.38,7.87,5885600,-28372914.2725,-7876676.3125,33.0059,26.9267,-0.5119,92.8571,0.0,-92.8571,0.2943,7.6519,8.7225,9.7932,-0.3139,-138.7051,-44.0159,7.959,61.5326,8.3169,8.3877,8.6492,34.6075,,-0.2725,0.2039,,,,0,8.227,-0.3338,-0.1161,-0.2177,-0.5119,-0.1873,-0.3245,0.2568,2.7111,15.553,8.407,8.3907,35.4494,3.7399,-111473777.0,8.4419,-5.7511,-12.6631,0.8637,27.9921,9.1581,,8.7225,,16.012,17.2212,17.2212,17.8619,30.7107,57.1308,,7.7706,0.2443,8.4979,-0.4067,32.7123,-87.2385,8.252
2000-01-10,44.75,45.0,44.25,7.98,7118700,-25231194.9392,-5811165.8238,34.7439,27.3372,-0.5447,85.7143,0.0,-85.7143,0.2844,7.5907,8.6472,9.7036,0.0,-108.224,-36.0474,7.9149,57.3369,8.2652,8.3335,8.5997,36.9173,,-0.3024,-1.2303,,,,0,8.2009,-0.3357,-0.0944,-0.2413,-0.5447,-0.172,-0.3727,0.2693,2.7638,25.058,8.407,8.3907,34.062,3.5635,-102048619.0,9.2362,-6.1511,-8.0521,0.89,31.9763,9.0554,,8.6472,,18.2035,22.0437,22.0437,37.1949,56.0127,100.0,,7.7604,0.1552,8.4038,-0.4487,35.3809,-79.3263,8.1868
2000-01-11,44.69,44.94,43.81,7.87,6472800,-28947383.9923,-5620320.2476,36.5006,27.6944,-0.5776,78.5714,7.1429,-71.4286,0.2785,7.5281,8.5679,9.6078,-0.4956,-105.774,-39.6438,7.8554,59.3387,8.2045,8.2717,8.5457,39.0188,,-0.8116,-1.4639,,,,0,8.1626,-0.3423,-0.0808,-0.2615,-0.5776,-0.1598,-0.4178,0.282,2.8149,24.6157,8.407,8.3907,34.3151,3.5384,-110618606.0,8.7568,-6.5683,-9.8967,0.8787,30.1781,8.96,,8.5679,8.9456,25.1475,36.1776,36.1776,53.4759,76.4421,72.1955,,7.7235,0.2015,8.305,-0.4854,32.0914,-87.2385,8.1162
2000-01-12,43.5,43.56,41.5,7.46,8920000,-37202973.8952,-7658087.4586,38.7409,28.3306,-0.6043,100.0,0.0,-100.0,0.2921,7.4031,8.4686,9.534,-0.8204,-140.7297,-50.7946,7.708,67.8639,8.0894,8.1631,8.465,39.484,,-0.9769,-0.034,,,,0,8.0584,-0.3765,-0.092,-0.2845,-0.6043,-0.145,-0.4594,0.2949,2.8613,23.5003,8.234,8.2348,40.4759,3.9172,-122428686.0,7.7487,-6.9321,-11.4885,0.8367,24.6027,8.8712,,8.4686,8.9067,30.4658,33.176,33.176,8.8571,57.3985,0.0,,7.5602,0.469,8.1961,-0.5267,30.864,-96.6833,8.0008
2000-01-13,42.38,42.94,40.75,7.28,8250000,-47527453.3473,-11080591.3743,40.9779,29.7477,-0.6309,100.0,0.0,-100.0,0.2991,7.2468,8.3708,9.4948,-0.7169,-139.5615,-54.6811,7.5485,70.0589,7.9646,8.0451,8.3771,38.9152,,-0.8439,0.7988,,,,0,7.9111,-0.4133,-0.103,-0.3102,-0.6309,-0.1325,-0.4984,0.308,2.9055,18.2717,8.0065,8.1563,39.893,4.1099,-133351686.0,7.0237,-7.3162,-13.9497,0.8077,22.6594,8.7536,,8.3708,8.8723,30.2006,21.2483,21.2483,1.4118,24.0652,0.0,,7.3843,0.3906,8.0872,-0.573,28.9187,-99.398,7.8754
2000-01-14,41.25,42.0,40.0,7.49,9888300,-34435344.3473,-7307709.0785,43.2016,31.1369,-0.628,100.0,0.0,-100.0,0.3032,7.1595,8.2886,9.4178,0.375,-125.0388,-40.463,7.4767,72.1104,7.8917,7.9711,8.3114,39.3419,,-0.621,1.4084,,,,0,7.8654,-0.4204,-0.0881,-0.3323,-0.628,-0.0963,-0.5317,0.3212,2.9513,17.4481,8.0065,7.9955,39.6913,4.0483,-120259577.0,6.4318,-7.3513,-13.3662,0.863,29.7685,8.6199,,8.2886,8.8428,23.7269,16.7563,16.7563,40.0,25.4343,76.3029,,7.3362,0.3567,7.9912,-0.6138,36.8073,-79.3031,7.7949
2000-01-18,42.13,43.06,40.88,7.34,9824500,-44459579.1363,-8289449.2923,44.1056,32.3086,-0.6353,92.8571,0.0,-92.8571,0.3093,7.0643,8.1998,9.3353,-0.4587,-104.6151,-44.481,7.3843,55.8568,7.8061,7.8864,8.2391,38.7521,,-0.1724,1.058,,,,0,7.7946,-0.4336,-0.0811,-0.3525,-0.6353,-0.0756,-0.5598,0.3346,2.9951,26.2357,7.9622,7.968,36.1184,4.2173,-133267215.0,10.2298,-7.5131,-12.0018,0.8398,27.7595,8.4713,,8.1998,8.8128,19.8111,21.4288,21.4288,22.8745,48.0451,67.8323,,7.2561,0.3888,7.9001,-0.652,33.4264,-87.9209,7.705
2000-01-19,41.0,41.0,40.0,7.23,10212300,-42837048.9363,-7421224.3805,45.1904,33.5193,-0.6663,85.7143,0.0,-85.7143,0.3016,6.9606,8.1131,9.2656,-0.44,-119.1852,-47.0044,7.2888,59.2937,7.718,7.7993,8.1646,38.6831,,-0.1122,-0.5846,,,,0,7.7294,-0.4471,-0.0756,-0.3715,-0.6663,-0.0804,-0.5859,0.3481,3.0375,24.778,7.9399,7.9121,38.1163,4.1701,-146788300.0,9.7403,-7.961,-7.8283,0.8587,26.4978,8.3375,,8.1131,8.7757,21.4622,26.2016,26.2016,15.7303,66.0426,53.9925,,7.1703,0.2015,7.8143,-0.6883,33.8485,-93.5842,7.6149
2000-01-20,40.81,41.56,40.06,7.31,10080400,-39455948.5229,-5315580.0232,45.6214,34.0507,-0.6692,78.5714,14.2857,-64.2857,0.2992,6.8963,8.0309,9.1655,0.1267,-103.118,-41.6521,7.2356,51.2247,7.6556,7.7344,8.1015,39.393,,-0.4966,-1.5785,,,,0,7.685,-0.4463,-0.0599,-0.3864,-0.6692,-0.0616,-0.6076,0.3617,3.0803,32.2516,7.9399,7.9121,35.6762,4.092,-133441851.0,11.5068,-8.0751,-7.8694,0.8645,29.1739,8.2171,,8.0309,8.741,23.7973,23.7615,23.7615,32.6797,71.1538,91.6367,,7.1431,0.2675,7.7264,-0.7182,35.1306,-88.5433,7.5466
