date,open,high,low,close,volume,ad_14_chaikin a/d,adosc_14_adosc,adx_14_adx,adxr_14_adxr,apo_14_apo,aroon_14_aroon down,aroon_14_aroon up,aroonosc_14_aroonosc,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,bop_14_bop,cci_20_cci,cmo_14_cmo,dema_14_dema,dx_14_dx,ema_12_ema,ema_14_ema,ema_26_ema,ht_dcperiod_14_dcperiod,ht_dcphase_14_ht_dcphase,ht_phasor_14_phase,ht_phasor_14_quadrature,ht_sine_14_lead sine,ht_sine_14_sine,ht_trendline_14_ht_trendline,ht_trendmode_14_trendmode,kama_14_kama,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,macdext_14_macd,macdext_14_macd_hist,macdext_14_macd_signal,mama_14_fama,mama_14_mama,mfi_14_mfi,midpoint_14_midpoint,midprice_14_midprice,minus_di_14_minus_di,natr_14_natr,obv_14_obv,plus_di_14_plus_di,ppo_14_ppo,roc_10_roc,rocr_14_rocr,rsi_14_rsi,sar_14_sar,sma_200_sma,sma_20_sma,sma_50_sma,stoch_14_slowd,stoch_14_slowk,stochf_14_fastd,stochf_14_fastk,stochrsi_14_fastd,stochrsi_14_fastk,t3_14_t3,tema_14_tema,trange_14_trange,trima_14_trima,trix_14_trix,ultosc_14_ultosc,willr_14_willr,wma_14_wma
2000-01-21,42.88,43.38,42.0,7.67,15950400,-29968003.6099,-952053.948,44.395,34.1121,-0.6158,71.4286,7.1429,-64.2857,0.3082,6.8997,7.9687,9.0377,0.087,-53.4356,-20.2249,7.2858,28.4516,7.6576,7.7256,8.0694,40.4735,,-0.9356,-0.5186,,,,0,7.6838,-0.4122,-0.0206,-0.3916,-0.6158,0.0033,-0.6191,0.3756,3.1262,39.8344,7.7847,7.9121,32.1584,4.0183,-112323522.0,17.9125,-7.493,-1.7143,0.887,39.8875,8.1088,,7.9687,8.7142,31.8952,45.7225,45.7225,88.7574,81.8764,100.0,,7.2567,0.4245,7.6435,-0.7314,41.1643,-65.6299,7.5367
2000-01-24,43.44,43.5,40.94,7.49,9980400,-32239168.2818,196931.9551,43.6973,34.9608,-0.586,64.2857,0.0,-64.2857,0.3188,6.9191,7.8927,8.8663,-0.5625,-65.4416,-26.2333,7.2859,34.6264,7.6319,7.6943,8.0266,41.6815,,-0.7106,0.9928,,,,0,7.6712,-0.3949,-0.0027,-0.3922,-0.586,0.0377,-0.6237,0.3895,3.1698,38.7458,7.6073,7.8013,33.1064,4.2555,-125537571.0,16.0762,-7.1886,-4.8266,0.8986,36.8834,8.0113,,7.8927,8.6835,43.0036,59.5267,59.5267,57.1429,89.7334,77.5635,,7.288,0.4566,7.575,-0.7362,44.7469,-73.2815,7.5124
2000-01-25,41.0,41.13,38.56,7.13,15943100,-29692987.0211,1459217.3207,43.8555,36.152,-0.5648,100.0,0.0,-100.0,0.3398,6.8587,7.8154,8.7721,-0.3891,-119.2748,-36.5295,7.2009,45.9131,7.5553,7.6195,7.9604,42.6741,,-0.4661,0.9924,,,,0,7.6419,-0.4054,-0.0105,-0.3949,-0.5648,0.0575,-0.6223,0.4036,3.2094,36.6072,7.5573,7.4512,37.7672,4.7634,-146646235.0,13.9995,-6.9946,-10.6145,0.909,31.7352,7.9236,,7.8154,8.6448,54.5331,58.35,58.35,29.1498,72.2263,39.1154,,7.1937,0.6135,7.5196,-0.7437,48.724,-77.6398,7.4486
2000-01-26,40.5,40.5,39.69,7.13,7662100,-32072589.2433,1085804.5068,44.0025,37.407,-0.5501,92.8571,7.1429,-85.7143,0.3259,6.8334,7.7353,8.6372,-0.6173,-104.0678,-36.5295,7.1358,45.9131,7.4904,7.5548,7.8992,42.8311,,-0.3858,1.1467,,,,0,7.6071,-0.409,-0.0113,-0.3977,-0.5501,0.0662,-0.6163,0.4179,3.2487,42.7404,7.5573,7.4512,36.5693,4.5678,-146646235.0,13.5554,-6.877,-9.3587,0.8988,31.7352,7.8084,,7.7353,8.6064,52.1192,38.4808,38.4808,29.1498,46.862,23.9071,,7.1293,0.1445,7.468,-0.7511,44.422,-77.6398,7.3916
2000-01-27,40.06,40.31,39.0,6.96,6920100,-41234801.2433,-2080914.0541,44.351,38.6784,-0.5582,85.7143,0.0,-85.7143,0.3193,6.7571,7.6619,8.5666,-0.8092,-113.0074,-41.2821,7.0425,48.8807,7.4081,7.4749,7.8293,42.0171,,-0.1679,1.5226,,,,0,7.5601,-0.4213,-0.0189,-0.4024,-0.5582,0.05,-0.6082,0.4322,3.2858,43.0606,7.4682,7.4512,37.4123,4.5902,-155808447.0,12.8458,-7.0463,-6.7209,0.8914,29.359,7.706,,7.6619,8.5648,39.7443,22.4022,22.4022,8.9069,21.0075,0.0,,7.0253,0.2336,7.4177,-0.7616,44.4615,-93.1677,7.3184
2000-01-28,39.31,40.44,39.0,7.0,8650600,-48711322.3266,-5566108.896,44.5574,39.6506,-0.5554,78.5714,7.1429,-71.4286,0.3148,6.7183,7.589,8.4597,-0.0417,-102.4081,-38.4902,6.9819,47.2415,7.3453,7.4115,7.7679,40.9296,,0.2355,1.0111,,,,0,7.5174,-0.4227,-0.0162,-0.4065,-0.5554,0.0447,-0.6001,0.4466,3.3229,43.8978,7.4682,7.4512,35.229,4.4972,-144355053.0,12.623,-7.0791,-3.8226,0.8894,30.7549,7.6148,,7.589,8.525,26.0748,17.3414,17.3414,13.9676,14.1531,18.5523,,6.9694,0.2568,7.3714,-0.771,41.7911,-89.2857,7.2593
2000-01-31,39.5,43.5,39.06,7.65,11255300,-37971129.8942,-3068526.5669,42.4544,39.4775,-0.4909,71.4286,0.0,-71.4286,0.3489,6.8142,7.539,8.2638,0.7613,-21.7222,-5.7982,7.0979,15.1148,7.3918,7.443,7.7589,40.9453,,0.3388,-1.024,,,,0,7.5196,-0.3673,0.0314,-0.3986,-0.4909,0.0932,-0.5841,0.4612,3.3661,45.3788,7.4129,7.4459,29.5106,4.5621,-129453036.0,21.761,-6.2955,2.0952,0.9582,47.1009,6.877,,7.539,8.4948,25.5061,36.7746,36.7746,87.4494,39.5174,100.0,,7.1603,0.7918,7.3426,-0.7591,49.6172,-32.2884,7.2947
2000-02-01,43.0,43.0,41.75,7.56,8949600,-37876335.7342,-1737669.6025,40.5015,39.6212,-0.4117,64.2857,0.0,-64.2857,0.3399,6.8737,7.5002,8.1266,-0.496,10.8708,-8.9852,7.1726,15.1148,7.4174,7.4584,7.7441,41.5513,30.6691,-0.2457,-1.9885,0.9689,0.5101,7.5733,1,7.5202,-0.3268,0.0575,-0.3843,-0.4117,0.1441,-0.5558,0.476,3.4081,51.1193,7.3121,7.3228,28.1264,4.4969,-141302306.0,20.7403,-5.3176,3.0391,0.9603,45.5074,6.8858,,7.5002,8.4638,37.6529,58.8427,58.8427,75.1111,69.8569,91.0184,,7.2781,0.2229,7.3237,-0.7344,47.0537,-23.6,7.3215
2000-02-02,43.0,43.13,42.5,7.58,6675100,-46714167.7342,-3847295.6078,38.6007,39.7893,-0.3619,57.1429,0.0,-57.1429,0.3252,6.8795,7.4867,8.094,-0.7937,33.5349,-8.0405,7.2409,13.8904,7.4424,7.4745,7.7319,41.2746,35.9935,-0.5586,-0.6804,0.9877,0.5877,7.5559,1,7.5207,-0.2896,0.0757,-0.3653,-0.3619,0.1597,-0.5216,0.4908,3.4498,56.8637,7.3121,7.3175,27.299,4.2899,-132464474.0,20.6401,-4.7007,4.783,1.0165,45.9798,6.8945,,7.4867,8.4328,58.5767,80.1128,80.1128,77.7778,94.8998,93.6809,,7.3775,0.1338,7.31,-0.7001,47.5905,-20.2429,7.3541
2000-02-03,43.0,43.19,41.31,7.49,7703800,-49426888.7448,-5223708.7853,37.4194,40.3105,-0.3011,50.0,78.5714,28.5714,0.3259,6.8932,7.4644,8.0356,-0.5319,13.853,-11.4835,7.276,22.0622,7.4498,7.4766,7.714,40.2025,41.3427,-0.5905,0.3,0.998,0.6606,7.5455,1,7.5203,-0.2643,0.0808,-0.3451,-0.3011,0.1855,-0.4867,0.5058,3.4902,57.0366,7.3121,7.3175,29.9474,4.3507,-142664305.0,19.1216,-3.9356,2.439,1.0292,44.2583,6.9031,,7.4644,8.4003,70.7136,73.1852,73.1852,66.6667,89.103,82.6096,,7.423,0.3353,7.3021,-0.662,48.4051,-30.3644,7.3736
2000-02-04,42.0,42.38,41.56,7.49,6773000,-48770733.7204,-5103127.6879,36.3225,40.214,-0.2438,42.8571,71.4286,28.5714,0.3131,6.8988,7.4488,7.9989,0.0,9.9299,-11.4835,7.3062,22.0622,7.456,7.4785,7.6974,39.4291,46.0058,-0.5075,2.2643,0.9998,0.7194,7.5392,1,7.5202,-0.2415,0.0829,-0.3244,-0.2438,0.2048,-0.4487,0.521,3.5302,58.2943,7.3121,7.3175,28.9471,4.1794,-142664305.0,18.4829,-3.2015,-2.3256,1.0,44.2583,6.9117,,7.4488,8.3688,74.5061,70.2202,70.2202,66.2162,58.7635,0.0,,7.4582,0.1462,7.3031,-0.6216,48.1442,-30.3644,7.3911
2000-02-07,41.38,42.31,41.06,7.47,5804500,-46372964.4244,-3826951.764,35.55,40.3702,-0.1927,35.7143,64.2857,28.5714,0.3066,6.9135,7.4288,7.944,0.4,3.6566,-12.3964,7.3268,25.5071,7.458,7.4772,7.6805,39.7122,49.7908,0.4164,3.0598,0.9965,0.7637,7.5372,1,7.5197,-0.2226,0.0815,-0.304,-0.1927,0.2146,-0.4073,0.5362,3.5696,52.5927,7.3121,7.3175,29.5216,4.1052,-150349463.0,17.5221,-2.5429,-0.2857,1.0182,43.8018,6.9201,,7.4288,8.3374,66.8441,57.1268,57.1268,38.4977,27.5365,0.0,,7.4775,0.2229,7.3197,-0.5808,53.5311,-32.7935,7.4057
2000-02-08,42.5,43.0,42.0,7.5,5669800,-52978961.6244,-5058883.2894,34.28,39.9507,-0.1626,28.5714,57.1429,28.5714,0.299,6.9539,7.4048,7.8556,-0.44,54.8292,-10.5545,7.3528,17.7709,7.4647,7.4804,7.6672,39.0244,55.6244,0.9003,0.71,0.9829,0.8254,7.5224,1,7.5193,-0.2026,0.0811,-0.2837,-0.1626,0.2016,-0.3643,0.5516,3.6089,58.8469,7.3121,7.3175,28.1115,3.9858,-142842648.0,19.6278,-2.1587,5.15,1.037,44.7228,6.9285,,7.4048,8.303,59.3004,50.5541,50.5541,46.9484,14.0951,42.2852,,7.5032,0.1997,7.352,-0.5393,53.8115,-29.1498,7.4234
2000-02-09,42.31,42.81,42.0,7.6,6809500,-47970196.0689,-3509258.6648,33.1008,38.7479,-0.1251,21.4286,50.0,28.5714,0.2879,6.9827,7.3914,7.8001,0.3951,75.92,-4.703,7.4003,17.7709,7.4859,7.4967,7.6625,37.7441,64.3942,0.6553,-0.8073,0.9433,0.9018,7.5077,1,7.5211,-0.1766,0.0857,-0.2623,-0.1251,0.1911,-0.3161,0.5671,3.6488,57.8711,7.3121,7.3175,27.1033,3.7874,-133826870.0,18.9238,-1.6664,6.575,1.0398,47.6485,6.9368,,7.3914,8.2706,53.5775,53.0516,53.0516,73.7089,47.4284,100.0,,7.5576,0.1445,7.3876,-0.495,46.1988,-17.6113,7.452
2000-02-10,42.38,42.44,41.94,7.51,5151200,-49607041.1889,-3077112.1598,32.0421,37.8697,-0.0806,14.2857,42.8571,28.5714,0.2762,6.983,7.3942,7.8055,-0.5,52.9365,-9.2409,7.4174,18.2789,7.4902,7.499,7.6514,37.8667,74.5068,0.4109,-1.253,0.8703,0.9637,7.4911,0,7.521,-0.1613,0.0808,-0.2421,-0.0806,0.1828,-0.2634,0.5827,3.6875,49.1004,7.3014,7.3175,26.5169,3.6755,-140647058.0,18.321,-1.0752,8.0256,0.9798,45.3795,6.945,,7.3942,8.2369,54.0699,58.604,58.604,55.1546,61.1001,41.0151,,7.5665,0.1231,7.4165,-0.4525,43.3386,-27.7328,7.466
2000-02-11,42.0,42.06,39.75,7.21,5575700,-52579106.2019,-3566244.5337,32.1995,38.0275,-0.0462,7.1429,35.7143,28.5714,0.2868,6.975,7.3909,7.8069,-0.6753,-50.7379,-22.6485,7.3569,34.2464,7.4474,7.4608,7.6189,37.1187,86.3779,0.0488,-1.2215,0.7504,0.998,7.4712,0,7.5141,-0.1715,0.0565,-0.228,-0.0462,0.1678,-0.214,0.5984,3.7227,51.2024,7.3014,7.3175,33.4474,3.976,-148029284.0,16.3825,-0.6183,3.0318,0.9629,38.6758,6.9531,,7.3909,8.1962,53.8957,50.0314,50.0314,21.2308,47.005,0.0,,7.4669,0.4245,7.4408,-0.4212,42.3375,-61.9433,7.4413
2000-02-14,39.5,41.5,39.44,7.29,8459100,-48120914.2795,-2023624.4811,32.4816,38.2421,0.0015,0.0,28.5714,28.5714,0.2925,6.9654,7.381,7.7965,0.6699,-55.8931,-17.7704,7.3284,36.1483,7.4233,7.4381,7.5946,35.8422,100.3927,-0.0687,-0.3716,0.5679,0.9836,7.4505,0,7.5109,-0.1713,0.0453,-0.2167,0.0015,0.1695,-0.1681,0.6142,3.7584,54.7473,7.3014,7.3567,31.7957,4.0122,-136829436.0,14.9117,0.0198,-4.6642,1.022,41.1148,6.9612,,7.381,8.1591,49.1935,38.9449,38.9449,40.4494,22.7326,27.1826,,7.4187,0.3674,7.4599,-0.3955,47.9185,-58.2222,7.4297
2000-02-15,40.0,41.0,39.56,7.26,8191900,-41944677.1267,756579.5874,32.7435,38.5472,0.0465,7.1429,21.4286,14.2857,0.29,6.9584,7.377,7.7957,0.4792,-62.0051,-19.2637,7.2979,36.1483,7.3977,7.4139,7.5696,34.2627,138.0128,-0.0476,-0.01,-0.0526,0.669,7.4177,1,7.508,-0.1719,0.0358,-0.2077,0.0465,0.1691,-0.1227,0.6301,3.7934,47.2139,7.3014,7.3567,29.7829,3.9958,-147675511.0,13.9678,0.6262,-3.9877,1.0173,40.3682,6.9692,,7.377,8.1145,40.6335,32.9241,32.9241,37.092,15.348,18.8615,,7.3707,0.2568,7.4685,-0.3748,51.0055,-62.4444,7.4121
2000-02-16,40.38,40.69,38.75,6.97,8475100,-49579606.1164,-604139.7529,33.3543,38.9558,0.0287,100.0,14.2857,-85.7143,0.294,6.9118,7.3637,7.8155,-0.6804,-113.5358,-30.8631,7.2019,41.2939,7.3313,7.3542,7.5249,32.647,191.5888,0.0406,0.0023,-0.8347,-0.2009,7.3893,1,7.5054,-0.1936,0.0113,-0.2049,0.0287,0.1148,-0.086,0.646,3.8251,46.5366,7.3068,7.3344,30.7898,4.22,-158896543.0,12.7928,0.3892,-8.0941,1.0015,34.5684,7.758,,7.3637,8.0656,33.5055,28.6475,28.6475,8.4011,15.348,0.0,,7.2336,0.346,7.4618,-0.3666,46.1296,-93.4737,7.3545
2000-02-17,38.94,40.0,38.0,7.13,9273600,-37301360.1164,2800838.7672,34.2333,38.3438,0.0217,100.0,7.1429,-92.8571,0.2985,6.8922,7.3547,7.8173,0.53,-110.3359,-20.1432,7.1674,45.6605,7.3009,7.3248,7.4959,31.0408,229.3574,0.0304,-0.568,-0.9971,-0.7588,7.3662,1,7.5013,-0.195,0.0079,-0.2029,0.0217,0.0782,-0.0565,0.6621,3.8582,38.3988,7.3068,7.2675,31.3629,4.1836,-146618297.0,11.7001,0.2949,-4.7619,1.0191,39.9284,7.7495,,7.3547,8.0134,31.0521,31.5847,31.5847,49.2611,33.5795,81.8772,,7.1903,0.3567,7.4393,-0.3608,55.489,-63.6364,7.3192
2000-02-18,38.06,38.25,36.0,6.82,13922400,-18868103.1164,9804290.0466,35.7327,38.1171,-0.0171,100.0,0.0,-100.0,0.3281,6.8186,7.3124,7.8062,0.0844,-184.9232,-31.4085,7.0631,55.2247,7.2272,7.2577,7.446,29.4935,258.2555,-0.2786,-0.7667,-0.8362,-0.9791,7.3463,1,7.4083,-0.2188,-0.0127,-0.2061,-0.0171,0.02,-0.037,0.6782,3.8878,27.2179,7.2122,7.0615,34.2588,4.8095,-165051554.0,9.8821,-0.2327,-8.9286,0.892,34.2958,7.7301,,7.3124,7.958,31.0298,32.8571,32.8571,40.9091,27.2924,0.0,,7.0508,0.7134,7.3939,-0.366,53.1316,-68.7065,7.241
2000-02-22,37.25,37.31,35.56,6.51,14056000,-17485635.2764,12217915.333,37.253,37.9269,-0.0692,100.0,14.2857,-85.7143,0.3389,6.666,7.2633,7.8607,-0.4286,-202.0641,-40.4546,6.9029,57.0171,7.1168,7.158,7.3766,28.1347,284.4562,-0.4106,-0.1453,-0.5082,-0.9683,7.3098,1,7.2605,-0.2598,-0.043,-0.2168,-0.0692,-0.0426,-0.0266,0.6944,3.9141,18.0235,7.0562,7.0223,32.448,5.2065,-183661698.0,8.8825,-0.9484,-12.8462,0.8613,29.7727,7.6908,,7.2633,7.8967,33.4194,35.8165,35.8165,17.2794,27.2924,0.0,,6.8398,0.4797,7.3314,-0.3869,51.354,-87.6802,7.1291
